"CODE,N,5,0","NAME,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,7,0","T%_SC,N,7,2","M_SC,N,12,0","F_SC,N,12,0","SR_SC,N,12,0","T_ST,N,12,0","T%_ST,N,7,2","M_ST,N,12,0","F_ST,N,12,0","SR_ST,N,12,0","T_LITTERAT,N,12,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,12,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,2","M_WORKERS,N,12,0","F_WORKERS,N,12,0","SR_WORKERS,N,12,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,2","M_MARGINAL,N,12,0","F_MARGINAL,N,12,0","SR_MARGINA,N,12,0","T_NONWORK,N,12,0","T%_NONWORK,N,14,2","M_NONWORK,N,12,0","F_NONWORK,N,12,0","SR_NONWORK,N,12,0","T_PRIMARY,N,12,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,12,0","SR_PRIMARY,N,12,0","T_SECUND,N,12,0","T%_SECUND,N,12,2","M_SECUND,N,12,0","F_SECUND,N,12,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,12,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,12,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,12,0","T%_MINING,N,11,2","M_MINING,N,12,0","F_MINING,N,12,0","SR_MINING,N,12,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,12,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,12,0","F_CONSTRUC,N,12,0","SR_CONSTRU,N,12,0","T_TRADE,N,12,0","T%_TRADE,N,11,2","M_TRADE,N,12,0","F_TRADE,N,12,0","SR_TRADE,N,12,0","T_TRANSPOR,N,12,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,12,0","F_TRANSPOR,N,12,0","SR_TRANSPO,N,12,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,12,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","LU_FOREST,N,11,2","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,2","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,2","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,2","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,2","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
606,Kallakkurichi,South Arcot,624403,279,132044,4.7,317045,307358,1032,99783,50697,49086,1033,184877,15.09,94236,90641,1040,32329,2.63,16392,15937,1029,218794,41.71,143539,75255,1907,272727,28.82,179955,92772,1940,30757,0.15,938,29819,31,320919,21.81,136152,184767,737,246596,90.19,158319,88277,1793,7405,2.94,6548,857,7641,18726,6.87,15088,3638,4147,123951,48.02,96855,27096,3575,121181,44.43,60270,60911,989,851,0.0,696,155,4490,613,0.22,498,115,4330,2041,0.75,1560,481,3243,3775,1.38,3545,230,15413,1589,0.58,1443,146,9884,5209,1.91,4635,574,8075,1611,0.59,1591,20,79550,11906,4.37,8862,3044,2911,52067.03,25.39,37761.79,35.67,67915.97,64.33,17926.48,8.02,42381.05,19.34,18511.32,376.0,13371.57,1632.0,27.0,3003.56,0.0,845.96
605,Tirukkoyilur,South Arcot,318018,426,64542,4.9,161621,156397,1033,54976,27773,27203,1021,91669,14.79,47021,44648,1053,2134,0.34,1082,1052,1029,109688,41.7,72523,37165,1951,130440,27.67,87985,42455,2072,13512,0.13,411,13101,31,174066,23.03,73225,100841,726,116109,88.87,76159,39950,1906,5135,4.08,4383,752,5828,9196,7.05,7443,1753,4246,52219,45.45,43484,8735,4978,63345,48.56,32246,31099,1037,358,0.0,283,75,3773,187,0.14,146,41,3561,2910,2.23,2293,617,3716,1521,1.17,1445,76,19013,704,0.54,645,59,10932,2830,2.17,2528,302,8371,838,0.64,828,10,82800,5528,4.24,4087,1441,2836,1533.35,9.83,23515.63,53.99,19999.31,46.01,7994.81,10.77,14520.6,19.64,7741.31,4121.74,182.81,7981.96,216.42,3180.41,157.07,37.83
601,Gingee,South Arcot,365504,345,77715,4.7,184941,180563,1024,55237,28060,27177,1032,74555,10.35,37836,36719,1030,5671,0.78,2859,2812,1017,150515,48.51,97547,52968,1842,159943,27.81,101660,58283,1744,11738,0.11,389,11349,34,193823,22.68,82892,110931,747,143352,89.47,87964,55388,1588,4127,2.74,3637,490,7422,12464,7.79,10059,2405,4183,77754,40.72,59252,18502,3202,64880,40.56,28167,36713,767,461,0.0,325,136,2390,257,0.16,220,37,5946,1414,0.88,1172,242,4843,1905,1.19,1748,157,11134,808,0.51,717,91,7879,2952,1.85,2740,212,12925,887,0.55,874,13,67231,8625,5.39,6445,2180,2956,6629.76,11.43,27402.92,46.05,32309.09,53.95,5702.22,5.39,28315.59,26.76,19530.61,130.42,653.0,7230.69,0.0,30.0,0.0,0.0
607,Ulundurpettai,South Arcot,273704,343,56575,4.8,138931,134773,1031,47196,23947,23249,1030,79887,14.81,40533,39354,1030,757,0.15,397,360,1103,88560,39.1,59625,28935,2061,111202,28.0,76627,34575,2216,14586,0.28,754,13832,55,147916,22.49,61550,86366,713,100795,90.17,67888,32907,2063,2867,3.04,2591,276,9388,7540,6.78,6148,1392,4417,53394,36.48,43770,9624,4548,46560,41.87,23519,23041,1021,322,0.0,256,66,3879,519,0.47,343,176,1949,1105,0.99,904,201,4498,1442,1.3,1389,53,26208,320,0.29,298,22,13545,2220,2.0,2033,187,10872,767,0.69,753,14,53786,4553,4.09,3362,1191,2823,4178.94,9.97,21702.67,50.06,21646.91,49.94,8731.53,11.24,18293.42,23.14,9433.02,11.86,0.0,12257.74,0.0,0.0,0.0,0.0
608,Panruti,South Arcot,278040,510,58870,4.7,141411,136629,1035,43043,21886,21157,1034,68004,12.43,34551,33453,1033,458,0.08,227,231,983,112612,47.92,76745,35867,2140,115101,28.17,78326,36775,2130,12392,0.21,596,11796,51,150547,22.47,62489,88058,710,101809,87.86,67305,34504,1951,4593,4.58,3823,770,4965,8699,7.56,7198,1501,4795,41989,19.49,33945,8044,4220,58664,50.97,32341,26323,1229,479,0.0,352,127,2772,677,0.59,667,10,66700,1917,1.67,1397,520,2687,2113,1.84,1878,235,7991,563,0.49,548,15,36533,2561,2.23,2220,341,6510,1199,1.04,1183,16,73938,4939,4.29,3795,1144,3317,521.49,8.18,16337.38,37.05,23097.91,62.95,3871.6,9.1,8307.44,16.08,609.81,13456.64,82.92,568.8,0.0,1475.96,0.0,0.0
610,Vriddhachalam,South Arcot,274147,335,62361,4.4,138740,135407,1025,43370,21947,21423,1024,85130,15.69,43011,42119,1021,1853,0.34,933,920,1014,112209,48.62,76121,36088,2109,115668,28.4,77850,37818,2059,14435,0.09,256,14179,18,144044,22.12,60634,83410,727,105496,87.45,69273,36223,1912,2363,5.8,2106,257,8195,7809,6.75,6471,1338,4836,51374,46.52,40316,11058,3646,49527,42.82,24547,24980,983,247,0.0,214,33,6485,4348,3.76,4196,152,27605,883,0.76,680,203,3350,1167,1.01,1127,40,28175,313,0.27,299,14,21357,2109,1.82,1877,232,8091,808,0.7,799,9,88778,4892,4.23,3795,1097,3459,270.68,5.9,15474.83,29.02,37924.52,70.98,8526.25,10.37,14967.65,18.46,10407.45,535.71,4308.64,80.0,54.0,0.0,0.0,92.2
611,Tittakudi,South Arcot,208099,343,48191,4.3,105114,102985,1021,30086,15473,14613,1059,77148,18.84,39196,37952,1033,915,0.22,461,454,1015,83495,46.9,55531,27964,1986,93749,29.07,60493,33256,1819,7287,0.14,288,6999,41,107063,21.3,44333,62730,707,83371,88.91,51632,31739,1627,3081,3.31,2775,306,9069,7297,7.78,6086,1211,5026,43609,23.58,31674,11935,2654,39548,42.18,19772,19776,1000,192,0.0,164,28,5857,22,0.02,22,0,0,888,0.95,698,190,3674,1839,1.96,1768,71,24901,354,0.38,309,45,6867,2124,2.27,1966,158,12443,497,0.53,484,13,37231,4676,4.99,3636,1040,3496,70.82,2.5,18898.42,56.65,14458.39,43.35,7837.72,12.9,18039.94,29.68,0.0,0.0,18898.4,0.0,0.0,0.0,0.0,0.0
609,Cuddalore,South Arcot,286900,589,62094,4.6,146184,140716,1039,43028,21921,21107,1039,87112,15.45,44324,42788,1036,722,0.13,367,355,1034,128123,52.54,81594,46529,1754,116107,28.38,81432,34675,2348,6614,0.17,487,6127,79,164179,22.4,64265,99914,643,93229,79.99,61605,31624,1948,10724,9.55,9848,876,11242,12154,10.47,9979,2175,4588,22624,44.42,20047,2577,7779,66956,57.67,38018,28938,1314,3290,0.03,3185,105,30333,359,0.31,355,4,88750,3606,3.11,3004,602,4990,5754,4.96,5528,226,24460,1364,1.17,1316,48,27417,4017,3.46,3453,564,6122,1630,1.4,1600,30,53333,6507,5.6,4926,1581,3116,208.72,0.43,19606.75,61.61,12155.79,38.39,5698.93,11.73,10863.5,22.42,15207.86,0.0,4405.66,0.0,0.0,9.61,0.0,0.0
604,Villupuram,South Arcot,481744,529,100924,4.8,244946,236798,1034,74837,37748,37089,1018,134212,14.21,68457,65755,1041,1978,0.21,1001,977,1025,210617,51.76,134288,76329,1759,201083,28.14,135544,65539,2068,17511,0.13,624,16887,37,263150,22.58,108778,154372,705,174272,86.62,112575,61697,1825,9751,4.89,8778,973,9022,17060,8.48,14191,2869,4946,58575,40.03,49324,9251,5332,114973,57.18,62615,52358,1196,632,0.0,551,81,6802,92,0.05,85,7,12143,4268,2.12,3548,720,4928,4648,2.31,4414,234,18863,835,0.42,816,19,42947,4799,2.39,4310,489,8814,2069,1.03,2038,31,65742,10192,5.07,7843,2349,3339,759.15,2.94,38989.62,59.9,26109.24,40.1,3862.44,4.24,19880.49,21.84,10679.22,20145.52,67.91,8022.15,0.0,75.37,0.0,0.0
612,Chidambaram,South Arcot,288049,514,63614,4.5,146253,141796,1031,39172,19768,19404,1019,99433,17.62,50754,48679,1043,2253,0.41,1173,1080,1086,142461,57.24,88433,54028,1637,119992,29.03,83615,36377,2299,8313,0.14,399,7914,50,159744,21.61,62239,97505,638,103136,85.83,69633,33503,2078,3973,3.44,3603,370,9738,12883,10.74,10379,2504,4145,28298,28.42,24317,3981,6108,71877,59.9,42519,29358,1448,2812,0.02,2654,158,16797,149,0.12,143,6,23833,923,0.77,684,239,2862,2094,1.75,1999,95,21042,956,0.8,920,36,25556,4586,3.82,3728,858,4345,1383,1.15,1373,10,137300,6914,5.76,5278,1636,3226,124.35,2.73,29267.0,67.76,13922.1,32.24,2854.41,5.09,8468.62,15.11,0.0,0.0,29267.0,0.0,0.0,0.0,0.0,0.0
