"CODE,N,11,0","NAME,C,26","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,5,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,1","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,1","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,1","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,1","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,1","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,1","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,1","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,1","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,1","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,1","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,1","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,1","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,1","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,1","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
519005,Vilattikulam,Chidambaranar,10474,6383,2462,4.3,5316,5158,1031,1375,708,667,1061,1703,16.3,854,849,1006,26,0.2,16,10,1600,6367,70.0,3653,2714,1346,4031,38.5,2896,1135,2552,203,1.9,22,181,122,6240,59.6,2398,3842,624,1760,43.7,997,763,1307,575,14.3,409,166,2464,1696,42.1,1490,206,7233,346,8.6,256,90,2844,1396,34.6,728,668,1090,18,0.4,13,5,2600,0,0.0,0,0,0,81,2.0,27,54,500,404,3.9,294,110,2673,90,2.2,88,2,44000,756,18.8,734,22,33364,170,4.2,169,1,169000,770,19.1,587,183,3208
519001,Kovilpatti,Chidambaranar,78834,151313,18353,4.3,39229,39605,991,9715,4957,4758,1042,6098,7.7,3090,3008,1027,454,0.6,228,226,1009,52489,75.9,29389,23100,1272,29739,37.7,21421,8318,2575,1045,1.3,92,953,97,48050,61.0,17716,30334,584,1798,6.0,1417,381,3719,14890,50.1,8240,6650,1239,13065,43.9,11777,1288,9144,529,1.8,422,107,3944,1126,3.8,884,242,3653,129,0.4,98,31,3161,14,0.0,13,1,13000,1780,6.0,222,1558,142,11615,14.7,6540,5075,1289,1481,5.0,1465,16,91563,7070,23.8,6836,234,29214,1710,5.8,1677,33,50818,4285,14.4,3264,1021,3197
519003,Kalugumalai,Chidambaranar,13122,13683,3030,4.3,6523,6599,988,1566,815,751,1085,1467,11.2,752,715,1052,166,1.3,81,85,953,7486,64.8,4366,3120,1399,5774,44.0,3524,2250,1566,525,4.0,38,487,78,6823,52.0,2961,3862,767,1202,20.8,912,290,3145,3072,53.2,1273,1799,708,1541,26.7,1379,162,8512,319,5.5,288,31,9290,833,14.4,575,258,2229,9,0.2,9,0,0,41,0.7,40,1,40000,410,7.1,131,279,470,2492,19.0,973,1519,641,129,2.2,129,0,0,833,14.4,821,12,68417,130,2.3,130,0,0,578,10.0,428,150,2853
519004,Kayattar,Chidambaranar,8106,4187,1738,4.7,4030,4076,989,1066,566,500,1132,1145,14.1,555,590,941,0,0.0,0,0,0,4817,68.4,2767,2050,1350,3398,41.9,2154,1244,1732,207,2.6,24,183,131,4501,55.5,1852,2649,699,1663,48.9,927,736,1260,776,22.8,400,376,1064,960,28.3,828,132,6273,702,20.7,465,237,1962,916,27.0,426,490,869,44,1.3,35,9,3889,1,0.0,1,0,0,297,8.7,82,215,381,382,4.7,225,157,1433,96,2.8,92,4,23000,459,13.5,435,24,18125,70,2.1,69,1,69000,431,12.7,324,107,3028
519002,Ettaiyapuram,Chidambaranar,12167,5805,2871,4.2,5975,6192,965,1484,727,757,960,1173,9.6,594,579,1026,34,0.3,16,18,889,7466,69.9,4520,2946,1534,6172,50.7,3571,2601,1373,208,1.7,11,197,56,5787,47.6,2393,3394,705,1218,19.7,665,553,1203,3358,54.4,1479,1879,787,1596,25.9,1427,169,8444,180,2.9,123,57,2158,1005,16.3,514,491,1047,33,0.5,28,5,5600,0,0.0,0,0,0,795,12.9,225,570,395,2362,19.4,1055,1307,807,201,3.3,199,2,99500,840,13.6,813,27,30111,123,2.0,121,2,60500,633,10.3,493,140,3521
519008,Srivaikuntam,Chidambaranar,17459,18936,3948,4.4,8423,9036,932,2055,1016,1039,978,1918,11.0,914,1004,910,193,1.1,97,96,1010,12784,83.0,6720,6064,1108,5023,28.8,4080,943,4327,252,1.4,59,193,306,12184,69.8,4284,7900,542,1684,33.5,1416,268,5284,890,17.7,558,332,1681,2450,48.8,2107,343,6143,576,11.5,536,40,13400,1070,21.3,853,217,3931,37,0.7,26,11,2364,1,0.0,1,0,0,380,7.6,89,291,306,299,1.7,265,34,7794,210,4.2,203,7,29000,940,18.7,852,88,9682,333,6.6,327,6,54500,1177,23.4,928,249,3727
519006,Sawyerpuram,Chidambaranar,12518,29248,2709,4.6,5961,6557,909,1695,857,838,1023,1639,13.1,809,830,975,0,0.0,0,0,0,9222,85.2,4550,4672,974,4436,35.4,3092,1344,2301,36,0.3,18,18,1000,8046,64.3,2851,5195,549,2862,64.5,1951,911,2142,438,9.9,320,118,2712,1137,25.6,822,315,2610,578,13.0,564,14,40286,2237,50.4,1346,891,1511,46,1.0,40,6,6667,1,0.0,1,0,0,113,2.5,57,56,1018,275,2.2,216,59,3661,49,1.1,46,3,15333,383,8.6,358,25,14320,132,3.0,128,4,32000,622,14.0,336,286,1175
519007,Eral,Chidambaranar,9376,24165,2121,4.4,4604,4772,965,1150,582,568,1025,215,2.3,136,79,1722,160,1.7,86,74,1162,6725,81.8,3558,3167,1123,2828,30.2,2381,447,5327,148,1.6,28,120,233,6400,68.3,2195,4205,522,825,29.2,646,179,3609,652,23.1,522,130,4015,1356,47.9,1218,138,8826,451,15.9,378,73,5178,353,12.5,248,105,2362,16,0.6,15,1,15000,5,0.2,5,0,0,90,3.2,36,54,667,487,5.2,413,74,5581,70,2.5,68,2,34000,852,30.1,835,17,49118,77,2.7,76,1,76000,427,15.1,307,120,2558
519011,Kulasekarappattinam,Chidambaranar,7829,13616,1712,4.6,3579,4250,842,1045,489,556,879,311,4.0,141,170,829,0,0.0,0,0,0,5235,77.2,2601,2634,987,2097,26.8,1765,332,5316,336,4.3,2,334,6,5396,68.9,1812,3584,506,588,28.0,556,32,17375,472,22.5,312,160,1950,1054,50.3,914,140,6529,66,3.1,64,2,32000,194,9.3,186,8,23250,311,14.8,289,22,13136,17,0.8,17,0,0,128,6.1,8,120,67,245,3.1,213,32,6656,82,3.9,74,8,9250,528,25.2,498,30,16600,171,8.2,159,12,13250,355,16.9,257,98,2622
519010,Udangudi,Chidambaranar,19915,18440,3646,5.5,9877,10038,984,2682,1403,1279,1097,976,4.9,489,487,1004,2,0.0,1,1,1000,14274,82.8,7451,6823,1092,5735,28.8,5011,724,6921,242,1.2,25,217,115,13938,70.0,4841,9097,532,2104,36.7,1862,242,7694,1093,19.1,893,200,4465,2538,44.3,2256,282,8000,1178,20.5,1030,148,6959,804,14.0,724,80,9050,122,2.1,108,14,7714,0,0.0,0,0,0,288,5.0,151,137,1102,513,2.6,476,37,12865,292,5.1,266,26,10231,1643,28.6,1586,57,27825,218,3.8,214,4,53500,677,11.8,456,221,2063
