"CODE,N,11,0","NAME,C,26","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,5,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,1","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,1","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,1","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,1","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,1","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,1","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,1","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,1","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,1","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,1","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,1","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,1","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,1","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,1","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
517005,Aruppukkottai,Kamarajar,78976,25088,17379,4.5,39861,39115,1019,8693,4461,4232,1054,4356,5.5,2127,2229,954,33,0.0,19,14,1357,56237,80.0,31695,24542,1291,35389,44.8,22519,12870,1750,1189,1.5,72,1117,64,42398,53.7,17270,25128,687,2855,8.1,1401,1454,964,19584,55.3,10094,9490,1064,12978,36.7,11042,1936,5704,629,1.8,447,182,2456,2078,5.9,823,1255,656,120,0.3,113,7,16143,28,0.1,18,10,1800,10876,30.7,4123,6753,611,7863,10.0,5257,2606,2017,817,2.3,696,121,5752,6624,18.7,6172,452,13655,1494,4.2,1426,68,20971,4860,13.7,3444,1416,2432
517003,Rosalpatti,Kamarajar,15957,33736,3510,4.5,8536,7421,1150,2241,1175,1066,1102,2517,15.8,1271,1246,1020,57,0.4,31,26,1192,9865,71.9,5741,4124,1392,5435,34.1,4093,1342,3050,417,2.6,10,407,25,10105,63.3,4433,5672,782,607,11.2,402,205,1961,2210,40.7,1404,806,1742,2618,48.2,2287,331,6909,172,3.2,141,31,4548,400,7.4,230,170,1353,35,0.6,31,4,7750,0,0.0,0,0,0,36,0.7,24,12,2000,1742,10.9,1019,723,1409,432,7.9,361,71,5085,933,17.2,833,100,8330,537,9.9,513,24,21375,1148,21.1,941,207,4546
517002,Virudunagar,Kamarajar,70971,107532,15583,4.6,35734,35237,1014,8672,4438,4234,1048,4397,6.2,2189,2208,991,209,0.3,99,110,900,53682,86.2,28982,24700,1173,23196,32.7,19721,3475,5675,456,0.6,31,425,73,47319,66.7,15982,31337,510,459,2.0,346,113,3062,7487,32.3,5986,1501,3988,15273,65.8,13412,1861,7207,166,0.7,153,13,11769,175,0.8,88,87,1011,95,0.4,82,13,6308,23,0.1,23,0,0,85,0.4,66,19,3474,6495,9.2,5087,1408,3613,884,3.8,810,74,10946,8995,38.8,8506,489,17395,2033,8.8,1890,143,13217,4245,18.3,3016,1229,2454
517011,Sattur,Kamarajar,29226,76308,6770,4.3,14642,14584,1004,3602,1866,1736,1075,1159,4.0,546,613,891,19,0.1,11,8,1375,19843,77.4,11240,8603,1307,11085,37.9,8048,3037,2650,1131,3.9,86,1045,82,17010,58.2,6508,10502,620,218,2.0,147,71,2070,5424,48.9,3105,2319,1339,5447,49.1,4800,647,7419,158,1.4,97,61,1590,36,0.3,26,10,2600,20,0.2,20,0,0,4,0.0,4,0,0,54,0.5,26,28,929,5090,17.4,2811,2279,1233,276,2.5,264,12,22000,2813,25.4,2682,131,20473,786,7.1,771,15,51400,1848,16.7,1347,501,2689
517009,Viswanatham,Kamarajar,14899,158500,3880,3.8,7347,7552,973,2181,1114,1067,1044,2438,16.4,1197,1241,965,0,0.0,0,0,0,6797,53.4,4307,2490,1730,8235,55.3,4681,3554,1317,121,0.8,0,121,0,6543,43.9,2666,3877,688,737,8.9,447,290,1541,6527,79.3,3361,3166,1062,971,11.8,873,98,8908,120,1.5,79,41,1927,595,7.2,348,247,1409,22,0.3,20,2,10000,0,0.0,0,0,0,13,0.2,10,3,3333,6308,42.3,3156,3152,1001,206,2.5,195,11,17727,553,6.7,495,58,8534,174,2.1,173,1,173000,244,3.0,205,39,5256
517008,Pallapatti,Kamarajar,18991,22826,4813,3.9,9490,9501,999,2970,1532,1438,1065,2329,12.3,1148,1181,972,7,0.0,6,1,6000,10270,64.1,6147,4123,1491,9047,47.6,5829,3218,1811,293,1.5,3,290,10,9651,50.8,3658,5993,610,494,5.5,399,95,4200,6762,74.7,3786,2976,1272,1795,19.8,1647,148,11128,192,2.1,177,15,11800,273,3.0,196,77,2545,25,0.3,23,2,11500,4,0.0,3,1,3000,226,2.5,6,220,27,6183,32.6,3446,2737,1259,349,3.9,331,18,18389,865,9.6,826,39,21179,264,2.9,264,0,0,666,7.4,557,109,5110
517007,Anaiyur,Kamarajar,17659,19819,4469,4.0,8915,8744,1020,2662,1336,1326,1008,1594,9.0,804,790,1018,10,0.1,5,5,1000,10193,68.0,6029,4164,1448,8350,47.3,5387,2963,1818,101,0.6,28,73,384,9208,52.1,3500,5708,613,772,9.2,421,351,1199,5513,66.0,3247,2266,1433,2066,24.7,1720,346,4971,246,2.9,157,89,1764,468,5.6,227,241,942,57,0.7,36,21,1714,1,0.0,1,0,0,67,0.8,39,28,1393,5072,28.7,2868,2204,1301,373,4.5,339,34,9971,773,9.3,699,74,9446,168,2.0,161,7,23000,1125,13.5,860,265,3245
517001,Srivilliputtur,Kamarajar,68644,120007,16352,4.2,34667,33977,1020,8258,4346,3912,1111,2837,4.1,1474,1363,1081,503,0.7,242,261,927,42643,70.6,25046,17597,1423,27631,40.3,18604,9027,2061,429,0.6,90,339,265,40584,59.1,15973,24611,649,6690,24.2,3933,2757,1427,10746,38.9,5885,4861,1211,10203,36.9,8794,1409,6241,1228,4.4,942,286,3294,5104,18.5,2713,2391,1135,350,1.3,270,80,3375,8,0.0,8,0,0,3019,10.9,1357,1662,816,6829,9.9,3726,3103,1201,890,3.2,794,96,8271,4988,18.1,4665,323,14443,699,2.5,682,17,40118,4516,16.3,3447,1069,3225
517013,Chatrapatti,Kamarajar,4363,6860,1296,3.4,2161,2202,981,469,256,213,1202,214,4.9,109,105,1038,0,0.0,0,0,0,2659,68.3,1614,1045,1544,2161,49.5,1353,808,1675,24,0.6,5,19,263,2178,49.9,803,1375,584,369,17.1,188,181,1039,1488,68.9,894,594,1505,304,14.1,271,33,8212,65,3.0,46,19,2421,301,13.9,139,162,858,3,0.1,3,0,0,0,0.0,0,0,0,788,36.5,315,473,666,676,15.5,557,119,4681,24,1.1,22,2,11000,191,8.8,177,14,12643,6,0.3,5,1,5000,107,5.0,89,18,4944
517016,Rajapalayam,Kamarajar,114202,100530,28304,4.0,57943,56259,1030,14087,7261,6826,1064,14907,13.1,7438,7469,996,862,0.8,409,453,903,73473,73.4,42436,31037,1367,42920,37.6,33735,9185,3673,1315,1.2,102,1213,84,69967,61.3,24106,45861,526,11122,25.9,7524,3598,2091,16991,39.6,13029,3962,3288,14844,34.6,13218,1626,8129,2444,5.7,2252,192,11729,8438,19.7,5050,3388,1491,203,0.5,186,17,10941,37,0.1,36,1,36000,2086,4.9,931,1155,806,12717,11.1,9992,2725,3667,2151,5.0,2070,81,25556,8273,19.3,7904,369,21420,1737,4.0,1718,19,90421,4834,11.3,3596,1238,2905
