"CODE,N,11,0","NAME,C,26","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,5,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,1","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,1","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,1","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,1","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,1","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,1","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,1","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,1","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,1","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,1","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,1","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,1","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,1","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,1","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
507009,Elampillai,Salem,8842,32036,1929,4.6,4521,4321,1046,1029,559,470,1189,294,3.3,153,141,1085,4,0.0,1,3,333,5275,67.5,3111,2164,1438,4089,46.2,2933,1156,2537,207,2.3,2,205,10,4546,51.4,1586,2960,536,510,12.5,228,282,809,2953,72.2,2200,753,2922,627,15.3,506,121,4182,125,3.1,103,22,4682,383,9.4,123,260,473,1,0.0,1,0,0,1,0.0,1,0,0,2499,61.1,1777,722,2461,426,4.8,403,23,17522,27,0.7,19,8,2375,387,9.5,334,53,6302,31,0.8,30,1,30000,209,5.1,142,67,2119
507001,Omalur,Salem,11884,52818,2545,4.7,6018,5866,1026,1484,790,694,1138,865,7.3,439,426,1031,5,0.0,4,1,4000,7551,72.6,4284,3267,1311,3925,33.0,3277,648,5057,1270,10.7,21,1249,17,6689,56.3,2720,3969,685,756,19.3,606,150,4040,861,21.9,722,139,5194,2316,59.0,1957,359,5451,224,5.7,199,25,7960,511,13.0,388,123,3154,13,0.3,11,2,5500,8,0.2,8,0,0,214,5.5,146,68,2147,523,4.4,466,57,8175,116,3.0,102,14,7286,1050,26.8,939,111,8459,325,8.3,324,1,324000,941,24.0,694,247,2810
507002,Taramangalam,Salem,17795,18751,3774,4.7,9199,8596,1070,2426,1305,1121,1164,1050,5.9,522,528,989,0,0.0,0,0,0,8521,55.4,5125,3396,1509,6885,38.7,5339,1546,3453,1737,9.8,20,1717,12,9173,51.5,3840,5333,720,1995,29.0,1368,627,2182,3265,47.4,2620,645,4062,1640,23.8,1363,277,4921,1464,21.3,1146,318,3604,495,7.2,194,301,645,21,0.3,16,5,3200,15,0.2,12,3,4000,2513,36.5,1934,579,3340,599,3.4,541,58,9328,138,2.0,133,5,26600,711,10.3,632,79,8000,233,3.4,227,6,37833,696,10.1,504,192,2625
507005,Jalakandapuram,Salem,12831,83863,2787,4.6,6611,6220,1063,1624,856,768,1115,142,1.1,73,69,1058,0,0.0,0,0,0,7740,69.1,4584,3156,1452,4818,37.5,4175,643,6493,1181,9.2,38,1143,33,6832,53.2,2398,4434,541,336,7.0,274,62,4419,3042,63.1,2689,353,7618,1446,30.0,1216,230,5287,167,3.5,157,10,15700,150,3.1,100,50,2000,13,0.3,13,0,0,6,0.1,4,2,2000,1282,26.6,1134,148,7662,1676,13.1,1478,198,7465,78,1.6,73,5,14600,780,16.2,679,101,6723,114,2.4,113,1,113000,552,11.5,424,128,3313
507004,Mettur,Salem,45773,31459,10486,4.4,23641,22132,1068,4639,2419,2220,1090,6639,14.5,3413,3226,1058,118,0.3,69,49,1408,31625,76.9,18282,13343,1370,13167,28.8,11622,1545,7522,1644,3.6,269,1375,196,30962,67.6,11750,19212,612,1346,10.2,1149,197,5832,3998,30.4,3844,154,24961,7989,60.7,6777,1212,5592,217,1.6,191,26,7346,538,4.1,426,112,3804,425,3.2,384,41,9366,166,1.3,148,18,8222,73,0.6,53,20,2650,2830,6.2,2783,47,59213,929,7.1,860,69,12464,1526,11.6,1336,190,7032,1035,7.9,1016,19,53474,5428,41.2,4425,1003,4412
507003,Veerakkalputtur,Salem,13406,28223,3175,4.2,7015,6391,1098,1413,742,671,1106,600,4.5,321,279,1151,35,0.3,19,16,1188,9558,79.7,5496,4062,1353,3923,29.3,3476,447,7776,193,1.4,56,137,409,9290,69.3,3483,5807,600,632,16.1,481,151,3185,1887,48.1,1844,43,42884,1417,36.1,1164,253,4601,142,3.6,116,26,4462,460,11.7,340,120,2833,17,0.4,12,5,2400,13,0.3,13,0,0,41,1.0,30,11,2727,1608,12.0,1591,17,93588,225,5.7,210,15,14000,393,10.0,339,54,6278,354,9.0,342,12,28500,670,17.1,483,187,2583
507010,Attur,Salem,55667,20155,12829,4.3,28115,27552,1020,7271,3752,3519,1066,10353,18.6,5214,5139,1015,125,0.2,68,57,1193,32513,67.2,18612,13901,1339,20417,36.7,16247,4170,3896,851,1.5,109,742,147,34399,61.8,11759,22640,519,6583,32.2,4462,2121,2104,4627,22.7,3954,673,5875,9270,45.4,7891,1379,5722,2300,11.3,1906,394,4838,4128,20.2,2423,1705,1421,92,0.5,73,19,3842,63,0.3,60,3,20000,190,0.9,128,62,2065,3433,6.2,2957,476,6212,941,4.6,809,132,6129,4803,23.5,4296,507,8473,1612,7.9,1593,19,83842,2855,14.0,2002,853,2347
507011,Vennandur,Salem,11368,23634,2679,4.2,5914,5454,1084,1346,725,621,1167,857,7.5,447,410,1090,0,0.0,0,0,0,5746,57.3,3642,2104,1731,5350,47.1,3778,1572,2403,190,1.7,3,187,16,5828,51.3,2133,3695,577,624,11.7,422,202,2089,4283,80.1,2981,1302,2290,447,8.4,377,70,5386,203,3.8,170,33,5152,410,7.7,243,167,1455,7,0.1,7,0,0,4,0.1,2,2,1000,3314,61.9,2238,1076,2080,895,7.9,680,215,3163,70,1.3,61,9,6778,201,3.8,180,21,8571,41,0.8,41,0,0,205,3.8,156,49,3184
507012,Rasipuram,Salem,39386,48267,8985,4.4,20044,19342,1036,4571,2407,2164,1112,3628,9.2,1857,1771,1049,33,0.1,15,18,833,24580,70.6,14244,10336,1378,15552,39.5,11952,3600,3320,592,1.5,87,505,172,23242,59.0,8005,15237,525,1679,10.8,929,750,1239,6449,41.5,4736,1713,2765,7426,47.7,6289,1137,5531,519,3.3,390,129,3023,1031,6.6,483,548,881,127,0.8,54,73,740,2,0.0,2,0,0,2768,17.8,1731,1037,1669,2890,7.3,2445,445,5494,789,5.1,558,231,2416,3421,22.0,3089,332,9304,1397,9.0,1374,23,59739,2608,16.8,1826,782,2335
507013,Pillanallur,Salem,8405,20651,1934,4.3,4253,4152,1024,888,454,434,1046,774,9.2,420,354,1186,5,0.1,4,1,4000,4221,56.2,2662,1559,1708,4482,53.3,2666,1816,1468,143,1.7,4,139,29,3780,45.0,1583,2197,721,606,13.5,285,321,888,3341,74.5,1971,1370,1439,535,11.9,410,125,3280,203,4.5,152,51,2980,395,8.8,127,268,474,8,0.2,6,2,3000,0,0.0,0,0,0,3074,68.6,1782,1292,1379,213,2.5,144,69,2087,54,1.2,45,9,5000,183,4.1,158,25,6320,52,1.2,50,2,25000,300,6.7,202,98,2061
