"CODE,N,11,0","NAME,C,26","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,5,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,1","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,1","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,1","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,1","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,1","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,1","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,1","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,1","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,1","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,1","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,1","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,1","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,1","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,1","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
506005,Kallakkurichi,South Arcot,27894,17423,5699,4.9,14293,13601,1051,3862,1947,1915,1017,3898,14.0,2018,1880,1073,237,0.8,125,112,1116,17389,72.4,10183,7206,1413,8367,30.0,7281,1086,6704,850,3.0,35,815,43,18677,67.0,6977,11700,596,2433,29.1,1879,554,3392,1296,15.5,1226,70,17514,4645,55.5,4182,463,9032,941,11.2,895,46,19457,1397,16.7,899,498,1805,88,1.1,79,9,8778,7,0.1,6,1,6000,72,0.9,55,17,3235,871,3.1,857,14,61214,346,4.1,308,38,8105,1960,23.4,1896,64,29625,624,7.5,618,6,103000,2061,24.6,1668,393,4244
506004,Tirukkoyilur,South Arcot,23636,19697,4646,5.1,11970,11666,1026,3065,1585,1480,1071,3552,15.0,1783,1769,1008,93,0.4,44,49,898,15494,75.3,8719,6775,1287,7100,30.0,5799,1301,4457,252,1.1,34,218,156,16284,68.9,6137,10147,605,2452,34.5,1719,733,2345,810,11.4,784,26,30154,3843,54.1,3301,542,6090,953,13.4,752,201,3741,1469,20.7,939,530,1772,25,0.4,23,2,11500,5,0.1,5,0,0,53,0.7,40,13,3077,547,2.3,536,11,48727,205,2.9,203,2,101500,1590,22.4,1502,88,17068,418,5.9,412,6,68667,1835,25.8,1387,448,3096
506001,Tindivanam,South Arcot,61579,27527,11694,5.3,31714,29865,1062,7931,4060,3871,1049,8318,13.5,4179,4139,1010,352,0.6,173,179,966,41597,77.5,23860,17737,1345,16467,26.7,14255,2212,6444,266,0.4,29,237,122,44846,72.8,17430,27416,636,3216,19.5,2484,732,3393,2539,15.4,2361,178,13264,10762,65.4,9457,1305,7247,1810,11.0,1594,216,7380,1242,7.5,743,499,1489,114,0.7,100,14,7143,50,0.3,47,3,15667,129,0.8,76,53,1434,1858,3.0,1781,77,23130,502,3.0,457,45,10156,4326,26.3,4147,179,23168,1653,10.0,1631,22,74136,4783,29.0,3679,1104,3332
506002,Villupuram,South Arcot,88788,99427,17672,5.0,45501,43287,1051,11745,6017,5728,1050,10201,11.5,5145,5056,1018,139,0.2,81,58,1397,63226,82.1,35425,27801,1274,24147,27.2,21851,2296,9517,639,0.7,94,545,172,64002,72.1,23556,40446,582,1953,8.1,1733,220,7877,4899,20.3,4642,257,18062,17330,71.8,15510,1820,8522,1004,4.2,963,41,23488,744,3.1,573,171,3351,170,0.7,163,7,23286,35,0.1,34,1,34000,228,0.9,167,61,2738,3503,3.9,3376,127,26583,1133,4.7,1065,68,15662,7857,32.5,7550,307,24593,3414,14.1,3306,108,30611,6059,25.1,4654,1405,3312
506006,Panruti,South Arcot,51394,28505,9257,5.6,26221,25173,1042,7406,3751,3655,1026,7588,14.8,3813,3775,1010,144,0.3,79,65,1215,30816,70.1,18150,12666,1433,16330,31.8,13901,2429,5723,485,0.9,12,473,25,34579,67.3,12308,22271,553,5438,33.3,3952,1486,2659,3110,19.0,2975,135,22037,7829,47.9,7020,809,8677,1738,10.6,1480,258,5736,3536,21.7,2330,1206,1932,117,0.7,96,21,4571,47,0.3,46,1,46000,156,1.0,126,30,4200,2105,4.1,2034,71,28648,802,4.9,769,33,23303,4110,25.2,3897,213,18296,1214,7.4,1200,14,85714,2505,15.3,1923,582,3304
506007,Thorapadi,South Arcot,6538,31738,1327,4.9,3356,3182,1055,766,387,379,1021,578,8.8,298,280,1064,28,0.4,11,17,647,4325,74.9,2541,1784,1424,2591,39.6,1901,690,2755,125,1.9,1,124,8,3822,58.5,1454,2368,614,954,36.8,637,317,2009,916,35.4,614,302,2033,726,28.0,655,71,9225,369,14.2,305,64,4766,576,22.2,323,253,1277,4,0.2,4,0,0,5,0.2,5,0,0,770,29.7,479,291,1646,113,1.7,107,6,17833,28,1.1,23,5,4600,370,14.3,359,11,32636,47,1.8,47,0,0,309,11.9,249,60,4150
506008,Nellikuppam,South Arcot,42783,19908,8204,5.2,21519,21264,1012,5732,2904,2828,1027,13750,32.1,6951,6799,1022,40,0.1,23,17,1353,24623,66.5,14109,10514,1342,12063,28.2,10102,1961,5151,446,1.0,113,333,339,30274,70.8,11304,18970,596,6381,52.9,5011,1370,3658,2010,16.7,1928,82,23512,3697,30.6,3188,509,6263,1050,8.7,1016,34,29882,5230,43.4,3898,1332,2926,76,0.6,72,4,18000,25,0.2,25,0,0,99,0.8,80,19,4211,1627,3.8,1586,41,38683,259,2.1,237,22,10773,1668,13.8,1578,90,17533,437,3.6,428,9,47556,1592,13.2,1182,410,2883
506011,Vriddhachalam,South Arcot,52819,19390,10873,4.9,26998,25821,1046,7571,3816,3755,1016,7437,14.1,3820,3617,1056,281,0.5,141,140,1007,33610,74.3,19381,14229,1362,15413,29.2,13426,1987,6757,555,1.1,9,546,16,36851,69.8,13563,23288,582,5114,33.2,3958,1156,3424,2144,13.9,2028,116,17483,8240,53.5,7519,721,10429,1800,11.7,1531,269,5691,3051,19.8,2187,864,2531,178,1.2,161,17,9471,85,0.6,79,6,13167,164,1.1,137,27,5074,1454,2.8,1393,61,22836,441,2.9,419,22,19045,3492,22.7,3384,108,31333,1448,9.4,1427,21,67952,3300,21.4,2708,592,4574
506014,Cuddalore,South Arcot,144561,52169,28311,5.1,73245,71316,1027,18635,9478,9157,1035,17091,11.8,8602,8489,1013,699,0.5,350,349,1003,95459,75.8,53540,41919,1277,41394,28.6,35993,5401,6664,324,0.2,61,263,232,102843,71.1,37191,65652,566,7913,19.1,6781,1132,5990,9062,21.9,8251,811,10174,24510,59.2,21046,3464,6076,1652,4.0,1555,97,16031,3148,7.6,2243,905,2478,3022,7.3,2898,124,23371,91,0.2,85,6,14167,1249,3.0,953,296,3220,5818,4.0,5462,356,15343,1904,4.6,1751,153,11444,8861,21.4,8057,804,10021,3998,9.7,3896,102,38196,11651,28.1,9093,2558,3555
506010,Kurinjipadi,South Arcot,23117,17906,4728,4.9,11648,11469,1016,3121,1587,1534,1035,2992,12.9,1479,1513,978,16,0.1,8,8,1000,12764,63.8,7712,5052,1527,7841,33.9,6149,1692,3634,271,1.2,16,255,63,15005,64.9,5483,9522,576,3450,44.0,2198,1252,1756,2293,29.2,2013,280,7189,2153,27.5,1992,161,12373,938,12.0,878,60,14633,2438,31.1,1249,1189,1050,19,0.2,17,2,8500,55,0.7,54,1,54000,1505,19.2,1272,233,5459,669,2.9,629,40,15725,64,0.8,58,6,9667,1021,13.0,983,38,25868,160,2.0,159,1,159000,972,12.4,850,122,6967
506012,Bhuvanagiri,South Arcot,17605,15443,3705,4.8,8805,8800,1001,2125,1078,1047,1030,3414,19.4,1681,1733,970,27,0.2,17,10,1700,10912,70.5,6233,4679,1332,6695,38.0,5049,1646,3067,529,3.0,86,443,194,10381,59.0,3670,6711,547,3667,54.8,2564,1103,2325,1393,20.8,1063,330,3221,1641,24.5,1428,213,6704,748,11.2,658,90,7311,2879,43.0,1866,1013,1842,34,0.5,34,0,0,6,0.1,6,0,0,574,8.6,395,179,2207,694,3.9,551,143,3853,119,1.8,111,8,13875,734,11.0,688,46,14957,168,2.5,167,1,167000,739,11.0,573,166,3452
