"CODE,N,11,0","NAME,C,26","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,5,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,1","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,1","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,1","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,1","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,1","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,1","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,1","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,1","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,1","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,1","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,1","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,1","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,1","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,1","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0"
520002,Sankarankovil,Tirunelveli Kattabomman,48846,42847,10184,4.8,24532,24314,1009,6738,3473,3265,1064,9870,20.2,4889,4981,982,276,0.6,132,144,917,28382,67.4,17027,11355,1500,18661,38.2,12967,5694,2277,777,1.6,123,654,188,29408,60.2,11442,17966,637,2956,15.8,1504,1452,1036,8329,44.6,4895,3434,1425,7405,39.7,6595,810,8142,757,4.1,474,283,1675,2127,11.4,963,1164,827,43,0.2,40,3,13333,29,0.2,27,2,13500,1912,10.2,523,1389,377,5796,11.9,3793,2003,1894,592,3.2,552,40,13800,4191,22.5,4038,153,26392,786,4.2,775,11,70455,2428,13.0,1782,646,2759
520001,Puliyangudi,Tirunelveli Kattabomman,53287,9659,11530,4.6,26506,26781,990,8103,4192,3911,1072,9610,18.0,4684,4926,951,143,0.3,76,67,1134,25242,55.9,15860,9382,1690,24540,46.1,14188,10352,1371,466,0.9,44,422,104,28281,53.1,12274,16007,767,12070,49.2,6956,5114,1360,7654,31.2,2936,4718,622,4875,19.9,4343,532,8164,2420,9.9,1735,685,2533,9419,38.4,5039,4380,1150,172,0.7,135,37,3649,59,0.2,47,12,3917,2869,11.7,574,2295,250,4492,8.4,2088,2404,869,234,1.0,227,7,32429,2638,10.7,2524,114,22140,403,1.6,401,2,200500,1834,7.5,1418,416,3409
520004,Kadaiyanallur,Tirunelveli Kattabomman,68819,13171,13947,4.9,34453,34366,1003,8976,4611,4365,1056,9294,13.5,4590,4704,976,221,0.3,112,109,1028,37588,62.8,23462,14126,1661,26377,38.3,17326,9051,1914,1243,1.8,129,1114,116,41199,59.9,16998,24201,702,12551,47.6,7843,4708,1666,8414,31.9,4729,3685,1283,5424,20.6,4766,658,7243,3539,13.4,2727,812,3358,8865,33.6,5002,3863,1295,135,0.5,102,33,3091,12,0.0,12,0,0,6230,23.6,2859,3371,848,1584,2.3,1279,305,4193,588,2.2,579,9,64333,2722,10.3,2579,143,18035,324,1.2,321,3,107000,2378,9.0,1866,512,3645
520006,Kuttalam,Tirunelveli Kattabomman,2842,3648,476,6.0,1150,1692,680,237,133,104,1279,320,11.3,87,233,373,23,0.8,11,12,917,2096,80.5,824,1272,648,764,26.9,567,197,2878,31,1.1,4,27,148,2047,72.0,579,1468,394,278,36.4,189,89,2124,66,8.6,34,32,1063,433,56.7,357,76,4697,172,22.5,112,60,1867,51,6.7,35,16,2188,42,5.5,29,13,2231,13,1.7,13,0,0,19,2.5,3,16,188,27,1.0,12,15,800,7,0.9,6,1,6000,199,26.0,191,8,23875,18,2.4,17,1,17000,216,28.3,149,67,2224
520005,Tenkasi,Tirunelveli Kattabomman,55189,21097,11761,4.7,27223,27966,973,7251,3715,3536,1051,6892,12.5,3392,3500,969,422,0.8,223,199,1121,36645,76.4,20469,16176,1265,19081,34.6,13768,5313,2591,1785,3.2,153,1632,94,34323,62.2,13302,21021,633,4837,25.3,3435,1402,2450,5895,30.9,2929,2966,988,8471,44.4,7488,983,7617,1369,7.2,1176,193,6093,3269,17.1,2104,1165,1806,77,0.4,71,6,11833,122,0.6,84,38,2211,3224,16.9,766,2458,312,2126,3.9,1677,449,3735,423,2.2,402,21,19143,4375,22.9,4152,223,18619,925,4.8,902,23,39217,3171,16.6,2434,737,3303
520003,Shencottah,Tirunelveli Kattabomman,25820,96343,5689,4.5,12916,12904,1001,3092,1573,1519,1036,2579,10.0,1306,1273,1026,321,1.2,165,156,1058,16862,74.2,9612,7250,1326,9080,35.2,6540,2540,2575,784,3.0,108,676,160,15956,61.8,6268,9688,647,2909,32.0,2190,719,3046,2592,28.5,1134,1458,778,3579,39.4,3216,363,8860,758,8.3,659,99,6657,2097,23.1,1484,613,2421,54,0.6,47,7,6714,0,0.0,0,0,0,977,10.8,113,864,131,1397,5.4,804,593,1356,218,2.4,217,1,217000,1443,15.9,1391,52,26750,545,6.0,541,4,135250,1591,17.5,1284,307,4182
520007,Vikramasingapuram,Tirunelveli Kattabomman,49834,12827,11797,4.2,24661,25173,980,5952,2983,2969,1005,3257,6.5,1618,1639,987,13,0.0,7,6,1167,35183,80.2,19319,15864,1218,15420,30.9,11177,4243,2634,1870,3.8,330,1540,214,32544,65.3,13154,19390,678,3065,19.9,2095,970,2160,8421,54.6,5838,2583,2260,3959,25.7,3262,697,4680,1178,7.6,748,430,1740,1638,10.6,1137,501,2269,224,1.5,192,32,6000,25,0.2,18,7,2571,2458,15.9,140,2318,60,5467,11.0,5238,229,22873,471,3.1,442,29,15241,1451,9.4,1370,81,16914,380,2.5,368,12,30667,2128,13.8,1524,604,2523
520008,Sivanthipuram,Tirunelveli Kattabomman,11912,29412,3034,3.9,5894,6018,979,1492,756,736,1027,440,3.7,205,235,872,16,0.1,10,6,1667,8314,79.8,4547,3767,1207,4802,40.3,2887,1915,1508,130,1.1,13,117,111,6980,58.6,2994,3986,751,862,18.0,737,125,5896,2975,62.0,1375,1600,859,990,20.6,798,192,4156,140,2.9,129,11,11727,663,13.8,551,112,4920,34,0.7,34,0,0,25,0.5,23,2,11500,1437,29.9,50,1387,36,1387,11.6,1178,209,5636,126,2.6,124,2,62000,419,8.7,402,17,23647,66,1.4,64,2,32000,505,10.5,332,173,1919
520009,Viravanallur,Tirunelveli Kattabomman,19303,32551,4478,4.3,9270,10033,924,2305,1194,1111,1075,2963,15.3,1382,1581,874,55,0.3,30,25,1200,13057,76.8,7095,5962,1190,6602,34.2,4601,2001,2299,1728,9.0,89,1639,54,10973,56.8,4580,6393,716,2254,34.1,1776,478,3715,2839,43.0,1528,1311,1166,1515,22.9,1301,214,6079,1309,19.8,1174,135,8696,929,14.1,595,334,1781,10,0.2,3,7,429,6,0.1,4,2,2000,2102,31.8,833,1269,656,646,3.3,606,40,15150,85,1.3,85,0,0,669,10.1,650,19,34211,104,1.6,103,1,103000,742,11.2,548,194,2825
520010,Eruvadi,Tirunelveli Kattabomman,13633,17345,2877,4.7,6185,7448,830,1809,966,843,1146,1625,11.9,731,894,818,94,0.7,48,46,1043,9663,81.7,4652,5011,928,3644,26.7,2677,967,2768,170,1.2,101,69,1464,9819,72.0,3407,6412,531,1489,40.9,1008,481,2096,743,20.4,409,334,1225,1415,38.8,1263,152,8309,487,13.4,460,27,17037,971,26.6,520,451,1153,28,0.8,25,3,8333,3,0.1,3,0,0,228,6.3,43,185,232,416,3.1,268,148,1811,96,2.6,95,1,95000,894,24.5,881,13,67769,95,2.6,94,1,94000,426,11.7,288,138,2087
