"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
265,Egumadurai,Gummidipundi,Chengalpattu MGR,705,132,174,4.1,363,342,1061,115,58,57,1018,337,47.8,173,164,1055,35,5.0,18,17,1059,270,45.76,168,102,1647,267,37.9,243,24,10125,193,27.4,0,193,0,245,34.8,120,125,960,245,90.64,227,18,12611,8,4.12,8,0,0,14,5.24,8,6,1333,75,28.09,70,5,14000,161,60.3,148,13,11385,6,0.02,6,0,0,3,1.12,3,0,0,5,1.87,5,0,0,1,0.37,1,0,0,2,0.75,2,0,0,4,1.5,4,0,0,0,0.0,0,0,0,10,3.75,4,6,667,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,0,1,0,Sathiyaved,15,yes,0,0,0,1,129,24.24,159,59.52,108,40.48,60,11.25,76,14.33,0.0,0.0,159.22,0.0,0.0,0.0,0.0,0.0
266,Naidukuppam,Gummidipundi,Chengalpattu MGR,516,114,112,4.6,262,254,1031,64,31,33,939,410,79.5,206,204,1010,4,0.8,2,2,1000,186,41.15,124,62,2000,270,52.3,175,95,1842,2,0.4,0,2,0,244,47.3,87,157,554,243,90.0,161,82,1963,10,3.7,5,5,1000,17,6.3,9,8,1125,47,17.41,46,1,46000,196,72.59,115,81,1420,0,0.0,0,0,0,0,0.0,0,0,0,9,3.33,4,5,800,1,0.37,1,0,0,0,0.0,0,0,0,8,2.96,7,1,7000,0,0.0,0,0,0,9,3.33,2,7,286,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Sathiyaved,17,yes,0,0,0,1,9,1.88,31,8.63,324,91.37,61,13.47,29,6.39,0.0,0.0,30.59,0.0,0.0,0.0,0.0,0.0
267,Arambakkam,Gummidipundi,Chengalpattu MGR,8405,789,1720,4.9,4182,4223,990,1420,742,678,1094,844,10.0,361,483,747,156,1.9,90,66,1364,2601,37.24,1567,1034,1515,3109,37.0,2445,664,3682,573,6.8,3,570,5,4723,56.2,1734,2989,580,2311,74.33,1752,559,3134,185,5.95,172,13,13231,613,19.72,521,92,5663,574,18.46,409,165,2479,1189,38.24,797,392,2033,548,0.18,546,2,273000,0,0.0,0,0,0,75,2.41,68,7,9714,102,3.28,96,6,16000,8,0.26,8,0,0,406,13.06,352,54,6519,47,1.51,45,2,22500,160,5.15,124,36,3444,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,1,1,0,0,gp,15,yes,0,0,0,1,0,0.0,119,19.73,483,80.27,290,27.19,173,16.27,0.0,0.0,118.79,0.0,0.0,0.0,0.0,0.0
268,Poovalai,Gummidipundi,Chengalpattu MGR,1366,193,327,4.2,662,704,940,313,140,173,809,595,43.6,295,300,983,45,3.3,23,22,1045,232,22.03,149,83,1795,692,50.7,375,317,1183,9,0.7,5,4,1250,665,48.7,282,383,736,635,91.76,340,295,1153,36,5.2,18,18,1000,21,3.03,17,4,4250,112,16.18,65,47,1383,503,72.69,265,238,1113,20,0.03,10,10,1000,0,0.0,0,0,0,30,4.34,13,17,765,6,0.87,5,1,5000,0,0.0,0,0,0,7,1.01,6,1,6000,3,0.43,3,0,0,11,1.59,8,3,2667,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Gp,20,yes,0,0,0,1,0,0.0,103,21.56,376,78.44,78,11.08,149,21.15,0.0,0.0,103.24,0.0,0.0,0.0,0.0,0.0
269,Kannambakkam,Gummidipundi,Chengalpattu MGR,974,284,222,4.4,466,508,917,162,70,92,761,594,61.0,278,316,880,56,5.7,29,27,1074,319,39.29,207,112,1848,485,49.8,285,200,1425,142,14.6,14,128,109,347,35.6,167,180,928,433,89.28,247,186,1328,20,4.12,18,2,9000,32,6.6,20,12,1667,174,35.88,123,51,2412,258,53.2,123,135,911,1,0.0,1,0,0,0,0.0,0,0,0,8,1.65,8,0,0,11,2.27,9,2,4500,1,0.21,1,0,0,17,3.51,11,6,1833,0,0.0,0,0,0,15,3.09,9,6,1500,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Sathived,14,yes,0,0,0,1,0,0.0,127,91.08,12,8.92,3,0.95,200,58.27,0.0,0.0,127.3,0.0,0.0,0.0,0.0,0.0
270,Pallavada,Gummidipundi,Chengalpattu MGR,1497,189,368,4.1,717,780,919,192,98,94,1043,661,44.2,323,338,956,54,3.6,24,30,800,514,39.39,316,198,1596,731,48.8,452,279,1620,0,0.0,0,0,0,766,51.2,265,501,529,682,93.3,416,266,1564,14,1.92,13,1,13000,35,4.79,23,12,1917,57,7.8,51,6,8500,625,85.5,365,260,1404,0,0.0,0,0,0,0,0.0,0,0,0,3,0.41,2,1,2000,10,1.37,10,0,0,1,0.14,1,0,0,5,0.68,3,2,1500,4,0.55,4,0,0,26,3.56,16,10,1600,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Sathiyaved,15,yes,0,0,0,1,0,0.0,340,82.94,70,17.06,182,23.02,199,25.17,0.0,0.0,340.19,0.0,0.0,0.0,0.0,0.0
271,Sanaputhur,Gummidipundi,Chengalpattu MGR,2384,278,511,4.7,1194,1190,1003,410,215,195,1103,1348,56.5,666,682,977,152,6.4,76,76,1000,828,41.95,504,324,1556,1017,42.7,683,334,2045,120,5.0,10,110,91,1247,52.3,501,746,672,960,94.4,645,315,2048,10,0.98,10,0,0,47,4.62,28,19,1474,228,22.42,217,11,19727,732,71.98,428,304,1408,0,0.0,0,0,0,0,0.0,0,0,0,2,0.2,2,0,0,7,0.69,7,0,0,1,0.1,1,0,0,8,0.79,8,0,0,1,0.1,1,0,0,38,3.74,19,19,1000,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,gGP,12,yes,0,0,0,1,59,6.87,186,34.73,349,65.27,29,3.34,235,27.38,0.0,0.0,185.9,0.0,0.0,0.0,0.0,0.0
272,Edur,Gummidipundi,Chengalpattu MGR,2593,222,563,4.6,1327,1266,1048,452,239,213,1122,891,34.4,478,413,1157,19,0.7,8,11,727,806,37.65,544,262,2076,1086,41.9,819,267,3067,238,9.2,3,235,13,1269,48.9,505,764,661,1002,92.27,747,255,2929,35,3.22,33,2,16500,49,4.51,39,10,3900,359,33.06,332,27,12296,635,58.47,411,224,1835,8,0.01,4,4,1000,0,0.0,0,0,0,0,0.0,0,0,0,35,3.22,33,2,16500,0,0.0,0,0,0,12,1.1,11,1,11000,7,0.64,7,0,0,30,2.76,21,9,2333,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,0,1,0,GP,15,yes,0,0,0,1,0,0.0,460,81.33,106,18.67,110,9.43,492,42.14,0.0,0.0,459.67,0.0,0.0,0.0,0.0,0.0
273,Medhipalayam,Gummidipundi,Chengalpattu MGR,766,686,200,3.8,386,380,1016,111,57,54,1056,0,0.0,0,0,0,0,0.0,0,0,0,209,31.91,149,60,2483,412,53.8,243,169,1438,2,0.3,0,2,0,352,46.0,143,209,684,404,98.06,238,166,1434,0,0.0,0,0,0,8,1.94,5,3,1667,167,40.53,118,49,2408,164,39.81,47,117,402,73,0.18,73,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.97,3,1,3000,0,0.0,0,0,0,4,0.97,2,2,1000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,0,1,0,GP,10,yes,0,0,0,1,0,0.0,20,21.74,72,78.26,9,8.06,11,9.57,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0
274,Sunnambukkulam,Gummidipundi,Chengalpattu MGR,3281,905,749,4.4,1708,1573,1086,454,244,210,1162,222,6.8,134,88,1523,0,0.0,0,0,0,1319,46.66,866,453,1912,1201,36.6,1010,191,5288,420,12.8,1,419,2,1660,50.6,697,963,724,723,60.2,596,127,4693,67,5.58,59,8,7375,411,34.22,355,56,6339,435,36.22,341,94,3628,51,4.25,32,19,1684,237,0.2,223,14,15929,0,0.0,0,0,0,3,0.25,0,3,0,53,4.41,50,3,16667,11,0.92,9,2,4500,318,26.48,285,33,8636,5,0.42,5,0,0,88,7.33,65,23,2826,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,GP,10,yes,0,0,0,1,1,0.23,17,9.49,160,90.51,36,9.97,149,41.11,0.0,0.0,16.75,0.0,0.0,0.0,0.0,0.0
