"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
9227,Jaganari Slopes RF,Mettuppalaiyam,Coimbatore,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9228,Odanthurai RF,Mettuppalaiyam,Coimbatore,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9229,Sirumugai,Mettuppalaiyam,Coimbatore,18636,1148,4693,4.0,9549,9087,1051,2029,1013,1016,997,2242,12.0,1154,1088,1061,399,2.1,191,208,918,11871,71.48,6956,4915,1415,7505,40.3,5989,1516,3951,520,2.8,24,496,48,10611,56.9,3536,7075,500,3034,40.41,2101,933,2252,3288,43.82,3010,278,10827,1183,15.76,878,305,2879,671,8.94,578,93,6215,2332,31.07,1499,833,1800,30,0.0,24,6,4000,1,0.01,0,1,0,1030,13.72,884,146,6055,1973,26.29,1868,105,17790,285,3.8,258,27,9556,437,5.82,376,61,6164,107,1.43,97,10,9700,639,8.51,405,234,1731,yes,0,7,1,1,2,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,1,1,1,0,0,0,0,0,yes,0,0,yes,0,1,0,1,1,0,Mettupalaya,9,yes,0,0,0,1,0,0.0,600,48.28,643,51.72,121,7.45,261,16.05,599.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9230,Medur Pethikuttai Forest,Mettuppalaiyam,Coimbatore,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9231,Chinnakallipatty,Mettuppalaiyam,Coimbatore,3687,262,901,4.1,1872,1815,1031,424,243,181,1343,735,19.9,370,365,1014,0,0.0,0,0,0,1270,38.92,840,430,1953,1876,50.9,1269,607,2091,163,4.4,0,163,0,1648,44.7,603,1045,577,1721,91.74,1139,582,1957,74,3.94,68,6,11333,81,4.32,62,19,3263,695,37.05,561,134,4187,1025,54.64,577,448,1288,1,0.0,1,0,0,0,0.0,0,0,0,34,1.81,34,0,0,15,0.8,15,0,0,25,1.33,19,6,3167,17,0.91,15,2,7500,9,0.48,9,0,0,55,2.93,38,17,2235,yes,0,4,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Mettupalaya,26,yes,0,0,0,1,0,0.0,89,8.35,977,91.65,231,16.36,112,7.94,89.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9232,Muduthurai,Mettuppalaiyam,Coimbatore,3937,363,999,3.9,1965,1972,996,427,220,207,1063,1559,39.6,795,764,1041,9,0.2,4,5,800,1527,43.5,993,534,1860,2056,52.2,1381,675,2046,41,1.0,0,41,0,1840,46.7,584,1256,465,1718,83.56,1139,579,1967,129,6.27,88,41,2146,209,10.17,154,55,2800,493,23.98,419,74,5662,1218,59.24,715,503,1421,7,0.0,5,2,2500,0,0.0,0,0,0,7,0.34,6,1,6000,82,3.99,52,30,1733,40,1.95,30,10,3000,63,3.06,47,16,2938,63,3.06,46,17,2706,83,4.04,61,22,2773,yes,0,3,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Mattupalaya,24,yes,0,0,0,1,0,0.0,73,9.27,710,90.73,185,17.04,117,10.79,72.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9233,Irumbarai,Mettuppalaiyam,Coimbatore,6784,230,1688,4.0,3489,3295,1059,689,345,344,1003,1887,27.8,986,901,1094,8,0.1,4,4,1000,2638,43.28,1685,953,1768,2957,43.6,2199,758,2901,64,0.9,27,37,730,3763,55.5,1263,2500,505,2380,80.35,1800,580,3103,219,7.54,142,77,1844,358,12.11,257,101,2545,843,28.51,670,173,3873,1522,51.47,1117,405,2758,11,0.0,10,1,10000,4,0.14,3,1,3000,29,0.98,26,3,8667,164,5.55,92,72,1278,26,0.88,24,2,12000,118,3.99,95,23,4130,124,4.19,90,34,2647,116,3.92,72,44,1636,yes,0,4,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,1,yes,0,0,yes,0,1,0,1,0,0,Mattupalaya,16,yes,0,0,0,1,0,0.0,77,6.72,1063,93.28,1114,37.82,692,23.49,76.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9234,Illuppanatham,Mettuppalaiyam,Coimbatore,8469,430,2181,3.9,4330,4139,1046,967,485,482,1006,1790,21.1,910,880,1034,32,0.4,17,15,1133,4221,56.26,2673,1548,1727,3487,41.2,2823,664,4252,289,3.4,12,277,43,4693,55.4,1495,3198,467,2095,60.02,1632,463,3525,1012,29.08,897,115,7800,380,10.9,294,86,3419,644,18.47,606,38,15947,1436,41.18,1012,424,2387,13,0.0,12,1,12000,2,0.06,2,0,0,318,9.12,274,44,6227,554,15.89,494,60,8233,140,4.01,129,11,11727,122,3.5,97,25,3880,39,1.12,37,2,18500,219,6.28,160,59,2712,yes,0,8,2,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Mattupalaya,16,yes,0,0,0,1,0,0.0,276,21.92,983,78.08,248,12.6,461,23.41,276.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9235,Bellepalayam,Mettuppalaiyam,Coimbatore,7131,479,1796,4.0,3606,3525,1023,766,398,368,1082,1455,20.4,726,729,996,0,0.0,0,0,0,3516,55.24,2182,1334,1636,2948,41.3,2354,594,3963,46,0.6,1,45,22,4137,58.0,1251,2886,433,1579,53.56,1223,356,3435,827,28.05,667,160,4169,542,18.39,464,78,5949,562,19.06,502,60,8367,1004,34.06,711,293,2427,13,0.0,10,3,3333,0,0.0,0,0,0,450,15.26,335,115,2913,263,8.92,234,29,8069,114,3.87,98,16,6125,209,7.09,182,27,6741,49,1.66,49,0,0,284,9.63,233,51,4569,no,1,8,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Mattupalaya,6,yes,0,0,0,1,0,0.0,212,28.54,531,71.46,199,13.36,547,36.73,212.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9236,Jadayampalayam,Mettuppalaiyam,Coimbatore,6789,379,1728,3.9,3469,3320,1045,656,340,316,1076,1007,14.8,517,490,1055,51,0.8,22,29,759,3525,57.48,2167,1358,1596,2926,43.1,2259,667,3387,56,0.8,0,56,0,3807,56.1,1210,2597,466,1567,53.55,1121,446,2513,1018,34.79,859,159,5403,341,11.65,279,62,4500,537,18.35,448,89,5034,1019,34.83,663,356,1862,11,0.0,10,1,10000,0,0.0,0,0,0,510,17.43,402,108,3722,470,16.06,419,51,8216,38,1.3,38,0,0,101,3.45,93,8,11625,70,2.39,70,0,0,170,5.81,116,54,2148,yes,0,5,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Mattupalaya,8,yes,0,0,0,1,0,0.0,476,44.27,600,55.73,19,1.04,698,38.94,476.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
