"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
9691,M.Athappampatti,Palani,Dindigul Anna,1804,152,435,4.1,907,897,1011,129,58,71,817,298,16.5,147,151,974,0,0.0,0,0,0,623,37.19,410,213,1925,1274,70.6,666,608,1095,21,1.2,0,21,0,509,28.2,241,268,899,1223,96.0,625,598,1045,7,0.55,6,1,6000,44,3.45,35,9,3889,518,40.66,326,192,1698,704,55.26,298,406,734,1,0.0,1,0,0,0,0.0,0,0,0,2,0.16,1,1,1000,5,0.39,5,0,0,0,0.0,0,0,0,20,1.57,14,6,2333,2,0.16,2,0,0,22,1.73,19,3,6333,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Dindigu,40,yes,0,0,0,1,0,0.0,117,11.47,903,88.53,28,2.37,135,11.41,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0
9692,Markampatti,Palani,Dindigul Anna,1987,482,515,3.9,962,1025,939,209,104,105,990,275,13.8,123,152,809,0,0.0,0,0,0,1206,67.83,704,502,1402,737,37.1,606,131,4626,205,10.3,1,204,5,1045,52.6,355,690,514,352,47.76,279,73,3822,111,15.06,88,23,3826,274,37.18,239,35,6829,139,18.86,123,16,7688,213,28.9,156,57,2737,0,0.0,0,0,0,0,0.0,0,0,0,6,0.81,6,0,0,102,13.84,79,23,3435,3,0.41,3,0,0,175,23.74,173,2,86500,11,1.49,11,0,0,88,11.94,55,33,1667,yes,0,1,2,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,yes,0,1,1,0,0,yes,0,0,1,1,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,1,0,Palan,16,yes,1,1,1,0,0,0.0,190,48.96,198,51.04,0,0.03,24,5.74,190.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9693,Ellapatti,Palani,Dindigul Anna,1519,104,425,3.6,771,748,1031,130,62,68,912,321,21.1,164,157,1045,0,0.0,0,0,0,704,50.68,447,257,1739,1001,65.9,545,456,1195,0,0.0,0,0,0,518,34.1,226,292,774,980,97.9,527,453,1163,3,0.3,3,0,0,18,1.8,15,3,5000,838,83.72,442,396,1116,142,14.19,85,57,1491,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.2,2,0,0,1,0.1,1,0,0,2,0.2,2,0,0,1,0.1,1,0,0,15,1.5,12,3,4000,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Dindugu,6,yes,1,1,0,0,0,0.0,839,89.35,100,10.65,27,1.85,489,33.6,838.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9694,Chinnkampatti,Palani,Dindigul Anna,1645,104,499,3.3,780,865,902,135,69,66,1045,218,13.3,105,113,929,0,0.0,0,0,0,824,54.57,486,338,1438,1020,62.0,552,468,1179,1,0.1,0,1,0,624,37.9,228,396,576,850,83.33,422,428,986,52,5.1,47,5,9400,118,11.57,83,35,2371,538,52.75,293,245,1196,309,30.29,127,182,698,3,0.0,2,1,2000,0,0.0,0,0,0,5,0.49,3,2,1500,22,2.16,19,3,6333,25,2.45,25,0,0,29,2.84,23,6,3833,10,0.98,10,0,0,79,7.75,50,29,1724,yes,0,5,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,0,1,1,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Palan,13,yes,1,1,0,0,0,0.0,384,26.96,1041,73.04,0,0.0,155,9.78,384.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9695,I.Vadipatti,Palani,Dindigul Anna,1804,117,486,3.7,859,945,909,178,78,100,780,503,27.9,234,269,870,0,0.0,0,0,0,761,46.8,502,259,1938,1201,66.6,603,598,1008,46,2.5,19,27,704,557,30.9,237,320,741,1099,91.51,517,582,888,31,2.58,28,3,9333,71,5.91,58,13,4462,644,53.62,327,317,1032,451,37.55,186,265,702,4,0.0,4,0,0,0,0.0,0,0,0,15,1.25,14,1,14000,4,0.33,4,0,0,12,1.0,10,2,5000,18,1.5,14,4,3500,2,0.17,2,0,0,51,4.25,42,9,4667,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Dharapura,32,yes,0,0,0,1,0,0.0,498,55.58,398,44.42,300,19.43,348,22.54,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9696,Kondangi Keeranur,Palani,Dindigul Anna,2805,151,817,3.4,1431,1374,1041,212,116,96,1208,425,15.2,205,220,932,0,0.0,0,0,0,1333,51.41,912,421,2166,1305,46.5,993,312,3183,274,9.8,3,271,11,1226,43.7,435,791,550,1191,91.26,896,295,3037,36,2.76,31,5,6200,78,5.98,66,12,5500,602,46.13,546,56,9750,588,45.06,349,239,1460,1,0.0,1,0,0,0,0.0,0,0,0,26,1.99,23,3,7667,7,0.54,5,2,2500,3,0.23,3,0,0,19,1.46,19,0,0,11,0.84,11,0,0,48,3.68,36,12,3000,yes,0,5,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Dharapura,20,yes,0,0,0,1,0,0.0,526,46.55,604,53.45,330,17.74,400,21.51,526.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9697,Mandavadi,Palani,Dindigul Anna,2517,296,731,3.4,1267,1250,1014,234,118,116,1017,411,16.3,206,205,1005,0,0.0,0,0,0,1376,60.27,896,480,1867,1582,62.9,825,757,1090,51,2.0,10,41,244,884,35.1,432,452,956,1328,83.94,619,709,873,77,4.87,65,12,5417,177,11.19,141,36,3917,685,43.3,416,269,1546,638,40.33,201,437,460,5,0.0,2,3,667,0,0.0,0,0,0,31,1.96,23,8,2875,39,2.47,35,4,8750,7,0.44,7,0,0,59,3.73,48,11,4364,13,0.82,13,0,0,105,6.64,80,25,3200,yes,0,2,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,pPalan,40,yes,0,0,0,1,0,0.0,250,49.21,258,50.79,258,30.32,85,9.99,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9698,Navakani,Palani,Dindigul Anna,634,76,153,4.1,324,310,1045,69,31,38,816,98,15.5,46,52,885,15,2.4,9,6,1500,243,43.01,182,61,2984,433,68.3,223,210,1062,0,0.0,0,0,0,201,31.7,101,100,1010,406,93.76,196,210,933,2,0.46,2,0,0,25,5.77,25,0,0,243,56.12,126,117,1077,160,36.95,67,93,720,3,0.01,3,0,0,0,0.0,0,0,0,1,0.23,1,0,0,1,0.23,1,0,0,0,0.0,0,0,0,8,1.85,8,0,0,3,0.69,3,0,0,14,3.23,14,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Palan,43,yes,0,0,0,1,0,0.0,218,47.49,241,52.51,247,29.76,124,14.94,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9699,Odaipatty,Palani,Dindigul Anna,4490,189,1291,3.5,2280,2210,1032,395,229,166,1380,633,14.1,320,313,1022,0,0.0,0,0,0,2060,50.31,1418,642,2209,3048,67.9,1578,1470,1073,71,1.6,1,70,14,1371,30.5,701,670,1046,2775,91.04,1368,1407,972,73,2.4,58,15,3867,200,6.56,152,48,3167,1741,57.12,1013,728,1391,1032,33.86,354,678,522,2,0.0,1,1,1000,0,0.0,0,0,0,18,0.59,4,14,286,35,1.15,35,0,0,20,0.66,19,1,19000,56,1.84,51,5,10200,20,0.66,18,2,9000,124,4.07,83,41,2024,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Palan,45,yes,1,0,0,0,0,0.0,180,13.25,1179,86.75,698,29.35,320,13.46,155.95,0.0,24.13,0.0,0.0,0.0,0.0,0.0
9700,Kuthiluppai,Palani,Dindigul Anna,1589,138,415,3.8,786,803,979,139,74,65,1138,396,24.9,198,198,1000,0,0.0,0,0,0,707,48.76,478,229,2087,1143,71.9,575,568,1012,0,0.0,0,0,0,446,28.1,211,235,898,1041,91.08,493,548,900,19,1.66,17,2,8500,83,7.26,65,18,3611,508,44.44,256,252,1016,533,46.63,237,296,801,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,12,1.05,12,0,0,7,0.61,5,2,2500,24,2.1,23,1,23000,4,0.35,4,0,0,55,4.81,38,17,2235,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Palan,45,yes,1,1,0,0,0,0.0,78,34.58,148,65.42,821,71.1,107,9.26,78.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
