"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
11159,Villathisamudram,Sirkazhi,Thanjavur,3413,924,701,4.9,1715,1698,1010,479,241,238,1013,1001,29.3,508,493,1030,0,0.0,0,0,0,2058,70.14,1222,836,1462,1409,41.3,993,416,2387,156,4.6,12,144,83,1848,54.1,710,1138,624,799,56.71,519,280,1854,248,17.6,128,120,1067,362,25.69,346,16,21625,108,7.67,95,13,7308,689,48.9,422,267,1581,2,0.0,2,0,0,0,0.0,0,0,0,161,11.43,41,120,342,69,4.9,69,0,0,18,1.28,18,0,0,228,16.18,222,6,37000,33,2.34,33,0,0,101,7.17,91,10,9100,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Sirkazh,5,yes,1,1,0,0,0,0.0,224,75.58,72,24.42,0,0.0,73,19.85,0.0,0.0,0.0,0.0,0.0,223.73,0.0,0.0
11160,Athiyur,Sirkazhi,Thanjavur,1413,412,372,3.8,739,674,1096,192,95,97,979,453,32.1,244,209,1167,0,0.0,0,0,0,754,61.75,460,294,1565,581,41.1,465,116,4009,0,0.0,0,0,0,832,58.9,274,558,491,546,93.98,435,111,3919,4,0.69,4,0,0,31,5.34,26,5,5200,260,44.75,229,31,7387,286,49.23,206,80,2575,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.34,2,0,0,2,0.34,2,0,0,6,1.03,6,0,0,2,0.34,2,0,0,23,3.96,18,5,3600,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Sirkazh,9,yes,1,1,0,0,0,0.0,260,84.09,49,15.91,0,0.0,34,9.95,0.0,0.0,0.0,0.0,0.0,259.76,0.0,0.0
11161,Valluvakudi,Sirkazhi,Thanjavur,1632,464,376,4.3,846,786,1076,190,96,94,1021,502,30.8,266,236,1127,0,0.0,0,0,0,819,56.8,512,307,1668,760,46.6,509,251,2028,0,0.0,0,0,0,872,53.4,337,535,630,631,82.76,418,213,1962,31,4.34,13,18,722,98,12.89,78,20,3900,285,37.5,201,84,2393,344,45.26,215,129,1667,0,0.0,0,0,0,2,0.26,2,0,0,15,1.97,2,13,154,12,1.58,7,5,1400,4,0.53,4,0,0,44,5.79,32,12,2667,17,2.24,17,0,0,37,4.87,29,8,3625,yes,0,2,0,0,0,0,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Srikazh,10,yes,1,0,0,0,0,0.0,306,99.28,2,0.72,0,0.0,44,12.41,0.0,0.0,0.0,0.0,0.0,305.78,0.0,0.0
11162,Aganii,Sirkazhi,Thanjavur,3415,669,752,4.5,1721,1694,1016,493,240,253,949,1313,38.4,655,658,995,4,0.1,2,2,1000,1812,62.01,1055,757,1394,1348,39.5,983,365,2693,49,1.4,7,42,167,2018,59.1,731,1287,568,990,73.37,648,342,1895,109,8.16,109,0,0,249,18.47,226,23,9826,92,6.82,89,3,29667,895,66.39,556,339,1640,2,0.0,2,0,0,1,0.07,1,0,0,18,1.34,18,0,0,65,4.82,65,0,0,26,1.93,26,0,0,109,8.09,104,5,20800,25,1.85,24,1,24000,115,8.53,98,17,5765,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Sirgazh,3,yes,1,1,0,1,0,0.0,422,98.1,8,1.9,0,0.0,81,15.86,0.0,0.0,0.0,0.0,0.0,421.63,0.0,0.0
11163,Semmangudi,Sirkazhi,Thanjavur,1300,560,277,4.7,632,668,946,178,93,85,1094,715,55.0,351,364,964,0,0.0,0,0,0,748,66.67,437,311,1405,669,51.5,379,290,1307,1,0.1,0,1,0,630,48.5,253,377,671,556,83.11,287,269,1067,30,4.48,19,11,1727,83,12.41,73,10,7300,125,18.68,104,21,4952,431,64.42,183,248,738,0,0.0,0,0,0,0,0.0,0,0,0,5,0.75,2,3,667,21,3.14,13,8,1625,4,0.6,4,0,0,19,2.84,18,1,18000,19,2.84,19,0,0,45,6.73,36,9,4000,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Srikazh,4,yes,1,0,0,0,0,0.0,187,93.34,13,6.66,0,0.0,32,13.88,0.0,0.0,0.0,0.0,0.0,186.68,0.0,0.0
11164,Thillaividagan,Sirkazhi,Thanjavur,1004,554,248,4.0,494,510,969,158,81,77,1052,650,64.7,314,336,935,13,1.3,7,6,1167,644,76.12,355,289,1228,271,27.0,259,12,21583,200,19.9,3,197,15,533,53.1,232,301,771,195,71.96,194,1,194000,28,10.33,27,1,27000,48,17.71,38,10,3800,5,1.85,5,0,0,190,70.11,189,1,189000,0,0.0,0,0,0,0,0.0,0,0,0,3,1.11,3,0,0,14,5.17,14,0,0,11,4.06,10,1,10000,19,7.01,19,0,0,1,0.37,1,0,0,28,10.33,18,10,1800,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,no,1,0,0,1,0,0,Srikazh,5,yes,1,0,0,0,0,0.0,103,67.46,50,32.54,0,0.0,28,15.65,0.0,0.0,0.0,0.0,0.0,103.18,0.0,0.0
11165,Nemeli,Sirkazhi,Thanjavur,1620,423,379,4.3,817,803,1017,197,108,89,1213,971,59.9,499,472,1057,0,0.0,0,0,0,790,55.52,506,284,1782,722,44.6,495,227,2181,0,0.0,0,0,0,898,55.4,322,576,559,655,90.72,437,218,2005,17,2.35,16,1,16000,50,6.93,42,8,5250,278,38.5,235,43,5465,377,52.22,202,175,1154,0,0.0,0,0,0,0,0.0,0,0,0,1,0.14,1,0,0,9,1.25,8,1,8000,7,0.97,7,0,0,10,1.39,10,0,0,7,0.97,7,0,0,33,4.57,25,8,3125,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Sirgazh,5,yes,1,1,0,0,0,0.0,279,92.19,24,7.81,0,0.0,80,20.9,0.0,0.0,0.0,0.0,0.0,279.13,0.0,0.0
11166,Kondal,Sirkazhi,Thanjavur,2957,657,671,4.4,1470,1487,989,409,193,216,894,1235,41.8,615,620,992,110,3.7,60,50,1200,1632,64.05,972,660,1473,1338,45.2,890,448,1987,27,0.9,1,26,38,1592,53.8,579,1013,572,1196,89.09,765,431,1775,39,3.21,39,0,0,103,7.7,86,17,5059,216,16.14,213,3,71000,976,72.94,548,428,1280,0,0.0,0,0,0,4,0.3,4,0,0,3,0.22,3,0,0,27,2.02,27,0,0,9,0.67,9,0,0,45,3.36,43,2,21500,17,1.27,17,0,0,41,3.06,26,15,1733,yes,0,1,1,1,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Srikazh,8,yes,1,1,0,0,0,0.0,318,96.57,11,3.43,4,0.99,116,25.8,0.0,0.0,0.0,0.0,0.0,318.42,0.0,0.0
11167,Marudangudi,Sirkazhi,Thanjavur,2172,447,518,4.2,1089,1083,1006,317,146,171,854,828,38.1,406,422,962,0,0.0,0,0,0,1264,68.14,807,457,1766,971,44.7,639,332,1925,4,0.2,2,2,1000,1197,55.1,448,749,598,909,93.61,585,324,1806,20,2.06,20,0,0,42,4.33,34,8,4250,143,14.73,119,24,4958,766,78.89,466,300,1553,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,18,1.85,18,0,0,2,0.21,2,0,0,14,1.44,13,1,13000,5,0.51,5,0,0,23,2.37,16,7,2286,yes,0,3,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,no,2,0,0,0,1,0,Srikazh,10,yes,1,1,0,0,0,0.0,311,86.53,48,13.47,10,2.0,118,24.19,0.0,0.0,0.0,0.0,0.0,310.66,0.0,0.0
11168,Perumangalam,Sirkazhi,Thanjavur,1480,416,342,4.3,731,749,976,211,85,126,675,798,53.9,391,407,961,0,0.0,0,0,0,849,66.9,536,313,1712,820,55.4,455,365,1247,0,0.0,0,0,0,660,44.6,276,384,719,748,91.1,395,353,1119,33,4.15,31,2,15500,39,4.76,29,10,2900,85,10.37,69,16,4313,662,80.73,325,337,964,0,0.0,0,0,0,1,0.12,1,0,0,6,0.73,4,2,2000,26,3.17,26,0,0,1,0.12,1,0,0,12,1.46,9,3,3000,1,0.12,1,0,0,26,3.17,19,7,2714,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,no,1,0,0,0,1,0,Srikazh,7,yes,0,0,0,1,0,0.0,200,80.0,50,20.0,0,0.0,106,29.74,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0
