"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1928,Mudaliarkuppam,Cheyyur,Chengalpattu MGR,3598,355,803,4.5,1759,1839,956,615,280,335,836,2146,59.6,1077,1069,1007,14,0.4,7,7,1000,1352,45.32,858,494,1737,1277,35.5,910,367,2480,47,1.3,3,44,68,2274,63.2,846,1428,592,984,77.06,779,205,3800,43,3.37,42,1,42000,250,19.58,89,161,553,329,25.76,278,51,5451,454,35.55,303,151,2007,201,0.16,198,3,66000,0,0.0,0,0,0,1,0.08,1,0,0,32,2.51,31,1,31000,10,0.78,10,0,0,205,16.05,56,149,376,2,0.16,2,0,0,43,3.37,31,12,2583,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Madurantaka,22,yes,0,0,0,1,0,0.0,87,13.33,566,86.67,20,1.98,340,33.54,0.0,0.0,87.08,0.0,0.0,0.0,0.0,0.0
1929,Panaiyur,Cheyyur,Chengalpattu MGR,5710,453,1103,5.2,2790,2920,955,1052,524,528,992,1915,33.5,918,997,921,8,0.1,4,4,1000,2369,50.86,1459,910,1603,1733,30.4,1285,448,2868,251,4.4,39,212,184,3726,65.3,1466,2260,649,1136,65.55,916,220,4164,179,10.33,87,92,946,418,24.12,282,136,2074,247,14.25,223,24,9292,677,39.07,482,195,2472,212,0.12,211,1,211000,0,0.0,0,0,0,142,8.19,59,83,711,30,1.73,21,9,2333,7,0.4,7,0,0,308,17.77,192,116,1655,22,1.27,21,1,21000,88,5.08,69,19,3632,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Madurantaka,22,yes,0,0,0,1,0,0.0,132,13.41,853,86.59,60,4.74,217,17.18,0.0,0.0,132.06,0.0,0.0,0.0,0.0,0.0
1930,Chitharkadu,Cheyyur,Chengalpattu MGR,1779,185,374,4.8,875,904,968,311,142,169,840,1253,70.4,626,627,998,8,0.4,3,5,600,732,49.86,452,280,1614,871,49.0,508,363,1399,83,4.7,0,83,0,825,46.4,367,458,801,801,91.96,471,330,1427,28,3.21,17,11,1545,42,4.82,20,22,909,86,9.87,85,1,85000,715,82.09,386,329,1173,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,24,2.76,14,10,1400,4,0.46,3,1,3000,8,0.92,6,2,3000,2,0.23,2,0,0,32,3.67,12,20,600,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,0,1,0,Madurantaka,20,yes,0,0,0,1,58,6.07,208,46.01,244,53.99,221,23.02,229,23.81,0.0,0.0,208.31,0.0,0.0,0.0,0.0,0.0
1931,Pondur,Cheyyur,Chengalpattu MGR,1217,265,245,5.0,628,589,1066,156,79,77,1026,871,71.6,454,417,1089,18,1.5,10,8,1250,485,45.71,309,176,1756,658,54.1,376,282,1333,23,1.9,0,23,0,536,44.0,252,284,887,632,96.05,359,273,1315,1,0.15,1,0,0,25,3.8,16,9,1778,91,13.83,81,10,8100,541,82.22,278,263,1057,0,0.0,0,0,0,0,0.0,0,0,0,1,0.15,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.3,2,0,0,1,0.15,1,0,0,22,3.34,13,9,1444,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,1,1,1,0,0,0,0,0,1,0,no,3,0,yes,0,1,0,0,1,0,Madurantaga,21,yes,0,0,0,1,0,0.0,121,37.95,198,62.05,110,23.91,31,6.75,0.0,0.0,120.94,0.0,0.0,0.0,0.0,0.0
1932,Kokkaranthangal,Cheyyur,Chengalpattu MGR,953,106,232,4.1,471,482,977,138,71,67,1060,233,24.4,121,112,1080,11,1.2,7,4,1750,448,54.97,274,174,1575,579,60.8,295,284,1039,0,0.0,0,0,0,374,39.2,176,198,889,524,90.5,258,266,970,31,5.35,21,10,2100,24,4.15,16,8,2000,303,52.33,185,118,1568,219,37.82,71,148,480,2,0.0,2,0,0,0,0.0,0,0,0,20,3.45,12,8,1500,10,1.73,8,2,4000,1,0.17,1,0,0,8,1.38,7,1,7000,2,0.35,2,0,0,14,2.42,7,7,1000,yes,0,3,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,0,0,Cheya,14,yes,0,0,0,1,0,0.0,203,38.44,324,61.56,164,18.31,206,22.95,0.0,0.0,202.58,0.0,0.0,0.0,0.0,0.0
1933,Vilangadu,Cheyyur,Chengalpattu MGR,672,126,154,4.4,339,333,1018,86,44,42,1048,351,52.2,183,168,1089,0,0.0,0,0,0,159,27.13,109,50,2180,342,50.9,220,122,1803,88,13.1,0,88,0,242,36.0,119,123,967,337,98.54,217,120,1808,0,0.0,0,0,0,5,1.46,3,2,1500,87,25.44,85,2,42500,250,73.1,132,118,1119,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.29,1,0,0,4,1.17,2,2,1000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Cheya,15,yes,0,0,0,1,0,0.0,105,39.82,158,60.18,122,22.84,148,27.77,0.0,0.0,104.64,0.0,0.0,0.0,0.0,0.0
1934,Porur,Cheyyur,Chengalpattu MGR,1139,247,249,4.6,559,580,964,176,85,91,934,616,54.1,303,313,968,16,1.4,8,8,1000,482,50.05,293,189,1550,601,52.8,324,277,1170,0,0.0,0,0,0,538,47.2,235,303,776,558,92.85,290,268,1082,4,0.67,2,2,1000,39,6.49,32,7,4571,63,10.48,58,5,11600,495,82.36,232,263,882,0,0.0,0,0,0,0,0.0,0,0,0,3,0.5,1,2,500,1,0.17,1,0,0,0,0.0,0,0,0,12,2.0,12,0,0,4,0.67,4,0,0,23,3.83,16,7,2286,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Madurantaka,17,yes,0,0,0,1,0,0.0,66,24.39,204,75.61,34,7.29,158,34.19,0.0,0.0,65.81,0.0,0.0,0.0,0.0,0.0
1935,Poongunam,Cheyyur,Chengalpattu MGR,2168,179,473,4.6,1073,1095,980,328,167,161,1037,1305,60.2,647,658,983,7,0.3,4,3,1333,1197,65.05,704,493,1428,1050,48.4,567,483,1174,44,2.0,0,44,0,1074,49.5,506,568,891,976,92.95,508,468,1085,13,1.24,12,1,12000,61,5.81,47,14,3357,240,22.86,190,50,3800,735,70.0,317,418,758,1,0.0,1,0,0,0,0.0,0,0,0,13,1.24,12,1,12000,0,0.0,0,0,0,0,0.0,0,0,0,8,0.76,7,1,7000,5,0.48,5,0,0,48,4.57,35,13,2692,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Madurantaka,15,yes,0,0,0,1,97,8.01,89,45.44,107,54.56,211,17.43,706,58.33,0.0,0.0,89.33,0.0,0.0,0.0,0.0,0.0
1936,Pooriambakkam,Cheyyur,Chengalpattu MGR,831,393,173,4.8,429,402,1067,131,66,65,1015,580,69.8,304,276,1101,31,3.7,14,17,824,402,57.43,254,148,1716,229,27.6,213,16,13313,1,0.1,0,1,0,601,72.3,216,385,561,192,83.84,183,9,20333,6,2.62,6,0,0,31,13.54,24,7,3429,93,40.61,90,3,30000,98,42.79,92,6,15333,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.44,1,0,0,5,2.18,5,0,0,5,2.18,5,0,0,2,0.87,2,0,0,24,10.48,17,7,2429,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Madurantaka,14,yes,0,0,0,1,15,7.14,35,22.77,118,77.23,43,20.34,0,0.0,0.0,0.0,34.91,0.0,0.0,0.0,0.0,0.0
1937,Kannimangalam,Cheyyur,Chengalpattu MGR,512,424,97,5.3,264,248,1065,82,44,38,1158,315,61.5,164,151,1086,55,10.7,28,27,1037,324,75.35,174,150,1160,294,57.4,151,143,1056,0,0.0,0,0,0,218,42.6,113,105,1076,285,96.94,144,141,1021,6,2.04,6,0,0,3,1.02,1,2,500,47,15.99,28,19,1474,238,80.95,116,122,951,0,0.0,0,0,0,0,0.0,0,0,0,6,2.04,6,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.68,1,1,1000,0,0.0,0,0,0,1,0.34,0,1,0,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Madurantaka,9,yes,0,0,0,1,0,0.0,21,23.73,69,76.27,31,25.49,0,0.0,0.0,0.0,21.33,0.0,0.0,0.0,0.0,0.0
