"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1733,Pilappur,Madurantakam,Chengalpattu MGR,1303,258,262,5.0,654,649,1008,195,96,99,970,87,6.7,45,42,1071,22,1.7,11,11,1000,563,50.81,360,203,1773,431,33.1,354,77,4597,0,0.0,0,0,0,872,66.9,300,572,524,378,87.7,310,68,4559,19,4.41,17,2,8500,34,7.89,27,7,3857,101,23.43,95,6,15833,271,62.88,210,61,3443,6,0.01,5,1,5000,0,0.0,0,0,0,1,0.23,1,0,0,16,3.71,14,2,7000,2,0.46,2,0,0,10,2.32,6,4,1500,3,0.7,3,0,0,21,4.87,18,3,6000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Chengalpatt,14,yes,1,1,0,0,50,9.93,360,82.7,75,17.3,19,3.84,0,0.0,183.87,0.0,176.53,0.0,0.0,0.0,0.0,0.0
1734,Sithandi,Madurantakam,Chengalpattu MGR,758,452,165,4.6,382,376,1016,146,68,78,872,540,71.2,277,263,1053,0,0.0,0,0,0,312,50.98,206,106,1943,338,44.6,224,114,1965,0,0.0,0,0,0,420,55.4,158,262,603,305,90.24,195,110,1773,10,2.96,9,1,9000,23,6.8,20,3,6667,46,13.61,46,0,0,259,76.63,149,110,1355,0,0.0,0,0,0,0,0.0,0,0,0,3,0.89,2,1,2000,5,1.48,5,0,0,2,0.59,2,0,0,8,2.37,6,2,3000,1,0.3,1,0,0,14,4.14,13,1,13000,yes,0,1,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Chengalpatt,12,yes,0,0,0,1,0,0.0,108,87.22,16,12.78,44,26.21,0,0.0,32.23,0.0,75.68,0.0,0.0,0.0,0.0,0.0
1735,Athiyur,Madurantakam,Chengalpattu MGR,536,309,117,4.6,272,264,1030,85,42,43,977,169,31.5,81,88,920,8,1.5,4,4,1000,246,54.55,169,77,2195,290,54.1,162,128,1266,0,0.0,0,0,0,246,45.9,110,136,809,226,77.93,118,108,1093,35,12.07,23,12,1917,29,10.0,21,8,2625,30,10.34,30,0,0,196,67.59,88,108,815,0,0.0,0,0,0,0,0.0,0,0,0,32,11.03,20,12,1667,3,1.03,3,0,0,0,0.0,0,0,0,14,4.83,11,3,3667,2,0.69,2,0,0,13,4.48,8,5,1600,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Chengalpatt,12,yes,0,0,0,1,0,0.0,57,78.28,16,21.72,0,0.01,100,57.96,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736,Sampathinallur,Madurantakam,Chengalpattu MGR,288,464,64,4.5,140,148,946,42,19,23,826,288,100.0,140,148,946,0,0.0,0,0,0,159,64.63,98,61,1607,177,61.5,85,92,924,0,0.0,0,0,0,111,38.5,55,56,982,160,90.4,72,88,818,7,3.95,5,2,2500,10,5.65,8,2,4000,10,5.65,10,0,0,150,84.75,62,88,705,0,0.0,0,0,0,0,0.0,0,0,0,1,0.56,0,1,0,6,3.39,5,1,5000,0,0.0,0,0,0,3,1.69,3,0,0,5,2.82,5,0,0,2,1.13,0,2,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Chengalpatt,12,yes,0,0,0,1,0,0.0,55,89.36,7,10.64,0,0.0,0,0.0,0.0,0.0,55.43,0.0,0.0,0.0,0.0,0.0
1737,Maiyur,Madurantakam,Chengalpattu MGR,2523,307,537,4.7,1276,1247,1023,330,156,174,897,1076,42.6,544,532,1023,62,2.5,32,30,1067,1157,52.76,748,409,1829,1234,48.9,762,472,1614,12,0.5,0,12,0,1277,50.6,514,763,674,1004,81.36,567,437,1297,114,9.24,93,21,4429,116,9.4,102,14,7286,452,36.63,293,159,1843,550,44.57,272,278,978,2,0.0,2,0,0,0,0.0,0,0,0,18,1.46,11,7,1571,90,7.29,76,14,5429,6,0.49,6,0,0,35,2.84,32,3,10667,26,2.11,26,0,0,55,4.46,44,11,4000,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Chengalpatt,7,yes,0,0,0,1,0,0.0,499,91.7,45,8.3,277,33.72,0,0.0,150.4,0.0,348.5,0.0,0.0,0.0,0.0,0.0
1738,Mamandur,Madurantakam,Chengalpattu MGR,4543,578,956,4.8,2294,2249,1020,728,385,343,1122,2487,54.7,1273,1214,1049,187,4.1,101,86,1174,2271,59.53,1352,919,1471,1723,37.9,1186,537,2209,10,0.2,1,9,111,2810,61.9,1107,1703,650,1253,72.72,790,463,1706,187,10.85,145,42,3452,283,16.42,251,32,7844,364,21.13,264,100,2640,886,51.42,523,363,1441,3,0.0,3,0,0,0,0.0,0,0,0,56,3.25,43,13,3308,126,7.31,98,28,3500,5,0.29,4,1,4000,108,6.27,103,5,20600,45,2.61,43,2,21500,130,7.54,105,25,4200,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,8Chengalpatt,8,yes,0,0,0,1,0,0.0,465,87.69,65,12.31,189,24.0,67,8.55,188.55,0.0,276.04,0.0,0.0,0.0,0.0,0.0
1739,Pzhamathur,Madurantakam,Chengalpattu MGR,2020,445,409,4.9,1038,982,1057,355,185,170,1088,1327,65.7,682,645,1057,10,0.5,5,5,1000,797,47.87,509,288,1767,1057,52.3,569,488,1166,1,0.0,1,0,0,962,47.6,468,494,947,900,85.15,446,454,982,41,3.88,38,3,12667,116,10.97,85,31,2742,104,9.84,71,33,2152,788,74.55,369,419,881,8,0.01,6,2,3000,0,0.0,0,0,0,1,0.09,1,0,0,35,3.31,32,3,10667,5,0.47,5,0,0,43,4.07,30,13,2308,19,1.8,18,1,18000,54,5.11,37,17,2176,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Chengalpatt,9,yes,0,0,0,1,0,0.0,260,76.82,78,23.18,116,25.58,0,0.0,52.0,0.0,207.76,0.0,0.0,0.0,0.0,0.0
1740,Bukkathurai,Madurantakam,Chengalpattu MGR,1667,359,363,4.6,851,816,1043,262,126,136,926,885,53.1,458,427,1073,21,1.3,11,10,1100,757,53.88,477,280,1704,704,42.2,474,230,2061,30,1.8,0,30,0,933,56.0,377,556,678,573,81.39,369,204,1809,50,7.1,40,10,4000,81,11.51,65,16,4063,369,52.41,201,168,1196,202,28.69,168,34,4941,2,0.0,0,2,0,0,0.0,0,0,0,2,0.28,0,2,0,44,6.25,36,8,4500,4,0.57,4,0,0,17,2.41,13,4,3250,10,1.42,10,0,0,54,7.67,42,12,3500,yes,0,1,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,1,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Madurantaga,10,yes,0,0,0,1,0,0.0,298,89.17,36,10.83,131,28.11,0,0.0,78.36,0.0,219.5,0.0,0.0,0.0,0.0,0.0
1741,Kodithandalam,Madurantakam,Chengalpattu MGR,385,151,84,4.6,186,199,935,75,36,39,923,244,63.4,125,119,1050,5,1.3,3,2,1500,140,45.16,85,55,1545,216,56.1,105,111,946,0,0.0,0,0,0,169,43.9,81,88,920,203,93.98,98,105,933,3,1.39,3,0,0,10,4.63,4,6,667,59,27.31,56,3,18667,144,66.67,42,102,412,0,0.0,0,0,0,0,0.0,0,0,0,1,0.46,1,0,0,2,0.93,2,0,0,0,0.0,0,0,0,5,2.31,1,4,250,1,0.46,1,0,0,4,1.85,2,2,1000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Mk,18,yes,0,0,0,1,0,0.0,215,84.12,41,15.88,1,0.2,0,0.0,28.5,0.0,186.09,0.0,0.0,0.0,0.0,0.0
1742,Kumaravadi,Madurantakam,Chengalpattu MGR,1047,308,228,4.6,544,503,1082,162,82,80,1025,307,29.3,159,148,1074,84,8.0,39,45,867,479,54.12,330,149,2215,519,49.6,324,195,1662,0,0.0,0,0,0,528,50.4,220,308,714,477,91.91,290,187,1551,13,2.5,13,0,0,29,5.59,21,8,2625,343,66.09,223,120,1858,134,25.82,67,67,1000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,11,2.12,11,0,0,2,0.39,2,0,0,8,1.54,7,1,7000,2,0.39,2,0,0,19,3.66,12,7,1714,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,MK,18,yes,0,0,0,1,0,0.0,152,100.0,0,0.0,112,32.86,76,22.42,33.3,0.0,118.63,0.0,0.0,0.0,0.0,0.0
