"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
803,Venkatarajakuppam,Pallipattu,Chengalpattu MGR,1928,289,348,5.5,1000,928,1078,304,163,141,1156,496,25.7,257,239,1075,13,0.7,5,8,625,728,44.83,507,221,2294,1125,58.4,583,542,1076,0,0.0,0,0,0,803,41.6,417,386,1080,748,66.49,388,360,1078,335,29.78,169,166,1018,42,3.73,26,16,1625,318,28.27,226,92,2457,430,38.22,162,268,604,0,0.0,0,0,0,0,0.0,0,0,0,332,29.51,166,166,1000,3,0.27,3,0,0,0,0.0,0,0,0,6,0.53,4,2,2000,4,0.36,3,1,3000,32,2.84,19,13,1462,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Pallipatt,3,yes,0,0,0,1,45,6.76,40,9.39,386,90.61,183,27.48,12,1.8,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
804,Veliagaram,Pallipattu,Chengalpattu MGR,3234,367,664,4.9,1638,1596,1026,456,217,239,908,624,19.3,318,306,1039,18,0.6,10,8,1250,1150,41.4,820,330,2485,1377,42.6,964,413,2334,1,0.0,0,1,0,1856,57.4,674,1182,570,1135,82.43,748,387,1933,56,4.07,52,4,13000,186,13.51,164,22,7455,612,44.44,508,104,4885,521,37.84,240,281,854,2,0.0,0,2,0,0,0.0,0,0,0,19,1.38,17,2,8500,32,2.32,30,2,15000,5,0.36,5,0,0,36,2.61,34,2,17000,13,0.94,13,0,0,137,9.95,117,20,5850,yes,0,3,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,TPallipatt,5,yes,1,0,0,0,106,12.02,286,57.09,215,42.91,113,12.81,162,18.37,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
805,Perumanallur,Pallipattu,Chengalpattu MGR,4489,328,934,4.8,2245,2244,1000,691,352,339,1038,873,19.4,459,414,1109,701,15.6,358,343,1044,1544,40.65,1005,539,1865,2076,46.2,1167,909,1284,0,0.0,0,0,0,2413,53.8,1078,1335,807,1960,94.41,1071,889,1205,40,1.93,37,3,12333,76,3.66,59,17,3471,1071,51.59,708,363,1950,887,42.73,363,524,693,2,0.0,0,2,0,0,0.0,0,0,0,11,0.53,8,3,2667,24,1.16,24,0,0,5,0.24,5,0,0,20,0.96,15,5,3000,15,0.72,14,1,14000,41,1.97,30,11,2727,yes,0,4,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Pallipatt,6,yes,1,0,0,1,208,15.19,158,18.85,680,81.15,224,16.36,99,7.23,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
806,Pallipattu,Pallipattu,Chengalpattu MGR,8826,1154,1772,5.0,4474,4352,1028,1209,623,586,1063,2241,25.4,1159,1082,1071,249,2.8,121,128,945,4615,60.59,2861,1754,1631,3179,36.0,2415,764,3161,70,0.8,3,67,45,5577,63.2,2056,3521,584,1724,54.17,1186,538,2204,322,10.19,265,57,4649,1133,35.64,964,169,5704,574,18.06,478,96,4979,1095,34.44,679,416,1632,53,0.02,27,26,1038,2,0.06,2,0,0,103,3.24,66,37,1784,193,6.07,175,18,9722,26,0.82,24,2,12000,503,15.82,444,59,7525,137,4.31,135,2,67500,493,15.51,385,108,3565,yes,0,8,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,3,0,6,0,0,yes,0,0,0,1,1,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,1,0,Pallipatt,5,yes,1,0,0,1,0,0.0,338,57.68,248,42.32,116,15.16,63,8.24,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
807,Kolathur,Pallipattu,Chengalpattu MGR,8721,697,1894,4.6,4358,4363,999,1263,638,625,1021,1922,22.0,938,984,953,508,5.8,264,244,1082,3772,50.58,2447,1325,1847,3264,37.4,2381,883,2696,150,1.7,26,124,210,5307,60.9,1951,3356,581,1888,57.78,1118,770,1452,903,27.73,879,24,36625,473,14.49,384,89,4315,922,28.25,641,281,2281,915,28.03,432,483,894,49,0.02,43,6,7167,2,0.06,2,0,0,809,24.79,785,24,32708,64,1.96,64,0,0,30,0.92,30,0,0,197,6.04,170,27,6296,32,0.98,31,1,31000,244,7.48,183,61,3000,yes,0,2,1,1,1,0,0,0,0,0,yes,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Sholingu,11,yes,1,0,0,0,142,11.35,250,29.94,585,70.06,17,1.36,257,20.54,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
808,Nediyam,Pallipattu,Chengalpattu MGR,3481,289,745,4.7,1753,1728,1014,524,265,259,1023,1576,45.3,796,780,1021,554,15.9,274,280,979,1341,45.35,866,475,1823,1532,44.0,960,572,1678,5,0.1,0,5,0,1944,55.8,793,1151,689,1263,82.44,741,522,1420,114,7.44,102,12,8500,155,10.12,117,38,3079,255,16.64,218,37,5892,998,65.14,514,484,1062,10,0.01,9,1,9000,0,0.0,0,0,0,103,6.72,91,12,7583,5,0.33,5,0,0,6,0.39,6,0,0,27,1.76,23,4,5750,15,0.98,15,0,0,113,7.38,79,34,2324,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Pallipatt,10,yes,1,0,0,0,128,10.64,228,43.26,299,56.74,385,32.0,163,13.55,228.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
809,Karimbedu,Pallipattu,Chengalpattu MGR,4208,336,965,4.4,2077,2131,975,598,303,295,1027,1037,24.6,518,519,998,39,0.9,19,20,950,1600,44.32,1031,569,1812,1660,39.4,1243,417,2981,51,1.2,0,51,0,2497,59.3,834,1663,502,1319,75.0,951,368,2584,196,16.27,174,22,7909,145,8.73,118,27,4370,342,20.6,326,16,20375,890,53.61,543,347,1565,13,0.01,11,2,5500,74,4.46,71,3,23667,99,5.96,82,17,4824,75,4.52,70,5,14000,22,1.33,22,0,0,34,2.05,30,4,7500,20,1.2,20,0,0,91,5.48,68,23,2957,yes,0,3,2,0,0,0,0,0,0,0,yes,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Pallipatt,6,yes,1,0,0,0,274,21.9,171,27.94,441,72.06,265,21.18,100,7.99,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810,Gollalakuppam,Pallipattu,Chengalpattu MGR,2749,371,607,4.5,1352,1397,968,473,247,226,1093,513,18.7,268,245,1094,54,2.0,26,28,929,1289,56.63,807,482,1674,1117,40.6,752,365,2060,5,0.2,0,5,0,1627,59.2,600,1027,584,945,84.6,601,344,1747,12,1.07,12,0,0,160,14.32,139,21,6619,393,35.18,255,138,1848,552,49.42,346,206,1680,0,0.0,0,0,0,0,0.0,0,0,0,5,0.45,5,0,0,7,0.63,7,0,0,0,0.0,0,0,0,115,10.3,113,2,56500,3,0.27,2,1,2000,42,3.76,24,18,1333,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Podaturpe,6,yes,1,0,0,0,254,34.32,87,22.08,307,77.92,0,0.0,92,12.43,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811,Pandravedu,Pallipattu,Chengalpattu MGR,2042,256,471,4.3,1022,1020,1002,303,161,142,1134,634,31.0,325,309,1052,921,45.1,467,454,1029,760,43.7,489,271,1804,699,34.2,505,194,2603,231,11.3,51,180,283,1112,54.5,466,646,721,518,74.11,348,170,2047,109,15.59,99,10,9900,72,10.3,58,14,4143,182,26.04,143,39,3667,333,47.64,203,130,1562,3,0.0,2,1,2000,0,0.0,0,0,0,102,14.59,93,9,10333,4,0.57,4,0,0,3,0.43,2,1,2000,15,2.15,15,0,0,12,1.72,12,0,0,45,6.44,31,14,2214,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Podaturpe,6,yes,1,0,0,0,185,23.15,126,35.29,231,64.71,106,13.27,151,18.9,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
812,Konasamudram,Pallipattu,Chengalpattu MGR,4331,323,931,4.7,2142,2189,979,654,333,321,1037,1042,24.1,526,516,1019,14,0.3,7,7,1000,1833,49.85,1181,652,1811,1620,37.4,1200,420,2857,368,8.5,9,359,25,2343,54.1,933,1410,662,1347,83.15,961,386,2490,171,10.56,165,6,27500,102,6.3,74,28,2643,513,31.67,444,69,6435,827,51.05,510,317,1609,7,0.0,7,0,0,0,0.0,0,0,0,127,7.84,124,3,41333,34,2.1,34,0,0,10,0.62,7,3,2333,10,0.62,6,4,1500,10,0.62,10,0,0,82,5.06,58,24,2417,yes,0,5,0,0,0,0,0,0,0,0,yes,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Pallipatt,6,yes,1,0,0,0,0,0.0,87,13.18,573,86.82,27,2.01,654,48.77,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
