"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1020,Gudapakkam,Sriperumbudur,Chengalpattu MGR,2501,371,540,4.6,1238,1263,980,456,207,249,831,1704,68.1,834,870,959,0,0.0,0,0,0,1082,52.91,671,411,1633,1045,41.8,730,315,2317,0,0.0,0,0,0,1456,58.2,508,948,536,869,83.16,563,306,1840,41,3.92,41,0,0,135,12.92,126,9,14000,107,10.24,105,2,52500,762,72.92,458,304,1507,0,0.0,0,0,0,0,0.0,0,0,0,4,0.38,4,0,0,34,3.25,34,0,0,3,0.29,3,0,0,19,1.82,19,0,0,80,7.66,80,0,0,36,3.44,27,9,3000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Poonamall,10,yes,0,0,0,1,135,20.01,260,63.18,151,36.82,0,0.0,128,18.99,259.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1021,Nochimedu,Sriperumbudur,Chengalpattu MGR,396,379,90,4.4,205,191,1073,69,41,28,1464,301,76.0,156,145,1076,0,0.0,0,0,0,195,59.63,113,82,1378,168,42.4,122,46,2652,0,0.0,0,0,0,228,57.6,83,145,572,150,89.29,107,43,2488,5,2.98,5,0,0,13,7.74,10,3,3333,13,7.74,12,1,12000,137,81.55,95,42,2262,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,2.98,5,0,0,0,0.0,0,0,0,4,2.38,4,0,0,2,1.19,2,0,0,7,4.17,4,3,1333,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,no,1,0,0,1,0,0,Poonamall,9,yes,0,0,0,1,0,0.0,77,78.72,21,21.28,0,0.0,6,5.98,77.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1022,Korathur,Sriperumbudur,Chengalpattu MGR,2873,345,610,4.7,1476,1397,1057,482,263,219,1201,1725,60.0,883,842,1049,0,0.0,0,0,0,1393,58.26,845,548,1542,951,33.1,737,214,3444,0,0.0,0,0,0,1922,66.9,739,1183,625,767,80.65,581,186,3124,48,5.05,48,0,0,136,14.3,108,28,3857,104,10.94,104,0,0,657,69.09,473,184,2571,6,0.01,4,2,2000,0,0.0,0,0,0,0,0.0,0,0,0,43,4.52,43,0,0,5,0.53,5,0,0,34,3.58,23,11,2091,46,4.84,46,0,0,56,5.89,39,17,2294,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Poonamall,5,yes,0,0,0,1,0,0.0,421,74.65,143,25.35,117,14.05,153,18.36,420.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1023,Thiruninravur,Sriperumbudur,Chengalpattu MGR,3780,366,798,4.7,1923,1857,1036,535,272,263,1034,2160,57.1,1093,1067,1024,3,0.1,1,2,500,1574,48.51,949,625,1518,1182,31.3,1026,156,6577,190,5.0,10,180,56,2408,63.7,887,1521,583,1014,85.79,872,142,6141,86,7.28,86,0,0,82,6.94,68,14,4857,357,30.2,356,1,356000,652,55.16,511,141,3624,5,0.0,5,0,0,0,0.0,0,0,0,0,0.0,0,0,0,82,6.94,82,0,0,4,0.34,4,0,0,28,2.37,26,2,13000,6,0.51,6,0,0,48,4.06,36,12,3000,yes,0,3,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,1,1,0,0,AVad,10,yes,0,0,0,1,0,0.0,244,96.31,9,3.69,79,7.63,701,67.82,244.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1024,Agraharamel,Sriperumbudur,Chengalpattu MGR,106,158,18,5.9,55,51,1078,17,12,5,2400,1,0.9,1,0,0,0,0.0,0,0,0,67,75.28,39,28,1393,30,28.3,29,1,29000,3,2.8,3,0,0,73,68.9,23,50,460,15,50.0,15,0,0,9,30.0,9,0,0,6,20.0,5,1,5000,13,43.33,13,0,0,2,6.67,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,6.67,2,0,0,5,16.67,5,0,0,2,6.67,2,0,0,2,6.67,2,0,0,1,3.33,1,0,0,3,10.0,2,1,2000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Avad,8,yes,0,0,0,1,0,0.0,11,100.0,0,0.0,7,10.23,49,73.14,11.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1025,Amudurmedu,Sriperumbudur,Chengalpattu MGR,607,809,112,5.4,284,323,879,108,44,64,688,219,36.1,100,119,840,0,0.0,0,0,0,351,70.34,200,151,1325,225,37.1,152,73,2082,0,0.0,0,0,0,382,62.9,132,250,528,132,58.67,67,65,1031,65,28.89,63,2,31500,28,12.44,22,6,3667,22,9.78,16,6,2667,108,48.0,49,59,831,2,0.01,2,0,0,0,0.0,0,0,0,2,0.89,1,1,1000,54,24.0,53,1,53000,9,4.0,9,0,0,12,5.33,8,4,2000,9,4.0,9,0,0,7,3.11,5,2,2500,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Avad,9,yes,0,0,0,1,0,0.0,0,0.0,40,100.0,0,0.0,35,46.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1026,Karunakaracheri,Sriperumbudur,Chengalpattu MGR,634,534,141,4.5,329,305,1079,79,41,38,1079,81,12.8,44,37,1189,0,0.0,0,0,0,358,64.5,228,130,1754,232,36.6,179,53,3377,0,0.0,0,0,0,402,63.4,150,252,595,154,66.38,112,42,2667,40,17.24,38,2,19000,38,16.38,29,9,3222,61,26.29,57,4,14250,93,40.09,55,38,1447,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,39,16.81,37,2,18500,1,0.43,1,0,0,14,6.03,8,6,1333,12,5.17,11,1,11000,12,5.17,10,2,5000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Avad,7,yes,0,0,0,1,0,0.0,79,79.9,20,20.1,19,16.29,0,0.12,79.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1027,Thandarai RF,Sriperumbudur,Chengalpattu MGR,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1028,Koilpadagai RF,Sriperumbudur,Chengalpattu MGR,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Avad,10,yes,0,0,0,1,0,0.0,0,32.51,0,67.49,0,0.0,0,0.0,166.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1029,Voyalanallur,Sriperumbudur,Chengalpattu MGR,6359,747,1295,4.9,3184,3175,1003,928,467,461,1013,3394,53.4,1701,1693,1005,157,2.5,80,77,1039,3463,63.76,2047,1416,1446,2241,35.2,1686,555,3038,12,0.2,7,5,1400,4106,64.6,1491,2615,570,1808,80.41,1300,508,2559,205,9.42,186,19,9789,228,10.17,200,28,7143,289,12.9,270,19,14211,1513,67.51,1024,489,2094,0,0.0,0,0,0,6,0.27,6,0,0,7,0.31,7,0,0,179,7.99,160,19,8421,19,0.85,19,0,0,53,2.37,51,2,25500,55,2.45,54,1,54000,120,5.35,95,25,3800,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Avad,10,yes,0,0,0,1,0,0.0,166,32.51,345,67.49,249,29.23,92,10.8,166.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
