"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
9258,Akkaraisengapalli,Avanashi,Coimbatore,3478,248,929,3.7,1763,1715,1028,416,217,199,1090,864,24.8,442,422,1047,0,0.0,0,0,0,1360,44.42,860,500,1720,1636,47.0,1191,445,2676,300,8.6,0,300,0,1542,44.3,572,970,590,1287,78.67,943,344,2741,154,9.41,93,61,1525,195,11.92,155,40,3875,600,36.67,526,74,7108,649,39.67,404,245,1649,38,0.02,13,25,520,0,0.0,0,0,0,43,2.63,24,19,1263,83,5.07,43,40,1075,28,1.71,26,2,13000,44,2.69,36,8,4500,9,0.55,9,0,0,142,8.68,110,32,3438,yes,0,1,1,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Annu,11,yes,1,1,0,0,0,0.0,218,22.45,753,77.55,327,23.34,103,7.36,218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9259,Kanuvakkarai,Avanashi,Coimbatore,2491,201,646,3.9,1257,1234,1019,268,143,125,1144,966,38.8,481,485,992,0,0.0,0,0,0,803,36.12,518,285,1818,1539,61.8,888,651,1364,139,5.6,3,136,22,813,32.6,366,447,819,1451,94.02,821,630,1303,43,3.05,38,5,7600,45,2.92,29,16,1813,382,24.82,301,81,3716,1062,69.01,515,547,941,3,0.0,1,2,500,4,0.26,4,0,0,1,0.06,0,1,0,19,1.23,17,2,8500,23,1.49,21,2,10500,12,0.78,10,2,5000,6,0.39,6,0,0,27,1.75,13,14,929,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Puliampatt,5,yes,1,1,0,0,0,0.0,146,20.89,553,79.11,508,41.03,31,2.51,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9260,Ambodi,Avanashi,Coimbatore,2959,282,776,3.8,1516,1443,1051,346,167,179,933,1173,39.6,594,579,1026,4,0.1,2,2,1000,1099,42.06,731,368,1986,1577,53.3,1051,526,1998,418,14.1,0,418,0,964,32.6,465,499,932,1319,83.32,847,472,1794,101,6.72,75,26,2885,157,9.96,129,28,4607,304,19.28,264,40,6600,1007,63.86,576,431,1336,3,0.0,2,1,2000,5,0.32,5,0,0,7,0.44,7,0,0,90,5.71,64,26,2462,4,0.25,4,0,0,87,5.52,72,15,4800,27,1.71,27,0,0,43,2.73,30,13,2308,yes,0,2,2,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Annu,10,yes,1,1,0,0,0,0.0,195,20.48,757,79.52,70,6.67,27,2.57,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9261,Allapalayam,Avanashi,Coimbatore,2213,227,579,3.8,1121,1092,1027,259,135,124,1089,594,26.8,294,300,980,245,11.1,131,114,1149,988,50.56,613,375,1635,997,45.1,756,241,3137,425,19.2,1,424,2,791,35.7,364,427,852,876,87.86,658,218,3018,45,4.51,37,8,4625,76,7.62,61,15,4067,285,28.59,277,8,34625,590,59.18,380,210,1810,1,0.0,1,0,0,0,0.0,0,0,0,6,0.6,6,0,0,39,3.91,31,8,3875,0,0.0,0,0,0,25,2.51,19,6,3167,11,1.1,11,0,0,40,4.01,31,9,3444,yes,0,3,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Annu,8,yes,1,1,0,0,0,0.0,177,21.22,657,78.78,8,0.82,132,13.54,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9262,Pasur,Avanashi,Coimbatore,3283,345,849,3.9,1679,1604,1047,380,195,185,1054,668,20.3,346,322,1075,742,22.6,370,372,995,1350,46.5,861,489,1761,1496,45.6,1086,410,2649,326,9.9,0,326,0,1461,44.5,593,868,683,1118,70.59,777,341,2279,192,16.98,161,31,5194,186,12.43,148,38,3895,379,25.33,365,14,26071,672,44.92,355,317,1120,5,0.0,3,2,1500,62,4.14,54,8,6750,4,0.27,3,1,3000,107,7.15,87,20,4350,81,5.41,71,10,7100,74,4.95,62,12,5167,23,1.54,20,3,6667,89,5.95,66,23,2870,yes,0,2,2,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Annu,5,yes,1,1,0,0,0,0.0,211,26.34,590,73.66,13,1.37,137,14.36,211.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9263,Annur Mettupalayam,Avanashi,Coimbatore,3441,331,895,3.8,1764,1677,1052,363,184,179,1028,1470,42.7,736,734,1003,81,2.4,36,45,800,1463,47.53,932,531,1755,1697,49.3,1202,495,2428,190,5.5,0,190,0,1554,45.2,562,992,567,1277,75.25,842,435,1936,168,9.9,156,12,13000,252,14.85,204,48,4250,420,24.75,334,86,3884,848,49.97,502,346,1451,9,0.01,6,3,2000,0,0.0,0,0,0,4,0.24,4,0,0,123,7.25,111,12,9250,41,2.42,41,0,0,111,6.54,92,19,4842,52,3.06,50,2,25000,89,5.24,62,27,2296,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Annu,5,yes,1,1,0,0,0,0.0,201,24.28,627,75.72,118,11.35,94,9.01,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9264,Vadakkalur,Avanashi,Coimbatore,5252,450,1350,3.9,2666,2586,1031,554,291,263,1106,1217,23.2,633,584,1084,0,0.0,0,0,0,2868,61.05,1788,1080,1656,2335,44.5,1772,563,3147,144,2.7,6,138,43,2773,52.8,888,1885,471,1314,56.27,923,391,2361,726,31.09,593,133,4459,295,12.63,256,39,6564,475,20.34,406,69,5884,837,35.85,515,322,1599,2,0.0,2,0,0,0,0.0,0,0,0,493,21.11,396,97,4082,226,9.68,190,36,5278,7,0.3,7,0,0,123,5.27,114,9,12667,25,1.07,23,2,11500,147,6.3,119,28,4250,yes,0,2,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Annu,4,yes,1,1,0,0,0,0.0,170,15.96,895,84.04,2,0.17,101,8.65,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9265,Odderpalayam,Avanashi,Coimbatore,5102,415,1296,3.9,2572,2530,1017,544,274,270,1015,1054,20.7,525,529,992,0,0.0,0,0,0,2590,56.82,1605,985,1629,2521,49.4,1736,785,2211,290,5.7,0,290,0,2291,44.9,836,1455,575,1643,65.01,1036,607,1707,423,16.94,302,121,2496,455,18.05,398,57,6982,492,19.52,377,115,3278,1136,45.06,645,491,1314,11,0.0,10,1,10000,4,0.16,4,0,0,271,10.75,178,93,1914,132,5.24,107,25,4280,20,0.79,17,3,5667,160,6.35,138,22,6273,131,5.2,130,1,130000,164,6.51,130,34,3824,yes,0,4,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Annu,2,yes,1,1,0,0,0,0.0,271,28.23,689,71.77,12,0.98,258,20.99,271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9266,Kuppanur,Avanashi,Coimbatore,4273,219,1065,4.0,2164,2109,1026,459,235,224,1049,849,19.9,440,409,1076,0,0.0,0,0,0,1700,44.57,1095,605,1810,2731,63.9,1535,1196,1283,117,2.7,0,117,0,1425,33.3,629,796,790,2461,90.11,1335,1126,1186,143,5.24,108,35,3086,127,4.65,92,35,2629,1307,47.86,765,542,1411,1149,42.07,566,583,971,5,0.0,4,1,4000,0,0.0,0,0,0,55,2.01,41,14,2929,69,2.53,48,21,2286,19,0.7,19,0,0,43,1.57,34,9,3778,17,0.62,17,0,0,67,2.45,41,26,1577,yes,0,5,2,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Annu,6,yes,1,1,0,0,0,0.0,714,40.61,1044,59.39,5,0.26,190,9.72,714.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9267,Pogalur,Avanashi,Coimbatore,4201,274,1085,3.9,2125,2076,1024,411,189,222,851,939,22.4,477,462,1032,0,0.0,0,0,0,1711,45.15,1123,588,1910,2039,48.5,1411,628,2247,158,3.8,26,132,197,2004,47.7,688,1316,523,1725,84.6,1136,589,1929,155,7.6,146,9,16222,159,7.8,129,30,4300,757,37.13,593,164,3616,962,47.18,542,420,1290,6,0.0,1,5,200,0,0.0,0,0,0,25,1.23,25,0,0,47,2.31,40,7,5714,83,4.07,81,2,40500,44,2.16,40,4,10000,35,1.72,35,0,0,80,3.92,54,26,2077,yes,0,5,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Annu,6,yes,1,1,0,0,0,0.0,297,22.15,1044,77.85,5,0.33,190,12.36,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
