"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
3914,Panjapalli,Palakkodu,Dharmapuri,5777,542,1139,5.1,3062,2715,1128,1064,544,520,1046,578,10.0,274,304,901,216,3.7,116,100,1160,2155,45.72,1508,647,2331,2599,45.0,1540,1059,1454,54,0.9,7,47,149,3124,54.1,1515,1609,942,2195,83.84,1214,981,1238,70,3.31,60,10,6000,334,12.85,266,68,3912,904,34.78,667,237,2814,1251,48.13,516,735,702,24,0.01,21,3,7000,16,0.62,10,6,1667,31,1.19,25,6,4167,13,0.5,11,2,5500,26,1.0,24,2,12000,129,4.96,95,34,2794,19,0.73,19,0,0,186,7.16,152,34,4471,yes,0,2,1,0,0,0,0,0,0,1,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Palacod,16,yes,1,1,1,0,0,0.0,128,22.57,73,77.43,711,29.17,154,17.55,70.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0
3915,Periyanur,Palakkodu,Dharmapuri,1222,154,248,4.9,624,598,1043,192,94,98,959,220,18.0,117,103,1136,0,0.0,0,0,0,371,36.02,253,118,2144,686,56.1,360,326,1104,0,0.0,0,0,0,536,43.9,264,272,971,678,98.83,353,325,1086,3,0.44,2,1,2000,5,0.73,5,0,0,489,71.28,267,222,1203,189,27.55,86,103,835,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,0.44,2,1,2000,0,0.0,0,0,0,0,0.0,0,0,0,1,0.15,1,0,0,4,0.58,4,0,0,no,1,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Palacod,18,yes,1,1,0,0,0,0.0,241,52.85,215,47.15,191,24.14,145,18.33,33.0,0.0,0.0,0.0,0.0,208.0,0.0,0.0
3916,Namandahalli,Palakkodu,Dharmapuri,2112,161,480,4.4,1078,1034,1043,354,196,158,1241,339,16.1,166,173,960,37,1.8,21,16,1313,819,46.59,533,286,1864,1164,55.1,613,551,1113,0,0.0,0,0,0,948,44.9,465,483,963,1063,90.29,541,522,1036,23,3.01,18,5,3600,78,6.7,54,24,2250,561,48.2,322,239,1347,487,41.84,211,276,764,3,0.0,1,2,500,12,1.03,7,5,1400,1,0.09,1,0,0,19,1.63,14,5,2800,3,0.26,3,0,0,37,3.18,25,12,2083,5,0.43,5,0,0,36,3.09,24,12,2000,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Palacod,12,yes,1,1,0,0,240,18.33,159,26.07,451,73.93,204,15.58,255,19.48,149.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
3917,Chinnagowndanahalli,Palakkodu,Dharmapuri,1236,120,215,5.7,616,620,994,258,139,119,1168,79,6.4,39,40,975,50,4.0,26,24,1083,192,19.63,139,53,2623,315,25.5,310,5,62000,58,4.7,0,58,0,863,69.8,306,557,549,311,98.73,308,3,102667,0,0.0,0,0,0,4,1.27,2,2,1000,310,98.41,307,3,102333,1,0.32,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.32,1,0,0,0,0.0,0,0,0,3,0.95,1,2,500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Palacod,13,yes,1,1,0,0,198,19.2,102,17.65,476,82.35,61,5.92,194,18.82,80.0,17.0,0.0,0.0,5.0,0.0,0.0,0.0
3918,Chudanur,Palakkodu,Dharmapuri,2244,229,480,4.7,1136,1108,1025,371,205,166,1235,296,13.2,142,154,922,0,0.0,0,0,0,578,30.86,394,184,2141,947,42.2,661,286,2311,2,0.1,1,1,1000,1295,57.7,474,821,577,906,95.56,635,271,2343,9,1.06,6,3,2000,32,3.38,20,12,1667,509,53.75,450,59,7627,396,41.82,184,212,868,0,0.0,0,0,0,1,0.11,1,0,0,1,0.11,0,1,0,7,0.74,5,2,2500,1,0.11,1,0,0,13,1.37,11,2,5500,1,0.11,1,0,0,18,1.9,8,10,800,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Palacod,14,yes,1,1,0,0,160,16.35,104,21.36,383,78.64,170,17.41,161,16.46,0.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0
3919,Gummanur,Palakkodu,Dharmapuri,3464,339,675,5.1,1765,1699,1039,576,306,270,1133,416,12.0,216,200,1080,16,0.5,9,7,1286,1270,43.98,860,410,2098,1683,48.6,993,690,1439,65,1.9,10,55,182,1716,49.5,762,954,799,1491,88.53,843,648,1301,75,4.52,53,22,2409,117,6.95,97,20,4850,941,55.91,571,370,1543,514,30.54,243,271,897,35,0.02,28,7,4000,1,0.06,1,0,0,51,3.03,34,17,2000,17,1.01,12,5,2400,7,0.42,7,0,0,36,2.14,28,8,3500,23,1.37,23,0,0,58,3.45,46,12,3833,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Palacod,11,yes,1,1,0,0,220,21.54,197,36.28,346,63.72,102,10.02,156,15.27,170.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
3920,Chikkadornabettam,Palakkodu,Dharmapuri,3639,333,752,4.8,1891,1748,1082,563,309,254,1217,223,6.1,116,107,1084,0,0.0,0,0,0,962,31.27,662,300,2207,1865,51.3,1168,697,1676,281,7.7,20,261,77,1493,41.0,703,790,890,1730,92.6,1067,663,1609,37,2.14,25,12,2083,98,5.25,76,22,3455,1150,61.66,817,333,2453,528,28.31,204,324,630,49,0.03,44,5,8800,3,0.16,2,1,2000,8,0.43,5,3,1667,14,0.75,8,6,1333,15,0.8,12,3,4000,64,3.43,47,17,2765,8,0.43,8,0,0,26,1.39,21,5,4200,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,no,2,0,0,1,0,0,Palacod,15,yes,1,1,0,0,29,2.66,224,28.83,553,71.17,227,20.79,59,5.4,214.0,2.0,0.0,0.0,0.0,8.0,0.0,0.0
3921,Samanur,Palakkodu,Dharmapuri,2692,180,568,4.7,1340,1352,991,366,183,183,1000,287,10.7,151,136,1110,0,0.0,0,0,0,930,39.98,578,352,1642,1492,55.4,823,669,1230,58,2.2,1,57,18,1142,42.4,516,626,824,1412,94.5,759,653,1162,18,1.34,16,2,8000,62,4.16,48,14,3429,451,30.23,375,76,4934,959,64.28,382,577,662,0,0.0,0,0,0,2,0.13,2,0,0,5,0.34,3,2,1500,10,0.67,10,0,0,3,0.2,3,0,0,11,0.74,9,2,4500,2,0.13,2,0,0,49,3.28,37,12,3083,yes,0,3,0,1,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Palacod,13,yes,1,1,0,0,43,2.87,593,56.1,464,43.9,251,16.76,147,9.81,523.0,13.0,0.0,0.0,11.0,46.0,0.0,0.0
3922,Bodikuttalapally,Palakkodu,Dharmapuri,360,261,75,4.8,189,171,1105,79,41,38,1079,0,0.0,0,0,0,0,0.0,0,0,0,32,11.39,29,3,9667,193,53.6,102,91,1121,0,0.0,0,0,0,167,46.4,87,80,1088,193,100.0,102,91,1121,0,0.0,0,0,0,0,0.0,0,0,0,91,47.15,48,43,1116,102,52.85,54,48,1125,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,1,0,Palacod,8,yes,1,1,0,0,0,0.0,48,50.0,48,50.0,25,18.13,17,12.32,40.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
3923,Athimutlu,Palakkodu,Dharmapuri,2518,241,549,4.6,1273,1245,1022,418,200,218,917,308,12.2,153,155,987,0,0.0,0,0,0,1063,50.62,655,408,1605,1270,50.4,754,516,1461,284,11.3,0,284,0,964,38.3,519,445,1166,1231,96.77,723,508,1423,7,0.71,7,0,0,32,2.52,24,8,3000,982,77.32,662,320,2069,244,19.21,56,188,298,3,0.0,3,0,0,2,0.16,2,0,0,0,0.0,0,0,0,7,0.55,7,0,0,0,0.0,0,0,0,19,1.5,14,5,2800,4,0.31,4,0,0,9,0.71,6,3,2000,yes,0,2,0,0,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Palacod,6,yes,1,1,0,0,106,10.16,250,38.17,405,61.83,238,22.81,44,4.26,205.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0
