"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
4008,Keserkuli RF,Pennagaram,Dharmapuri,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4009,Keserkuli RF Extension,Pennagaram,Dharmapuri,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4010,Pikkili,Pennagaram,Dharmapuri,6627,277,1081,6.1,3435,3192,1076,1324,715,609,1174,221,3.3,120,101,1188,44,0.7,23,21,1095,650,12.26,467,183,2552,2206,33.3,1876,330,5685,649,9.8,2,647,3,3772,56.9,1557,2215,703,2118,96.01,1806,312,5788,19,0.86,18,1,18000,69,3.13,52,17,3059,1550,70.26,1409,141,9993,547,24.8,378,169,2237,21,0.01,19,2,9500,0,0.0,0,0,0,1,0.05,1,0,0,13,0.59,12,1,12000,5,0.23,5,0,0,20,0.91,15,5,3000,3,0.14,3,0,0,46,2.09,34,12,2833,yes,0,4,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Papparapatt,10,yes,1,1,0,0,0,0.0,140,10.3,1219,89.7,74,3.08,955,40.0,140.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4011,Panaikulam,Pennagaram,Dharmapuri,5009,276,1065,4.7,2521,2488,1013,932,486,446,1090,266,5.3,139,127,1094,0,0.0,0,0,0,1478,36.25,960,518,1853,2408,48.1,1476,932,1584,114,2.3,0,114,0,2487,49.7,1045,1442,725,2277,94.35,1377,900,1530,51,2.33,44,7,6286,80,3.32,55,25,2200,1099,45.64,775,324,2392,1147,47.63,571,576,991,26,0.01,26,0,0,5,0.21,5,0,0,5,0.21,4,1,4000,37,1.54,33,4,8250,9,0.37,7,2,3500,34,1.41,19,15,1267,4,0.17,4,0,0,42,1.74,32,10,3200,yes,0,5,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Palacod,7,yes,1,1,0,0,0,0.0,130,11.73,978,88.27,56,3.1,652,35.91,129.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4012,Madehalli,Pennagaram,Dharmapuri,5600,658,1052,5.3,2784,2816,989,930,464,466,996,0,0.0,0,0,0,0,0.0,0,0,0,936,20.04,635,301,2110,1980,35.4,1550,430,3605,468,8.4,72,396,182,3152,56.3,1162,1990,584,1701,85.91,1302,399,3263,170,8.59,157,13,12077,109,5.51,91,18,5056,1031,52.07,901,130,6931,652,32.93,385,267,1442,18,0.01,16,2,8000,0,0.0,0,0,0,0,0.0,0,0,0,46,2.32,37,9,4111,124,6.26,120,4,30000,47,2.37,44,3,14667,13,0.66,13,0,0,49,2.47,34,15,2267,yes,0,5,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,pPapparapatt,1,yes,1,1,0,0,0,0.0,286,37.74,471,62.26,0,0.04,95,11.11,285.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4013,Andarahalli,Pennagaram,Dharmapuri,625,1021,97,6.4,316,309,1023,119,59,60,983,0,0.0,0,0,0,0,0.0,0,0,0,94,18.58,71,23,3087,166,26.6,155,11,14091,78,12.5,17,61,279,381,61.0,144,237,608,143,85.54,133,10,13300,21,13.25,21,0,0,2,1.2,1,1,1000,69,41.57,67,2,33500,73,43.98,65,8,8125,0,0.0,0,0,0,1,0.6,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,21,12.65,21,0,0,1,0.6,1,0,0,0,0.0,0,0,0,1,0.6,0,1,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,1,0,Papparapatt,3,yes,1,1,0,0,0,0.0,13,23.84,43,76.16,1,2.06,4,5.72,13.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4014,Pallipatti,Pennagaram,Dharmapuri,537,460,110,4.9,277,260,1065,73,41,32,1281,9,1.7,4,5,800,0,0.0,0,0,0,256,55.17,157,99,1586,314,58.5,166,148,1122,0,0.0,0,0,0,223,41.5,111,112,991,304,96.82,160,144,1111,4,1.27,4,0,0,6,1.91,2,4,500,248,78.98,130,118,1102,56,17.83,30,26,1154,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,1.27,4,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.32,1,0,0,5,1.59,1,4,250,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Dharmapur,12,yes,1,1,0,0,0,0.0,24,22.17,83,77.83,1,1.12,9,7.94,23.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4015,Velampatti,Pennagaram,Dharmapuri,1103,886,236,4.7,563,540,1043,176,87,89,978,0,0.0,0,0,0,0,0.0,0,0,0,353,38.08,237,116,2043,670,60.7,333,337,988,0,0.0,0,0,0,433,39.3,230,203,1133,638,95.22,316,322,981,17,2.54,13,4,3250,15,2.24,4,11,364,503,75.07,251,252,996,135,20.15,65,70,929,0,0.0,0,0,0,0,0.0,0,0,0,8,1.19,4,4,1000,9,1.34,9,0,0,0,0.0,0,0,0,11,1.64,3,8,375,0,0.0,0,0,0,4,0.6,1,3,333,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,1,0,RPalacod,9,yes,1,1,0,0,0,0.0,15,13.42,98,86.58,11,8.65,0,0.0,15.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4016,Kariappanahalli,Pennagaram,Dharmapuri,630,400,114,5.5,307,323,950,116,56,60,933,29,4.6,14,15,933,0,0.0,0,0,0,181,35.21,123,58,2121,387,61.4,181,206,879,1,0.2,0,1,0,242,38.4,126,116,1086,370,95.61,171,199,859,8,2.07,6,2,3000,9,2.33,4,5,800,120,31.01,78,42,1857,249,64.34,92,157,586,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,7,1.81,5,2,2500,1,0.26,1,0,0,1,0.26,1,0,0,2,0.52,2,0,0,6,1.55,1,5,200,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Papparapatt,10,yes,1,1,0,0,0,0.0,37,27.36,98,72.64,3,1.9,20,12.72,36.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4017,Onnappagoundanahalli,Pennagaram,Dharmapuri,4337,593,993,4.4,2197,2140,1027,624,330,294,1122,65,1.5,34,31,1097,0,0.0,0,0,0,1714,46.16,1124,590,1905,1964,45.3,1231,733,1679,344,7.9,0,344,0,2029,46.8,966,1063,909,1693,86.05,1053,640,1645,40,2.19,37,3,12333,231,11.76,141,90,1567,1019,51.88,707,312,2266,652,33.2,327,325,1006,19,0.01,19,0,0,3,0.15,0,3,0,0,0.0,0,0,0,23,1.17,21,2,10500,17,0.87,16,1,16000,73,3.72,29,44,659,13,0.66,13,0,0,145,7.38,99,46,2152,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Papparapatt,5,yes,1,1,0,0,0,0.0,176,29.26,425,70.74,87,11.83,45,6.12,175.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0
