"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
9919,Virakkal,Dindigul,Dindigul Anna,5680,730,1320,4.3,2880,2800,1029,805,399,406,983,875,15.4,434,441,984,0,0.0,0,0,0,2500,51.28,1561,939,1662,2749,48.4,1722,1027,1677,82,1.4,4,78,51,2849,50.2,1154,1695,681,2214,80.54,1353,861,1571,211,7.68,150,61,2459,324,11.79,219,105,2086,625,22.74,461,164,2811,1584,57.62,887,697,1273,5,0.0,5,0,0,0,0.0,0,0,0,146,5.31,86,60,1433,62,2.26,61,1,61000,3,0.11,3,0,0,70,2.55,64,6,10667,17,0.62,17,0,0,237,8.62,138,99,1394,yes,0,3,2,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Dindigu,11,yes,1,1,0,0,0,0.0,65,8.96,661,91.04,0,0.0,53,6.77,65.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9920,Kummampatti,Dindigul,Dindigul Anna,393,113,89,4.4,186,207,899,43,23,20,1150,0,0.0,0,0,0,0,0.0,0,0,0,237,67.71,127,110,1155,132,33.6,104,28,3714,0,0.0,0,0,0,261,66.4,82,179,458,67,50.76,49,18,2722,17,12.88,17,0,0,48,36.36,38,10,3800,26,19.7,25,1,25000,40,30.3,23,17,1353,1,0.01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,17,12.88,17,0,0,0,0.0,0,0,0,13,9.85,12,1,12000,0,0.0,0,0,0,35,26.52,26,9,2889,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Dindigu,10,yes,1,1,0,0,0,0.0,64,19.35,265,80.65,2,0.54,17,4.88,48.05,0.0,15.6,0.0,0.0,0.0,0.0,0.0
9921,Pithalaipatti,Dindigul,Dindigul Anna,1471,603,355,4.1,751,720,1043,162,88,74,1189,282,19.2,153,129,1186,0,0.0,0,0,0,857,65.47,530,327,1621,799,54.3,485,314,1545,29,2.0,0,29,0,643,43.7,266,377,706,547,68.46,271,276,982,134,16.77,132,2,66000,118,14.77,82,36,2278,111,13.89,80,31,2581,435,54.44,190,245,776,1,0.0,1,0,0,0,0.0,0,0,0,4,0.5,3,1,3000,130,16.27,129,1,129000,0,0.0,0,0,0,28,3.5,26,2,13000,14,1.75,14,0,0,76,9.51,42,34,1235,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Dindigu,7,yes,1,1,0,0,0,0.0,45,28.92,109,71.08,69,28.28,21,8.79,42.25,0.0,0.0,0.0,0.0,2.15,0.0,0.0
9922,Pillayarnattam,Dindigul,Dindigul Anna,1746,261,381,4.6,891,855,1042,229,118,111,1063,340,19.5,174,166,1048,2,0.1,1,1,1000,909,59.92,559,350,1597,751,43.0,514,237,2169,1,0.1,0,1,0,994,56.9,377,617,611,297,39.55,147,150,980,327,43.54,266,61,4361,127,16.91,101,26,3885,47,6.26,39,8,4875,246,32.76,106,140,757,4,0.01,2,2,1000,0,0.0,0,0,0,57,7.59,44,13,3385,269,35.82,221,48,4604,1,0.13,1,0,0,56,7.46,51,5,10200,13,1.73,13,0,0,58,7.72,37,21,1762,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Dindigu,5,yes,1,1,0,0,0,0.0,73,23.78,234,76.22,77,11.53,284,42.51,41.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0
9923,Alamarathupatti,Dindigul,Dindigul Anna,2407,262,591,4.1,1220,1187,1028,250,125,125,1000,564,23.4,283,281,1007,119,4.9,62,57,1088,1469,68.1,841,628,1339,870,36.1,664,206,3223,0,0.0,0,0,0,1537,63.9,556,981,567,471,54.14,322,149,2161,264,30.34,239,25,9560,135,15.52,103,32,3219,66,7.59,55,11,5000,404,46.44,266,138,1928,1,0.0,1,0,0,0,0.0,0,0,0,7,0.8,5,2,2500,250,28.74,227,23,9870,7,0.8,7,0,0,36,4.14,34,2,17000,24,2.76,24,0,0,75,8.62,45,30,1500,yes,0,1,0,0,0,0,0,0,0,0,yes,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Dindigu,8,yes,0,1,0,1,714,77.71,166,100.0,0,0.0,0,0.0,39,4.23,126.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
9924,Vakkampatti,Dindigul,Dindigul Anna,2454,1155,590,4.2,1270,1184,1073,289,164,125,1312,205,8.4,115,90,1278,0,0.0,0,0,0,1124,51.92,682,442,1543,930,37.9,674,256,2633,218,8.9,25,193,130,1306,53.2,571,735,777,730,78.49,509,221,2303,68,7.31,63,5,12600,132,14.19,102,30,3400,120,12.9,90,30,3000,609,65.48,419,190,2205,1,0.0,0,1,0,0,0.0,0,0,0,46,4.95,41,5,8200,19,2.04,19,0,0,3,0.32,3,0,0,17,1.83,17,0,0,15,1.61,15,0,0,100,10.75,70,30,2333,yes,0,4,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Dindigu,8,yes,0,0,0,1,0,0.0,66,38.54,105,61.46,6,2.67,36,16.96,0.0,0.0,65.8,0.0,0.0,0.0,0.0,0.0
9925,Munnilakottai,Dindigul,Dindigul Anna,3128,383,785,4.0,1547,1581,978,454,219,235,932,317,10.1,146,171,854,0,0.0,0,0,0,1362,50.93,848,514,1650,1506,48.1,862,644,1339,133,4.3,0,133,0,1489,47.6,685,804,852,1241,82.4,666,575,1158,108,7.17,74,34,2176,157,10.42,122,35,3486,484,32.14,266,218,1220,753,50.0,396,357,1109,4,0.0,4,0,0,0,0.0,0,0,0,59,3.92,29,30,967,45,2.99,41,4,10250,4,0.27,4,0,0,51,3.39,49,2,24500,18,1.2,18,0,0,88,5.84,55,33,1667,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Dindigu,9,yes,0,0,0,1,0,0.0,114,37.29,192,62.71,398,48.69,114,13.93,0.0,0.0,113.94,0.0,0.0,0.0,0.0,0.0
9926,Panjanpatti (N),Dindigul,Dindigul Anna,6162,2470,1473,4.2,3085,3077,1003,763,395,368,1073,533,8.6,285,248,1149,0,0.0,0,0,0,3706,68.64,2126,1580,1346,2688,43.6,1672,1016,1646,141,2.3,6,135,44,3333,54.1,1407,1926,731,1883,69.9,1087,796,1366,331,12.46,284,47,6043,474,17.63,301,173,1740,371,13.8,235,136,1728,1489,55.39,835,654,1277,19,0.01,14,5,2800,4,0.15,3,1,3000,54,2.01,37,17,2176,252,9.38,222,30,7400,25,0.93,25,0,0,124,4.61,91,33,2758,70,2.6,65,5,13000,280,10.42,145,135,1074,yes,0,1,1,1,1,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Dindigu,6,yes,0,0,0,1,194,77.76,48,100.0,0,0.0,0,0.0,7,3.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0
9927,Paraipatti,Dindigul,Dindigul Anna,7090,323,1620,4.4,3654,3436,1063,927,511,416,1228,2047,28.9,1057,990,1068,0,0.0,0,0,0,3022,49.03,1968,1054,1867,3679,51.9,2152,1527,1409,201,2.8,17,184,92,3210,45.3,1485,1725,861,3105,84.4,1744,1361,1281,269,7.31,171,98,1745,305,8.29,237,68,3485,909,24.71,670,239,2803,2173,59.06,1054,1119,942,23,0.01,20,3,6667,0,0.0,0,0,0,207,5.63,111,96,1156,61,1.66,59,2,29500,1,0.03,1,0,0,121,3.29,110,11,10000,21,0.57,21,0,0,163,4.43,106,57,1860,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,1,no,1,0,yes,0,1,0,1,0,0,Dindigu,12,yes,0,0,0,1,0,0.0,116,6.16,1766,93.84,0,0.0,314,14.3,0.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0
9928,Manalur,Dindigul,Dindigul Anna,2361,124,683,3.5,1179,1182,997,257,129,128,1008,419,17.7,205,214,958,96,4.1,48,48,1000,1215,57.75,699,516,1355,1455,61.6,803,652,1232,4,0.2,2,2,1000,902,38.2,374,528,708,1400,96.22,762,638,1194,1,0.07,1,0,0,54,3.71,40,14,2857,171,11.75,120,51,2353,1223,84.05,638,585,1091,6,0.0,4,2,2000,0,0.0,0,0,0,0,0.0,0,0,0,1,0.07,1,0,0,0,0.0,0,0,0,26,1.79,25,1,25000,7,0.48,6,1,6000,21,1.44,9,12,750,yes,0,3,1,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Dindigu,32,yes,0,0,0,1,1073,56.34,0,0.0,704,100.0,0,0.0,128,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
