"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
14996,Sengottai,Virudunagar,Kamarajar,1145,106,265,4.3,556,589,944,209,108,101,1069,677,59.1,331,346,957,6,0.5,2,4,500,531,56.73,338,193,1751,690,60.3,338,352,960,35,3.1,11,24,458,420,36.7,207,213,972,528,76.52,258,270,956,107,15.51,39,68,574,55,7.97,41,14,2929,39,5.65,39,0,0,487,70.58,217,270,804,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,105,15.22,37,68,544,2,0.29,2,0,0,8,1.16,8,0,0,9,1.3,9,0,0,38,5.51,24,14,1714,yes,0,2,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Virdhunaga,11,yes,0,0,0,1,0,0.0,84,8.5,900,91.5,13,1.22,83,7.68,62.36,0.0,21.23,0.0,0.0,0.0,0.0,0.0
14997,Ellinganayakkampatti,Virudunagar,Kamarajar,1080,137,258,4.2,538,542,993,168,91,77,1182,224,20.7,111,113,982,0,0.0,0,0,0,462,50.66,315,147,2143,671,62.1,331,340,974,15,1.4,0,15,0,394,36.5,207,187,1107,577,85.99,298,279,1068,64,9.54,9,55,164,30,4.47,24,6,4000,59,8.79,38,21,1810,497,74.07,239,258,926,21,0.03,21,0,0,0,0.0,0,0,0,1,0.15,0,1,0,62,9.24,8,54,148,1,0.15,1,0,0,15,2.24,12,3,4000,1,0.15,1,0,0,14,2.09,11,3,3667,yes,0,2,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,,10,yes,0,0,0,1,0,0.0,95,13.75,598,86.25,25,3.2,68,8.61,12.0,0.0,83.32,0.0,0.0,0.0,0.0,0.0
14998,Vadamalaikkuri,Virudunagar,Kamarajar,1846,350,502,3.7,937,909,1031,217,100,117,855,782,42.4,395,387,1021,0,0.0,0,0,0,1008,61.88,618,390,1585,937,50.8,496,441,1125,92,5.0,5,87,57,817,44.3,436,381,1144,824,87.94,403,421,957,21,2.24,18,3,6000,92,9.82,75,17,4412,772,82.39,386,386,1000,52,5.55,17,35,486,0,0.0,0,0,0,0,0.0,0,0,0,4,0.43,3,1,3000,17,1.81,15,2,7500,0,0.0,0,0,0,22,2.35,21,1,21000,4,0.43,4,0,0,66,7.04,50,16,3125,yes,0,2,1,1,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,SVirdhunaga,8,yes,0,0,0,1,0,0.0,182,53.06,161,46.94,49,9.33,135,25.67,42.65,0.0,139.07,0.0,0.0,0.0,0.0,0.0
14999,Sivagnanapuram,Virudunagar,Kamarajar,1212,209,273,4.4,616,596,1034,200,112,88,1273,142,11.7,68,74,919,0,0.0,0,0,0,440,43.48,299,141,2121,620,51.2,346,274,1263,77,6.4,3,74,41,515,42.5,267,248,1077,526,84.84,277,249,1112,26,4.19,11,15,733,68,10.97,58,10,5800,368,59.35,191,177,1079,137,22.1,69,68,1015,21,0.03,17,4,4250,0,0.0,0,0,0,0,0.0,0,0,0,24,3.87,9,15,600,2,0.32,2,0,0,30,4.84,30,0,0,2,0.32,2,0,0,36,5.81,26,10,2600,yes,0,3,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Virdhunaga,6,yes,0,0,0,1,0,0.0,67,13.48,430,86.52,10,1.73,73,12.51,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15000,Pullalaikkottai,Virudunagar,Kamarajar,1154,211,264,4.4,604,550,1098,197,104,93,1118,452,39.2,235,217,1083,0,0.0,0,0,0,574,59.98,375,199,1884,589,51.0,317,272,1165,9,0.8,2,7,286,556,48.2,285,271,1052,440,74.36,212,228,930,89,15.45,55,34,1618,60,10.19,50,10,5000,132,22.41,73,59,1237,306,51.95,137,169,811,0,0.0,0,0,0,2,0.34,2,0,0,0,0.0,0,0,0,60,10.19,26,34,765,29,4.92,29,0,0,11,1.87,10,1,10000,9,1.53,9,0,0,40,6.79,31,9,3444,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Virdhunaga,6,yes,0,0,0,1,0,0.0,105,27.43,278,72.57,53,9.73,111,20.29,26.7,0.0,78.53,0.0,0.0,0.0,0.0,0.0
15001,Allampatti,Virudunagar,Kamarajar,797,293,159,5.0,422,375,1125,93,58,35,1657,168,21.1,90,78,1154,25,3.1,14,11,1273,631,89.63,356,275,1295,196,24.6,172,24,7167,1,0.1,0,1,0,600,75.3,250,350,714,21,10.71,13,8,1625,49,25.0,44,5,8800,126,64.29,115,11,10455,3,1.53,1,2,500,18,9.18,12,6,2000,0,0.0,0,0,0,0,0.0,0,0,0,5,2.55,1,4,250,5,2.55,4,1,4000,39,19.9,39,0,0,9,4.59,8,1,8000,107,54.59,101,6,16833,10,5.1,6,4,1500,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Virdhunaga,1,yes,0,0,0,1,0,0.0,17,14.26,102,85.74,43,15.67,110,40.51,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15002,Chattrarediapatti,Virudunagar,Kamarajar,3208,389,802,4.0,1610,1598,1008,413,214,199,1075,835,26.0,423,412,1027,0,0.0,0,0,0,1971,70.52,1147,824,1392,1575,49.1,916,659,1390,43,1.3,0,43,0,1590,49.6,694,896,775,1107,70.29,521,586,889,181,11.49,160,21,7619,287,18.22,235,52,4519,194,12.32,103,91,1132,911,57.84,416,495,840,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,172,10.92,151,21,7190,9,0.57,9,0,0,61,3.87,47,14,3357,51,3.24,50,1,50000,175,11.11,138,37,3730,yes,0,6,1,1,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,1,1,0,0,Virdhunaga,5,yes,0,0,0,1,0,0.0,104,18.14,468,81.86,136,16.52,117,14.14,39.05,0.0,64.58,0.0,0.0,0.0,0.0,0.0
15003,Periaperali,Virudunagar,Kamarajar,2606,230,646,4.0,1323,1283,1031,364,188,176,1068,569,21.8,289,280,1032,0,0.0,0,0,0,1260,56.2,809,451,1794,1356,52.0,721,635,1135,117,4.5,41,76,539,1133,43.5,561,572,981,1192,87.91,597,595,1003,57,4.2,41,16,2563,107,7.89,83,24,3458,282,20.8,179,103,1738,892,65.78,401,491,817,18,0.01,17,1,17000,0,0.0,0,0,0,3,0.22,2,1,2000,41,3.02,27,14,1929,13,0.96,12,1,12000,36,2.65,29,7,4143,17,1.25,17,0,0,54,3.98,37,17,2176,yes,0,4,1,1,1,0,1,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Virdhunaga,5,yes,0,0,0,1,0,0.0,266,33.24,534,66.76,206,18.2,127,11.21,199.22,0.0,66.63,0.0,0.0,0.0,0.0,0.0
15004,Chinnamuppanpatti,Virudunagar,Kamarajar,895,202,209,4.3,450,445,1011,147,79,68,1162,0,0.0,0,0,0,0,0.0,0,0,0,316,42.25,173,143,1210,250,27.9,223,27,8259,0,0.0,0,0,0,645,72.1,227,418,543,154,61.6,133,21,6333,31,12.4,31,0,0,65,26.0,59,6,9833,62,24.8,56,6,9333,88,35.2,73,15,4867,4,0.02,4,0,0,0,0.0,0,0,0,0,0.0,0,0,0,30,12.0,30,0,0,1,0.4,1,0,0,25,10.0,24,1,24000,10,4.0,10,0,0,30,12.0,25,5,5000,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Virdhunaga,2,yes,0,0,0,1,0,0.0,5,2.75,189,97.25,29,6.65,218,49.34,5.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15005,Pelampatti,Virudunagar,Kamarajar,1634,1709,182,9.0,386,1248,309,90,42,48,875,104,6.4,20,84,238,0,0.0,0,0,0,1528,98.96,341,1187,287,251,15.4,205,46,4457,0,0.0,0,0,0,1383,84.6,181,1202,151,16,6.37,16,0,0,39,15.54,37,2,18500,196,78.09,152,44,3455,12,4.78,12,0,0,3,1.2,3,0,0,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,32,12.75,30,2,15000,7,2.79,7,0,0,63,25.1,61,2,30500,31,12.35,26,5,5200,102,40.64,65,37,1757,yes,0,1,1,1,0,1,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,virudunaga,11,yes,0,0,0,1,0,0.0,6,23.41,19,76.59,0,0.0,70,73.54,5.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0
