"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
17024,Nagercoil,Agastiswaram,Kanniyakumari,2662,694,649,4.1,1334,1328,1005,365,186,179,1039,649,24.4,324,325,997,4,0.2,2,2,1000,2003,87.2,1050,953,1102,952,35.8,735,217,3387,0,0.0,0,0,0,1710,64.2,599,1111,539,408,42.86,311,97,3206,254,26.68,164,90,1822,290,30.46,260,30,8667,45,4.73,45,0,0,357,37.5,260,97,2680,6,0.01,6,0,0,0,0.0,0,0,0,117,12.29,54,63,857,125,13.13,98,27,3630,12,1.26,12,0,0,142,14.92,137,5,27400,41,4.31,39,2,19500,107,11.24,84,23,3652,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,1,0,0,1,0,0,no,1,0,yes,0,1,0,1,1,0,Nagercoil,1,yes,0,0,0,1,0,0.0,257,98.85,3,1.15,0,0.0,124,32.21,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0
17025,Theroor,Agastiswaram,Kanniyakumari,10670,496,2583,4.1,5311,5359,991,1241,628,613,1024,3169,29.7,1552,1617,960,101,0.9,47,54,870,8039,85.26,4282,3757,1140,3886,36.4,2886,1000,2886,194,1.8,4,190,21,6590,61.8,2421,4169,581,2809,70.3,1978,831,2380,261,8.7,228,33,6909,816,21.0,680,136,5000,896,23.06,813,83,9795,1820,46.83,1103,717,1538,16,0.0,14,2,7000,77,1.98,48,29,1655,16,0.41,6,10,600,185,4.76,162,23,7043,60,1.54,60,0,0,208,5.35,197,11,17909,163,4.19,160,3,53333,445,11.45,323,122,2648,yes,0,8,2,1,0,0,0,0,1,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,1,1,0,no,2,0,yes,0,1,0,1,1,0,Nagercoi,10,yes,0,0,0,1,0,0.0,1338,100.0,0,0.0,21,0.98,794,36.87,0.0,0.0,1338.0,0.0,0.0,0.0,0.0,0.0
17026,Marangoor,Agastiswaram,Kanniyakumari,9677,624,2251,4.3,4728,4949,955,1170,617,553,1116,1025,10.6,511,514,994,0,0.0,0,0,0,7115,83.64,3611,3504,1031,3452,35.7,2607,845,3085,208,2.1,0,208,0,6017,62.2,2121,3896,544,2650,76.42,1990,660,3015,278,8.4,214,64,3344,524,15.18,403,121,3331,730,21.15,671,59,11373,1893,54.84,1294,599,2160,15,0.0,14,1,14000,12,0.35,11,1,11000,72,2.09,27,45,600,110,3.19,91,19,4789,96,2.78,96,0,0,190,5.5,170,20,8500,61,1.77,58,3,19333,273,7.91,175,98,1786,yes,0,1,2,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,1,0,0,0,0,0,0,6,0,0,yes,0,0,0,1,0,yes,0,1,1,0,1,0,0,0,1,1,0,no,1,0,yes,0,1,0,1,1,0,Nagercoi,9,yes,0,0,0,1,0,0.0,739,100.0,0,0.0,239,15.41,573,36.93,0.0,0.0,739.0,0.0,0.0,0.0,0.0,0.0
17027,Thekkumalai RF,Agastiswaram,Kanniyakumari,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17028,Kulasekarapuram,Agastiswaram,Kanniyakumari,10042,712,2171,4.6,5051,4991,1012,1233,655,578,1133,613,6.1,302,311,971,30,0.3,12,18,667,7523,85.4,3962,3561,1113,3485,34.7,2770,715,3874,214,2.1,2,212,9,6343,63.2,2279,4064,561,2567,72.22,1987,580,3426,295,9.9,250,45,5556,623,17.88,533,90,5922,1763,50.59,1262,501,2519,748,21.46,672,76,8842,6,0.0,6,0,0,50,1.43,47,3,15667,41,1.18,14,27,519,246,7.06,228,18,12667,8,0.23,8,0,0,189,5.42,182,7,26000,96,2.75,95,1,95000,338,9.7,256,82,3122,yes,0,4,2,1,0,0,0,0,1,0,yes,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,0,0,1,1,yes,0,1,1,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,1,0,Nagercoi,10,yes,0,0,0,1,0,0.0,697,80.84,165,19.16,150,10.66,399,28.24,0.0,0.0,244.14,0.0,0.0,452.9,0.0,0.0
17029,Eraviputhoor,Agastiswaram,Kanniyakumari,8802,1125,2024,4.3,4414,4388,1006,1033,537,496,1083,977,11.1,471,506,931,128,1.5,66,62,1065,6282,80.86,3295,2987,1103,2992,34.0,2377,615,3865,160,1.8,21,139,151,5650,64.2,2016,3634,555,2039,68.11,1569,470,3338,274,9.19,227,47,4830,679,22.69,581,98,5929,288,9.63,263,25,10520,1733,57.92,1289,444,2903,17,0.01,16,1,16000,1,0.03,1,0,0,123,4.11,104,19,5474,135,4.51,108,27,4000,16,0.53,15,1,15000,181,6.05,166,15,11067,150,5.01,148,2,74000,348,11.63,267,81,3296,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,1,1,0,no,1,0,yes,0,1,0,1,1,0,Nagercoi,8,yes,0,0,0,1,0,0.0,522,100.0,0,0.0,12,1.5,249,31.81,0.0,0.0,521.62,0.0,0.0,0.0,0.0,0.0
17030,Suchindrum,Agastiswaram,Kanniyakumari,7120,1322,1660,4.3,3532,3588,984,720,370,350,1057,751,10.5,367,384,956,38,0.5,17,21,810,5927,92.61,3023,2904,1041,1961,27.5,1672,289,5785,18,0.3,6,12,500,5141,72.2,1854,3287,564,872,44.42,708,164,4317,208,10.66,191,17,11235,881,44.93,773,108,7157,134,6.83,133,1,133000,728,37.12,565,163,3466,9,0.0,9,0,0,1,0.05,1,0,0,18,0.92,16,2,8000,119,6.07,105,14,7500,71,3.62,70,1,70000,261,13.31,255,6,42500,135,6.88,130,5,26000,485,24.73,388,97,4000,yes,0,4,1,1,0,0,0,0,0,0,yes,0,2,1,0,1,0,1,0,0,0,0,3,0,1,0,0,yes,0,0,0,1,1,yes,0,1,0,0,0,1,0,0,1,1,0,no,1,0,yes,0,1,1,1,1,0,Nagercoi,5,yes,0,0,0,1,0,0.0,283,100.0,0,0.0,76,14.11,179,33.28,0.0,0.0,283.36,0.0,0.0,0.0,0.0,0.0
17031,Thamaraikulam,Agastiswaram,Kanniyakumari,19961,1244,4469,4.5,9733,10228,952,2460,1228,1232,997,660,3.3,332,328,1012,0,0.0,0,0,0,14890,85.08,7548,7342,1028,6071,30.4,5153,918,5613,470,2.4,27,443,61,13420,67.2,4553,8867,513,3601,58.51,3436,165,20824,1131,19.44,655,476,1376,1339,22.06,1062,277,3834,1434,23.62,1415,19,74474,1713,28.22,1581,132,11977,405,0.07,403,2,201500,49,0.81,37,12,3083,344,5.67,89,255,349,504,8.3,286,218,1312,283,4.66,280,3,93333,370,6.09,323,47,6872,155,2.55,154,1,154000,814,13.41,585,229,2555,yes,0,9,3,2,0,0,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,1,0,6,0,0,yes,0,0,0,1,1,yes,0,1,0,0,1,1,0,0,0,1,0,no,3,0,yes,0,1,1,1,1,0,Nagercoi,12,yes,0,0,0,1,0,0.0,264,100.0,0,0.0,741,46.2,599,37.34,0.0,0.0,194.11,0.0,0.0,69.92,0.0,0.0
17032,Kottaram,Agastiswaram,Kanniyakumari,8035,690,1827,4.4,3968,4067,976,956,501,455,1101,826,10.3,400,426,939,16,0.2,11,5,2200,6383,90.17,3249,3134,1037,2317,28.8,1958,359,5454,229,2.9,19,210,90,5489,68.3,1991,3498,569,1174,50.32,1031,143,7210,313,13.85,254,59,4305,830,35.82,673,157,4287,685,29.56,654,31,21097,455,19.64,343,112,3063,26,0.01,26,0,0,8,0.35,8,0,0,39,1.68,22,17,1294,202,8.72,160,42,3810,72,3.11,72,0,0,264,11.39,242,22,11000,114,4.92,109,5,21800,452,19.51,322,130,2477,yes,0,3,2,1,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,yes,0,0,0,1,1,yes,0,0,0,1,1,0,0,0,0,1,0,yes,0,0,yes,0,1,1,1,1,0,Nagercoi,13,yes,0,0,0,1,0,0.0,537,100.0,0,0.0,189,16.25,438,37.62,0.0,0.0,537.35,0.0,0.0,0.0,0.0,0.0
17033,Agasteeswaram,Agastiswaram,Kanniyakumari,12380,1306,2651,4.7,6093,6287,969,1559,756,803,941,217,1.8,111,106,1047,0,0.0,0,0,0,8827,81.57,4502,4325,1041,3520,28.4,3091,429,7205,143,1.2,39,104,375,8717,70.4,2963,5754,515,2395,67.93,2328,67,34746,372,10.68,200,172,1163,753,21.39,563,190,2963,944,26.82,921,23,40043,742,21.08,700,42,16667,705,0.2,703,2,351500,4,0.11,4,0,0,106,3.01,8,98,82,158,4.49,84,74,1135,108,3.07,108,0,0,269,7.64,180,89,2022,121,3.44,119,2,59500,363,10.31,264,99,2667,yes,0,4,1,1,0,1,0,0,0,0,yes,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,yes,0,0,0,1,1,yes,0,1,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,1,1,1,0,Nagercoi,14,no,0,0,0,0,0,0.0,88,100.0,0,0.0,449,47.33,412,43.41,0.0,0.0,87.74,0.0,0.0,0.0,0.0,0.0
