"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
17003,Veerapuli RF,Thovala,Kanniyakumari,211,1,55,3.8,114,97,1175,36,24,12,2000,0,0.0,0,0,0,209,99.1,113,96,1177,81,46.29,46,35,1314,64,30.3,61,3,20333,10,4.7,1,9,111,137,64.9,52,85,612,63,98.44,61,2,30500,1,1.56,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,61,95.31,59,2,29500,2,0.03,2,0,0,0,0.0,0,0,0,1,1.56,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,no,2,0,0,0,1,0,Padmanabhapura,20,yes,1,1,0,0,18843,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17004,Asambu RF,Thovala,Kanniyakumari,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17005,Mahendragiri RF,Thovala,Kanniyakumari,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17006,Poigaimalai RF,Thovala,Kanniyakumari,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17007,Thadagamalai RF,Thovala,Kanniyakumari,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17008,Ananthapuram,Thovala,Kanniyakumari,4702,183,1136,4.1,2356,2346,1004,550,275,275,1000,196,4.2,86,110,782,5,0.1,4,1,4000,3383,81.48,1782,1601,1113,1680,35.7,1357,323,4201,54,1.1,0,54,0,2968,63.1,999,1969,507,1314,78.15,1058,256,4133,82,4.94,68,14,4857,284,16.9,231,53,4358,249,14.82,234,15,15600,1056,62.86,818,238,3437,8,0.0,5,3,1667,1,0.06,1,0,0,1,0.06,1,0,0,67,3.99,54,13,4154,14,0.83,13,1,13000,101,6.01,88,13,6769,42,2.5,42,0,0,141,8.39,101,40,2525,yes,0,2,1,1,0,0,0,0,0,2,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,yes,0,0,0,1,0,yes,0,1,1,0,1,0,0,0,1,0,0,yes,0,1,yes,0,1,0,1,0,0,Nagercoi,15,yes,1,1,0,0,1276,49.72,710,78.23,198,21.77,0,0.0,383,14.93,0.0,0.0,0.0,0.0,0.0,709.78,0.0,0.0
17009,Azhagiapandipuram,Thovala,Kanniyakumari,13179,761,3017,4.4,6628,6551,1012,1539,754,785,961,743,5.6,372,371,1003,7,0.1,3,4,750,9567,82.19,5081,4486,1133,4295,32.6,3591,704,5101,493,3.7,53,440,120,8391,63.7,2984,5407,552,3584,83.42,3019,565,5343,172,4.03,126,46,2739,539,12.55,446,93,4796,770,17.93,737,33,22333,2645,61.58,2149,496,4333,168,0.04,132,36,3667,1,0.02,1,0,0,104,2.42,67,37,1811,49,1.14,41,8,5125,19,0.44,18,1,18000,97,2.26,85,12,7083,64,1.49,63,1,63000,378,8.8,298,80,3725,yes,0,3,1,1,1,0,0,1,0,1,yes,0,4,1,0,0,0,0,0,2,0,0,0,0,1,0,2,yes,0,0,0,1,1,yes,0,0,1,0,1,0,0,0,0,1,0,yes,0,1,yes,0,1,0,1,0,0,Nagercoi,14,yes,1,1,0,0,180,10.4,1505,100.0,0,0.0,0,0.0,46,2.67,0.0,0.0,0.0,0.0,0.0,1505.2,0.0,0.0
17010,Derisanamcope,Thovala,Kanniyakumari,5659,300,1354,4.2,2790,2869,972,666,343,323,1062,623,11.0,299,324,923,5,0.1,2,3,667,4181,83.74,2151,2030,1060,1840,32.5,1505,335,4493,154,2.7,39,115,339,3665,64.8,1246,2419,515,1443,76.85,1195,248,4819,69,5.33,60,9,6667,328,17.83,250,78,3205,307,16.68,291,16,18188,1021,55.49,799,222,3599,86,0.05,77,9,8556,29,1.58,28,1,28000,8,0.43,5,3,1667,56,3.04,50,6,8333,5,0.27,5,0,0,104,5.65,91,13,7000,37,2.01,34,3,11333,187,10.16,125,62,2016,yes,0,3,1,0,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,0,0,1,1,1,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Nagercoi,14,yes,1,1,0,0,8,0.43,488,34.9,909,65.1,1,0.03,481,25.53,0.0,0.0,462.46,0.0,0.0,24.69,0.0,0.0
17011,Arumanalloor,Thovala,Kanniyakumari,8376,946,1766,4.7,4169,4207,991,995,500,495,1010,546,6.5,271,275,985,126,1.5,73,53,1377,5561,75.34,2877,2684,1072,2765,33.0,2177,588,3702,7,0.1,0,7,0,5604,66.9,1992,3612,551,2452,88.68,1937,515,3761,31,1.12,27,4,6750,282,10.2,213,69,3087,134,4.85,128,6,21333,2030,73.42,1618,412,3927,288,0.1,191,97,1969,0,0.0,0,0,0,3,0.11,3,0,0,27,0.98,23,4,5750,1,0.04,1,0,0,90,3.25,85,5,17000,32,1.16,31,1,31000,160,5.79,97,63,1540,yes,0,4,2,2,0,0,0,0,0,0,yes,0,2,0,0,1,0,0,0,0,0,0,1,0,3,0,0,yes,0,1,0,0,1,yes,0,0,0,1,1,1,0,0,1,0,0,yes,0,1,yes,0,1,0,1,0,0,Nagercoi,22,yes,1,1,0,0,6,0.72,496,71.99,193,28.01,0,0.0,190,21.43,0.0,0.0,0.0,0.0,0.0,496.0,0.0,0.0
17012,Velimalai RF,Thovala,Kanniyakumari,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
