"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
14306,Pulimancombai,Andipatti,Madurai,3027,176,647,4.7,1508,1519,993,514,273,241,1133,691,22.8,350,341,1026,6,0.2,4,2,2000,769,30.6,553,216,2560,1789,59.1,937,852,1100,94,3.1,0,94,0,1144,37.8,571,573,997,1689,94.41,875,814,1075,12,0.67,10,2,5000,88,4.92,52,36,1444,878,49.08,491,387,1269,792,44.27,368,424,868,19,0.01,16,3,5333,0,0.0,0,0,0,0,0.0,0,0,0,6,0.34,4,2,2000,6,0.34,6,0,0,19,1.06,14,5,2800,6,0.34,5,1,5000,63,3.52,33,30,1100,yes,0,4,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Andipatt,15,yes,1,1,0,0,0,0.0,0,0.0,1283,100.0,0,0.0,440,25.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14307,Andipatti Notheren Block RF,Andipatti,Madurai,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14308,TimmarasanayakkanurF,Andipatti,Madurai,14775,315,3368,4.4,7522,7253,1037,2160,1193,967,1234,3152,21.3,1561,1591,981,0,0.0,0,0,0,7067,56.02,4437,2630,1687,7498,50.7,4278,3220,1329,432,2.9,10,422,24,6845,46.3,3234,3611,896,5545,73.85,2954,2591,1140,1202,16.14,712,490,1453,751,10.02,612,139,4403,2299,30.66,1482,817,1814,3158,42.12,1395,1763,791,80,0.01,70,10,7000,8,0.11,7,1,7000,660,8.8,373,287,1300,477,6.36,288,189,1524,65,0.87,51,14,3643,270,3.6,234,36,6500,74,0.99,74,0,0,407,5.43,304,103,2951,yes,0,10,4,3,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,yes,0,1,0,1,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Andipatt,5,yes,1,1,1,0,0,0.0,6,0.15,3952,99.85,0,0.0,728,15.54,6.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14309,Kovilpatti,Andipatti,Madurai,7660,288,1648,4.6,3878,3782,1025,1115,597,518,1153,1291,16.9,667,624,1069,0,0.0,0,0,0,3449,52.7,2223,1226,1813,3754,49.0,2191,1563,1402,156,2.0,0,156,0,3750,49.0,1687,2063,818,3270,86.63,1757,1513,1161,87,2.8,85,2,42500,397,10.58,349,48,7271,535,14.25,397,138,2877,2703,72.0,1335,1368,976,14,0.0,14,0,0,18,0.48,11,7,1571,2,0.05,1,1,1000,46,1.23,45,1,45000,39,1.04,39,0,0,185,4.93,179,6,29833,56,1.49,55,1,55000,156,4.16,115,41,2805,yes,0,8,4,3,0,0,0,0,1,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Andipatt,8,yes,1,1,0,0,0,0.0,975,80.61,235,19.39,102,3.83,1346,50.64,975.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14310,Shanmugasundarapuram,Andipatti,Madurai,8111,286,1692,4.8,4167,3944,1057,1261,650,611,1064,2745,33.8,1411,1334,1058,0,0.0,0,0,0,3894,56.85,2528,1366,1851,4390,54.1,2437,1953,1248,83,1.0,2,81,25,3638,44.9,1728,1910,905,3861,84.87,1969,1892,1041,299,9.89,294,5,58800,230,5.24,174,56,3107,987,22.48,553,434,1274,2721,61.98,1329,1392,955,18,0.0,14,4,3500,135,3.08,73,62,1177,3,0.07,2,1,2000,271,6.17,268,3,89333,25,0.57,24,1,24000,57,1.3,50,7,7143,37,0.84,37,0,0,136,3.1,87,49,1776,yes,0,8,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Andipatt,5,yes,1,1,0,0,0,0.0,60,2.92,2011,97.08,704,24.8,65,2.28,60.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14311,Kunnur,Andipatti,Madurai,5020,299,1113,4.5,2599,2421,1074,779,417,362,1152,3286,65.5,1716,1570,1093,0,0.0,0,0,0,2397,56.52,1466,931,1575,2331,46.4,1574,757,2079,532,10.6,5,527,9,2157,43.0,1020,1137,897,2058,88.29,1368,690,1983,58,2.49,45,13,3462,215,9.22,161,54,2981,490,21.02,378,112,3375,1565,67.14,987,578,1708,3,0.0,3,0,0,0,0.0,0,0,0,17,0.73,6,11,545,29,1.24,28,1,28000,12,0.51,11,1,11000,29,1.24,27,2,13500,17,0.73,17,0,0,169,7.25,117,52,2250,yes,0,1,1,1,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Then,5,yes,1,0,0,0,150,8.92,298,40.37,441,59.63,655,39.03,134,7.99,298.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14312,Marikkundu,Andipatti,Madurai,3594,330,788,4.6,1809,1785,1013,499,260,239,1088,310,8.6,158,152,1039,0,0.0,0,0,0,1782,57.58,1110,672,1652,2241,62.4,1105,1136,973,1,0.0,0,1,0,1352,37.6,704,648,1086,2141,95.54,1024,1117,917,32,1.43,30,2,15000,68,3.03,51,17,3000,536,23.92,280,256,1094,1604,71.58,743,861,863,1,0.0,1,0,0,0,0.0,0,0,0,11,0.49,9,2,4500,19,0.85,19,0,0,2,0.09,2,0,0,13,0.58,13,0,0,6,0.27,6,0,0,49,2.19,32,17,1882,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Andipatt,14,yes,1,1,0,0,0,0.0,19,2.6,726,97.4,138,12.67,205,18.86,19.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14313,Tekkampatti,Andipatti,Madurai,2029,390,466,4.4,1001,1028,974,283,140,143,979,1495,73.7,741,754,983,0,0.0,0,0,0,1036,59.34,669,367,1823,1216,59.9,576,640,900,9,0.4,0,9,0,804,39.6,425,379,1121,1110,91.28,492,618,796,22,1.81,22,0,0,84,6.91,62,22,2818,286,23.52,186,100,1860,824,67.76,306,518,591,0,0.0,0,0,0,0,0.0,0,0,0,1,0.08,1,0,0,19,1.56,19,0,0,2,0.16,2,0,0,16,1.32,16,0,0,12,0.99,12,0,0,56,4.61,34,22,1545,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Andipatt,12,yes,1,1,0,0,0,0.0,11,2.74,407,97.26,41,7.81,61,11.66,11.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14314,G. Usilampatti,Andipatti,Madurai,2790,483,647,4.3,1448,1342,1079,384,204,180,1133,259,9.3,138,121,1140,0,0.0,0,0,0,1308,54.36,871,437,1993,1300,46.6,754,546,1381,128,4.6,19,109,174,1362,48.8,675,687,983,1153,88.69,631,522,1209,13,1.0,11,2,5500,134,10.31,112,22,5091,225,17.31,154,71,2169,928,71.38,477,451,1058,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,11,0.85,9,2,4500,2,0.15,2,0,0,46,3.54,43,3,14333,12,0.92,12,0,0,76,5.85,57,19,3000,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Andipatt,15,yes,1,1,0,0,0,0.0,5,0.95,488,99.05,17,3.0,67,11.65,4.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14315,Mottanuthu,Andipatti,Madurai,8859,314,1969,4.5,4603,4256,1082,1294,656,638,1028,3117,35.2,1622,1495,1085,0,0.0,0,0,0,4048,53.51,2682,1366,1963,4712,53.2,2635,2077,1269,67,0.8,3,64,47,4080,46.1,1965,2115,929,4151,88.09,2196,1955,1123,186,3.95,145,41,3537,375,7.96,294,81,3630,841,17.85,526,315,1670,3306,70.16,1667,1639,1017,4,0.0,3,1,3000,0,0.0,0,0,0,137,2.91,100,37,2703,41,0.87,37,4,9250,8,0.17,8,0,0,59,1.25,47,12,3917,18,0.38,16,2,8000,298,6.32,231,67,3448,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Ando[att,5,yes,1,1,0,0,0,0.0,0,0.0,2312,100.0,463,16.4,47,1.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
