"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
14506,Kongampatti,Melur,Madurai,3863,207,996,3.9,1861,2002,930,524,280,244,1148,844,21.8,421,423,995,0,0.0,0,0,0,1713,51.3,1176,537,2190,1851,47.9,1031,820,1257,17,0.4,0,17,0,1995,51.6,830,1165,712,1776,95.95,974,802,1214,8,0.43,8,0,0,67,3.62,49,18,2722,989,53.43,646,343,1883,787,42.52,328,459,715,0,0.0,0,0,0,0,0.0,0,0,0,1,0.05,1,0,0,7,0.38,7,0,0,0,0.0,0,0,0,11,0.59,10,1,10000,6,0.32,6,0,0,50,2.7,33,17,1941,yes,0,4,1,0,0,0,0,0,0,0,yes,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,1,no,1,0,yes,0,1,0,0,1,0,Melu,15,yes,0,0,0,1,0,0.0,702,69.86,303,30.14,60,3.22,800,42.9,0.0,0.0,0.0,0.0,0.0,701.88,0.0,0.0
14507,Malampatti,Melur,Madurai,2681,192,643,4.2,1307,1374,951,391,168,223,753,288,10.7,136,152,895,0,0.0,0,0,0,898,39.21,597,301,1983,1592,59.4,839,753,1114,125,4.7,3,122,25,964,36.0,465,499,932,1534,96.23,798,736,1084,8,0.63,6,2,3000,50,3.14,35,15,2333,1048,65.83,590,458,1288,484,30.4,207,277,747,0,0.0,0,0,0,2,0.13,1,1,1000,0,0.0,0,0,0,4,0.25,4,0,0,4,0.25,2,2,1000,8,0.5,7,1,7000,4,0.25,4,0,0,38,2.39,24,14,1714,yes,0,3,1,1,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,1,no,1,0,yes,0,1,0,1,0,0,Melu,11,yes,0,0,0,1,0,0.0,466,55.75,370,44.25,15,1.08,544,39.01,0.0,0.0,313.78,0.0,0.0,152.0,0.0,0.0
14508,Pulipattii,Melur,Madurai,1596,605,354,4.5,828,768,1078,281,150,131,1145,748,46.9,398,350,1137,0,0.0,0,0,0,536,40.76,368,168,2190,791,49.6,433,358,1209,1,0.1,0,1,0,804,50.4,395,409,966,759,95.95,408,351,1162,7,0.88,7,0,0,25,3.16,18,7,2571,169,21.37,138,31,4452,589,74.46,269,320,841,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,0.63,5,0,0,2,0.25,2,0,0,4,0.51,4,0,0,4,0.51,4,0,0,17,2.15,10,7,1429,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,1,0,0,0,0,0,1,no,2,0,yes,0,1,0,1,0,0,Melu,8,yes,0,0,0,1,0,0.0,85,47.44,95,52.56,0,0.0,84,31.68,0.0,0.0,76.49,0.0,0.0,9.0,0.0,0.0
14509,A.Vallalapatti,Melur,Madurai,6806,414,1498,4.5,3412,3394,1005,1007,539,468,1152,1344,19.7,663,681,974,0,0.0,0,0,0,2966,51.15,1887,1079,1749,3566,52.4,2052,1514,1355,85,1.2,0,85,0,3155,46.4,1360,1795,758,3259,91.03,1782,1477,1206,46,1.65,39,7,5571,261,7.32,231,30,7700,1021,28.63,805,216,3727,2222,62.31,961,1261,762,3,0.0,3,0,0,13,0.36,13,0,0,8,0.22,6,2,3000,36,1.01,31,5,6200,2,0.06,2,0,0,70,1.96,65,5,13000,11,0.31,11,0,0,180,5.05,155,25,6200,yes,0,4,2,2,1,0,0,0,0,0,yes,0,0,1,0,0,1,0,0,3,0,0,0,0,0,0,1,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,1,no,2,0,yes,0,1,0,1,0,0,Melu,10,yes,0,0,0,1,0,0.0,784,68.59,359,31.41,80,4.87,420,25.54,0.0,0.0,163.61,0.0,0.0,620.5,0.0,0.0
14510,Kidaripatti,Melur,Madurai,4352,248,951,4.6,2243,2109,1064,722,396,326,1215,754,17.3,382,372,1027,0,0.0,0,0,0,1700,46.83,1108,592,1872,1889,43.4,1217,672,1811,258,5.9,0,258,0,2205,50.7,1026,1179,870,1432,70.04,927,505,1836,113,11.75,81,32,2531,344,18.21,209,135,1548,304,16.09,254,50,5080,956,50.61,557,399,1396,63,0.03,55,8,6875,109,5.77,61,48,1271,37,1.96,23,14,1643,67,3.55,51,16,3188,9,0.48,7,2,3500,237,12.55,125,112,1116,18,0.95,18,0,0,89,4.71,66,23,2870,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,1,no,2,0,yes,0,1,0,1,0,0,Melur,14,yes,0,0,0,1,0,0.0,274,21.8,982,78.2,84,4.78,416,23.71,0.0,0.0,0.0,0.0,0.0,273.72,0.0,0.0
14511,Ayuthapatti,Melur,Madurai,141,69,24,5.9,73,68,1074,30,12,18,667,0,0.0,0,0,0,0,0.0,0,0,0,47,42.34,38,9,4222,74,52.5,39,35,1114,1,0.7,0,1,0,66,46.8,34,32,1063,72,97.3,37,35,1057,1,1.35,1,0,0,1,1.35,1,0,0,0,0.0,0,0,0,72,97.3,37,35,1057,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,1.35,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,1.35,1,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Melu,16,yes,0,0,0,1,0,0.0,0,0.0,108,100.0,5,2.46,90,44.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14512,A.Valayapatti,Melur,Madurai,2061,615,447,4.6,1020,1041,980,348,184,164,1122,222,10.8,100,122,820,0,0.0,0,0,0,893,52.13,570,323,1765,954,46.3,548,406,1350,0,0.0,0,0,0,1107,53.7,472,635,743,754,79.04,370,384,964,21,2.2,20,1,20000,179,18.76,158,21,7524,219,22.96,109,110,991,533,55.87,259,274,945,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,16,1.68,15,1,15000,5,0.52,5,0,0,36,3.77,32,4,8000,15,1.57,15,0,0,128,13.42,111,17,6529,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,1,no,3,0,yes,0,1,0,1,0,0,Melu,3,yes,0,0,0,1,0,0.0,4,1.52,259,98.48,5,1.49,68,20.2,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
14513,Pudusukkampatti,Melur,Madurai,3309,396,774,4.3,1660,1649,1007,476,267,209,1278,735,22.2,382,353,1082,16,0.5,9,7,1286,1761,62.16,1067,694,1537,1253,37.9,926,327,2832,152,4.6,4,148,27,1904,57.5,730,1174,622,919,73.34,635,284,2236,129,10.3,112,17,6588,205,16.36,179,26,6885,244,19.47,220,24,9167,669,53.39,410,259,1583,6,0.0,5,1,5000,0,0.0,0,0,0,8,0.64,5,3,1667,87,6.94,85,2,42500,34,2.71,22,12,1833,69,5.51,68,1,68000,21,1.68,21,0,0,115,9.18,90,25,3600,yes,0,4,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,1,no,1,0,yes,0,1,0,1,0,0,Melu,3,yes,0,0,0,1,0,0.0,520,83.45,103,16.55,50,5.98,163,19.48,0.0,0.0,51.96,0.0,0.0,468.0,0.0,0.0
14514,Navinipatti,Melur,Madurai,6770,506,1572,4.3,3446,3324,1037,960,510,450,1133,1803,26.6,909,894,1017,0,0.0,0,0,0,3349,57.64,2139,1210,1768,3223,47.6,2041,1182,1727,16,0.2,0,16,0,3531,52.2,1405,2126,661,2611,81.01,1469,1142,1286,110,3.41,103,7,14714,502,15.58,469,33,14212,765,23.74,586,179,3274,1842,57.15,879,963,913,4,0.0,4,0,0,0,0.0,0,0,0,26,0.81,20,6,3333,57,1.77,56,1,56000,27,0.84,27,0,0,177,5.49,171,6,28500,80,2.48,80,0,0,245,7.6,218,27,8074,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,1,no,1,0,no,1,1,0,1,0,0,Melu,5,yes,0,0,0,1,0,0.0,754,76.3,234,23.7,40,2.99,309,23.08,0.0,0.0,0.0,0.0,0.0,754.05,0.0,0.0
14515,Keelaiyur,Melur,Madurai,4529,410,1067,4.2,2280,2249,1014,611,305,306,997,1143,25.2,561,582,964,0,0.0,0,0,0,2392,61.05,1514,878,1724,1977,43.7,1299,678,1916,640,14.1,4,636,6,1912,42.2,977,935,1045,1674,77.49,1033,641,1612,53,9.86,48,5,9600,250,12.65,218,32,6813,502,25.39,397,105,3781,1029,52.05,529,500,1058,1,0.0,1,0,0,142,7.18,106,36,2944,14,0.71,11,3,3667,37,1.87,35,2,17500,2,0.1,2,0,0,72,3.64,68,4,17000,60,3.03,60,0,0,118,5.97,90,28,3214,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,1,no,1,0,yes,0,1,0,1,0,0,Melu,10,yes,0,0,0,1,0,0.0,670,78.68,181,21.32,0,0.0,253,22.89,0.0,0.0,0.0,0.0,0.0,669.67,0.0,0.0
