"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
14273,Vadagarai,Periyakulam,Madurai,3720,160,839,4.4,1896,1824,1039,522,287,235,1221,267,7.2,135,132,1023,13,0.3,7,6,1167,1497,46.81,952,545,1747,1393,37.4,1103,290,3803,201,5.4,6,195,31,2126,57.2,787,1339,588,1074,76.17,818,256,3195,96,7.82,86,10,8600,223,16.01,199,24,8292,99,7.11,91,8,11375,960,68.92,713,247,2887,2,0.0,2,0,0,13,0.93,12,1,12000,5,0.36,5,0,0,78,5.6,70,8,8750,13,0.93,11,2,5500,99,7.11,93,6,15500,55,3.95,55,0,0,69,4.95,51,18,2833,yes,0,2,3,1,1,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,1,0,Periyakula,2,yes,1,1,0,0,0,0.0,810,41.29,1151,58.71,89,3.85,270,11.65,86.38,0.0,316.96,0.0,0.0,406.23,0.0,0.0
14274,Keelavadagarai,Periyakulam,Madurai,5207,321,1199,4.3,2658,2549,1043,782,410,372,1102,985,18.9,497,488,1018,4,0.1,3,1,3000,2878,65.04,1697,1181,1437,1947,37.4,1421,526,2702,17,0.3,0,17,0,3243,62.3,1237,2006,617,1504,77.25,1023,481,2127,58,2.98,57,1,57000,385,19.77,341,44,7750,166,8.53,126,40,3150,1327,68.16,886,441,2009,11,0.01,11,0,0,0,0.0,0,0,0,1,0.05,1,0,0,33,1.69,32,1,32000,24,1.23,24,0,0,107,5.5,105,2,52500,75,3.85,75,0,0,203,10.43,161,42,3833,yes,0,4,3,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,1,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,1,Periyakula,2,yes,0,0,1,0,0,0.0,409,39.55,625,60.45,203,12.55,383,23.64,91.83,0.0,159.06,0.0,19.69,138.28,0.0,0.0
14275,Pudukottai,Periyakulam,Madurai,1930,122,439,4.4,993,937,1060,292,155,137,1131,303,15.7,155,148,1047,10,0.5,7,3,2333,1059,64.65,635,424,1498,968,50.2,604,364,1659,2,0.1,0,2,0,960,49.7,389,571,681,868,89.67,514,354,1452,18,1.86,18,0,0,82,8.47,72,10,7200,327,33.78,242,85,2847,532,54.96,263,269,978,9,0.01,9,0,0,0,0.0,0,0,0,5,0.52,5,0,0,12,1.24,12,0,0,1,0.1,1,0,0,19,1.96,18,1,18000,21,2.17,21,0,0,42,4.34,33,9,3667,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Periyakula,2,yes,0,0,0,1,0,0.0,205,19.34,856,80.66,275,17.43,243,15.39,155.34,0.0,37.93,0.0,0.0,12.06,0.0,0.0
14276,Murugamalai RF,Periyakulam,Madurai,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14277,Mullaikaradu Block RF,Periyakulam,Madurai,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14278,Devadanapatty,Periyakulam,Madurai,17905,509,3910,4.6,9096,8809,1033,2482,1282,1200,1068,5026,28.1,2498,2528,988,0,0.0,0,0,0,8292,53.76,5194,3098,1677,7907,44.2,5318,2589,2054,42,0.2,9,33,273,9956,55.6,3769,6187,609,6732,85.05,4335,2397,1809,246,3.2,200,46,4348,929,11.75,783,146,5363,1312,16.59,1164,148,7865,5400,68.29,3152,2248,1402,13,0.0,12,1,12000,7,0.09,7,0,0,111,1.4,69,42,1643,92,1.16,88,4,22000,43,0.54,43,0,0,284,3.59,259,25,10360,75,0.95,74,1,74000,570,7.21,450,120,3750,yes,0,3,3,1,0,0,1,0,0,0,yes,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,yes,0,0,0,1,0,yes,0,1,1,1,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Periyakula,13,yes,1,1,0,0,0,0.0,789,44.92,968,55.08,868,24.67,894,25.41,153.31,0.0,0.0,0.0,0.0,636.01,0.0,0.0
14279,Genguvarpatty,Periyakulam,Madurai,15732,378,3661,4.3,7943,7789,1020,2249,1219,1030,1183,4459,28.3,2265,2194,1032,174,1.1,91,83,1096,7531,55.86,4628,2903,1594,7223,45.9,4295,2928,1467,106,0.7,26,80,325,8403,53.4,3622,4781,758,5789,80.04,3168,2621,1209,316,4.49,232,84,2762,1118,15.48,895,223,4013,830,11.49,721,109,6615,4757,65.86,2302,2455,938,194,0.03,137,57,2404,8,0.11,8,0,0,23,0.32,20,3,6667,202,2.8,123,79,1557,91,1.26,89,2,44500,435,6.02,366,69,5304,140,1.94,140,0,0,543,7.52,389,154,2526,yes,0,1,1,1,1,0,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Vattalkund,6,yes,1,1,0,0,0,0.0,1116,45.5,1338,54.5,784,18.84,922,22.17,780.7,0.0,120.73,0.0,0.0,215.0,0.0,0.0
14280,Parambikaradu,Periyakulam,Madurai,554,31,126,4.4,270,284,951,81,49,32,1531,145,26.2,72,73,986,0,0.0,0,0,0,291,61.52,184,107,1720,279,50.4,164,115,1426,0,0.0,0,0,0,275,49.6,106,169,627,245,87.81,135,110,1227,2,0.72,2,0,0,32,11.47,27,5,5400,42,15.05,37,5,7400,202,72.4,97,105,924,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.36,1,0,0,1,0.36,1,0,0,16,5.73,15,1,15000,2,0.72,2,0,0,14,5.02,10,4,2500,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,2,0,0,0,1,0,periyakula,11,yes,0,0,0,1,1813,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14281,D.Vadipatty,Periyakulam,Madurai,592,129,132,4.5,305,287,1063,81,53,28,1893,0,0.0,0,0,0,135,22.8,73,62,1177,297,58.12,197,100,1970,284,48.0,171,113,1513,0,0.0,0,0,0,308,52.0,134,174,770,241,84.86,136,105,1295,9,3.17,9,0,0,34,11.97,26,8,3250,55,19.37,49,6,8167,186,65.49,87,99,879,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,3.17,9,0,0,0,0.0,0,0,0,17,5.99,15,2,7500,1,0.35,1,0,0,16,5.63,10,6,1667,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Periyakula,11,yes,0,1,0,0,0,0.0,58,23.23,190,76.77,0,0.0,212,46.06,41.76,0.0,0.0,0.0,0.0,15.88,0.0,0.0
14282,Silvarpatty,Periyakulam,Madurai,6039,774,1347,4.5,3073,2966,1036,858,455,403,1129,883,14.6,470,413,1138,0,0.0,0,0,0,2524,48.72,1669,855,1952,2000,33.1,1654,346,4780,282,4.7,0,282,0,3757,62.2,1419,2338,607,1838,91.9,1510,328,4604,19,0.95,18,1,18000,143,7.15,126,17,7412,375,18.75,362,13,27846,1461,73.05,1146,315,3638,2,0.0,2,0,0,0,0.0,0,0,0,3,0.15,2,1,2000,11,0.55,11,0,0,5,0.25,5,0,0,46,2.3,46,0,0,36,1.8,35,1,35000,61,3.05,45,16,2813,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Periyakula,4,yes,0,1,0,0,0,0.0,197,100.0,0,0.0,276,35.35,307,39.39,167.15,0.0,29.86,0.0,0.0,0.0,0.0,0.0
