"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
14422,Katchiakatti RF,Vadipatti,Madurai,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14423,Viralipatti,Vadipatti,Madurai,785,48,181,4.3,396,389,1018,122,69,53,1302,389,49.6,197,192,1026,0,0.0,0,0,0,328,49.47,208,120,1733,360,45.9,225,135,1667,1,0.1,0,1,0,424,54.0,171,253,676,329,91.39,201,128,1570,11,3.06,10,1,10000,20,5.56,14,6,2333,72,20.0,72,0,0,257,71.39,129,128,1008,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,2.5,8,1,8000,2,0.56,2,0,0,4,1.11,3,1,3000,2,0.56,2,0,0,14,3.89,9,5,1800,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Madura,31,yes,0,1,0,0,0,0.0,92,43.0,122,57.0,147,8.95,1279,77.95,92.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14424,Kulasekarankottai,Vadipatti,Madurai,8384,466,1845,4.5,4237,4147,1022,1167,577,590,978,1424,17.0,756,668,1132,0,0.0,0,0,0,4511,62.51,2690,1821,1477,3760,44.8,2498,1262,1979,100,1.2,1,99,10,4524,54.0,1738,2786,624,2673,71.06,1530,1143,1339,510,13.59,490,20,24500,577,15.35,478,99,4828,335,8.91,293,42,6976,2326,61.86,1225,1101,1113,11,0.0,11,0,0,1,0.03,1,0,0,23,0.61,18,5,3600,472,12.55,457,15,30467,15,0.4,15,0,0,213,5.66,197,16,12313,59,1.57,55,4,13750,305,8.11,226,79,2861,yes,0,3,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,1,1,0,0,Madura,27,yes,0,0,0,1,339,18.8,249,47.1,280,52.9,730,40.56,203,11.29,0.0,0.0,248.81,0.0,0.0,0.0,0.0,0.0
14425,Nachikulam,Vadipatti,Madurai,4489,948,1037,4.3,2237,2252,993,587,302,285,1060,1564,34.8,758,806,940,0,0.0,0,0,0,2308,59.15,1359,949,1432,2174,48.4,1373,801,1714,607,13.5,37,570,65,1708,38.0,827,881,939,1824,83.9,1115,709,1573,87,4.0,63,24,2625,263,12.1,195,68,2868,529,24.33,377,152,2480,1278,58.79,723,555,1303,17,0.01,15,2,7500,0,0.0,0,0,0,30,1.38,6,24,250,44,2.02,44,0,0,13,0.6,13,0,0,63,2.9,51,12,4250,44,2.02,43,1,43000,156,7.18,101,55,1836,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Madura,28,yes,0,0,0,1,0,0.0,237,71.41,95,28.59,0,0.0,142,29.88,0.0,0.0,237.1,0.0,0.0,0.0,0.0,0.0
14426,Bodinayakkanpatti,Vadipatti,Madurai,4249,900,1011,4.2,2133,2116,1008,566,288,278,1036,2050,48.2,1030,1020,1010,5,0.1,3,2,1500,1997,54.22,1186,811,1462,2177,51.2,1278,899,1422,27,0.6,0,27,0,2045,48.1,855,1190,718,1719,78.96,901,818,1101,88,4.04,86,2,43000,370,17.0,291,79,3684,76,3.49,59,17,3471,1634,75.06,833,801,1040,9,0.0,9,0,0,0,0.0,0,0,0,2,0.09,2,0,0,78,3.58,76,2,38000,8,0.37,8,0,0,99,4.55,87,12,7250,36,1.65,34,2,17000,235,10.79,170,65,2615,yes,0,2,1,1,1,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Madura,27,yes,0,0,0,1,0,0.0,248,82.39,53,17.61,77,16.27,94,19.86,0.0,0.0,0.0,0.0,0.0,248.36,0.0,0.0
14427,Nirethan,Vadipatti,Madurai,5301,1131,1166,4.5,2684,2617,1026,629,340,289,1176,575,10.8,295,280,1054,5,0.1,2,3,667,3225,69.03,1899,1326,1432,2124,40.1,1485,639,2324,10,0.2,3,7,429,3167,59.7,1196,1971,607,1447,68.13,905,542,1670,130,6.12,118,12,9833,547,25.75,462,85,5435,322,15.16,289,33,8758,1108,52.17,601,507,1185,17,0.01,15,2,7500,0,0.0,0,0,0,17,0.8,12,5,2400,83,3.91,77,6,12833,30,1.41,29,1,29000,188,8.85,169,19,8895,54,2.54,54,0,0,305,14.36,239,66,3621,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Madura,28,yes,0,0,0,1,0,0.0,313,75.34,103,24.66,0,0.0,53,11.26,0.0,0.0,313.45,0.0,0.0,0.0,0.0,0.0
14428,Tadampatti,Vadipatti,Madurai,1484,296,361,4.1,730,754,968,166,75,91,824,4,0.3,2,2,1000,0,0.0,0,0,0,1131,85.81,632,499,1267,637,42.9,449,188,2388,209,14.1,3,206,15,638,43.0,278,360,772,424,66.56,268,156,1718,47,7.38,46,1,46000,166,26.06,135,31,4355,205,32.18,137,68,2015,218,34.22,130,88,1477,1,0.0,1,0,0,0,0.0,0,0,0,8,1.26,8,0,0,31,4.87,30,1,30000,8,1.26,8,0,0,56,8.79,49,7,7000,13,2.04,13,0,0,97,15.23,73,24,3042,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Madura,28,yes,0,0,0,1,0,0.0,166,51.89,154,48.11,97,19.32,85,16.89,0.0,0.0,165.92,0.0,0.0,0.0,0.0,0.0
14429,Katchiakatti,Vadipatti,Madurai,10745,475,2430,4.4,5427,5318,1020,1431,751,680,1104,3773,35.1,1892,1881,1006,435,4.0,225,210,1071,3905,41.93,2463,1442,1708,5855,54.5,3431,2424,1415,72,0.7,0,72,0,4818,44.8,1996,2822,707,5468,91.87,3140,2328,1349,77,2.84,55,22,2500,310,5.29,236,74,3189,850,14.52,703,147,4782,4521,77.22,2385,2136,1117,8,0.0,8,0,0,89,1.52,44,45,978,20,0.34,15,5,3000,48,0.82,32,16,2000,9,0.15,8,1,8000,101,1.73,92,9,10222,18,0.31,18,0,0,191,3.26,126,65,1938,yes,0,5,1,0,0,0,7,0,0,0,yes,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Madura,25,yes,0,0,0,1,5,0.22,566,25.5,1652,74.5,0,0.0,38,1.69,0.0,0.0,565.59,0.0,0.0,0.0,0.0,0.0
14430,Andipatti,Vadipatti,Madurai,1353,711,353,3.8,666,687,969,142,68,74,919,488,36.1,241,247,976,0,0.0,0,0,0,665,54.91,398,267,1491,656,48.5,416,240,1733,1,0.1,1,0,0,696,51.4,249,447,557,561,85.52,348,213,1634,15,2.29,12,3,4000,80,12.2,56,24,2333,80,12.2,64,16,4000,478,72.87,281,197,1426,3,0.0,3,0,0,0,0.0,0,0,0,4,0.61,1,3,333,10,1.52,10,0,0,1,0.15,1,0,0,24,3.66,17,7,2429,6,0.91,6,0,0,50,7.62,33,17,1941,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Madura,26,yes,0,0,0,1,0,0.0,73,70.54,31,29.46,44,23.31,42,22.24,0.0,0.0,0.0,0.0,0.0,73.13,0.0,0.0
14431,Chinnamanayakkanpatti,Vadipatti,Madurai,616,277,159,3.9,306,310,987,91,45,46,978,193,31.3,97,96,1010,0,0.0,0,0,0,343,65.33,207,136,1522,241,39.1,189,52,3635,0,0.0,0,0,0,375,60.9,117,258,453,140,58.09,106,34,3118,23,9.54,20,3,6667,78,32.37,63,15,4200,25,10.37,24,1,24000,111,46.06,78,33,2364,4,0.02,4,0,0,0,0.0,0,0,0,0,0.0,0,0,0,17,7.05,14,3,4667,6,2.49,6,0,0,22,9.13,19,3,6333,8,3.32,8,0,0,48,19.92,36,12,3000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Madura,25,yes,0,0,0,1,0,0.0,113,81.93,25,18.07,50,22.35,35,15.76,0.0,0.0,0.0,0.0,0.0,112.95,0.0,0.0
