"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
9189,Kadanad,Ootacamund,Nilgiris,7135,59,1578,4.5,3475,3660,949,724,365,359,1017,446,6.3,229,217,1055,79,1.1,35,44,795,3862,60.24,2312,1550,1492,2242,31.4,1780,462,3853,818,11.5,3,815,4,4075,57.1,1692,2383,710,1879,83.72,1452,427,3400,80,3.66,76,4,19000,283,12.62,252,31,8129,0,0.0,0,0,0,0,0.0,0,0,0,1877,0.84,1450,427,3396,2,0.09,2,0,0,0,0.0,0,0,0,53,2.36,50,3,16667,27,1.2,26,1,26000,53,2.36,49,4,12250,35,1.56,34,1,34000,195,8.7,169,26,6500,yes,0,5,1,1,1,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,10,yes,1,0,0,0,10339,85.09,486,43.63,627,56.37,626,5.15,73,0.6,0.0,0.0,485.6,0.0,0.0,0.0,0.0,0.0
9190,Ebbanad,Ootacamund,Nilgiris,6295,84,1502,4.2,3098,3197,969,753,393,360,1092,733,11.6,363,370,981,268,4.3,140,128,1094,3147,56.78,1995,1152,1732,2866,45.5,1572,1294,1215,165,2.6,40,125,320,3264,51.9,1486,1778,836,2470,86.08,1254,1216,1031,126,4.5,91,35,2600,270,9.42,227,43,5279,0,0.0,0,0,0,0,0.0,0,0,0,2467,0.86,1251,1216,1029,3,0.1,3,0,0,4,0.14,4,0,0,85,2.97,61,24,2542,37,1.29,26,11,2364,88,3.07,75,13,5769,30,1.05,30,0,0,152,5.3,122,30,4067,yes,0,5,1,1,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,17,yes,1,0,0,0,6413,85.94,0,0.0,0,0.0,830,11.13,219,2.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9191,Kukkal,Ootacamund,Nilgiris,4287,69,1097,3.9,2158,2129,1014,402,212,190,1116,440,10.3,218,222,982,162,3.8,81,81,1000,1912,49.21,1180,732,1612,1977,46.1,1176,801,1468,65,1.5,0,65,0,2245,52.4,982,1263,778,1818,91.96,1039,779,1334,33,1.67,31,2,15500,126,6.37,106,20,5300,71,3.59,32,39,821,528,26.71,276,252,1095,1219,0.62,731,488,1498,0,0.0,0,0,0,16,0.81,15,1,15000,14,0.71,13,1,13000,3,0.15,3,0,0,53,2.68,42,11,3818,24,1.21,24,0,0,49,2.48,40,9,4444,yes,0,4,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,32,yes,1,0,0,0,4610,73.86,0,0.0,0,0.0,701,11.23,931,14.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9192,Kagguchi,Ootacamund,Nilgiris,9531,318,2221,4.3,4619,4912,940,1121,566,555,1020,3206,33.6,1579,1627,970,408,4.3,193,215,898,4604,54.74,2831,1773,1597,4562,47.9,2546,2016,1263,48,0.5,7,41,171,4921,51.6,2066,2855,724,4046,88.6,2102,1944,1081,146,3.29,129,17,7588,370,8.11,315,55,5727,0,0.0,0,0,0,1,0.02,1,0,0,4041,0.89,2097,1944,1079,4,0.09,4,0,0,3,0.07,1,2,500,68,1.49,65,3,21667,75,1.64,63,12,5250,68,1.49,66,2,33000,59,1.29,59,0,0,243,5.33,190,53,3585,yes,0,8,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,25,yes,1,0,0,0,530,17.72,0,0.0,0,0.0,1344,44.87,1120,37.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9193,Thuneri,Ootacamund,Nilgiris,7053,413,1657,4.3,3582,3471,1032,728,390,338,1154,885,12.5,464,421,1102,5,0.1,2,3,667,3572,56.47,2215,1357,1632,2238,31.7,1654,584,2832,327,4.6,39,288,135,4488,63.6,1889,2599,727,1902,84.99,1356,546,2484,64,2.86,60,4,15000,272,12.15,238,34,7000,0,0.0,0,0,0,0,0.0,0,0,0,1902,0.85,1356,546,2484,0,0.0,0,0,0,11,0.49,11,0,0,20,0.89,20,0,0,33,1.47,29,4,7250,69,3.08,61,8,7625,51,2.28,50,1,50000,152,6.79,127,25,5080,yes,0,4,1,1,2,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,24,yes,1,0,0,0,29,1.71,0,0.0,0,0.0,1280,74.98,398,23.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9194,Hullathi,Ootacamund,Nilgiris,8455,321,1838,4.6,4241,4214,1006,1011,505,506,998,1199,14.2,581,618,940,139,1.6,71,68,1044,4395,59.04,2723,1672,1629,3151,37.3,2151,1000,2151,1,0.0,0,1,0,5303,62.7,2090,3213,650,2342,73.85,1468,874,1680,458,15.01,381,77,4948,351,11.14,302,49,6163,0,0.0,0,0,0,0,0.0,0,0,0,2327,0.74,1456,871,1672,15,0.48,12,3,4000,3,0.1,2,1,2000,183,5.81,140,43,3256,272,8.63,239,33,7242,106,3.36,98,8,12250,63,2.0,62,1,62000,182,5.78,142,40,3550,yes,0,5,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,10,yes,1,0,0,0,1331,50.5,0,0.0,0,0.0,1038,39.42,266,10.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9195,Sholur,Ootacamund,Nilgiris,10098,111,2310,4.4,5076,5022,1011,1287,651,636,1024,5053,50.0,2563,2490,1029,1204,11.9,606,598,1013,5221,59.26,3261,1960,1664,4364,43.2,2500,1864,1341,331,3.3,109,222,491,5403,53.5,2467,2936,840,3507,80.16,1822,1685,1081,303,7.15,188,115,1635,554,12.69,490,64,7656,0,0.0,0,0,0,0,0.0,0,0,0,3498,0.8,1813,1685,1076,9,0.21,9,0,0,3,0.07,3,0,0,207,4.74,148,59,2508,93,2.13,37,56,661,91,2.09,85,6,14167,54,1.24,53,1,53000,409,9.37,352,57,6175,yes,0,4,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,18,yes,1,0,0,0,5224,57.34,0,0.0,2096,100.0,426,4.68,1365,14.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9196,Nanjanad,Ootacamund,Nilgiris,13774,102,3081,4.5,6989,6785,1030,1705,865,840,1030,3789,27.5,1918,1871,1025,366,2.7,182,184,989,7426,61.53,4520,2906,1555,6320,45.9,3810,2510,1518,168,1.2,18,150,120,7286,52.9,3161,4125,766,5531,87.37,3116,2415,1290,133,2.25,106,27,3926,656,10.38,588,68,8647,5,0.08,2,3,667,0,0.0,0,0,0,5517,0.87,3109,2408,1291,9,0.14,5,4,1250,12,0.19,12,0,0,104,1.65,82,22,3727,17,0.27,12,5,2400,106,1.68,96,10,9600,68,1.08,66,2,33000,482,7.63,426,56,7607,yes,0,2,2,0,1,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,14,yes,1,0,0,0,10842,80.64,0,0.0,0,0.0,1553,11.55,1050,7.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9197,Udhagamandalam,Ootacamund,Nilgiris,8879,292,2142,4.1,4549,4330,1051,780,408,372,1097,1876,21.1,949,927,1024,290,3.3,143,147,973,5192,64.11,3088,2104,1468,3814,43.0,2539,1275,1991,7,0.1,3,4,750,5058,57.0,2007,3051,658,2458,64.45,1442,1016,1419,962,25.22,794,168,4726,394,10.33,303,91,3330,36,0.94,0,36,0,72,1.89,0,72,0,2350,0.62,1442,908,1588,0,0.0,0,0,0,30,0.79,7,23,304,848,22.23,708,140,5057,84,2.2,79,5,15800,93,2.44,84,9,9333,88,2.31,86,2,43000,213,5.58,133,80,1663,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,1,0,0,0,no,3,0,yes,0,1,0,1,1,0,Udhaga,8,yes,1,0,0,0,1801,59.2,24,100.0,0,0.0,1037,34.08,180,5.92,0.0,0.0,24.28,0.0,0.0,0.0,0.0,0.0
9198,Thummanatti,Ootacamund,Nilgiris,8792,416,2157,4.1,4393,4399,999,971,484,487,994,996,11.3,492,504,976,19,0.2,9,10,900,4850,62.01,3057,1793,1705,3809,43.3,2177,1632,1334,50,0.6,11,39,282,4933,56.1,2205,2728,808,3427,89.66,1846,1581,1168,74,2.26,59,15,3933,308,8.09,272,36,7556,0,0.0,0,0,0,2,0.05,0,2,0,3413,0.9,1840,1573,1170,12,0.32,6,6,1000,20,0.53,16,4,4000,44,1.16,38,6,6333,10,0.26,5,5,1000,68,1.79,65,3,21667,32,0.84,32,0,0,208,5.46,175,33,5303,yes,0,8,1,1,1,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Udhaga,12,yes,1,0,0,0,202,9.58,0,0.0,0,0.0,939,44.42,972,46.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
