"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
2734,Charakkal RF <Portion of>,Vaniyambadi,North Arcot Ambedkar,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2735,Bairapalli,Vaniyambadi,North Arcot Ambedkar,405,155,77,5.3,202,203,995,75,31,44,705,30,7.4,16,14,1143,30,7.4,14,16,875,85,25.76,68,17,4000,146,36.0,138,8,17250,0,0.0,0,0,0,259,64.0,64,195,328,133,91.1,125,8,15625,7,4.79,7,0,0,6,4.11,6,0,0,77,52.74,77,0,0,56,38.36,48,8,6000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.68,1,0,0,6,4.11,6,0,0,0,0.0,0,0,0,2,1.37,2,0,0,4,2.74,4,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Ambu,8,yes,0,0,0,1,0,0.0,7,3.55,190,96.45,23,8.71,42,16.04,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2736,Kailasagiri,Vaniyambadi,North Arcot Ambedkar,7107,1340,1042,6.8,3888,3219,1208,1047,535,512,1045,1825,25.7,928,897,1035,0,0.0,0,0,0,3916,64.62,2480,1436,1727,2700,38.0,2029,671,3024,55,0.8,0,55,0,4352,61.2,1859,2493,746,1318,48.81,836,482,1734,660,24.44,553,107,5168,722,26.74,640,82,7805,292,10.81,235,57,4123,1016,37.63,592,424,1396,10,0.0,9,1,9000,0,0.0,0,0,0,233,8.63,176,57,3088,335,12.41,293,42,6976,92,3.41,84,8,10500,209,7.74,191,18,10611,82,3.04,82,0,0,431,15.96,367,64,5734,yes,0,3,1,0,0,0,0,0,0,1,yes,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,yes,0,0,0,1,1,yes,0,0,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,,8,yes,0,0,0,1,0,0.0,462,94.48,27,5.52,14,2.64,27,5.15,462.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2737,Pallalakuppam RF<Portion of>,Vaniyambadi,North Arcot Ambedkar,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2738,Nariambattu,Vaniyambadi,North Arcot Ambedkar,3086,1052,474,6.5,1539,1547,995,656,333,323,1031,1024,33.2,498,526,947,0,0.0,0,0,0,1452,59.75,873,579,1508,893,28.9,747,146,5116,0,0.0,0,0,0,2193,71.1,792,1401,565,410,45.91,312,98,3184,360,40.31,318,42,7571,123,13.77,117,6,19500,49,5.49,45,4,11250,361,40.43,267,94,2840,0,0.0,0,0,0,0,0.0,0,0,0,45,5.04,36,9,4000,308,34.49,275,33,8333,7,0.78,7,0,0,62,6.94,61,1,61000,13,1.46,13,0,0,48,5.38,43,5,8600,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Ambu,7,yes,0,0,0,1,0,0.0,106,47.96,115,52.04,0,0.1,72,24.55,69.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0
2739,Sathambakkam,Vaniyambadi,North Arcot Ambedkar,987,515,195,5.1,484,503,962,143,80,63,1270,257,26.0,131,126,1040,0,0.0,0,0,0,487,57.7,288,199,1447,347,35.2,267,80,3338,10,1.0,0,10,0,630,63.8,217,413,525,261,75.22,200,61,3279,35,10.09,26,9,2889,51,14.7,41,10,4100,133,38.33,119,14,8500,128,36.89,81,47,1723,0,0.0,0,0,0,0,0.0,0,0,0,14,4.03,13,1,13000,19,5.48,11,8,1375,2,0.58,2,0,0,15,4.32,15,0,0,6,1.73,6,0,0,30,8.65,20,10,2000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Ambu,6,yes,0,0,0,1,0,0.0,152,96.82,5,3.18,27,14.09,8,3.97,114.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0
2740,Komeswaram,Vaniyambadi,North Arcot Ambedkar,1318,2119,288,4.6,666,652,1021,230,135,95,1421,424,32.2,217,207,1048,0,0.0,0,0,0,578,53.13,360,218,1651,523,39.7,351,172,2041,0,0.0,0,0,0,795,60.3,315,480,656,467,89.29,309,158,1956,33,6.31,25,8,3125,23,4.4,17,6,2833,88,16.83,84,4,21000,379,72.47,225,154,1461,0,0.0,0,0,0,0,0.0,0,0,0,20,3.82,15,5,3000,12,2.29,9,3,3000,1,0.19,1,0,0,8,1.53,8,0,0,1,0.19,1,0,0,14,2.68,8,6,1333,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ambu,5,yes,0,0,0,1,0,0.0,36,70.59,15,29.41,7,11.25,4,6.77,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2741,Bavaravuthampattadai,Vaniyambadi,North Arcot Ambedkar,766,631,163,4.7,386,380,1016,106,54,52,1038,567,74.0,279,288,969,0,0.0,0,0,0,360,54.55,232,128,1813,317,41.4,206,111,1856,0,0.0,0,0,0,449,58.6,180,269,669,299,94.32,192,107,1794,6,1.89,6,0,0,12,3.79,8,4,2000,53,16.72,43,10,4300,246,77.6,149,97,1536,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.89,6,0,0,0,0.0,0,0,0,2,0.63,2,0,0,0,0.0,0,0,0,10,3.15,6,4,1500,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ambu,5,yes,0,0,0,1,0,0.0,86,100.0,0,0.0,11,9.46,23,19.3,64.79,0.0,0.0,0.0,0.0,21.7,0.0,0.0
2742,Aiyathambattu,Vaniyambadi,North Arcot Ambedkar,1491,1004,339,4.4,761,730,1042,235,125,110,1136,786,52.7,402,384,1047,83,5.6,39,44,886,783,62.34,496,287,1728,853,57.2,445,408,1091,28,1.9,0,28,0,610,40.9,316,294,1075,690,80.89,310,380,816,90,10.55,78,12,6500,73,8.56,57,16,3563,95,11.14,84,11,7636,594,69.64,225,369,610,1,0.0,1,0,0,0,0.0,0,0,0,11,1.29,11,0,0,77,9.03,65,12,5417,2,0.23,2,0,0,13,1.52,13,0,0,11,1.29,11,0,0,49,5.74,33,16,2063,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,1,0,Ambu,6,yes,0,0,0,1,0,0.0,124,98.42,2,1.58,10,6.8,12,8.08,66.35,0.0,0.0,0.0,0.0,58.0,0.0,0.0
2743,Chinnavarikam,Vaniyambadi,North Arcot Ambedkar,2423,764,522,4.6,1189,1234,964,413,222,191,1162,1241,51.2,621,620,1002,0,0.0,0,0,0,908,45.17,529,379,1396,1049,43.3,685,364,1882,113,4.7,3,110,27,1261,52.0,501,760,659,637,60.72,413,224,1844,284,27.07,185,99,1869,128,12.2,87,41,2122,74,7.05,70,4,17500,533,50.81,316,217,1456,30,0.03,27,3,9000,0,0.0,0,0,0,10,0.95,7,3,2333,227,21.64,142,85,1671,47,4.48,36,11,3273,61,5.82,35,26,1346,22,2.1,21,1,21000,45,4.29,31,14,2214,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ambu,6,yes,0,0,0,1,0,0.0,241,94.13,15,5.87,26,8.22,36,11.24,240.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
