"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
2481,Agraharam,Vellore,North Arcot Ambedkar,961,877,198,4.9,500,461,1085,131,69,62,1113,211,22.0,116,95,1221,0,0.0,0,0,0,513,61.81,330,183,1803,507,52.8,307,200,1535,0,0.0,0,0,0,454,47.2,193,261,739,446,87.97,261,185,1411,15,2.96,13,2,6500,46,9.07,33,13,2538,269,53.06,174,95,1832,177,34.91,87,90,967,0,0.0,0,0,0,0,0.0,0,0,0,7,1.38,5,2,2500,5,0.99,5,0,0,3,0.59,3,0,0,15,2.96,12,3,4000,4,0.79,4,0,0,27,5.33,17,10,1700,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,1,0,Odugathu,7,yes,1,1,0,0,0,0.0,13,22.73,45,77.27,52,47.03,0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2482,Thollapalli,Vellore,North Arcot Ambedkar,1092,746,270,4.0,569,523,1088,139,69,70,986,247,22.6,136,111,1225,7,0.6,4,3,1333,466,48.9,275,191,1440,572,52.4,340,232,1466,78,7.1,2,76,26,442,40.5,227,215,1056,539,94.23,314,225,1396,8,1.4,7,1,7000,25,4.37,19,6,3167,367,64.16,223,144,1549,172,30.07,91,81,1123,0,0.0,0,0,0,0,0.0,0,0,0,3,0.52,2,1,2000,5,0.87,5,0,0,0,0.0,0,0,0,15,2.62,13,2,6500,1,0.17,1,0,0,9,1.57,5,4,1250,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,0,1,0,0,0,0,0,yes,0,1,yes,0,1,0,1,1,0,Odugathu,6,yes,1,1,0,0,0,0.0,27,32.55,56,67.45,64,43.52,0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2483,Guruvarajapalayam,Vellore,North Arcot Ambedkar,2603,1801,547,4.8,1263,1340,943,411,200,211,948,1119,43.0,532,587,906,18,0.7,9,9,1000,1248,56.93,739,509,1452,1051,40.4,714,337,2119,0,0.0,0,0,0,1552,59.6,549,1003,547,890,84.68,584,306,1908,39,3.71,34,5,6800,122,11.61,96,26,3692,167,15.89,144,23,6261,721,68.6,438,283,1548,2,0.0,2,0,0,0,0.0,0,0,0,14,1.33,14,0,0,23,2.19,18,5,3600,2,0.19,2,0,0,20,1.9,20,0,0,17,1.62,17,0,0,85,8.09,59,26,2269,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Odugathu,5,yes,1,1,0,0,0,0.0,44,67.1,22,32.9,25,17.26,54,37.05,44.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2484,Agaram,Vellore,North Arcot Ambedkar,4385,398,936,4.7,2254,2131,1058,592,311,281,1107,1981,45.2,1017,964,1055,0,0.0,0,0,0,1861,49.06,1200,661,1815,2269,51.7,1292,977,1322,3,0.1,1,2,500,2113,48.2,961,1152,834,1982,87.35,1051,931,1129,44,1.94,34,10,3400,243,10.71,207,36,5750,593,26.13,426,167,2551,1385,61.04,621,764,813,4,0.0,4,0,0,0,0.0,0,0,0,27,1.19,20,7,2857,14,0.62,11,3,3667,3,0.13,3,0,0,14,0.62,13,1,13000,36,1.59,36,0,0,193,8.51,158,35,4514,yes,0,4,1,1,0,0,0,0,0,0,yes,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,1,1,yes,0,1,1,0,0,1,0,0,0,1,0,yes,0,0,yes,0,1,0,1,1,0,Odugathu,5,yes,1,1,0,0,0,0.0,330,47.27,368,52.73,404,36.63,0,0.0,330.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2485,Arjathi,Vellore,North Arcot Ambedkar,496,266,79,6.3,250,246,1016,69,29,40,725,122,24.6,67,55,1218,0,0.0,0,0,0,245,57.38,154,91,1692,191,38.5,155,36,4306,0,0.0,0,0,0,305,61.5,95,210,452,174,91.1,139,35,3971,5,2.62,5,0,0,12,6.28,11,1,11000,90,47.12,90,0,0,84,43.98,49,35,1400,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,2.09,4,0,0,1,0.52,1,0,0,5,2.62,5,0,0,2,1.05,2,0,0,5,2.62,4,1,4000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,1,0,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Odugathu,3,yes,1,0,0,0,0,0.0,31,34.05,60,65.95,30,16.12,66,35.36,30.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2486,Palapadi,Vellore,North Arcot Ambedkar,736,431,136,5.4,358,378,947,98,48,50,960,202,27.4,102,100,1020,5,0.7,3,2,1500,320,50.16,197,123,1602,216,29.3,203,13,15615,0,0.0,0,0,0,520,70.7,155,365,425,204,94.44,192,12,16000,7,3.24,7,0,0,5,2.31,4,1,4000,51,23.61,50,1,50000,150,69.44,139,11,12636,3,0.01,3,0,0,0,0.0,0,0,0,4,1.85,4,0,0,2,0.93,2,0,0,1,0.46,1,0,0,0,0.0,0,0,0,1,0.46,1,0,0,4,1.85,3,1,3000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Odugathu,3,yes,1,0,0,0,0,0.0,59,57.61,44,42.39,16,9.46,52,30.23,59.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2487,Sanankuppam RF,Vellore,North Arcot Ambedkar,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2488,Sanankuppam RF,Vellore,North Arcot Ambedkar,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2489,Nedumipalayam,Vellore,North Arcot Ambedkar,344,218,67,5.1,169,175,966,39,20,19,1053,0,0.0,0,0,0,0,0.0,0,0,0,177,58.03,102,75,1360,145,42.2,103,42,2452,71,20.6,5,66,76,128,37.2,61,67,910,130,89.66,91,39,2333,4,2.76,3,1,3000,11,7.59,9,2,4500,59,40.69,59,0,0,64,44.14,25,39,641,7,0.05,7,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,2.07,2,1,2000,1,0.69,1,0,0,5,3.45,4,1,4000,0,0.0,0,0,0,6,4.14,5,1,5000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Odugathu,5,yes,1,1,0,0,4,2.72,14,21.84,49,78.16,66,41.93,24,15.2,13.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2490,Ambur RF,Vellore,North Arcot Ambedkar,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
