"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
2194,Thengal,Walajapet,North Arcot Ambedkar,1235,430,257,4.8,616,619,995,179,78,101,772,481,38.9,242,239,1013,0,0.0,0,0,0,517,48.96,329,188,1750,487,39.4,358,129,2775,0,0.0,0,0,0,748,60.6,258,490,527,460,94.46,335,125,2680,11,2.26,11,0,0,16,3.29,12,4,3000,254,52.16,239,15,15933,205,42.09,95,110,864,1,0.0,1,0,0,0,0.0,0,0,0,4,0.82,4,0,0,6,1.23,6,0,0,1,0.21,1,0,0,3,0.62,3,0,0,3,0.62,3,0,0,10,2.05,6,4,1500,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,1,1,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ranippett,8,yes,0,0,0,1,0,0.0,104,45.01,127,54.99,41,14.33,16,5.45,103.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2195,Balekuppam,Walajapet,North Arcot Ambedkar,1429,399,313,4.6,740,689,1074,216,116,100,1160,11,0.8,4,7,571,33,2.3,14,19,737,574,47.32,352,222,1586,510,35.7,393,117,3359,0,0.0,0,0,0,919,64.3,347,572,607,464,90.98,355,109,3257,14,2.75,14,0,0,32,6.27,24,8,3000,138,27.06,127,11,11545,326,63.92,228,98,2327,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,11,2.16,11,0,0,3,0.59,3,0,0,3,0.59,1,2,500,3,0.59,3,0,0,26,5.1,20,6,3333,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Poner,5,yes,0,0,0,1,0,0.0,236,79.21,62,20.79,17,4.8,43,12.02,0.0,0.0,0.0,0.0,0.0,236.03,0.0,0.0
2196,Kondareddipalli,Walajapet,North Arcot Ambedkar,1112,1660,255,4.4,563,549,1026,156,79,77,1026,115,10.3,60,55,1091,99,8.9,43,56,768,395,41.32,269,126,2135,510,45.9,326,184,1772,0,0.0,0,0,0,602,54.1,237,365,649,487,95.49,306,181,1691,4,0.78,4,0,0,19,3.73,16,3,5333,271,53.14,190,81,2346,216,42.35,116,100,1160,0,0.0,0,0,0,0,0.0,0,0,0,1,0.2,1,0,0,2,0.39,2,0,0,1,0.2,1,0,0,6,1.18,5,1,5000,1,0.2,1,0,0,12,2.35,10,2,5000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Sholingu,20,yes,0,0,0,1,0,0.0,16,29.08,40,70.92,0,0.09,11,15.72,16.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2197,Ponnai,Walajapet,North Arcot Ambedkar,7083,598,1422,5.0,3592,3491,1029,891,411,480,856,1406,19.9,720,686,1050,27,0.4,15,12,1250,3817,61.64,2430,1387,1752,2991,42.2,2122,869,2442,13,0.2,1,12,83,4079,57.6,1469,2610,563,1975,66.03,1309,666,1965,475,15.88,340,135,2519,541,18.09,473,68,6956,827,27.65,596,231,2580,1135,37.95,702,433,1621,13,0.0,11,2,5500,0,0.0,0,0,0,374,12.5,243,131,1855,45,1.5,41,4,10250,56,1.87,56,0,0,85,2.84,79,6,13167,24,0.8,24,0,0,432,14.44,370,62,5968,yes,0,8,1,1,0,0,0,0,0,0,yes,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,yes,0,0,0,1,1,yes,0,1,0,0,0,1,1,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Sholingu,19,yes,0,0,0,1,0,0.0,320,53.52,278,46.48,15,1.27,573,48.34,319.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2198,Paramasathu,Walajapet,North Arcot Ambedkar,1276,329,273,4.7,647,629,1029,189,94,95,989,282,22.1,155,127,1220,27,2.1,14,13,1077,566,52.07,355,211,1682,391,30.6,339,52,6519,101,7.9,1,100,10,784,61.4,307,477,644,314,80.31,272,42,6476,24,6.14,21,3,7000,53,13.55,46,7,6571,179,45.78,172,7,24571,135,34.53,100,35,2857,0,0.0,0,0,0,0,0.0,0,0,0,13,3.32,10,3,3333,7,1.79,7,0,0,4,1.02,4,0,0,21,5.37,19,2,9500,7,1.79,7,0,0,25,6.39,20,5,4000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,1,1,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Chitto,17,yes,0,0,0,1,0,0.0,15,7.05,202,92.95,56,14.43,114,29.45,15.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2199,Madandakuppam,Walajapet,North Arcot Ambedkar,1115,404,246,4.5,542,573,946,140,78,62,1258,123,11.0,51,72,708,7,0.6,3,4,750,460,47.18,296,164,1805,398,35.7,293,105,2790,146,13.1,13,133,98,571,51.2,236,335,704,319,80.15,239,80,2988,29,7.29,20,9,2222,50,12.56,34,16,2125,177,44.47,168,9,18667,142,35.68,71,71,1000,0,0.0,0,0,0,0,0.0,0,0,0,22,5.53,13,9,1444,5,1.26,5,0,0,2,0.5,2,0,0,17,4.27,16,1,16000,0,0.0,0,0,0,33,8.29,18,15,1200,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,1,1,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Sholingu,22,yes,0,0,0,1,0,0.0,8,5.08,151,94.92,12,4.48,105,37.93,8.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2200,Keeraisathu,Walajapet,North Arcot Ambedkar,3219,379,678,4.7,1598,1621,986,467,232,235,987,596,18.5,297,299,993,92,2.9,47,45,1044,1346,48.91,865,481,1798,1715,53.3,935,780,1199,0,0.0,0,0,0,1504,46.7,663,841,788,1346,78.48,708,638,1110,145,8.45,62,83,747,224,13.06,165,59,2797,833,48.57,482,351,1373,478,27.87,213,265,804,35,0.02,13,22,591,0,0.0,0,0,0,95,5.54,19,76,250,32,1.87,25,7,3571,18,1.05,18,0,0,33,1.92,16,17,941,17,0.99,17,0,0,174,10.15,132,42,3143,yes,0,4,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,1,yes,0,1,0,0,0,1,1,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Sholingu,15,yes,0,0,0,1,0,0.0,155,25.26,459,74.74,183,21.58,53,6.18,154.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2201,Gollapalli,Walajapet,North Arcot Ambedkar,1247,172,288,4.3,605,642,942,148,76,72,1056,152,12.2,78,74,1054,66,5.3,32,34,941,604,54.96,371,233,1592,500,40.1,350,150,2333,0,0.0,0,0,0,747,59.9,255,492,518,433,86.6,300,133,2256,12,2.4,10,2,5000,55,11.0,40,15,2667,431,86.2,300,131,2290,2,0.4,0,2,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,11,2.2,9,2,4500,1,0.2,1,0,0,6,1.2,5,1,5000,1,0.2,1,0,0,48,9.6,34,14,2429,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,1,1,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ranippett,24,yes,0,0,0,1,0,0.0,65,16.36,331,83.64,191,26.4,136,18.84,64.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2202,Parapallumalai RF,Walajapet,North Arcot Ambedkar,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.07,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2203,Ammavaripalle,Walajapet,North Arcot Ambedkar,374,248,79,4.7,182,192,948,66,32,34,941,94,25.1,47,47,1000,20,5.3,8,12,667,157,50.97,100,57,1754,202,54.0,106,96,1104,0,0.0,0,0,0,172,46.0,76,96,792,177,87.62,87,90,967,12,5.94,12,0,0,13,6.44,7,6,1167,78,38.61,58,20,2900,97,48.02,27,70,386,2,0.01,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,12,5.94,12,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.5,1,0,0,12,5.94,6,6,1000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,0,1,0,Katpad,19,yes,0,0,0,1,0,0.0,31,30.94,68,69.06,52,34.24,0,0.13,30.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
