"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
13888,Kandadevi,Devakottai,Pasumpon Muthuramilinga Theva,2650,417,596,4.4,1306,1344,972,354,174,180,967,894,33.7,439,455,965,0,0.0,0,0,0,1488,64.81,920,568,1620,941,35.5,731,210,3481,7,0.3,1,6,167,1702,64.2,574,1128,509,587,61.32,482,105,4590,220,24.44,134,86,1558,134,14.24,115,19,6053,395,41.98,352,43,8186,179,19.02,117,62,1887,3,0.0,3,0,0,10,1.06,10,0,0,3,0.32,2,1,2000,204,21.68,123,81,1519,13,1.38,9,4,2250,25,2.66,25,0,0,19,2.02,19,0,0,90,9.56,71,19,3737,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Devakotta,1,yes,1,0,0,0,0,0.0,228,69.83,98,30.17,19,2.96,290,45.64,0.0,0.0,227.92,0.0,0.0,0.0,0.0,0.0
13889,Perattukkottai,Devakottai,Pasumpon Muthuramilinga Theva,1362,191,300,4.5,606,756,802,154,60,94,638,407,29.9,189,218,867,7,0.5,4,3,1333,809,66.97,434,375,1157,590,43.3,345,245,1408,24,1.8,2,22,91,748,54.9,259,489,530,521,88.31,289,232,1246,9,1.53,9,0,0,60,10.17,47,13,3615,310,52.54,193,117,1650,211,35.76,96,115,835,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.02,6,0,0,3,0.51,3,0,0,17,2.88,17,0,0,3,0.51,3,0,0,40,6.78,27,13,2077,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Devakotta,8,yes,1,0,0,0,0,0.0,104,23.09,346,76.91,54,7.55,208,29.25,11.92,0.0,92.05,0.0,0.0,0.0,0.0,0.0
13890,Aravayal,Devakottai,Pasumpon Muthuramilinga Theva,599,184,145,4.1,278,321,866,66,35,31,1129,125,20.9,50,75,667,0,0.0,0,0,0,371,69.61,214,157,1363,257,42.9,164,93,1763,0,0.0,0,0,0,342,57.1,114,228,500,234,91.05,144,90,1600,17,6.61,16,1,16000,6,2.33,4,2,2000,201,78.21,124,77,1610,33,12.84,20,13,1538,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,16,6.23,16,0,0,1,0.39,0,1,0,3,1.17,3,0,0,0,0.0,0,0,0,3,1.17,1,2,500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Devakotta,8,yes,1,1,0,0,0,0.0,38,15.26,211,84.74,14,4.23,63,19.26,0.0,0.0,38.05,0.0,0.0,0.0,0.0,0.0
13891,Melasembonmari,Devakottai,Pasumpon Muthuramilinga Theva,3443,309,787,4.4,1673,1770,945,446,230,216,1065,779,22.6,361,418,864,0,0.0,0,0,0,2028,67.67,1162,866,1342,1039,30.2,922,117,7880,363,10.5,0,363,0,2041,59.3,751,1290,582,656,63.14,576,80,7200,191,18.38,188,3,62667,192,18.48,158,34,4647,474,45.62,441,33,13364,181,17.42,134,47,2851,1,0.0,1,0,0,0,0.0,0,0,0,3,0.29,3,0,0,167,16.07,164,3,54667,21,2.02,21,0,0,38,3.66,32,6,5333,28,2.69,28,0,0,126,12.13,98,28,3500,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Devakotta,4,yes,1,1,0,0,0,0.0,180,21.65,652,78.35,10,0.91,272,24.39,87.8,0.0,92.41,0.0,0.0,0.0,0.0,0.0
13892,Sirumarudhur,Devakottai,Pasumpon Muthuramilinga Theva,231,57,55,4.2,114,117,974,29,18,11,1636,1,0.4,0,1,0,0,0.0,0,0,0,175,86.63,92,83,1108,68,29.4,65,3,21667,0,0.0,0,0,0,163,70.6,49,114,430,47,69.12,47,0,0,1,1.47,1,0,0,20,29.41,17,3,5667,41,60.29,41,0,0,5,7.35,5,0,0,1,0.01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,1.47,1,0,0,0,0.0,0,0,0,4,5.88,4,0,0,1,1.47,1,0,0,15,22.06,12,3,4000,yes,0,3,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Devokotta,4,yes,1,1,0,0,0,0.0,75,25.6,219,74.4,2,0.49,108,26.79,0.0,0.0,75.32,0.0,0.0,0.0,0.0,0.0
13893,Ilakkanivayal,Devakottai,Pasumpon Muthuramilinga Theva,97,118,21,4.6,40,57,702,17,8,9,889,95,97.9,39,56,696,0,0.0,0,0,0,48,60.0,21,27,778,61,62.9,28,33,848,0,0.0,0,0,0,36,37.1,12,24,500,61,100.0,28,33,848,0,0.0,0,0,0,0,0.0,0,0,0,2,3.28,1,1,1000,59,96.72,27,32,844,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Devakotta,5,yes,1,0,0,0,0,0.0,41,83.77,8,16.23,3,3.58,30,36.1,0.0,0.0,41.44,0.0,0.0,0.0,0.0,0.0
13894,Thalaiyur,Devakottai,Pasumpon Muthuramilinga Theva,392,183,74,5.3,197,195,1010,41,25,16,1563,129,32.9,63,66,955,0,0.0,0,0,0,251,71.51,150,101,1485,271,69.1,133,138,964,8,2.0,3,5,600,113,28.8,61,52,1173,270,99.63,132,138,957,0,0.0,0,0,0,1,0.37,1,0,0,184,67.9,94,90,1044,86,31.73,38,48,792,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.37,1,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Devakotta,3,yes,1,0,0,0,0,0.0,75,55.77,60,44.23,5,2.19,75,34.94,0.0,0.0,75.19,0.0,0.0,0.0,0.0,0.0
13895,Kannankottai,Devakottai,Pasumpon Muthuramilinga Theva,1158,139,300,3.9,536,622,862,161,85,76,1118,152,13.1,68,84,810,0,0.0,0,0,0,561,56.27,315,246,1280,546,47.2,278,268,1037,3,0.3,1,2,500,609,52.6,257,352,730,477,87.36,215,262,821,32,5.86,32,0,0,37,6.78,31,6,5167,227,41.58,130,97,1340,250,45.79,85,165,515,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,1.65,9,0,0,23,4.21,23,0,0,9,1.65,9,0,0,3,0.55,3,0,0,25,4.58,19,6,3167,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,0,1,0,Devakotta,4,yes,1,0,0,0,0,0.0,159,33.7,313,66.3,0,0.0,362,43.46,0.0,0.0,158.88,0.0,0.0,0.0,0.0,0.0
13896,Thenniervayal,Devakottai,Pasumpon Muthuramilinga Theva,942,206,197,4.8,459,483,950,124,77,47,1638,95,10.1,39,56,696,0,0.0,0,0,0,571,69.8,334,237,1409,585,62.1,260,325,800,6,0.6,0,6,0,351,37.3,199,152,1309,557,95.21,236,321,735,10,1.71,10,0,0,18,3.08,14,4,3500,517,88.38,219,298,735,40,6.84,17,23,739,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.03,6,0,0,4,0.68,4,0,0,2,0.34,2,0,0,3,0.51,3,0,0,13,2.22,9,4,2250,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,devakotta,4,yes,1,1,0,0,0,0.0,95,27.27,254,72.73,4,0.89,102,22.45,0.0,0.0,95.37,0.0,0.0,0.0,0.0,0.0
13897,Eluvankottai,Devakottai,Pasumpon Muthuramilinga Theva,1069,153,259,4.1,485,584,830,131,60,71,845,153,14.3,67,86,779,0,0.0,0,0,0,601,64.07,352,249,1414,473,44.2,257,216,1190,4,0.4,1,3,333,592,55.4,227,365,622,408,86.26,206,202,1020,17,3.59,16,1,16000,48,10.15,35,13,2692,288,60.89,150,138,1087,120,25.37,56,64,875,0,0.0,0,0,0,0,0.0,0,0,0,2,0.42,1,1,1000,5,1.06,5,0,0,10,2.11,10,0,0,21,4.44,18,3,6000,6,1.27,5,1,5000,21,4.44,12,9,1333,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Devakotta,6,yes,1,1,0,0,0,0.0,143,41.17,205,58.83,16,2.34,332,47.62,0.0,0.0,143.44,0.0,0.0,0.0,0.0,0.0
