"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
14166,Nagamuganthankudi,Ilaiyankudi,Pasumpon Muthuramilinga Theva,1149,159,263,4.4,571,578,988,161,78,83,940,427,37.2,218,209,1043,0,0.0,0,0,0,555,56.17,363,192,1891,600,52.2,335,265,1264,1,0.1,0,1,0,548,47.7,236,312,756,578,96.33,318,260,1223,0,0.0,0,0,0,22,3.67,17,5,3400,403,67.17,259,144,1799,175,29.17,59,116,509,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,7,1.17,7,0,0,0,0.0,0,0,0,15,2.5,10,5,2000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Ilayangud,6,yes,1,0,0,0,0,0.0,218,48.28,234,51.72,0,0.0,272,37.6,0.0,0.0,218.0,0.0,0.0,0.0,0.0,0.0
14167,Kalaikulam,Ilaiyankudi,Pasumpon Muthuramilinga Theva,949,237,225,4.2,460,489,941,115,60,55,1091,227,23.9,120,107,1121,0,0.0,0,0,0,346,41.49,241,105,2295,499,52.6,268,231,1160,0,0.0,0,0,0,450,47.4,192,258,744,476,95.39,253,223,1135,4,0.8,3,1,3000,19,3.81,12,7,1714,297,59.52,216,81,2667,177,35.47,35,142,246,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.8,3,1,3000,0,0.0,0,0,0,4,0.8,4,0,0,0,0.0,0,0,0,15,3.01,8,7,1143,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Ilayangud,7,yes,1,0,0,0,0,0.0,136,65.11,73,34.89,0,0.0,192,47.9,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0
14168,Melathuraiyur,Ilaiyankudi,Pasumpon Muthuramilinga Theva,1645,182,371,4.4,813,832,977,236,117,119,983,499,30.3,244,255,957,0,0.0,0,0,0,733,52.02,497,236,2106,566,34.4,491,75,6547,111,6.7,0,111,0,968,58.8,322,646,498,530,93.64,458,72,6361,9,1.59,9,0,0,27,4.77,24,3,8000,411,72.61,406,5,81200,117,20.67,50,67,746,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.06,6,0,0,3,0.53,3,0,0,8,1.41,8,0,0,1,0.18,1,0,0,18,3.18,15,3,5000,yes,0,3,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,TIlayangud,8,yes,1,0,1,0,0,0.0,346,75.96,110,24.04,0,0.0,448,49.58,0.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0
14169,Karaikulam,Ilaiyankudi,Pasumpon Muthuramilinga Theva,642,87,163,3.9,302,340,888,100,46,54,852,438,68.2,202,236,856,0,0.0,0,0,0,292,53.87,175,117,1496,189,29.4,173,16,10813,0,0.0,0,0,0,453,70.6,129,324,398,188,99.47,172,16,10750,0,0.0,0,0,0,1,0.53,1,0,0,143,75.66,140,3,46667,45,23.81,32,13,2462,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.53,1,0,0,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Ilayangud,8,yes,1,0,0,0,0,0.0,327,79.37,85,20.63,3,0.44,323,43.75,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0
14170,Sooranam,Ilaiyankudi,Pasumpon Muthuramilinga Theva,2080,283,414,5.0,975,1105,882,263,129,134,963,284,13.7,119,165,721,0,0.0,0,0,0,1295,71.27,697,598,1166,910,43.8,475,435,1092,3,0.1,0,3,0,1167,56.1,500,667,750,802,88.13,398,404,985,2,0.22,2,0,0,106,11.65,75,31,2419,797,87.58,393,404,973,3,0.33,3,0,0,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.11,1,0,0,1,0.11,1,0,0,10,1.1,10,0,0,8,0.88,8,0,0,88,9.67,57,31,1839,yes,0,2,2,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ilayangud,15,yes,0,0,0,1,0,0.0,80,12.66,552,87.34,0,0.0,104,14.13,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
14171,Akkavayal,Ilaiyankudi,Pasumpon Muthuramilinga Theva,1211,142,279,4.3,574,637,901,104,58,46,1261,318,26.3,149,169,882,0,0.0,0,0,0,786,71.0,461,325,1418,778,64.2,361,417,866,0,0.0,0,0,0,433,35.8,213,220,968,739,94.99,330,409,807,4,0.51,4,0,0,35,4.5,27,8,3375,739,94.99,330,409,807,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.13,1,0,0,3,0.39,3,0,0,0,0.0,0,0,0,1,0.13,1,0,0,2,0.26,2,0,0,32,4.11,24,8,3000,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Ilayangud,21,yes,0,0,0,1,0,0.0,94,13.07,625,86.93,0,0.0,135,15.83,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0
14172,Visavanoor,Ilaiyankudi,Pasumpon Muthuramilinga Theva,3635,182,861,4.2,1709,1926,887,454,229,225,1018,504,13.9,229,275,833,0,0.0,0,0,0,2026,63.69,1198,828,1447,1127,31.0,980,147,6667,990,27.2,0,990,0,1518,41.8,729,789,924,1000,88.73,874,126,6937,25,2.22,25,0,0,102,9.05,81,21,3857,745,66.1,713,32,22281,254,22.54,160,94,1702,1,0.0,1,0,0,0,0.0,0,0,0,17,1.51,17,0,0,8,0.71,8,0,0,0,0.0,0,0,0,14,1.24,14,0,0,7,0.62,5,2,2500,81,7.19,62,19,3263,yes,0,7,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ilayangud,26,yes,0,0,0,1,0,0.0,265,17.82,1222,82.18,3,0.15,508,25.42,0.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0
14173,Adavidangan,Ilaiyankudi,Pasumpon Muthuramilinga Theva,1421,183,330,4.3,667,754,885,158,77,81,951,178,12.5,92,86,1070,0,0.0,0,0,0,756,59.86,464,292,1589,515,36.2,416,99,4202,387,27.2,0,387,0,519,36.5,251,268,937,457,88.74,372,85,4376,3,0.58,3,0,0,55,10.68,41,14,2929,342,66.41,298,44,6773,114,22.14,73,41,1780,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,0.58,3,0,0,0,0.0,0,0,0,9,1.75,9,0,0,4,0.78,4,0,0,42,8.16,28,14,2000,yes,0,2,1,1,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Ilayangud,26,yes,1,1,0,0,0,0.0,65,9.62,611,90.38,0,0.0,102,13.1,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0
14174,Udayanoor,Ilaiyankudi,Pasumpon Muthuramilinga Theva,1168,193,272,4.3,571,597,956,130,74,56,1321,98,8.4,46,52,885,0,0.0,0,0,0,668,64.35,440,228,1930,587,50.3,365,222,1644,7,0.6,0,7,0,574,49.1,206,368,560,555,94.55,339,216,1569,1,0.17,1,0,0,31,5.28,25,6,4167,555,94.55,339,216,1569,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.17,1,0,0,6,1.02,6,0,0,1,0.17,1,0,0,24,4.09,18,6,3000,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Il;ayangud,19,yes,1,0,0,0,0,0.0,79,15.28,438,84.72,1,0.22,86,14.23,0.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0
14175,Kalangathankottai,Ilaiyankudi,Pasumpon Muthuramilinga Theva,1170,292,278,4.2,591,579,1021,142,74,68,1088,168,14.4,90,78,1154,0,0.0,0,0,0,469,45.62,318,151,2106,653,55.8,360,293,1229,112,9.6,0,112,0,405,34.6,231,174,1328,628,96.17,340,288,1181,4,0.61,4,0,0,21,3.22,16,5,3200,354,54.21,330,24,13750,274,41.96,10,264,38,0,0.0,0,0,0,0,0.0,0,0,0,3,0.46,3,0,0,1,0.15,1,0,0,0,0.0,0,0,0,7,1.07,7,0,0,0,0.0,0,0,0,14,2.14,9,5,1800,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Ilayangud,11,yes,0,0,0,1,0,0.0,151,45.9,178,54.1,2,0.51,70,17.45,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0
