"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
1,Periaveerampattinam,Pondicherry,Pondicherry,4511,4278,737,6.1,2343,2168,1081,706,369,337,1095,117,2.6,68,49,1388,0,0.0,0,0,0,2416,63.5,1470,946,1554,1475,32.7,1153,322,3581,119,2.6,10,109,92,2917,64.7,1180,1737,679,876,59.39,859,17,50529,78,5.29,66,12,5500,521,35.32,228,293,778,11,0.75,11,0,0,48,3.25,31,17,1824,817,0.55,817,0,0,0,0.0,0,0,0,0,0.0,0,0,0,75,5.08,63,12,5250,3,0.2,3,0,0,281,19.05,32,249,129,22,1.49,22,0,0,218,14.78,174,44,3955,yes,0,2,2,0,0,0,2,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Pondicherr,8,yes,0,0,0,1,0,0.0,20,30.39,45,69.61,1,1.13,40,37.81,0.0,19.45,0.0,0.0,0.0,0.0,0.0,0.12
2,Sinnaveerampattinam,Pondicherry,Pondicherry,418,143,78,5.4,220,198,1111,44,21,23,913,0,0.0,0,0,0,0,0.0,0,0,0,214,57.22,138,76,1816,164,39.2,108,56,1929,0,0.0,0,0,0,254,60.8,112,142,789,93,56.71,92,1,92000,2,1.22,2,0,0,69,42.07,14,55,255,5,3.05,4,1,4000,2,1.22,2,0,0,86,0.52,86,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,1.22,2,0,0,0,0.0,0,0,0,53,32.32,0,53,0,0,0.0,0,0,0,16,9.76,14,2,7000,yes,0,1,0,0,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Pondicherr,9,yes,0,0,0,1,0,0.0,54,30.42,124,69.58,3,1.13,110,37.81,0.0,53.94,0.0,0.0,0.0,0.0,0.0,0.34
3,Odaively,Pondicherry,Pondicherry,707,822,130,5.4,358,349,1026,91,43,48,896,0,0.0,0,0,0,0,0.0,0,0,0,414,67.21,252,162,1556,215,30.4,180,35,5143,27,3.8,4,23,174,465,65.8,174,291,598,127,59.07,101,26,3885,36,16.74,36,0,0,52,24.19,43,9,4778,45,20.93,43,2,21500,82,38.14,58,24,2417,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,30,13.95,30,0,0,6,2.79,6,0,0,17,7.91,12,5,2400,0,0.0,0,0,0,35,16.28,31,4,7750,yes,0,1,0,0,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Pondicherr,8,yes,0,0,0,1,0,0.0,16,30.39,37,69.61,1,1.13,33,37.81,0.0,15.87,0.0,0.0,0.0,0.0,0.0,0.1
4,Kakayantope,Pondicherry,Pondicherry,1632,1495,297,5.5,814,818,995,218,99,119,832,15,0.9,8,7,1143,0,0.0,0,0,0,1049,74.19,612,437,1400,351,21.5,298,53,5623,165,10.1,117,48,2438,1116,68.4,399,717,556,60,17.09,53,7,7571,144,41.03,135,9,15000,147,41.88,110,37,2973,13,3.7,13,0,0,42,11.97,36,6,6000,5,0.01,4,1,4000,0,0.0,0,0,0,0,0.0,0,0,0,116,33.05,109,7,15571,28,7.98,26,2,13000,61,17.38,48,13,3692,7,1.99,7,0,0,79,22.51,55,24,2292,yes,0,1,0,0,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Pondicherr,7,yes,0,0,0,1,0,0.0,20,30.38,46,69.62,1,1.13,41,37.81,0.0,20.13,0.0,0.0,0.0,0.0,0.0,0.13
5,Edayarpalayam,Pondicherry,Pondicherry,853,844,149,5.7,438,415,1055,131,74,57,1298,24,2.8,11,13,846,0,0.0,0,0,0,515,71.33,299,216,1384,319,37.4,214,105,2038,12,1.4,10,2,5000,522,61.2,214,308,695,189,59.25,102,87,1172,31,9.72,29,2,14500,99,31.03,83,16,5188,33,10.34,25,8,3125,154,48.28,76,78,974,2,0.01,1,1,1000,0,0.0,0,0,0,0,0.0,0,0,0,19,5.96,17,2,8500,12,3.76,12,0,0,29,9.09,18,11,1636,8,2.51,8,0,0,62,19.44,57,5,11400,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Pondicherr,10,yes,0,0,0,1,0,0.0,35,56.08,28,43.92,3,2.96,35,34.67,0.0,35.37,0.0,0.0,0.0,0.0,0.0,0.0
6,Nanamedu,Pondicherry,Pondicherry,587,550,110,5.3,309,278,1112,86,44,42,1048,194,33.0,103,91,1132,0,0.0,0,0,0,344,68.66,207,137,1511,227,38.7,175,52,3365,1,0.2,0,1,0,359,61.2,134,225,596,92,40.53,57,35,1629,35,15.42,33,2,16500,100,44.05,85,15,5667,20,8.81,16,4,4000,66,29.07,36,30,1200,6,0.03,5,1,5000,0,0.0,0,0,0,0,0.0,0,0,0,33,14.54,31,2,15500,2,0.88,2,0,0,39,17.18,30,9,3333,6,2.64,6,0,0,55,24.23,49,6,8167,yes,0,0,0,0,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Pondicherr,9,yes,0,0,0,1,0,0.0,51,71.74,20,28.26,3,2.97,33,30.48,0.0,50.93,0.0,0.0,0.0,0.0,0.0,0.0
7,Tavalakuppam,Pondicherry,Pondicherry,1435,1306,223,6.4,754,681,1107,202,100,102,980,33,2.3,18,15,1200,0,0.0,0,0,0,932,75.59,560,372,1505,506,35.3,427,79,5405,5,0.3,2,3,667,924,64.4,325,599,543,74,14.62,63,11,5727,106,20.95,96,10,9600,326,64.43,268,58,4621,42,8.3,41,1,41000,29,5.73,22,7,3143,3,0.01,0,3,0,0,0.0,0,0,0,0,0.0,0,0,0,91,17.98,82,9,9111,15,2.96,14,1,14000,148,29.25,125,23,5435,20,3.95,20,0,0,158,31.23,123,35,3514,yes,0,1,1,1,1,0,2,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Pondicherr,10,yes,0,0,0,1,0,0.0,38,56.08,30,43.92,3,2.96,38,34.66,0.0,38.43,0.0,0.0,0.0,0.0,0.0,0.0
8,Thanampalayam,Pondicherry,Pondicherry,802,1211,152,5.3,401,401,1000,120,55,65,846,25,3.1,10,15,667,0,0.0,0,0,0,492,72.14,301,191,1576,258,32.2,223,35,6371,6,0.7,1,5,200,538,67.1,177,361,490,95,36.82,81,14,5786,67,25.97,57,10,5700,96,37.21,85,11,7727,49,18.99,43,6,7167,45,17.44,37,8,4625,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,57,22.09,50,7,7143,10,3.88,7,3,2333,54,20.93,50,4,12500,4,1.55,4,0,0,38,14.73,31,7,4429,yes,0,1,0,0,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Pondicherr,10,yes,0,0,0,1,0,0.0,23,56.06,18,43.94,2,2.96,23,34.66,0.0,23.16,0.0,0.0,0.0,0.0,0.0,0.0
9,Purnankuppam,Pondicherry,Pondicherry,2902,760,531,5.5,1487,1415,1051,480,226,254,890,8,0.3,3,5,600,0,0.0,0,0,0,1625,67.09,1032,593,1740,933,32.2,716,217,3300,118,4.1,34,84,405,1851,63.8,737,1114,662,575,61.63,429,146,2938,69,7.4,66,3,22000,289,30.98,221,68,3250,303,32.48,233,70,3329,256,27.44,180,76,2368,16,0.02,16,0,0,0,0.0,0,0,0,0,0.0,0,0,0,59,6.32,56,3,18667,10,1.07,10,0,0,118,12.65,72,46,1565,9,0.96,9,0,0,162,17.36,140,22,6364,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Pondicherr,11,yes,0,0,0,1,0,0.0,134,56.08,105,43.92,11,2.96,132,34.66,0.0,133.64,0.0,0.0,0.0,0.0,0.0,0.0
10,Pudukuppam,Pondicherry,Pondicherry,929,13103,159,5.8,477,452,1055,172,87,85,1024,0,0.0,0,0,0,0,0.0,0,0,0,475,62.75,288,187,1540,201,21.6,154,47,3277,120,12.9,71,49,1449,608,65.4,252,356,708,140,69.65,139,1,139000,4,1.99,4,0,0,57,28.36,11,46,239,0,0.0,0,0,0,0,0.0,0,0,0,140,0.7,139,1,139000,0,0.0,0,0,0,0,0.0,0,0,0,4,1.99,4,0,0,0,0.0,0,0,0,45,22.39,3,42,71,2,1.0,2,0,0,10,4.98,6,4,1500,yes,0,1,0,0,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Pondicherr,18,yes,0,0,0,1,0,0.0,2,56.11,2,43.89,0,2.96,2,34.7,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0
