"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
13457,Maramadakki,Arantangi,Pudukkottai,3353,418,671,5.0,1736,1617,1074,333,173,160,1081,117,3.5,63,54,1167,0,0.0,0,0,0,2101,69.57,1348,753,1790,1542,46.0,961,581,1654,384,11.5,45,339,133,1427,42.6,730,697,1047,1347,87.35,793,554,1431,53,3.44,50,3,16667,142,9.21,118,24,4917,1212,78.6,726,486,1494,132,8.56,65,67,970,3,0.0,2,1,2000,0,0.0,0,0,0,5,0.32,5,0,0,28,1.82,25,3,8333,20,1.3,20,0,0,80,5.19,73,7,10429,4,0.26,4,0,0,58,3.76,41,17,2412,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Arantang,19,yes,0,0,0,1,0,0.0,78,12.65,539,87.35,0,0.0,186,23.19,0.0,0.0,78.02,0.0,0.0,0.0,0.0,0.0
13458,Tirunalur,Arantangi,Pudukkottai,3952,463,755,5.2,1903,2049,929,488,262,226,1159,86,2.2,49,37,1324,0,0.0,0,0,0,2070,59.76,1307,763,1713,1759,44.5,1114,645,1727,6,0.2,0,6,0,2187,55.3,789,1398,564,1675,95.22,1042,633,1646,25,1.42,24,1,24000,59,3.35,48,11,4364,1375,78.17,936,439,2132,300,17.06,106,194,546,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,13,0.74,12,1,12000,12,0.68,12,0,0,20,1.14,20,0,0,4,0.23,3,1,3000,35,1.99,25,10,2500,yes,0,2,2,0,0,0,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Arantang,8,yes,1,1,0,0,0,0.0,87,12.22,625,87.78,0,0.0,143,16.71,0.0,0.0,87.0,0.0,0.0,0.0,0.0,0.0
13459,Paravakkottai,Arantangi,Pudukkottai,3236,377,597,5.4,1617,1619,999,436,207,229,904,21,0.6,12,9,1333,0,0.0,0,0,0,1452,51.86,971,481,2019,1340,41.4,936,404,2317,285,8.8,4,281,14,1611,49.8,677,934,725,1172,87.46,809,363,2229,95,7.09,72,23,3130,73,5.45,55,18,3056,916,68.36,736,180,4089,255,19.03,72,183,393,1,0.0,1,0,0,0,0.0,0,0,0,79,5.9,59,20,2950,16,1.19,13,3,4333,0,0.0,0,0,0,12,0.9,12,0,0,3,0.22,3,0,0,58,4.33,40,18,2222,yes,0,3,1,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Arantang,17,yes,1,1,0,0,0,0.0,108,16.94,528,83.06,0,0.0,222,25.87,0.0,0.0,107.66,0.0,0.0,0.0,0.0,0.0
13460,Kurumbur,Arantangi,Pudukkottai,3260,196,693,4.7,1646,1614,1020,324,163,161,1012,206,6.3,106,100,1060,0,0.0,0,0,0,1592,54.22,1093,499,2190,1558,47.8,971,587,1654,126,3.9,1,125,8,1576,48.3,674,902,747,1420,91.14,861,559,1540,25,1.6,25,0,0,113,7.25,85,28,3036,991,63.61,656,335,1958,429,27.54,205,224,915,0,0.0,0,0,0,0,0.0,0,0,0,1,0.06,1,0,0,24,1.54,24,0,0,0,0.0,0,0,0,29,1.86,25,4,6250,12,0.77,11,1,11000,72,4.62,49,23,2130,yes,0,3,2,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Arantangi,15,yes,0,0,0,1,411,24.68,362,40.38,534,59.62,0,0.0,360,21.58,0.0,0.0,361.54,0.0,0.0,0.0,0.0,0.0
13461,Sirunattanvayal,Arantangi,Pudukkottai,284,121,51,5.6,145,139,1043,36,14,22,636,0,0.0,0,0,0,0,0.0,0,0,0,153,61.69,105,48,2188,78,27.5,76,2,38000,0,0.0,0,0,0,206,72.5,69,137,504,69,88.46,68,1,68000,4,5.13,4,0,0,5,6.41,4,1,4000,69,88.46,68,1,68000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,5.13,4,0,0,0,0.0,0,0,0,2,2.56,2,0,0,1,1.28,1,0,0,2,2.56,1,1,1000,no,1,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Arantang,10,yes,1,0,0,0,10,4.06,38,42.19,53,57.81,0,0.06,134,57.05,0.0,0.0,38.42,0.0,0.0,0.0,0.0,0.0
13462,Sengamari,Arantangi,Pudukkottai,529,333,104,5.1,254,275,924,83,39,44,886,142,26.8,66,76,868,0,0.0,0,0,0,238,53.36,147,91,1615,142,26.8,137,5,27400,0,0.0,0,0,0,387,73.2,117,270,433,122,85.92,120,2,60000,9,6.34,9,0,0,11,7.75,8,3,2667,122,85.92,120,2,60000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,8,5.63,8,0,0,1,0.7,1,0,0,2,1.41,2,0,0,0,0.0,0,0,0,9,6.34,6,3,2000,yes,0,1,1,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Arantang,9,yes,1,0,0,0,0,0.0,108,87.81,15,12.19,2,1.33,34,21.43,0.0,0.0,107.64,0.0,0.0,0.0,0.0,0.0
13463,Narpavalakkudi,Arantangi,Pudukkottai,260,38,60,4.3,130,130,1000,26,12,14,857,169,65.0,85,84,1012,0,0.0,0,0,0,96,41.03,58,38,1526,81,31.2,75,6,12500,4,1.5,0,4,0,175,67.3,55,120,458,72,88.89,71,1,71000,1,1.23,1,0,0,8,9.88,3,5,600,0,0.0,0,0,0,72,88.89,71,1,71000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,1.23,1,0,0,0,0.0,0,0,0,1,1.23,1,0,0,0,0.0,0,0,0,7,8.64,2,5,400,yes,0,2,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,1,0,no,3,0,yes,0,1,0,0,1,0,Arantang,8,yes,1,0,0,0,0,0.0,148,63.96,83,36.04,0,0.04,450,66.1,0.0,0.0,147.51,0.0,0.0,0.0,0.0,0.0
13464,Chidambaraviduthy,Arantangi,Pudukkottai,4608,464,920,5.0,2304,2304,1000,604,275,329,836,271,5.9,142,129,1101,0,0.0,0,0,0,2101,52.47,1307,794,1646,1854,40.2,1321,533,2478,77,1.7,5,72,69,2677,58.1,978,1699,576,1569,84.63,1101,468,2353,165,8.9,126,39,3231,120,6.47,94,26,3615,1090,58.79,817,273,2993,477,25.73,282,195,1446,2,0.0,2,0,0,0,0.0,0,0,0,16,0.86,9,7,1286,134,7.23,102,32,3188,15,0.81,15,0,0,35,1.89,33,2,16500,9,0.49,8,1,8000,76,4.1,53,23,2304,yes,0,3,1,1,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Arantang,9,yes,0,0,0,1,19,1.9,211,28.15,539,71.85,10,0.99,213,21.49,0.0,0.0,211.32,0.0,0.0,0.0,0.0,0.0
13465,Tantani,Arantangi,Pudukkottai,837,288,178,4.7,425,412,1032,107,59,48,1229,108,12.9,55,53,1038,0,0.0,0,0,0,536,73.42,328,208,1577,389,46.5,227,162,1401,16,1.9,0,16,0,432,51.6,198,234,846,340,87.4,195,145,1345,13,3.34,8,5,1600,36,9.25,24,12,2000,213,54.76,139,74,1878,127,32.65,56,71,789,0,0.0,0,0,0,0,0.0,0,0,0,10,2.57,6,4,1500,3,0.77,2,1,2000,0,0.0,0,0,0,6,1.54,6,0,0,2,0.51,2,0,0,28,7.2,16,12,1333,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Arantang,10,yes,1,1,0,0,0,0.0,82,41.74,114,58.26,0,0.0,94,32.43,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0
13466,Chettikkadu,Arantangi,Pudukkottai,1511,190,315,4.8,733,778,942,195,104,91,1143,7,0.5,4,3,1333,0,0.0,0,0,0,800,60.79,498,302,1649,615,40.7,372,243,1531,43,2.8,14,29,483,853,56.5,347,506,686,574,93.33,340,234,1453,13,2.11,12,1,12000,28,4.55,20,8,2500,467,75.93,285,182,1566,103,16.75,52,51,1020,4,0.01,3,1,3000,0,0.0,0,0,0,8,1.3,7,1,7000,5,0.81,5,0,0,0,0.0,0,0,0,9,1.46,8,1,8000,3,0.49,3,0,0,16,2.6,9,7,1286,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Arantang,13,yes,1,0,0,0,0,0.0,71,11.99,522,88.01,8,0.99,194,24.37,0.0,0.0,71.12,0.0,0.0,0.0,0.0,0.0
