"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
13580,Thonnagudi,Avadaiyarkoil,Pudukkottai,1512,164,312,4.8,768,744,1032,245,123,122,1008,495,32.7,243,252,964,0,0.0,0,0,0,522,41.2,355,167,2126,694,45.9,461,233,1979,0,0.0,0,0,0,818,54.1,307,511,601,683,98.41,452,231,1957,2,0.29,2,0,0,9,1.3,7,2,3500,373,53.75,332,41,8098,310,44.67,120,190,632,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.29,2,0,0,0,0.0,0,0,0,4,0.58,4,0,0,0,0.0,0,0,0,5,0.72,3,2,1500,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,0,1,0,Arantang,13,yes,1,0,0,0,0,0.0,250,49.38,257,50.62,40,4.28,377,40.84,0.0,0.0,250.45,0.0,0.0,0.0,0.0,0.0
13581,Maruthakudi,Avadaiyarkoil,Pudukkottai,31,34,8,3.9,15,16,938,1,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,7,23.33,7,0,0,15,48.4,10,5,2000,0,0.0,0,0,0,16,51.6,5,11,455,15,100.0,10,5,2000,0,0.0,0,0,0,0,0.0,0,0,0,15,100.0,10,5,2000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Arantang,10,yes,1,0,0,0,0,0.0,29,92.35,2,7.65,2,1.76,57,62.94,0.0,0.0,29.47,0.0,0.0,0.0,0.0,0.0
13582,Tiruvakkudi,Avadaiyarkoil,Pudukkottai,69,100,11,6.3,38,31,1226,4,3,1,3000,0,0.0,0,0,0,0,0.0,0,0,0,29,44.62,18,11,1636,29,42.0,25,4,6250,0,0.0,0,0,0,40,58.0,13,27,481,28,96.55,24,4,6000,0,0.0,0,0,0,1,3.45,1,0,0,28,96.55,24,4,6000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,3.45,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Arantang,16,yes,1,0,0,0,0,0.0,27,93.45,2,6.55,1,1.96,39,56.45,0.0,0.0,26.7,0.0,0.0,0.0,0.0,0.0
13583,Vellalavayal,Avadaiyarkoil,Pudukkottai,380,152,80,4.8,195,185,1054,40,23,17,1353,119,31.3,59,60,983,0,0.0,0,0,0,206,60.59,146,60,2433,230,60.5,118,112,1054,0,0.0,0,0,0,150,39.5,77,73,1055,225,97.83,114,111,1027,2,0.87,2,0,0,3,1.3,2,1,2000,224,97.39,114,110,1036,1,0.43,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.87,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.43,1,0,0,2,0.87,1,1,1000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,2,0,no,1,0,0,1,0,0,Arantang,18,yes,1,0,0,0,0,0.0,81,77.32,24,22.68,11,4.42,134,53.56,0.0,0.0,81.03,0.0,0.0,0.0,0.0,0.0
13584,Sathirapatti,Avadaiyarkoil,Pudukkottai,58,67,16,3.6,26,32,813,8,2,6,333,0,0.0,0,0,0,0,0.0,0,0,0,29,58.0,22,7,3143,35,60.3,18,17,1059,0,0.0,0,0,0,23,39.7,8,15,533,35,100.0,18,17,1059,0,0.0,0,0,0,0,0.0,0,0,0,35,100.0,18,17,1059,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,no,1,0,0,0,1,0,Arantang,19,yes,1,0,0,0,0,0.0,26,65.99,13,34.01,3,3.65,45,51.72,0.0,0.0,25.55,0.0,0.0,0.0,0.0,0.0
13585,Arasur,Avadaiyarkoil,Pudukkottai,162,131,27,6.0,80,82,976,27,11,16,688,0,0.0,0,0,0,0,0.0,0,0,0,54,40.0,45,9,5000,93,57.4,44,49,898,0,0.0,0,0,0,69,42.6,36,33,1091,93,100.0,44,49,898,0,0.0,0,0,0,0,0.0,0,0,0,93,100.0,44,49,898,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,1,0,no,1,0,no,1,0,0,0,1,0,Arantang,19,yes,1,0,0,0,0,0.0,43,64.13,24,35.87,2,1.78,56,44.57,0.0,0.0,42.68,0.0,0.0,0.0,0.0,0.0
13586,Arasur Madagam [Vattam],Avadaiyarkoil,Pudukkottai,124,123,32,3.9,62,62,1000,7,5,2,2500,64,51.6,36,28,1286,0,0.0,0,0,0,49,41.88,38,11,3455,77,62.1,39,38,1026,0,0.0,0,0,0,47,37.9,23,24,958,77,100.0,39,38,1026,0,0.0,0,0,0,0,0.0,0,0,0,77,100.0,39,38,1026,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,2,0,no,1,0,0,1,0,0,Arantang,15,yes,1,0,0,0,0,0.0,34,54.86,28,45.14,1,0.51,38,37.24,0.0,0.0,34.47,0.0,0.0,0.0,0.0,0.0
13587,Irumbanadu,Avadaiyarkoil,Pudukkottai,1218,127,260,4.7,562,656,857,98,41,57,719,386,31.7,180,206,874,0,0.0,0,0,0,578,51.61,351,227,1546,535,43.9,316,219,1443,0,0.0,0,0,0,683,56.1,246,437,563,506,94.58,296,210,1410,4,0.75,4,0,0,25,4.67,16,9,1778,398,74.39,245,153,1601,106,19.81,49,57,860,2,0.0,2,0,0,0,0.0,0,0,0,3,0.56,3,0,0,1,0.19,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.75,3,1,3000,21,3.93,13,8,1625,yes,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Arantang,15,yes,1,0,0,0,0,0.0,307,73.86,109,26.14,25,2.6,516,53.96,0.0,0.0,306.65,0.0,0.0,0.0,0.0,0.0
13588,Kurungalur,Avadaiyarkoil,Pudukkottai,1192,164,279,4.3,563,629,895,159,73,86,849,249,20.9,112,137,818,0,0.0,0,0,0,509,49.27,334,175,1909,583,48.9,358,225,1591,5,0.4,0,5,0,604,50.7,205,399,514,540,92.62,319,221,1443,22,3.77,22,0,0,21,3.6,17,4,4250,165,28.3,147,18,8167,374,64.15,172,202,851,1,0.0,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,15,2.57,15,0,0,7,1.2,7,0,0,3,0.51,3,0,0,2,0.34,2,0,0,16,2.74,12,4,3000,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,2,0,no,2,0,0,1,0,0,Arantang,13,yes,1,0,0,0,29,4.05,220,73.63,79,26.37,59,8.18,338,46.55,0.0,0.0,220.26,0.0,0.0,0.0,0.0,0.0
13589,Thillaivayal,Avadaiyarkoil,Pudukkottai,117,91,25,4.7,52,65,800,20,5,15,333,0,0.0,0,0,0,0,0.0,0,0,0,25,25.77,16,9,1778,54,46.2,38,16,2375,0,0.0,0,0,0,63,53.8,14,49,286,54,100.0,38,16,2375,0,0.0,0,0,0,0,0.0,0,0,0,35,64.81,34,1,34000,19,35.19,4,15,267,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Arantang,18,yes,1,0,0,0,0,0.0,35,53.13,31,46.87,2,1.62,60,46.46,0.0,0.0,35.37,0.0,0.0,0.0,0.0,0.0
