"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
12966,Chettipatti,Kulattur,Pudukkottai,2022,104,405,5.0,974,1048,929,344,160,184,870,152,7.5,72,80,900,0,0.0,0,0,0,687,40.94,430,257,1673,1136,56.2,597,539,1108,4,0.2,1,3,333,882,43.6,376,506,743,1098,96.65,574,524,1095,8,0.7,8,0,0,30,2.64,15,15,1000,569,50.09,361,208,1736,526,46.3,210,316,665,3,0.0,3,0,0,0,0.0,0,0,0,5,0.44,5,0,0,3,0.26,3,0,0,0,0.0,0,0,0,5,0.44,5,0,0,0,0.0,0,0,0,25,2.2,10,15,667,yes,0,1,0,0,0,0,3,0,0,0,yes,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,no,1,0,0,1,0,0,Kiranu,12,yes,1,1,0,0,106,5.47,450,39.54,687,60.46,43,2.22,656,33.78,0.0,0.0,449.52,0.0,0.0,0.0,0.0,0.0
12967,Vellaipillayarpatti,Kulattur,Pudukkottai,360,163,70,5.1,187,173,1081,42,20,22,909,43,11.9,23,20,1150,0,0.0,0,0,0,143,44.97,101,42,2405,102,28.3,101,1,101000,2,0.6,0,2,0,256,71.1,86,170,506,97,95.1,97,0,0,0,0.0,0,0,0,5,4.9,4,1,4000,97,95.1,97,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.98,1,0,0,0,0.0,0,0,0,4,3.92,3,1,3000,yes,0,1,0,0,0,0,1,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,no,1,0,0,1,0,0,Kiranu,15,yes,1,1,0,0,0,0.0,43,76.49,13,23.51,37,16.8,127,57.67,0.0,0.0,43.11,0.0,0.0,0.0,0.0,0.0
12968,Kannangudi,Kulattur,Pudukkottai,909,117,167,5.4,439,470,934,176,88,88,1000,121,13.3,58,63,921,0,0.0,0,0,0,414,56.48,263,151,1742,262,28.8,227,35,6486,11,1.2,3,8,375,636,70.0,209,427,489,229,87.4,200,29,6897,10,3.82,10,0,0,23,8.78,17,6,2833,137,52.29,132,5,26400,91,34.73,67,24,2792,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,8,3.05,8,0,0,2,0.76,2,0,0,9,3.44,8,1,8000,0,0.0,0,0,0,14,5.34,9,5,1800,yes,0,1,0,0,0,0,1,0,0,0,yes,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Kiranu,15,yes,1,1,0,0,0,0.0,171,33.46,339,66.54,34,4.42,235,30.14,0.0,0.0,170.55,0.0,0.0,0.0,0.0,0.0
12969,Sengalur,Kulattur,Pudukkottai,2195,192,431,5.1,1108,1087,1019,277,143,134,1067,147,6.7,78,69,1130,0,0.0,0,0,0,754,39.31,469,285,1646,1329,60.5,703,626,1123,7,0.3,0,7,0,859,39.1,405,454,892,1256,94.43,645,611,1056,29,2.26,27,2,13500,44,3.31,31,13,2385,670,50.41,390,280,1393,585,44.02,255,330,773,0,0.0,0,0,0,1,0.08,0,1,0,21,1.58,19,2,9500,8,0.6,8,0,0,0,0.0,0,0,0,2,0.15,2,0,0,1,0.08,1,0,0,41,3.09,28,13,2154,yes,0,2,1,0,0,0,2,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Kiranu,18,yes,1,1,0,0,0,0.0,659,97.03,20,2.97,82,7.15,384,33.53,0.0,0.0,659.02,0.0,0.0,0.0,0.0,0.0
12970,Kattukottaipatti,Kulattur,Pudukkottai,416,132,78,5.3,212,204,1039,35,20,15,1333,0,0.0,0,0,0,0,0.0,0,0,0,197,51.71,122,75,1627,213,51.2,127,86,1477,1,0.2,0,1,0,202,48.6,85,117,726,211,99.06,125,86,1453,0,0.0,0,0,0,2,0.94,2,0,0,211,99.06,125,86,1453,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.47,1,0,0,1,0.47,1,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,no,1,0,0,1,0,0,Kiranu,19,yes,1,1,0,0,0,0.0,65,29.84,153,70.16,8,2.56,90,28.37,0.0,0.0,65.15,0.0,0.0,0.0,0.0,0.0
12971,Killukottai,Kulattur,Pudukkottai,1936,193,397,4.9,973,963,1010,227,128,99,1293,393,20.3,210,183,1148,0,0.0,0,0,0,931,54.48,587,344,1706,715,36.9,501,214,2341,288,14.9,35,253,138,933,48.2,437,496,881,607,84.9,421,186,2263,28,3.92,21,7,3000,80,11.19,59,21,2810,257,35.94,224,33,6788,349,48.81,196,153,1281,1,0.0,1,0,0,0,0.0,0,0,0,26,3.64,19,7,2714,0,0.0,0,0,0,2,0.28,2,0,0,21,2.94,20,1,20000,0,0.0,0,0,0,59,8.25,39,20,1950,yes,0,3,2,1,0,0,3,0,0,0,yes,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Kiranu,20,yes,1,1,0,0,174,17.39,123,20.68,473,79.32,37,3.69,194,19.39,0.0,0.0,123.36,0.0,0.0,0.0,0.0,0.0
12972,Ulagangattanpatti,Kulattur,Pudukkottai,464,134,84,5.5,229,235,974,76,39,37,1054,152,32.8,73,79,924,0,0.0,0,0,0,171,44.07,107,64,1672,202,43.5,100,102,980,70,15.1,34,36,944,192,41.4,95,97,979,188,93.07,90,98,918,1,0.5,1,0,0,13,6.44,9,4,2250,77,38.12,31,46,674,111,54.95,59,52,1135,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.5,1,0,0,0,0.0,0,0,0,1,0.5,1,0,0,0,0.0,0,0,0,12,5.94,8,4,2000,yes,0,1,0,0,0,0,2,0,0,0,yes,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,no,1,0,0,1,0,0,Kiranu,23,yes,1,1,0,0,0,0.0,31,14.72,179,85.28,63,18.09,73,21.12,0.0,0.0,30.97,0.0,0.0,0.0,0.0,0.0
12973,Killukulavoipatti,Kulattur,Pudukkottai,731,157,133,5.5,370,361,1025,106,44,62,710,125,17.1,63,62,1016,0,0.0,0,0,0,247,39.52,168,79,2127,273,37.3,202,71,2845,114,15.6,3,111,27,344,47.1,165,179,922,273,100.0,202,71,2845,0,0.0,0,0,0,0,0.0,0,0,0,121,44.32,117,4,29250,152,55.68,85,67,1269,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,1,0,0,0,0,2,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Kiranu,19,yes,1,1,0,0,0,0.0,82,26.97,221,73.03,30,6.54,133,28.55,0.0,0.0,81.51,0.0,0.0,0.0,0.0,0.0
12974,Rakkadanpatti,Kulattur,Pudukkottai,1202,285,254,4.7,553,649,852,173,84,89,944,89,7.4,45,44,1023,0,0.0,0,0,0,449,43.63,283,166,1705,374,31.1,300,74,4054,219,18.2,21,198,106,609,50.7,232,377,615,353,94.39,283,70,4043,10,2.67,10,0,0,11,2.94,7,4,1750,212,56.68,190,22,8636,141,37.7,93,48,1938,0,0.0,0,0,0,0,0.0,0,0,0,8,2.14,8,0,0,1,0.27,1,0,0,1,0.27,1,0,0,3,0.8,3,0,0,0,0.0,0,0,0,8,2.14,4,4,1000,yes,0,1,0,0,0,0,2,0,0,0,yes,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Pudukkotta,22,yes,1,1,0,0,0,0.0,71,23.51,231,76.49,10,2.33,110,26.15,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0
12975,T.Kilayur,Kulattur,Pudukkottai,2432,202,447,5.4,1225,1207,1015,340,161,179,899,317,13.0,168,149,1128,0,0.0,0,0,0,914,43.69,587,327,1795,1187,48.8,764,423,1806,391,16.1,42,349,120,854,35.1,419,435,963,1144,96.38,734,410,1790,14,1.18,6,8,750,29,2.44,24,5,4800,842,70.94,632,210,3010,302,25.44,102,200,510,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,0.25,1,2,500,11,0.93,5,6,833,11,0.93,11,0,0,1,0.08,1,0,0,17,1.43,12,5,2400,yes,0,3,0,0,0,0,3,0,0,0,yes,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Kiranu,16,yes,1,1,0,0,13,1.07,283,48.82,296,51.18,183,15.23,429,35.59,0.0,0.0,282.77,0.0,0.0,0.0,0.0,0.0
