"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
13164,Eagavayal,Pudukkottai,Pudukkottai,16,22,3,5.3,8,8,1000,1,0,1,0,0,0.0,0,0,0,0,0.0,0,0,0,13,86.67,8,5,1600,6,37.5,6,0,0,3,18.8,0,3,0,7,43.8,2,5,400,3,50.0,3,0,0,0,0.0,0,0,0,3,50.0,3,0,0,3,50.0,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,50.0,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,0,1,0,Pudukotta,12,yes,1,1,0,0,0,0.0,40,56.01,31,43.99,0,0.0,0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
13165,Sembattur,Pudukkottai,Pudukkottai,2251,265,454,5.0,1117,1134,985,271,133,138,964,537,23.9,253,284,891,0,0.0,0,0,0,970,48.99,626,344,1820,977,43.4,608,369,1648,182,8.1,6,176,34,1092,48.5,503,589,854,894,91.4,547,347,1576,25,2.66,23,2,11500,58,5.94,38,20,1900,684,70.01,465,219,2123,208,21.29,80,128,625,1,0.0,1,0,0,1,0.1,1,0,0,2,0.2,1,1,1000,19,1.94,18,1,18000,4,0.41,4,0,0,14,1.43,10,4,2500,6,0.61,6,0,0,38,3.89,22,16,1375,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,1,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,1,0,Pudukotta,13,yes,1,1,0,0,49,5.79,155,34.29,297,65.71,30,3.48,318,37.5,0.0,0.0,154.95,0.0,0.0,0.0,0.0,0.0
13166,Puthambur,Pudukkottai,Pudukkottai,2813,270,487,5.8,1402,1411,994,444,224,220,1018,934,33.2,458,476,962,0,0.0,0,0,0,1599,67.5,974,625,1558,1015,36.1,731,284,2574,87,3.1,4,83,48,1711,60.8,667,1044,639,723,71.23,461,262,1760,104,10.25,99,5,19800,188,18.52,171,17,10059,514,50.64,341,173,1971,195,19.21,108,87,1241,14,0.01,12,2,6000,0,0.0,0,0,0,49,4.83,44,5,8800,45,4.43,45,0,0,10,0.99,10,0,0,108,10.64,108,0,0,13,1.28,13,0,0,67,6.6,50,17,2941,yes,0,2,1,1,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,1,0,Pudukotta,10,yes,1,1,0,0,168,16.19,50,21.75,181,78.25,10,0.97,630,60.6,25.2,0.0,25.1,0.0,0.0,0.0,0.0,0.0
13167,Sanivayal,Pudukkottai,Pudukkottai,45,163,9,5.0,21,24,875,8,4,4,1000,0,0.0,0,0,0,0,0.0,0,0,0,21,56.76,15,6,2500,10,22.2,10,0,0,6,13.3,0,6,0,29,64.4,11,18,611,7,70.0,7,0,0,1,10.0,1,0,0,2,20.0,2,0,0,5,50.0,5,0,0,0,0.0,0,0,0,2,0.2,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,10.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,20.0,2,0,0,no,1,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,0,1,0,Pudukotta,13,yes,1,1,0,0,0,0.0,6,63.62,4,36.38,2,7.6,16,57.6,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0
13168,Kunichipatti,Pudukkottai,Pudukkottai,295,546,50,5.9,142,153,928,56,28,28,1000,295,100.0,142,153,928,0,0.0,0,0,0,99,41.42,70,29,2414,73,24.7,73,0,0,40,13.6,0,40,0,182,61.7,69,113,611,68,93.15,68,0,0,3,4.11,3,0,0,2,2.74,2,0,0,68,93.15,68,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,2.74,2,0,0,1,1.37,1,0,0,1,1.37,1,0,0,0,0.0,0,0,0,1,1.37,1,0,0,no,1,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,1,0,Pudukkotta,10,yes,1,1,0,0,13,23.44,10,65.82,5,34.18,6,11.68,20,36.45,0.0,0.0,10.11,0.0,0.0,0.0,0.0,0.0
13169,Kedayapatti,Pudukkottai,Pudukkottai,362,461,76,4.8,173,189,915,48,17,31,548,178,49.2,91,87,1046,0,0.0,0,0,0,181,57.64,125,56,2232,105,29.0,96,9,10667,54,14.9,0,54,0,203,56.1,77,126,611,77,73.33,70,7,10000,12,11.43,12,0,0,16,15.24,14,2,7000,65,61.9,58,7,8286,0,0.0,0,0,0,12,0.11,12,0,0,0,0.0,0,0,0,1,0.95,1,0,0,9,8.57,9,0,0,2,1.9,2,0,0,3,2.86,3,0,0,1,0.95,1,0,0,12,11.43,10,2,5000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Pudukotta,8,yes,1,1,0,0,0,0.0,36,94.84,2,5.16,1,1.08,40,50.84,3.15,0.0,32.67,0.0,0.0,0.0,0.0,0.0
13170,Tattampatti,Pudukkottai,Pudukkottai,196,143,33,5.9,95,101,941,34,17,17,1000,0,0.0,0,0,0,0,0.0,0,0,0,79,48.77,56,23,2435,97,49.5,55,42,1310,0,0.0,0,0,0,99,50.5,40,59,678,95,97.94,53,42,1262,1,1.03,1,0,0,1,1.03,1,0,0,77,79.38,43,34,1265,18,18.56,10,8,1250,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,1.03,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,1.03,1,0,0,no,1,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,0,1,0,Pudukotta,8,yes,1,1,0,0,0,0.0,44,60.23,29,39.77,21,15.14,43,31.45,3.0,0.0,41.2,0.0,0.0,0.0,0.0,0.0
13171,Tennathirayanpatti,Pudukkottai,Pudukkottai,472,558,87,5.4,228,244,934,61,33,28,1179,76,16.1,38,38,1000,0,0.0,0,0,0,261,63.5,168,93,1806,205,43.4,133,72,1847,4,0.8,0,4,0,263,55.7,95,168,565,168,81.95,98,70,1400,6,2.93,6,0,0,31,15.12,29,2,14500,120,58.54,74,46,1609,43,20.98,19,24,792,5,0.02,5,0,0,0,0.0,0,0,0,1,0.49,1,0,0,3,1.46,3,0,0,2,0.98,2,0,0,23,11.22,23,0,0,0,0.0,0,0,0,8,3.9,6,2,3000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,0,1,0,Pudukotta,5,yes,1,0,0,0,0,0.0,64,87.06,10,12.94,4,5.3,7,7.92,44.65,0.0,19.27,0.0,0.0,0.0,0.0,0.0
13172,Vagavasal,Pudukkottai,Pudukkottai,2218,282,343,6.5,1184,1034,1145,282,140,142,986,438,19.7,243,195,1246,0,0.0,0,0,0,1204,62.19,792,412,1922,644,29.0,469,175,2680,4,0.2,3,1,3000,1570,70.8,712,858,830,457,70.96,301,156,1929,68,10.56,68,0,0,119,18.48,100,19,5263,371,57.61,225,146,1541,83,12.89,75,8,9375,3,0.0,1,2,500,0,0.0,0,0,0,36,5.59,36,0,0,29,4.5,29,0,0,3,0.47,3,0,0,30,4.66,30,0,0,12,1.86,12,0,0,77,11.96,58,19,3053,yes,0,2,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Pudukotta,8,yes,1,1,0,0,8,1.04,188,52.74,168,47.26,178,22.63,245,31.17,13.9,0.0,173.63,0.0,0.0,0.0,0.0,0.0
13173,Siruvayal,Pudukkottai,Pudukkottai,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,79.7,0,20.3,0,4.06,0,36.79,5.21,0.0,23.09,0.0,0.0,0.0,0.0,0.0
