"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
8390,Koothanatham,Tiruchengodu,Salem,2047,288,566,3.6,1065,982,1085,177,93,84,1107,539,26.3,286,253,1130,0,0.0,0,0,0,935,50.0,643,292,2202,1500,73.3,769,731,1052,0,0.0,0,0,0,547,26.7,296,251,1179,1467,97.8,740,727,1018,8,0.53,7,1,7000,25,1.67,22,3,7333,784,52.27,405,379,1069,682,45.47,334,348,960,1,0.0,1,0,0,0,0.0,0,0,0,1,0.07,1,0,0,7,0.47,6,1,6000,0,0.0,0,0,0,4,0.27,4,0,0,6,0.4,6,0,0,15,1.0,12,3,4000,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Mallasamudra,8,yes,1,1,0,0,0,0.0,265,48.98,276,51.02,90,12.66,80,11.21,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8391,Sanbagamahadevi,Tiruchengodu,Salem,1433,249,397,3.6,763,670,1139,144,92,52,1769,414,28.9,227,187,1214,0,0.0,0,0,0,609,47.25,410,199,2060,660,46.1,445,215,2070,7,0.5,0,7,0,766,53.5,318,448,710,506,76.67,310,196,1582,50,7.58,49,1,49000,104,15.76,86,18,4778,262,39.7,174,88,1977,244,36.97,136,108,1259,0,0.0,0,0,0,0,0.0,0,0,0,30,4.55,29,1,29000,15,2.27,15,0,0,5,0.76,5,0,0,7,1.06,6,1,6000,10,1.52,9,1,9000,87,13.18,71,16,4438,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,1,0,Mallasamudra,7,yes,1,1,0,0,0,0.0,140,37.14,237,62.86,93,16.18,105,18.21,100.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
8392,Ballakkuli Agraharam,Tiruchengodu,Salem,1263,332,359,3.5,680,583,1166,119,82,37,2216,504,39.9,270,234,1154,0,0.0,0,0,0,468,40.91,309,159,1943,875,69.3,450,425,1059,1,0.1,0,1,0,387,30.6,230,157,1465,828,94.63,411,417,986,7,0.8,7,0,0,40,4.57,32,8,4000,239,27.31,165,74,2230,588,67.2,245,343,714,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,0.57,5,0,0,2,0.23,2,0,0,10,1.14,9,1,9000,13,1.49,13,0,0,17,1.94,10,7,1429,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Mallasamudra,8,yes,1,1,0,0,0,0.0,143,49.14,148,50.86,40,10.51,49,12.99,117.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0
8393,Mangalam,Tiruchengodu,Salem,2858,348,769,3.7,1452,1406,1033,315,181,134,1351,1032,36.1,529,503,1052,0,0.0,0,0,0,1105,43.45,720,385,1870,1554,54.4,908,646,1406,141,4.9,0,141,0,1163,40.7,544,619,879,1243,79.92,661,582,1136,217,14.03,182,35,5200,94,6.05,65,29,2241,465,29.92,293,172,1703,777,50.0,367,410,895,0,0.0,0,0,0,1,0.06,1,0,0,157,10.1,131,26,5038,48,3.09,41,7,5857,12,0.77,10,2,5000,20,1.29,19,1,19000,14,0.9,13,1,13000,60,3.86,33,27,1222,yes,0,5,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Mallasamudra,4,yes,1,1,0,0,0,0.0,282,43.25,370,56.75,90,10.96,80,9.68,282.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8394,Mamundi Agraharam,Tiruchengodu,Salem,4105,555,1078,3.8,2152,1953,1102,450,263,187,1406,976,23.8,517,459,1126,0,0.0,0,0,0,1584,43.34,1010,574,1760,2576,62.8,1472,1104,1333,4,0.1,2,2,1000,1525,37.1,678,847,800,1626,62.73,810,816,993,714,28.11,515,199,2588,236,9.16,147,89,1652,539,20.92,342,197,1736,1067,41.42,455,612,743,10,0.0,7,3,2333,10,0.39,6,4,1500,97,3.77,49,48,1021,600,23.29,458,142,3225,17,0.66,8,9,889,52,2.02,46,6,7667,14,0.54,14,0,0,170,6.6,87,83,1048,yes,0,3,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,0,1,0,Mallasamudra,3,yes,0,0,0,1,0,0.0,275,47.58,303,52.42,76,10.27,86,11.64,138.0,0.0,58.0,0.0,0.0,79.0,0.0,0.0
8395,Mallasamudram (West),Tiruchengodu,Salem,4310,307,1217,3.5,2180,2130,1023,356,193,163,1184,1455,33.8,736,719,1024,0,0.0,0,0,0,1741,44.03,1123,618,1817,2478,57.5,1415,1063,1331,109,2.5,7,102,69,1723,40.0,758,965,785,2063,83.25,1111,952,1167,243,9.81,182,61,2984,172,6.94,122,50,2440,808,32.61,469,339,1383,1243,50.16,632,611,1034,12,0.0,10,2,5000,0,0.0,0,0,0,138,5.57,89,49,1816,92,3.71,81,11,7364,13,0.52,12,1,12000,26,1.05,24,2,12000,30,1.21,30,0,0,116,4.68,68,48,1417,yes,0,6,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Mallasamudra,5,yes,1,1,0,0,0,0.0,275,23.98,872,76.02,163,11.6,96,6.8,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8396,Kolankondai,Tiruchengodu,Salem,1024,254,271,3.8,532,492,1081,102,56,46,1217,437,42.7,235,202,1163,0,0.0,0,0,0,401,43.49,269,132,2038,606,59.2,346,260,1331,0,0.0,0,0,0,418,40.8,186,232,802,535,88.28,284,251,1131,40,6.6,40,0,0,31,5.12,22,9,2444,191,31.52,107,84,1274,342,56.44,175,167,1048,2,0.0,2,0,0,0,0.0,0,0,0,10,1.65,10,0,0,15,2.48,15,0,0,15,2.48,15,0,0,4,0.66,2,2,1000,4,0.66,4,0,0,23,3.8,16,7,2286,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,1,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Mallasamudra,5,yes,1,1,0,0,0,0.0,76,21.9,271,78.1,3,0.74,53,13.17,62.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
8397,Kavundampalaiyam,Tiruchengodu,Salem,819,292,238,3.4,419,400,1048,71,31,40,775,118,14.4,58,60,967,0,0.0,0,0,0,370,49.47,245,125,1960,603,73.6,308,295,1044,0,0.0,0,0,0,216,26.4,111,105,1057,585,97.01,295,290,1017,2,0.33,2,0,0,16,2.65,11,5,2200,408,67.66,211,197,1071,176,29.19,83,93,892,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.17,1,0,0,1,0.17,1,0,0,1,0.17,0,1,0,2,0.33,2,0,0,13,2.16,9,4,2250,no,1,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,1,0,Mallasamudra,6,yes,1,1,0,0,0,0.0,52,53.06,46,46.94,26,9.28,156,55.72,30.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
8398,Sembampalaiyam,Tiruchengodu,Salem,946,227,282,3.4,494,452,1093,93,45,48,938,94,9.9,50,44,1136,0,0.0,0,0,0,360,42.2,262,98,2673,558,59.0,295,263,1122,0,0.0,0,0,0,388,41.0,199,189,1053,468,83.87,213,255,835,24,4.3,22,2,11000,66,11.83,60,6,10000,78,13.98,58,20,2900,390,69.89,155,235,660,0,0.0,0,0,0,0,0.0,0,0,0,5,0.9,3,2,1500,16,2.87,16,0,0,3,0.54,3,0,0,10,1.79,9,1,9000,43,7.71,43,0,0,13,2.33,8,5,1600,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,1,0,Mallasamudra,8,yes,1,1,0,0,0,0.0,68,22.74,231,77.26,13,3.11,106,25.3,62.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
8399,Karumanur,Tiruchengodu,Salem,468,330,129,3.6,240,228,1053,39,21,18,1167,85,18.2,38,47,809,0,0.0,0,0,0,209,48.72,138,71,1944,160,34.2,153,7,21857,0,0.0,0,0,0,308,65.8,87,221,394,145,90.63,142,3,47333,1,0.63,1,0,0,14,8.75,10,4,2500,95,59.38,95,0,0,49,30.63,46,3,15333,1,0.01,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.63,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,1.88,3,0,0,11,6.88,7,4,1750,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,2,0,no,1,0,0,1,1,0,Mallasamudra,5,yes,1,1,0,0,0,0.0,18,16.67,90,83.33,5,3.53,29,20.22,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
