"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
6862,Valudambattu,Cuddalore,South Arcot,6957,500,1525,4.6,3612,3345,1080,974,526,448,1174,1384,19.9,689,695,991,0,0.0,0,0,0,3218,53.79,2082,1136,1833,3159,45.4,2077,1082,1920,53,0.8,0,53,0,3745,53.8,1535,2210,695,2637,83.38,1618,1019,1588,134,4.34,114,20,5700,388,12.28,345,43,8023,757,23.96,650,107,6075,1841,58.28,929,912,1019,36,0.01,36,0,0,3,0.09,3,0,0,13,0.41,5,8,625,99,3.13,92,7,13143,22,0.7,17,5,3400,175,5.54,164,11,14909,37,1.17,37,0,0,176,5.57,144,32,4500,yes,0,6,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,0,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Cuddalor,20,yes,0,0,0,1,0,0.0,400,39.62,609,60.38,235,16.87,147,10.56,399.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6863,Tondamanatham,Cuddalore,South Arcot,5352,627,1174,4.6,2776,2576,1078,827,423,404,1047,2209,41.3,1127,1082,1042,0,0.0,0,0,0,2168,47.91,1434,734,1954,2431,45.4,1522,909,1674,298,5.6,70,228,307,2623,49.0,1184,1439,823,2280,93.75,1398,882,1585,24,1.03,21,3,7000,127,5.22,103,24,4292,661,27.19,531,130,4085,1618,66.56,866,752,1152,0,0.0,0,0,0,1,0.04,1,0,0,4,0.16,1,3,333,14,0.58,14,0,0,6,0.25,6,0,0,23,0.95,22,1,22000,13,0.53,13,0,0,91,3.74,68,23,2957,yes,0,4,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,2,0,yes,0,1,0,1,0,0,Cuddalor,16,yes,0,0,0,1,0,0.0,473,67.62,227,32.38,50,5.89,103,12.05,473.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6864,Tiyagavelli,Cuddalore,South Arcot,4498,313,991,4.5,2244,2254,996,797,389,408,953,1131,25.1,576,555,1038,0,0.0,0,0,0,1557,42.07,1062,495,2145,1722,38.3,1321,401,3294,351,7.8,16,335,48,2425,53.9,907,1518,597,1644,95.41,1254,390,3215,13,0.81,13,0,0,65,3.77,54,11,4909,318,18.47,312,6,52000,905,52.56,521,384,1357,420,0.24,420,0,0,1,0.06,1,0,0,4,0.23,4,0,0,7,0.41,7,0,0,2,0.12,2,0,0,14,0.81,11,3,3667,11,0.64,11,0,0,40,2.32,32,8,4000,yes,0,6,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Cuddalor,15,yes,0,0,0,1,0,0.0,48,5.02,902,94.98,288,20.05,197,13.75,47.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6865,Kodandaramapuram,Cuddalore,South Arcot,2917,674,611,4.8,1500,1417,1059,420,217,203,1069,1669,57.2,853,816,1045,0,0.0,0,0,0,1238,49.58,808,430,1879,1592,54.6,863,729,1184,18,0.6,0,18,0,1307,44.8,637,670,951,1522,95.54,803,719,1117,14,0.94,12,2,6000,56,3.52,48,8,6000,52,3.27,42,10,4200,1466,92.09,757,709,1068,3,0.0,3,0,0,1,0.06,1,0,0,7,0.44,5,2,2500,5,0.31,5,0,0,2,0.13,2,0,0,7,0.44,7,0,0,4,0.25,4,0,0,45,2.83,37,8,4625,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Cuddalod,15,yes,0,0,0,1,0,0.0,209,66.19,107,33.81,12,2.71,105,24.19,209.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6866,Ambalavanampettai,Cuddalore,South Arcot,2634,700,542,4.9,1337,1297,1031,407,209,198,1056,914,34.7,465,449,1036,0,0.0,0,0,0,1262,56.67,780,482,1618,1160,44.0,796,364,2187,2,0.1,0,2,0,1472,55.9,541,931,581,1046,90.0,700,346,2023,24,2.24,24,0,0,90,7.76,72,18,4000,386,33.28,326,60,5433,656,56.55,370,286,1294,2,0.0,2,0,0,2,0.17,2,0,0,2,0.17,2,0,0,12,1.03,12,0,0,10,0.86,10,0,0,32,2.76,29,3,9667,9,0.78,8,1,8000,49,4.22,35,14,2500,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,0,0,0,0,0,0,1,0,yes,0,0,yes,0,1,1,1,0,0,Cuddalor,20,yes,0,0,0,1,0,0.0,110,49.76,111,50.24,92,24.36,64,16.94,109.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6867,Toppukollai,Cuddalore,South Arcot,556,380,115,4.8,298,258,1155,103,60,43,1395,0,0.0,0,0,0,36,6.5,19,17,1118,264,58.28,184,80,2300,365,65.6,189,176,1074,0,0.0,0,0,0,191,34.4,109,82,1329,365,100.0,189,176,1074,0,0.0,0,0,0,0,0.0,0,0,0,317,86.85,166,151,1099,48,13.15,23,25,920,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Kurinjipad,3,yes,0,0,0,1,0,0.0,39,36.34,69,63.66,15,10.13,23,16.01,39.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6868,Timmaravuthamkuppam,Cuddalore,South Arcot,172,189,39,4.4,88,84,1048,28,17,11,1545,39,22.7,22,17,1294,0,0.0,0,0,0,105,72.92,61,44,1386,58,33.7,49,9,5444,52,30.2,0,52,0,62,36.0,39,23,1696,56,96.55,47,9,5222,0,0.0,0,0,0,2,3.45,2,0,0,56,96.55,47,9,5222,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,3.45,2,0,0,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Kurinjipad,5,yes,0,0,0,1,0,0.0,20,28.09,50,71.91,6,6.1,15,16.88,19.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6869,Krishnankuppam,Cuddalore,South Arcot,2989,1147,674,4.4,1540,1449,1063,485,253,232,1091,61,2.0,34,27,1259,0,0.0,0,0,0,1559,62.26,1005,554,1814,1192,39.9,866,326,2656,2,0.1,0,2,0,1795,60.1,674,1121,601,1051,87.58,760,291,2612,50,4.78,48,2,24000,91,7.63,58,33,1758,596,50.0,471,125,3768,447,37.5,281,166,1693,1,0.0,1,0,0,7,0.59,7,0,0,0,0.0,0,0,0,44,3.69,42,2,21000,6,0.5,6,0,0,21,1.76,17,4,4250,7,0.59,7,0,0,63,5.29,34,29,1172,yes,0,2,2,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Kurinjipad,7,yes,0,0,0,1,0,0.0,46,23.59,148,76.41,40,15.29,27,10.24,45.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6870,Thambipalayam,Cuddalore,South Arcot,1719,310,400,4.3,900,819,1099,278,154,124,1242,913,53.1,476,437,1089,0,0.0,0,0,0,659,45.73,448,211,2123,842,49.0,512,330,1552,3,0.2,0,3,0,874,50.8,388,486,798,781,92.52,464,317,1464,12,1.66,12,0,0,49,5.82,36,13,2769,260,30.88,194,66,2939,518,61.52,267,251,1064,1,0.0,1,0,0,2,0.24,2,0,0,2,0.24,2,0,0,9,1.07,9,0,0,1,0.12,1,0,0,12,1.43,12,0,0,5,0.59,5,0,0,32,3.8,19,13,1462,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Kurinjipad,12,yes,0,0,0,1,0,0.0,117,31.42,255,68.58,63,11.35,120,21.6,116.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6871,Ayikuppam,Cuddalore,South Arcot,1757,372,387,4.5,867,890,974,292,145,147,986,763,43.4,370,393,941,0,0.0,0,0,0,729,49.76,449,280,1604,782,44.5,465,317,1467,23,1.3,4,19,211,952,54.2,398,554,718,714,91.18,409,305,1341,13,1.79,12,1,12000,55,7.03,44,11,4000,133,17.01,124,9,13778,577,73.79,282,295,956,3,0.0,2,1,2000,1,0.13,1,0,0,2,0.26,1,1,1000,6,0.77,6,0,0,5,0.64,5,0,0,13,1.66,13,0,0,5,0.64,5,0,0,37,4.73,26,11,2364,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,1,0,no,1,0,no,1,0,0,0,1,0,Cuddalor,20,yes,0,0,0,1,0,0.0,205,53.4,179,46.6,19,4.09,70,14.73,204.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
