"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
6754,Paithambadi,Panruti,South Arcot,1725,450,374,4.6,887,838,1058,278,150,128,1172,509,29.5,262,247,1061,0,0.0,0,0,0,747,51.62,501,246,2037,655,38.0,479,176,2722,2,0.1,0,2,0,1068,61.9,408,660,618,590,90.08,426,164,2598,14,2.14,14,0,0,51,7.79,39,12,3250,138,21.07,130,8,16250,452,69.01,296,156,1897,0,0.0,0,0,0,0,0.0,0,0,0,2,0.31,2,0,0,12,1.83,12,0,0,0,0.0,0,0,0,12,1.83,8,4,2000,8,1.22,8,0,0,31,4.73,23,8,2875,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Villupura,13,yes,1,1,0,0,0,0.0,131,50.76,127,49.24,35,9.12,91,23.75,0.0,130.75,0.0,0.0,0.0,0.0,0.0,0.0
6755,Kavanur,Panruti,South Arcot,1131,932,247,4.6,607,524,1158,163,91,72,1264,0,0.0,0,0,0,0,0.0,0,0,0,285,29.44,229,56,4089,393,34.7,338,55,6145,205,18.1,2,203,10,533,47.1,267,266,1004,345,87.79,294,51,5765,25,6.36,23,2,11500,23,5.85,21,2,10500,122,31.04,111,11,10091,223,56.74,183,40,4575,0,0.0,0,0,0,0,0.0,0,0,0,17,4.33,16,1,16000,6,1.53,5,1,5000,2,0.51,2,0,0,12,3.05,11,1,11000,3,0.76,3,0,0,8,2.04,7,1,7000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Villupura,10,yes,1,1,0,0,0,0.0,92,92.66,7,7.34,2,1.76,20,16.08,0.0,92.4,0.0,0.0,0.0,0.0,0.0,0.0
6756,Ulundanabattu,Panruti,South Arcot,552,585,116,4.8,269,283,951,111,52,59,881,125,22.6,64,61,1049,0,0.0,0,0,0,223,50.57,148,75,1973,246,44.6,144,102,1412,5,0.9,0,5,0,301,54.5,125,176,710,216,87.8,121,95,1274,4,1.63,3,1,3000,26,10.57,20,6,3333,48,19.51,39,9,4333,163,66.26,79,84,940,5,0.02,3,2,1500,0,0.0,0,0,0,4,1.63,3,1,3000,0,0.0,0,0,0,0,0.0,0,0,0,10,4.07,8,2,4000,5,2.03,5,0,0,11,4.47,7,4,1750,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Villupura,10,yes,1,1,0,0,0,0.0,75,93.54,5,6.46,2,2.57,11,12.14,0.0,75.3,0.0,0.0,0.0,0.0,0.0,0.0
6757,Enadirimangalam,Panruti,South Arcot,1761,360,379,4.6,877,884,992,242,117,125,936,362,20.6,195,167,1168,88,5.0,43,45,956,602,39.63,382,220,1736,1120,63.6,610,510,1196,16,0.9,1,15,67,625,35.5,266,359,741,1099,98.13,594,505,1176,3,0.27,3,0,0,18,1.61,13,5,2600,185,16.52,163,22,7409,914,81.61,431,483,892,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,0.27,3,0,0,0,0.0,0,0,0,5,0.45,4,1,4000,2,0.18,2,0,0,11,0.98,7,4,1750,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Panrut,10,yes,1,1,0,0,0,0.0,241,77.45,70,22.55,40,8.19,138,28.23,0.0,240.96,0.0,0.0,0.0,0.0,0.0,0.0
6758,Koratti,Panruti,South Arcot,1382,1638,285,4.8,720,662,1088,168,87,81,1074,0,0.0,0,0,0,23,1.7,11,12,917,602,49.59,395,207,1908,668,48.3,455,213,2136,42,3.0,0,42,0,672,48.6,265,407,651,648,97.01,442,206,2146,4,0.6,4,0,0,16,2.4,9,7,1286,126,18.86,122,4,30500,522,78.14,320,202,1584,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,0.6,4,0,0,0,0.0,0,0,0,2,0.3,2,0,0,2,0.3,2,0,0,12,1.8,5,7,714,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,1,1,0,0,Panrut,12,yes,1,1,0,0,0,0.0,32,55.83,25,44.17,3,3.67,24,28.51,0.0,31.95,0.0,0.0,0.0,0.0,0.0,0.0
6759,Akkadavalli,Panruti,South Arcot,2408,571,472,5.1,1261,1147,1099,368,188,180,1044,542,22.5,276,266,1038,0,0.0,0,0,0,1066,52.25,744,322,2311,1375,57.1,769,606,1269,79,3.3,1,78,13,954,39.6,491,463,1060,1268,92.22,684,584,1171,23,1.67,21,2,10500,84,6.11,64,20,3200,774,56.29,452,322,1404,493,35.85,231,262,882,1,0.0,1,0,0,0,0.0,0,0,0,6,0.44,4,2,2000,14,1.02,14,0,0,3,0.22,3,0,0,25,1.82,20,5,4000,15,1.09,15,0,0,44,3.2,29,15,1933,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,1,1,0,0,Panrut,12,yes,1,1,0,0,0,0.0,61,23.29,201,76.71,3,0.67,156,37.09,0.0,61.09,0.0,0.0,0.0,0.0,0.0,0.0
6760,Kandarakkattai,Panruti,South Arcot,3861,695,826,4.7,1958,1903,1029,566,279,287,972,898,23.3,460,438,1050,0,0.0,0,0,0,1685,51.14,1103,582,1895,1447,37.5,1104,343,3219,277,7.2,2,275,7,2137,55.3,852,1285,663,1285,88.8,961,324,2966,29,2.0,27,2,13500,133,9.19,116,17,6824,496,34.28,477,19,25105,786,54.32,483,303,1594,3,0.0,1,2,500,0,0.0,0,0,0,8,0.55,6,2,3000,14,0.97,14,0,0,7,0.48,7,0,0,50,3.46,48,2,24000,21,1.45,21,0,0,62,4.28,47,15,3133,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,0,0,0,1,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,panrut,6,yes,1,1,0,0,0,0.0,325,84.84,58,15.16,0,0.0,172,31.03,0.0,0.0,0.0,0.0,0.0,325.16,0.0,0.0
6761,Pulavanur,Panruti,South Arcot,3356,582,727,4.6,1764,1592,1108,495,278,217,1281,1812,54.0,947,865,1095,0,0.0,0,0,0,1361,47.57,918,443,2072,1386,41.3,1004,382,2628,1,0.0,0,1,0,1969,58.7,760,1209,629,1258,90.76,888,370,2400,15,1.08,15,0,0,113,8.15,101,12,8417,315,22.73,247,68,3632,942,67.97,640,302,2119,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,11,0.79,11,0,0,4,0.29,4,0,0,37,2.67,37,0,0,10,0.72,10,0,0,66,4.76,54,12,4500,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Panrut,7,yes,1,1,0,0,0,0.0,489,100.0,0,0.0,0,0.0,88,15.21,0.0,299.42,0.0,0.0,0.0,189.38,0.0,0.0
6762,Melkumaramangalam <north>,Panruti,South Arcot,5458,611,1206,4.5,2698,2760,978,809,401,408,983,1400,25.7,687,713,964,0,0.0,0,0,0,2215,47.64,1444,771,1873,2097,38.4,1540,557,2765,319,5.8,3,316,9,3042,55.7,1155,1887,612,1914,91.27,1392,522,2667,45,2.15,38,7,5429,138,6.58,110,28,3929,563,26.85,500,63,7937,1337,63.76,884,453,1951,14,0.01,8,6,1333,0,0.0,0,0,0,13,0.62,8,5,1600,22,1.05,20,2,10000,10,0.48,10,0,0,40,1.91,34,6,5667,25,1.19,24,1,24000,73,3.48,52,21,2476,yes,0,5,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Panruti [C [,12,yes,1,1,0,0,0,0.0,575,100.0,0,0.0,30,3.39,287,32.18,0.0,575.08,0.0,0.0,0.0,0.0,0.0,0.0
6763,Pagandai,Panruti,South Arcot,1557,645,319,4.9,784,773,1014,204,94,110,855,27,1.7,12,15,800,0,0.0,0,0,0,829,61.27,540,289,1869,645,41.4,469,176,2665,84,5.4,0,84,0,828,53.2,315,513,614,585,90.7,414,171,2421,12,1.86,12,0,0,48,7.44,43,5,8600,187,28.99,164,23,7130,398,61.71,250,148,1689,0,0.0,0,0,0,0,0.0,0,0,0,5,0.78,5,0,0,3,0.47,3,0,0,4,0.62,4,0,0,8,1.24,7,1,7000,14,2.17,14,0,0,26,4.03,22,4,5500,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,0,1,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Panrut,11,yes,1,1,0,0,0,0.0,141,100.0,0,0.0,6,2.28,95,39.5,0.0,140.64,0.0,0.0,0.0,0.0,0.0,0.0
