"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
5492,Mambakkam,Tindivanam,South Arcot,908,278,210,4.3,463,445,1040,135,80,55,1455,105,11.6,56,49,1143,4,0.4,1,3,333,371,47.99,256,115,2226,342,37.7,272,70,3886,0,0.0,0,0,0,566,62.3,191,375,509,327,95.61,263,64,4109,1,0.29,1,0,0,14,4.09,8,6,1333,154,45.03,151,3,50333,172,50.29,111,61,1820,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.29,1,0,0,1,0.29,1,0,0,0,0.0,0,0,0,13,3.8,7,6,1167,yes,0,1,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,yes,0,0,no,3,0,0,1,0,0,Tindivana,13,yes,1,1,0,0,0,0.0,86,35.09,159,64.91,0,0.0,82,25.18,85.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5493,Sembakkam,Tindivanam,South Arcot,658,228,150,4.4,333,325,1025,111,54,57,947,332,50.5,169,163,1037,13,2.0,7,6,1167,250,45.7,159,91,1747,374,56.8,186,188,989,0,0.0,0,0,0,284,43.2,147,137,1073,358,95.72,174,184,946,1,0.27,1,0,0,15,4.01,11,4,2750,73,19.52,62,11,5636,285,76.2,112,173,647,0,0.0,0,0,0,0,0.0,0,0,0,1,0.27,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.27,1,0,0,0,0.0,0,0,0,14,3.74,10,4,2500,yes,0,3,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Tindivana,8,yes,1,1,0,0,0,0.0,73,33.37,145,66.63,0,0.0,72,24.79,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5494,Konalur,Tindivanam,South Arcot,585,792,144,4.1,298,287,1038,95,44,51,863,4,0.7,2,2,1000,0,0.0,0,0,0,218,44.49,146,72,2028,261,44.6,179,82,2183,5,0.9,0,5,0,319,54.5,119,200,595,238,91.19,162,76,2132,7,2.68,7,0,0,16,6.13,10,6,1667,74,28.35,69,5,13800,157,60.15,88,69,1275,7,0.03,5,2,2500,0,0.0,0,0,0,3,1.15,3,0,0,2,0.77,2,0,0,2,0.77,2,0,0,1,0.38,1,0,0,0,0.0,0,0,0,15,5.75,9,6,1500,yes,0,1,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Tindivana,19,yes,1,1,0,0,0,0.0,20,40.48,30,59.52,0,0.0,24,32.8,20.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5495,Melsiviri,Tindivanam,South Arcot,867,578,192,4.5,428,439,975,127,59,68,868,362,41.8,178,184,967,48,5.5,26,22,1182,387,52.3,234,153,1529,446,51.4,243,203,1197,62,7.2,0,62,0,359,41.4,185,174,1063,403,90.36,207,196,1056,11,2.47,11,0,0,32,7.17,25,7,3571,90,20.18,66,24,2750,304,68.16,133,171,778,9,0.02,8,1,8000,0,0.0,0,0,0,1,0.22,1,0,0,3,0.67,3,0,0,7,1.57,7,0,0,7,1.57,7,0,0,0,0.0,0,0,0,25,5.61,18,7,2571,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Tindivana,18,yes,1,1,0,0,0,0.0,12,10.79,100,89.21,0,0.0,38,25.18,12.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5496,Attipakkam,Tindivanam,South Arcot,826,339,208,4.0,410,416,986,120,58,62,935,572,69.2,288,284,1014,19,2.3,8,11,727,301,42.63,177,124,1427,401,48.5,237,164,1445,55,6.7,0,55,0,370,44.8,173,197,878,358,89.28,206,152,1355,13,3.24,10,3,3333,30,7.48,21,9,2333,96,23.94,91,5,18200,256,63.84,109,147,741,6,0.01,6,0,0,0,0.0,0,0,0,0,0.0,0,0,0,9,2.24,6,3,2000,4,1.0,4,0,0,5,1.25,4,1,4000,2,0.5,2,0,0,23,5.74,15,8,1875,yes,0,1,0,0,0,0,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,yes,0,0,yes,0,1,0,1,0,0,Tindivana,17,yes,1,1,0,0,0,0.0,104,68.82,47,31.18,0,0.0,93,38.02,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5497,Neduntondi,Tindivanam,South Arcot,478,408,107,4.5,232,246,943,78,38,40,950,260,54.4,126,134,940,38,7.9,20,18,1111,183,45.75,114,69,1652,132,27.6,130,2,65000,144,30.1,0,144,0,202,42.3,102,100,1020,106,80.3,104,2,52000,17,12.88,17,0,0,9,6.82,9,0,0,38,28.79,38,0,0,67,50.76,65,2,32500,1,0.01,1,0,0,0,0.0,0,0,0,5,3.79,5,0,0,8,6.06,8,0,0,4,3.03,4,0,0,1,0.76,1,0,0,2,1.52,2,0,0,6,4.55,6,0,0,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,Tindivana,13,yes,1,0,0,0,0,0.0,24,23.22,80,76.78,0,0.0,13,11.0,24.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5498,Vellimedupettai,Tindivanam,South Arcot,2528,1734,589,4.3,1244,1284,969,344,171,173,988,12,0.5,7,5,1400,49,1.9,25,24,1042,1386,63.46,818,568,1440,1097,43.4,696,401,1736,11,0.4,0,11,0,1420,56.2,548,872,628,801,72.38,434,367,1183,55,5.65,51,4,12750,241,21.97,211,30,7033,220,20.05,206,14,14714,568,51.78,216,352,614,6,0.01,5,1,5000,7,0.64,7,0,0,2,0.18,0,2,0,39,3.56,37,2,18500,14,1.28,14,0,0,106,9.66,100,6,16667,22,2.01,21,1,21000,113,10.3,90,23,3913,yes,0,2,2,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,yes,0,1,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Tindivana,13,yes,1,1,0,0,0,0.0,94,79.57,24,20.43,0,0.0,27,18.58,29.48,0.0,30.0,35.0,0.0,0.0,0.0,0.0
5499,Puttanandal,Tindivanam,South Arcot,448,289,102,4.4,225,223,1009,85,43,42,1024,132,29.5,65,67,970,18,4.0,11,7,1571,163,44.9,104,59,1763,241,53.8,120,121,992,2,0.4,0,2,0,205,45.8,105,100,1050,230,94.61,110,120,917,4,2.49,4,0,0,7,2.9,6,1,6000,72,29.88,71,1,71000,156,64.73,38,118,322,0,0.0,0,0,0,2,0.83,1,1,1000,0,0.0,0,0,0,0,0.0,0,0,0,4,1.66,4,0,0,0,0.0,0,0,0,0,0.0,0,0,0,7,2.9,6,1,6000,yes,0,2,0,0,0,0,0,0,0,0,no,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Tindivanam,13,yes,1,1,0,0,0,0.0,45,43.77,58,56.23,0,0.0,52,33.59,10.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0
5500,Dadapuram,Tindivanam,South Arcot,3450,284,777,4.4,1736,1714,1013,444,217,227,956,923,26.8,479,444,1079,136,3.9,67,69,971,1638,54.49,1039,599,1735,1791,51.9,1008,783,1287,26,0.8,0,26,0,1633,47.3,728,905,804,1567,86.6,843,724,1164,47,3.52,36,11,3273,177,9.88,129,48,2688,462,25.8,452,10,45200,1076,60.08,367,709,518,13,0.01,13,0,0,16,0.89,11,5,2200,23,1.28,19,4,4750,21,1.17,14,7,2000,3,0.17,3,0,0,33,1.84,24,9,2667,9,0.5,9,0,0,135,7.54,96,39,2462,yes,0,3,2,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Tindivana,14,yes,1,1,0,0,0,0.0,763,87.7,107,12.3,108,8.86,236,19.44,763.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5501,Singanikuppam,Tindivanam,South Arcot,817,890,160,5.1,413,404,1022,116,54,62,871,0,0.0,0,0,0,0,0.0,0,0,0,369,52.64,251,118,2127,521,63.8,268,253,1059,0,0.0,0,0,0,296,36.2,145,151,960,510,97.89,259,251,1032,6,1.15,5,1,5000,5,0.96,4,1,4000,230,44.15,230,0,0,280,53.74,29,251,116,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.15,5,1,5000,0,0.0,0,0,0,3,0.58,3,0,0,1,0.19,1,0,0,1,0.19,0,1,0,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,..Tindivana,16,yes,0,0,0,1,0,0.0,57,92.21,5,7.79,7,7.81,22,24.25,57.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0
