"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
11925,Vayalur,Kudavasal,Thanjavur,1621,311,382,4.2,820,801,1024,243,135,108,1250,236,14.6,117,119,983,0,0.0,0,0,0,867,62.92,532,335,1588,651,40.2,460,191,2408,23,1.4,6,17,353,947,58.4,354,593,597,549,84.33,372,177,2102,23,3.53,22,1,22000,79,12.14,66,13,5077,165,25.35,142,23,6174,384,58.99,230,154,1494,0,0.0,0,0,0,0,0.0,0,0,0,7,1.08,6,1,6000,13,2.0,13,0,0,3,0.46,3,0,0,28,4.3,26,2,13000,8,1.23,8,0,0,43,6.61,32,11,2909,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Kumbakona,24,yes,1,1,0,0,0,0.0,383,74.11,134,25.89,4,0.77,0,0.0,0.0,0.0,0.0,0.0,382.75,0.0,0.0,0.0
11926,Vadanattam,Kudavasal,Thanjavur,1273,1711,297,4.3,620,653,949,154,77,77,1000,310,24.4,162,148,1095,0,0.0,0,0,0,749,66.93,423,326,1298,469,36.8,348,121,2876,41,3.2,5,36,139,763,59.9,267,496,538,375,79.96,263,112,2348,29,6.18,28,1,28000,65,13.86,57,8,7125,90,19.19,88,2,44000,284,60.55,174,110,1582,1,0.0,1,0,0,0,0.0,0,0,0,6,1.28,5,1,5000,15,3.2,15,0,0,8,1.71,8,0,0,27,5.76,27,0,0,5,1.07,5,0,0,33,7.04,25,8,3125,yes,0,1,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,0,1,0,1,0,0,0,0,1,0,yes,0,0,yes,0,1,0,1,0,0,TKumbakona,24,yes,1,1,0,0,0,0.0,66,94.65,4,5.35,2,2.69,3,3.79,0.0,0.0,0.0,0.0,65.87,0.0,0.0,0.0
11927,Anniyur,Kudavasal,Thanjavur,1956,442,453,4.3,1006,950,1059,302,150,152,987,589,30.1,300,289,1038,0,0.0,0,0,0,1130,68.32,722,408,1770,1001,51.2,605,396,1528,50,2.6,8,42,190,905,46.3,393,512,768,897,89.61,529,368,1438,24,2.4,22,2,11000,80,7.99,54,26,2077,167,16.68,126,41,3073,730,72.93,403,327,1232,0,0.0,0,0,0,0,0.0,0,0,0,2,0.2,0,2,0,20,2.0,20,0,0,2,0.2,2,0,0,32,3.2,23,9,2556,4,0.4,4,0,0,44,4.4,27,17,1588,yes,0,3,0,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Kumbakona,23,yes,1,1,0,0,0,0.0,341,93.42,24,6.58,7,1.58,71,15.98,0.0,0.0,0.0,0.0,341.0,0.0,0.0,0.0
11928,Serugudi,Kudavasal,Thanjavur,1002,351,233,4.3,526,476,1105,135,70,65,1077,434,43.3,224,210,1067,0,0.0,0,0,0,704,81.2,424,280,1514,346,34.5,340,6,56667,143,14.3,0,143,0,513,51.2,186,327,569,302,87.28,301,1,301000,21,6.07,18,3,6000,23,6.65,21,2,10500,93,26.88,93,0,0,209,60.4,208,1,208000,0,0.0,0,0,0,0,0.0,0,0,0,20,5.78,17,3,5667,0,0.0,0,0,0,1,0.29,1,0,0,5,1.45,5,0,0,1,0.29,1,0,0,17,4.91,15,2,7500,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,1,0,0,0,1,0,no,2,0,no,1,0,0,0,1,0,Aduthura,13,yes,1,1,0,0,0,0.0,221,91.41,21,8.59,0,0.0,43,15.18,0.0,0.0,0.0,0.0,221.26,0.0,0.0,0.0
11929,Thiruppanburam,Kudavasal,Thanjavur,1436,629,316,4.5,702,734,956,190,99,91,1088,397,27.6,209,188,1112,0,0.0,0,0,0,801,64.29,458,343,1335,586,40.8,423,163,2595,2,0.1,0,2,0,848,59.1,279,569,490,469,80.03,328,141,2326,17,2.9,15,2,7500,100,17.06,80,20,4000,100,17.06,95,5,19000,367,62.63,231,136,1699,2,0.0,2,0,0,0,0.0,0,0,0,3,0.51,1,2,500,12,2.05,12,0,0,2,0.34,2,0,0,42,7.17,40,2,20000,5,0.85,5,0,0,53,9.04,35,18,1944,yes,0,3,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Aduthura,15,yes,1,0,0,0,0,0.0,159,92.98,12,7.02,0,0.0,57,25.11,0.0,0.0,0.0,0.0,158.97,0.0,0.0,0.0
11930,Suraikkayur,Kudavasal,Thanjavur,1677,534,377,4.4,841,836,1006,245,111,134,828,398,23.7,204,194,1052,0,0.0,0,0,0,834,58.24,526,308,1708,688,41.0,478,210,2276,0,0.0,0,0,0,989,59.0,363,626,580,622,90.41,427,195,2190,6,0.87,6,0,0,60,8.72,45,15,3000,55,7.99,52,3,17333,565,82.12,373,192,1943,2,0.0,2,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.29,2,0,0,4,0.58,4,0,0,5,0.73,5,0,0,4,0.58,4,0,0,51,7.41,36,15,2400,yes,0,4,1,1,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,2,0,no,1,0,0,0,1,0,Mayiladuthura,19,yes,1,1,0,0,0,0.0,279,96.54,10,3.46,25,7.99,0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,0.0,0.0
11931,Alathur,Kudavasal,Thanjavur,1694,467,387,4.4,879,815,1079,233,123,110,1118,408,24.1,216,192,1125,3,0.2,1,2,500,983,67.28,608,375,1621,691,40.8,532,159,3346,17,1.0,0,17,0,986,58.2,347,639,543,626,90.59,470,156,3013,15,2.17,15,0,0,50,7.24,47,3,15667,78,11.29,75,3,25000,548,79.31,395,153,2582,0,0.0,0,0,0,0,0.0,0,0,0,3,0.43,3,0,0,3,0.43,3,0,0,9,1.3,9,0,0,6,0.87,6,0,0,8,1.16,8,0,0,36,5.21,33,3,11000,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,1,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,3,0,no,1,0,0,0,1,0,myladuthur,19,yes,1,1,0,0,0,0.0,225,87.52,32,12.48,2,0.55,104,28.68,0.0,0.0,0.0,0.0,224.79,0.0,0.0,0.0
11932,Killiyur,Kudavasal,Thanjavur,864,365,211,4.1,446,418,1067,106,50,56,893,166,19.2,85,81,1049,0,0.0,0,0,0,493,65.04,313,180,1739,370,42.8,282,88,3205,1,0.1,0,1,0,493,57.1,164,329,498,320,86.49,240,80,3000,3,0.81,3,0,0,47,12.7,39,8,4875,68,18.38,68,0,0,252,68.11,172,80,2150,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,0.81,3,0,0,0,0.0,0,0,0,16,4.32,16,0,0,1,0.27,1,0,0,30,8.11,22,8,2750,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Mayiladuthura,20,yes,1,1,0,0,0,0.0,180,96.22,7,3.78,2,0.84,48,20.15,0.0,0.0,0.0,0.0,179.93,0.0,0.0,0.0
11933,Vadugakkudi,Kudavasal,Thanjavur,1411,503,341,4.1,722,689,1048,202,101,101,1000,556,39.4,277,279,993,0,0.0,0,0,0,737,60.96,471,266,1771,647,45.9,488,159,3069,0,0.0,0,0,0,764,54.1,234,530,442,595,91.96,444,151,2940,8,1.24,8,0,0,44,6.8,36,8,4500,137,21.17,136,1,136000,458,70.79,308,150,2053,0,0.0,0,0,0,0,0.0,0,0,0,1,0.15,1,0,0,7,1.08,7,0,0,0,0.0,0,0,0,9,1.39,9,0,0,3,0.46,3,0,0,32,4.95,24,8,3000,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,no,1,0,0,0,1,0,Kumbakona,22,yes,1,1,1,0,0,0.0,223,96.11,9,3.89,8,2.85,41,14.65,0.0,0.0,0.0,0.0,222.53,0.0,0.0,0.0
11934,Vilagam,Kudavasal,Thanjavur,1024,366,205,5.0,539,485,1111,121,69,52,1327,341,33.3,180,161,1118,0,0.0,0,0,0,619,68.55,389,230,1691,449,43.8,313,136,2301,0,0.0,0,0,0,575,56.2,226,349,648,409,91.09,278,131,2122,3,0.67,3,0,0,37,8.24,32,5,6400,132,29.4,126,6,21000,277,61.69,152,125,1216,0,0.0,0,0,0,0,0.0,0,0,0,1,0.22,1,0,0,2,0.45,2,0,0,0,0.0,0,0,0,9,2.0,9,0,0,8,1.78,8,0,0,20,4.45,15,5,3000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,1,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kumbakona,29,yes,1,1,1,0,0,0.0,200,82.38,43,17.62,5,1.79,32,11.44,0.0,0.0,0.0,0.0,200.21,0.0,0.0,0.0
