"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
11498,Srinisavanallur,Kumbakonam,Thanjavur,1183,655,247,4.8,602,581,1036,219,109,110,991,574,48.5,303,271,1118,0,0.0,0,0,0,586,60.79,356,230,1548,464,39.2,311,153,2033,0,0.0,0,0,0,719,60.8,291,428,680,387,83.41,240,147,1633,11,2.37,11,0,0,66,14.22,60,6,10000,63,13.58,47,16,2938,324,69.83,193,131,1473,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,1.08,5,0,0,6,1.29,6,0,0,17,3.66,16,1,16000,23,4.96,23,0,0,26,5.6,21,5,4200,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Kumbakona,6,yes,0,0,0,1,0,0.0,120,80.0,30,20.0,0,0.0,31,16.98,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0
11499,Mangudi,Kumbakonam,Thanjavur,1819,645,409,4.4,896,923,971,278,130,148,878,473,26.0,241,232,1039,0,0.0,0,0,0,839,54.45,517,322,1606,590,32.4,501,89,5629,167,9.2,32,135,237,1062,58.4,363,699,519,539,91.36,460,79,5823,20,3.39,16,4,4000,31,5.25,25,6,4167,116,19.66,108,8,13500,423,71.69,352,71,4958,0,0.0,0,0,0,0,0.0,0,0,0,8,1.36,4,4,1000,11,1.86,11,0,0,1,0.17,1,0,0,19,3.22,16,3,5333,2,0.34,2,0,0,10,1.69,7,3,2333,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Kumbakona,11,yes,0,0,0,1,0,0.0,185,86.85,28,13.15,0,0.0,69,24.52,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0.0
11500,Vittalur,Kumbakonam,Thanjavur,1598,447,339,4.7,803,795,1010,271,147,124,1185,233,14.6,123,110,1118,0,0.0,0,0,0,1020,76.87,580,440,1318,521,32.6,452,69,6551,146,9.1,1,145,7,931,58.3,350,581,602,405,77.74,363,42,8643,18,3.45,18,0,0,98,18.81,71,27,2630,155,29.75,146,9,16222,249,47.79,216,33,6545,1,0.0,1,0,0,0,0.0,0,0,0,2,0.38,2,0,0,9,1.73,9,0,0,7,1.34,7,0,0,34,6.53,31,3,10333,8,1.54,8,0,0,56,10.75,32,24,1333,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Aduthura,3,yes,0,0,0,1,0,0.0,287,86.19,46,13.81,0,0.0,24,6.85,0.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0
11501,Elandurai,Kumbakonam,Thanjavur,1048,514,243,4.3,533,515,1035,169,84,85,988,219,20.9,104,115,904,0,0.0,0,0,0,623,70.88,355,268,1325,313,29.9,309,4,77250,116,11.1,8,108,74,619,59.1,216,403,536,291,92.97,290,1,290000,0,0.0,0,0,0,22,7.03,19,3,6333,170,54.31,170,0,0,121,38.66,120,1,120000,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,4,1.28,4,0,0,1,0.32,1,0,0,17,5.43,14,3,4667,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Aduthura,5,yes,0,0,0,1,0,0.0,130,64.68,71,35.32,0,0.0,3,1.36,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0
11502,Mallapuram,Kumbakonam,Thanjavur,1862,837,412,4.5,923,939,983,302,163,139,1173,245,13.2,118,127,929,0,0.0,0,0,0,951,60.96,580,371,1563,824,44.3,549,275,1996,0,0.0,0,0,0,1038,55.7,374,664,563,661,80.22,417,244,1709,65,7.89,56,9,6222,98,11.89,76,22,3455,155,18.81,116,39,2974,506,61.41,301,205,1468,0,0.0,0,0,0,0,0.0,0,0,0,33,4.0,26,7,3714,27,3.28,25,2,12500,5,0.61,5,0,0,47,5.7,41,6,6833,6,0.73,6,0,0,45,5.46,29,16,1813,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Aduthura,5,yes,0,0,0,1,0,0.0,186,84.55,34,15.45,0,0.0,2,1.06,0.0,0.0,0.0,0.0,186.0,0.0,0.0,0.0
11503,Katchukattu,Kumbakonam,Thanjavur,366,144,86,4.3,183,183,1000,68,36,32,1125,75,20.5,41,34,1206,0,0.0,0,0,0,192,64.43,120,72,1667,96,26.2,95,1,95000,52,14.2,0,52,0,218,59.6,88,130,677,85,88.54,85,0,0,2,2.08,2,0,0,9,9.38,8,1,8000,36,37.5,36,0,0,49,51.04,49,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,1.04,1,0,0,1,1.04,1,0,0,0,0.0,0,0,0,1,1.04,1,0,0,0,0.0,0,0,0,8,8.33,7,1,7000,no,2,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,SAduthura,4,yes,0,0,0,1,0,0.0,220,88.0,30,12.0,0,0.0,3,1.31,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0
11504,Vilangudi,Kumbakonam,Thanjavur,1082,308,253,4.3,549,533,1030,185,88,97,907,227,21.0,111,116,957,0,0.0,0,0,0,572,63.77,377,195,1933,463,42.8,335,128,2617,1,0.1,0,1,0,618,57.1,214,404,530,421,90.93,298,123,2423,12,2.59,12,0,0,30,6.48,25,5,5000,241,52.05,205,36,5694,179,38.66,92,87,1057,1,0.0,1,0,0,0,0.0,0,0,0,5,1.08,5,0,0,6,1.3,6,0,0,1,0.22,1,0,0,13,2.81,13,0,0,2,0.43,2,0,0,15,3.24,10,5,2000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Aduthura,5,yes,0,0,0,1,0,0.0,300,86.21,48,13.79,0,0.0,4,1.06,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0
11505,Ammangudi,Kumbakonam,Thanjavur,1258,397,290,4.3,653,605,1079,200,95,105,905,88,7.0,40,48,833,0,0.0,0,0,0,655,61.91,420,235,1787,605,48.1,402,203,1980,8,0.6,0,8,0,645,51.3,251,394,637,555,91.74,361,194,1861,14,2.31,13,1,13000,36,5.95,28,8,3500,241,39.83,224,17,13176,313,51.74,136,177,768,1,0.0,1,0,0,0,0.0,0,0,0,5,0.83,4,1,4000,8,1.32,8,0,0,1,0.17,1,0,0,5,0.83,5,0,0,2,0.33,2,0,0,29,4.79,21,8,2625,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Kumbakona,14,yes,0,0,0,1,0,0.0,276,88.46,36,11.54,0,0.0,5,1.49,0.0,0.0,0.0,0.0,276.0,0.0,0.0,0.0
11506,Puthagaram,Kumbakonam,Thanjavur,2377,570,544,4.4,1220,1157,1054,362,188,174,1080,417,17.5,220,197,1117,0,0.0,0,0,0,1237,61.39,794,443,1792,878,36.9,679,199,3412,17,0.7,0,17,0,1482,62.3,541,941,575,771,87.81,578,193,2995,34,3.87,34,0,0,73,8.31,67,6,11167,233,26.54,204,29,7034,536,61.05,372,164,2268,2,0.0,2,0,0,0,0.0,0,0,0,6,0.68,6,0,0,16,1.82,16,0,0,12,1.37,12,0,0,40,4.56,37,3,12333,7,0.8,7,0,0,26,2.96,23,3,7667,yes,0,1,1,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,3,0,yes,0,1,0,1,0,0,Kumbakona,10,yes,0,0,0,1,0,0.0,250,85.62,42,14.38,22,5.27,103,24.74,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0
11507,Poundarigapuram,Kumbakonam,Thanjavur,2608,669,578,4.5,1319,1289,1023,356,185,171,1082,974,37.3,490,484,1012,2,0.1,1,1,1000,1482,65.81,907,575,1577,1083,41.5,803,280,2868,0,0.0,0,0,0,1525,58.5,516,1009,511,933,86.15,666,267,2494,44,4.06,42,2,21000,106,9.79,95,11,8636,339,31.3,322,17,18941,593,54.76,343,250,1372,1,0.0,1,0,0,0,0.0,0,0,0,1,0.09,1,0,0,37,3.42,35,2,17500,6,0.55,6,0,0,43,3.97,38,5,7600,17,1.57,17,0,0,46,4.25,40,6,6667,yes,0,2,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Kumbakona,10,yes,0,0,0,1,0,0.0,257,94.14,16,5.86,45,11.55,72,18.38,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0
