"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
12158,Perungandambanur,Nagappattinam,Thanjavur,1625,522,366,4.4,826,799,1034,263,129,134,963,917,56.4,469,448,1047,0,0.0,0,0,0,682,50.07,451,231,1952,752,46.3,470,282,1667,0,0.0,0,0,0,873,53.7,356,517,689,680,90.43,406,274,1482,18,2.39,18,0,0,54,7.18,46,8,5750,80,10.64,80,0,0,600,79.79,326,274,1190,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,17,2.26,17,0,0,1,0.13,1,0,0,16,2.13,16,0,0,4,0.53,4,0,0,34,4.52,26,8,3250,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Nagapattina,8,yes,1,0,0,0,0,0.0,216,91.59,20,8.41,13,4.1,63,20.15,0.0,0.0,0.0,0.0,216.17,0.0,0.0,0.0
12159,Vadakudi,Nagappattinam,Thanjavur,1011,322,270,3.7,505,506,998,143,79,64,1234,741,73.3,375,366,1025,0,0.0,0,0,0,480,55.3,312,168,1857,387,38.3,296,91,3253,0,0.0,0,0,0,624,61.7,209,415,504,331,85.53,255,76,3355,9,2.33,8,1,8000,47,12.14,33,14,2357,66,17.05,62,4,15500,265,68.48,193,72,2681,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.55,5,1,5000,3,0.78,3,0,0,13,3.36,8,5,1600,3,0.78,3,0,0,31,8.01,22,9,2444,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Nagapattina,3,yes,1,0,0,0,0,0.0,243,93.32,17,6.68,0,0.0,53,16.85,0.0,0.0,0.0,0.0,243.35,0.0,0.0,0.0
12160,Nagore (Kottagam),Nagappattinam,Thanjavur,970,226,211,4.6,457,513,891,141,61,80,763,381,39.3,175,206,850,0,0.0,0,0,0,559,67.43,316,243,1300,336,34.6,252,84,3000,143,14.7,0,143,0,491,50.6,205,286,717,230,68.45,155,75,2067,51,15.18,50,1,50000,55,16.37,47,8,5875,37,11.01,36,1,36000,190,56.55,116,74,1568,3,0.01,3,0,0,0,0.0,0,0,0,3,0.89,3,0,0,41,12.2,40,1,40000,7,2.08,7,0,0,17,5.06,17,0,0,9,2.68,9,0,0,29,8.63,21,8,2625,no,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,MNagapattina,4,yes,1,0,0,0,0,0.0,184,81.51,42,18.49,1,0.24,202,47.12,0.0,0.0,0.0,0.0,184.21,0.0,0.0,0.0
12161,Thethi,Nagappattinam,Thanjavur,627,300,147,4.3,332,295,1125,58,49,9,5444,322,51.4,175,147,1190,0,0.0,0,0,0,275,48.33,170,105,1619,306,48.8,184,122,1508,57,9.1,4,53,75,264,42.1,144,120,1200,270,88.24,155,115,1348,15,4.9,14,1,14000,21,6.86,15,6,2500,5,1.63,5,0,0,265,86.6,150,115,1304,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,14,4.58,13,1,13000,1,0.33,1,0,0,6,1.96,4,2,2000,4,1.31,4,0,0,11,3.59,7,4,1750,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,1,0,no,1,0,no,1,0,0,0,1,0,Nagapattina,5,yes,1,0,0,0,0,0.0,132,99.35,1,0.65,2,1.07,74,35.35,0.0,0.0,0.0,0.0,131.97,0.0,0.0,0.0
12162,Palaiyur,Nagappattinam,Thanjavur,1277,259,324,3.9,631,646,977,161,81,80,1013,610,47.8,302,308,981,0,0.0,0,0,0,675,60.48,403,272,1482,718,56.2,395,323,1223,55,4.3,0,55,0,504,39.5,236,268,881,641,89.28,334,307,1088,13,1.81,13,0,0,64,8.91,48,16,3000,24,3.34,19,5,3800,616,85.79,314,302,1040,1,0.0,1,0,0,0,0.0,0,0,0,1,0.14,1,0,0,9,1.25,9,0,0,3,0.42,3,0,0,22,3.06,18,4,4500,6,0.84,6,0,0,36,5.01,24,12,2000,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Nagapattina,4,yes,1,0,0,0,0,0.0,412,100.0,0,0.0,8,1.62,72,14.67,0.0,0.0,0.0,0.0,412.23,0.0,0.0,0.0
12163,Ilandambanur,Nagappattinam,Thanjavur,103,83,23,4.5,50,53,943,15,5,10,500,10,9.7,6,4,1500,0,0.0,0,0,0,70,79.55,38,32,1188,35,34.0,29,6,4833,0,0.0,0,0,0,68,66.0,21,47,447,24,68.57,20,4,5000,4,11.43,4,0,0,7,20.0,5,2,2500,5,14.29,4,1,4000,19,54.29,16,3,5333,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,3,8.57,3,0,0,1,2.86,1,0,0,2,5.71,2,0,0,0,0.0,0,0,0,5,14.29,3,2,1500,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Nagapattina,13,yes,1,0,0,0,0,0.0,108,99.77,0,0.23,3,2.68,13,10.15,0.0,0.0,0.0,0.0,107.85,0.0,0.0,0.0
12164,Srirangadipuliyur,Nagappattinam,Thanjavur,1904,548,461,4.1,938,966,971,282,139,143,972,626,32.9,304,322,944,4,0.2,0,4,0,1077,66.4,609,468,1301,819,43.0,527,292,1805,0,0.0,0,0,0,1085,57.0,411,674,610,706,86.2,432,274,1577,22,2.69,19,3,6333,91,11.11,76,15,5067,48,5.86,46,2,23000,657,80.22,385,272,1415,1,0.0,1,0,0,0,0.0,0,0,0,7,0.85,4,3,1333,4,0.49,4,0,0,11,1.34,11,0,0,23,2.81,21,2,10500,7,0.85,7,0,0,61,7.45,48,13,3692,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,nNagapattina,10,yes,1,0,0,0,0,0.0,250,82.25,54,17.75,8,2.3,35,10.08,0.0,0.0,0.0,0.0,250.2,0.0,0.0,0.0
12165,Themangalam,Nagappattinam,Thanjavur,3961,745,888,4.5,1872,2089,896,516,251,265,947,1408,35.5,691,717,964,12,0.3,7,5,1400,2213,64.24,1232,981,1256,1415,35.7,1012,403,2511,2,0.1,2,0,0,2544,64.2,858,1686,509,1219,86.15,836,383,2183,26,1.84,24,2,12000,170,12.01,152,18,8444,316,22.33,266,50,5320,902,63.75,569,333,1709,1,0.0,1,0,0,0,0.0,0,0,0,2,0.14,0,2,0,20,1.41,20,0,0,4,0.28,4,0,0,65,4.59,61,4,15250,28,1.98,28,0,0,77,5.44,63,14,4500,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Nagapattina,8,yes,1,0,0,0,0,0.0,412,77.58,119,22.42,0,0.0,0,0.02,0.0,0.0,0.0,0.0,412.2,0.0,0.0,0.0
12166,Sengamangalam,Nagappattinam,Thanjavur,2244,603,557,4.0,1125,1119,1005,269,132,137,964,1212,54.0,607,605,1003,1,0.0,1,0,0,1376,69.67,775,601,1290,1016,45.3,623,393,1585,15,0.7,3,12,250,1213,54.1,499,714,699,841,82.68,468,373,1255,72,7.19,70,2,35000,103,10.14,85,18,4722,164,16.14,130,34,3824,675,66.44,336,339,991,1,0.0,1,0,0,1,0.1,1,0,0,3,0.3,3,0,0,55,5.41,53,2,26500,14,1.38,14,0,0,40,3.94,35,5,7000,9,0.89,9,0,0,54,5.31,41,13,3154,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Nagapattina,8,yes,1,0,0,0,0,0.0,295,97.56,7,2.44,0,0.12,69,18.64,0.0,0.0,0.0,0.0,294.89,0.0,0.0,0.0
12167,Sellur,Nagappattinam,Thanjavur,860,618,223,3.9,435,425,1024,159,72,87,828,556,64.7,273,283,965,0,0.0,0,0,0,435,62.05,268,167,1605,458,53.3,259,199,1302,59,6.9,1,58,17,343,39.9,175,168,1042,419,91.48,224,195,1149,6,1.31,6,0,0,33,7.21,29,4,7250,3,0.66,2,1,2000,416,90.83,222,194,1144,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,1.31,6,0,0,0,0.0,0,0,0,21,4.59,18,3,6000,1,0.22,1,0,0,11,2.4,10,1,10000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Nagapattina,2,yes,1,0,0,0,0,0.0,109,84.8,20,15.2,2,1.28,9,6.15,0.0,0.0,0.0,0.0,109.21,0.0,0.0,0.0
