"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
12468,Karamundakottai,Orattanadu,Thanjavur,1084,498,248,4.4,524,560,936,150,80,70,1143,355,32.7,182,173,1052,0,0.0,0,0,0,537,57.49,310,227,1366,367,33.9,303,64,4734,67,6.2,9,58,155,650,60.0,212,438,484,282,76.84,234,48,4875,38,10.35,31,7,4429,47,12.81,38,9,4222,94,25.61,86,8,10750,188,51.23,148,40,3700,0,0.0,0,0,0,0,0.0,0,0,0,23,6.27,16,7,2286,14,3.81,14,0,0,1,0.27,1,0,0,10,2.72,9,1,9000,5,1.36,5,0,0,32,8.72,24,8,3000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,no,3,0,0,1,0,0,Orathanad,11,yes,1,0,0,0,0,0.0,0,0.0,148,100.0,69,31.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12469,Vandayarriruppu,Orattanadu,Thanjavur,1782,374,391,4.6,907,875,1037,189,92,97,948,369,20.7,205,164,1250,0,0.0,0,0,0,1066,66.92,670,396,1692,886,49.7,547,339,1614,0,0.0,0,0,0,896,50.3,360,536,672,798,89.95,467,331,1411,11,1.35,10,1,10000,77,8.69,70,7,10000,342,38.6,276,66,4182,455,51.35,190,265,717,0,0.0,0,0,0,1,0.11,1,0,0,1,0.11,1,0,0,5,0.56,4,1,4000,5,0.56,5,0,0,19,2.14,19,0,0,10,1.13,10,0,0,48,5.42,41,7,5857,yes,0,1,1,1,1,0,0,0,0,0,yes,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,no,3,0,no,1,0,0,1,0,0,POrathanad,11,yes,1,0,0,0,0,0.0,350,79.55,90,20.45,37,7.69,0,0.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0
12470,Raghavambalpuram,Orattanadu,Thanjavur,5487,371,1280,4.3,2791,2696,1035,626,334,292,1144,842,15.3,434,408,1064,0,0.0,0,0,0,2434,50.07,1525,909,1678,2563,46.7,1740,823,2114,94,1.7,17,77,221,2830,51.6,1034,1796,576,2243,87.51,1479,764,1936,149,5.81,114,35,3257,171,6.67,147,24,6125,877,34.22,777,100,7770,1364,53.22,700,664,1054,2,0.0,2,0,0,0,0.0,0,0,0,130,5.07,96,34,2824,15,0.59,14,1,14000,4,0.16,4,0,0,49,1.91,43,6,7167,13,0.51,12,1,12000,109,4.25,92,17,5412,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,3,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Orathanad,13,yes,1,0,0,0,0,0.0,269,48.68,283,51.32,692,46.72,237,16.0,0.0,0.0,268.67,0.0,0.0,0.0,0.0,0.0
12471,Muthambalpuram,Orattanadu,Thanjavur,3182,428,729,4.4,1578,1604,984,368,156,212,736,288,9.1,182,106,1717,0,0.0,0,0,0,1739,61.8,1049,690,1520,1285,40.4,900,385,2338,327,10.3,0,327,0,1570,49.3,678,892,760,1155,89.88,785,370,2122,22,1.71,20,2,10000,108,8.4,95,13,7308,441,34.32,419,22,19045,714,55.56,366,348,1052,0,0.0,0,0,0,0,0.0,0,0,0,5,0.39,5,0,0,16,1.25,14,2,7000,1,0.08,1,0,0,27,2.1,25,2,12500,8,0.62,8,0,0,73,5.68,62,11,5636,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,1,0,0,OPrathanad,15,yes,1,0,0,0,0,0.0,413,65.23,220,34.77,60,8.08,50,6.73,0.0,0.0,0.0,0.0,412.74,0.0,0.0,0.0
12472,Neivasal South,Orattanadu,Thanjavur,3955,359,857,4.6,2030,1925,1055,538,280,258,1085,308,7.8,147,161,913,0,0.0,0,0,0,1364,39.92,870,494,1761,2200,55.6,1284,916,1402,42,1.1,0,42,0,1713,43.3,746,967,771,2056,93.45,1151,905,1272,60,2.73,56,4,14000,84,3.82,77,7,11000,615,27.95,576,39,14769,1441,65.5,575,866,664,0,0.0,0,0,0,0,0.0,0,0,0,38,1.73,34,4,8500,14,0.64,14,0,0,8,0.36,8,0,0,25,1.14,25,0,0,4,0.18,4,0,0,55,2.5,48,7,6857,yes,0,1,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,1,0,0,Orathanad,11,yes,1,0,0,0,0,0.0,397,46.48,458,53.52,170,15.4,77,6.99,0.0,0.0,397.49,0.0,0.0,0.0,0.0,0.0
12473,Ponnappur (East),Orattanadu,Thanjavur,2628,267,613,4.3,1331,1297,1026,296,154,142,1085,337,12.8,166,171,971,0,0.0,0,0,0,1431,61.36,857,574,1493,908,34.6,763,145,5262,0,0.0,0,0,0,1720,65.4,568,1152,493,865,95.26,723,142,5092,1,0.11,1,0,0,42,4.63,39,3,13000,475,52.31,448,27,16593,390,42.95,275,115,2391,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.11,1,0,0,0,0.0,0,0,0,4,0.44,4,0,0,5,0.55,5,0,0,33,3.63,30,3,10000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,1,0,0,Orathanad,8,yes,1,0,0,0,0,0.0,352,98.68,5,1.32,575,58.48,52,5.29,0.0,0.0,351.75,0.0,0.0,0.0,0.0,0.0
12474,Keelulur,Orattanadu,Thanjavur,1960,433,420,4.7,965,995,970,198,99,99,1000,212,10.8,111,101,1099,0,0.0,0,0,0,1069,60.67,646,423,1527,749,38.2,604,145,4166,23,1.2,0,23,0,1188,60.6,361,827,437,648,86.38,514,134,3836,8,1.2,7,1,7000,93,12.42,83,10,8300,344,45.93,339,5,67800,302,40.32,173,129,1341,1,0.0,1,0,0,1,0.13,1,0,0,3,0.4,2,1,2000,5,0.67,5,0,0,0,0.0,0,0,0,21,2.8,19,2,9500,5,0.67,5,0,0,67,8.95,59,8,7375,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Orathanad,12,yes,1,0,0,0,0,0.0,314,82.69,66,17.31,73,16.07,0,0.0,0.0,0.0,313.93,0.0,0.0,0.0,0.0,0.0
12475,Ulur,Orattanadu,Thanjavur,4257,630,925,4.6,2113,2144,986,542,268,274,978,416,9.8,195,221,882,0,0.0,0,0,0,2132,57.39,1263,869,1453,1573,37.0,1228,345,3559,389,9.1,56,333,168,2295,53.9,829,1466,565,1327,84.3,1019,308,3308,61,3.94,56,5,11200,185,11.76,153,32,4781,546,34.71,506,40,12650,777,49.4,509,268,1899,3,0.0,3,0,0,1,0.06,1,0,0,5,0.32,3,2,1500,45,2.86,42,3,14000,11,0.7,11,0,0,61,3.88,59,2,29500,7,0.45,7,0,0,117,7.44,87,30,2900,yes,0,1,1,1,1,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,yes,0,1,no,1,0,0,1,0,0,Orathanad,9,yes,1,0,0,0,0,0.0,175,80.8,42,19.2,459,67.92,0,0.0,0.0,0.0,175.25,0.0,0.0,0.0,0.0,0.0
12476,Kattukuruchi,Orattanadu,Thanjavur,2066,315,470,4.4,1037,1029,1008,316,158,158,1000,309,15.0,145,164,884,0,0.0,0,0,0,1001,57.2,653,348,1876,824,39.9,625,199,3141,350,16.9,2,348,6,892,43.2,410,482,851,751,91.14,561,190,2953,13,1.58,12,1,12000,60,7.28,52,8,6500,299,36.29,283,16,17688,445,54.0,271,174,1557,7,0.01,7,0,0,0,0.0,0,0,0,3,0.36,2,1,2000,10,1.21,10,0,0,0,0.0,0,0,0,18,2.18,18,0,0,5,0.61,5,0,0,37,4.49,29,8,3625,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,1,0,0,Orathanad,10,yes,1,0,0,0,0,0.0,490,92.16,42,7.84,3,0.51,121,18.38,0.0,0.0,490.48,0.0,0.0,0.0,0.0,0.0
12477,Nadur,Orattanadu,Thanjavur,2652,234,548,4.8,1322,1330,994,408,213,195,1092,343,12.9,171,172,994,0,0.0,0,0,0,1205,53.7,771,434,1776,1142,43.1,822,320,2569,1,0.0,1,0,0,1509,56.9,499,1010,494,1051,92.03,736,315,2337,33,2.89,33,0,0,58,5.08,53,5,10600,620,54.29,528,92,5739,429,37.57,206,223,924,2,0.0,2,0,0,0,0.0,0,0,0,4,0.35,4,0,0,28,2.45,28,0,0,1,0.09,1,0,0,12,1.05,12,0,0,10,0.88,10,0,0,36,3.15,31,5,6200,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,3,0,no,1,0,0,1,0,0,Orathanad,12,yes,1,0,0,0,0,0.0,40,8.65,422,91.35,210,18.56,460,40.63,0.0,0.0,39.96,0.0,0.0,0.0,0.0,0.0
