"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
11584,Nadupadugai,Papanasam,Thanjavur,143,31,33,4.3,65,78,833,16,8,8,1000,5,3.5,2,3,667,0,0.0,0,0,0,56,44.09,32,24,1333,60,42.0,48,12,4000,2,1.4,0,2,0,81,56.6,17,64,266,59,98.33,47,12,3917,1,1.67,1,0,0,0,0.0,0,0,0,38,63.33,37,1,37000,21,35.0,10,11,909,0,0.0,0,0,0,0,0.0,0,0,0,1,1.67,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,KUmbakona,11,yes,0,1,0,0,0,0.0,20,12.9,136,87.1,0,0.0,311,66.5,0.0,0.0,0.0,0.0,0.0,20.22,0.0,0.0
11585,Thiruvaigavur,Papanasam,Thanjavur,4413,593,1070,4.1,2237,2176,1028,598,321,277,1159,1154,26.2,583,571,1021,0,0.0,0,0,0,1766,46.29,1168,598,1953,2131,48.3,1407,724,1943,264,6.0,13,251,52,2018,45.7,817,1201,680,1941,91.08,1260,681,1850,55,2.58,39,16,2438,135,6.34,108,27,4000,1001,46.97,784,217,3613,940,44.11,476,464,1026,0,0.0,0,0,0,0,0.0,0,0,0,43,2.02,27,16,1688,10,0.47,10,0,0,2,0.09,2,0,0,51,2.39,43,8,5375,8,0.38,8,0,0,76,3.57,57,19,3000,yes,0,4,1,0,0,0,0,0,0,0,yes,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Kumbakona,12,yes,0,1,0,0,0,0.0,243,68.66,111,31.34,23,3.07,367,49.33,0.0,0.0,0.0,0.0,243.13,0.0,0.0,0.0
11586,Konthagai,Papanasam,Thanjavur,481,489,111,4.3,251,230,1091,54,33,21,1571,132,27.4,66,66,1000,0,0.0,0,0,0,254,59.48,158,96,1646,183,38.0,158,25,6320,36,7.5,4,32,125,262,54.5,89,173,514,163,89.07,144,19,7579,3,1.64,3,0,0,17,9.29,11,6,1833,74,40.44,69,5,13800,89,48.63,75,14,5357,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,1.09,2,0,0,1,0.55,1,0,0,5,2.73,4,1,4000,2,1.09,2,0,0,10,5.46,5,5,1000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,Kumbakona,10,yes,1,1,0,0,0,0.0,68,88.33,9,11.67,0,0.0,22,22.1,0.0,0.0,0.0,0.0,0.0,67.75,0.0,0.0
11587,Thurumbur,Papanasam,Thanjavur,2183,652,540,4.0,1090,1093,997,384,192,192,1000,719,32.9,373,346,1078,0,0.0,0,0,0,944,52.47,607,337,1801,933,42.7,600,333,1802,40,1.8,11,29,379,1210,55.4,479,731,655,883,94.64,560,323,1734,7,0.75,4,3,1333,43,4.61,36,7,5143,308,33.01,274,34,8059,572,61.31,284,288,986,3,0.0,2,1,2000,0,0.0,0,0,0,5,0.54,2,3,667,2,0.21,2,0,0,0,0.0,0,0,0,23,2.47,19,4,4750,2,0.21,2,0,0,18,1.93,15,3,5000,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,1,0,Kumbakona,5,yes,0,1,0,0,0,0.0,238,92.62,19,7.38,25,7.61,52,15.64,0.0,0.0,0.0,0.0,0.0,238.12,0.0,0.0
11588,Adhanur,Papanasam,Thanjavur,1718,863,392,4.4,886,832,1065,262,142,120,1183,734,42.7,386,348,1109,0,0.0,0,0,0,752,51.65,478,274,1745,764,44.5,475,289,1644,72,4.2,36,36,1000,882,51.3,375,507,740,683,89.4,406,277,1466,37,4.84,33,4,8250,44,5.76,36,8,4500,132,17.28,128,4,32000,550,71.99,277,273,1015,1,0.0,1,0,0,0,0.0,0,0,0,22,2.88,21,1,21000,10,1.31,7,3,2333,5,0.65,5,0,0,17,2.23,16,1,16000,8,1.05,8,0,0,19,2.49,12,7,1714,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Kumbakona,12,yes,1,1,0,0,0,0.0,156,91.71,14,8.29,29,14.39,0,0.0,0.0,0.0,0.0,0.0,0.0,156.38,0.0,0.0
11589,Olaipadi,Papanasam,Thanjavur,1640,846,400,4.1,812,828,981,258,132,126,1048,775,47.3,372,403,923,0,0.0,0,0,0,485,35.09,304,181,1680,561,34.2,483,78,6192,0,0.0,0,0,0,1079,65.8,329,750,439,524,93.4,452,72,6278,8,1.43,7,1,7000,29,5.17,24,5,4800,210,37.43,202,8,25250,312,55.61,248,64,3875,2,0.0,2,0,0,0,0.0,0,0,0,3,0.53,3,0,0,5,0.89,4,1,4000,0,0.0,0,0,0,3,0.53,3,0,0,5,0.89,5,0,0,21,3.74,16,5,3200,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,no,1,0,0,1,0,0,Kumbakona,10,yes,1,0,0,0,0,0.0,126,84.58,23,15.42,17,8.66,28,14.37,0.0,0.0,0.0,0.0,0.0,126.14,0.0,0.0
11590,Maruthuvakkudi,Papanasam,Thanjavur,1543,961,321,4.8,767,776,988,209,107,102,1049,439,28.5,221,218,1014,0,0.0,0,0,0,727,54.5,451,276,1634,626,40.6,483,143,3378,0,0.0,0,0,0,917,59.4,284,633,449,595,95.05,454,141,3220,7,1.12,7,0,0,24,3.83,22,2,11000,216,34.5,205,11,18636,379,60.54,249,130,1915,0,0.0,0,0,0,0,0.0,0,0,0,2,0.32,2,0,0,5,0.8,5,0,0,0,0.0,0,0,0,8,1.28,8,0,0,2,0.32,2,0,0,14,2.24,12,2,6000,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Kumbakona,11,yes,1,1,0,0,0,0.0,134,95.16,7,4.84,19,12.03,0,0.0,0.0,0.0,0.0,0.0,0.0,134.39,0.0,0.0
11591,Alavandipuram,Papanasam,Thanjavur,1592,608,342,4.7,800,792,1010,211,99,112,884,316,19.8,161,155,1039,0,0.0,0,0,0,829,60.03,511,318,1607,506,31.8,483,23,21000,0,0.0,0,0,0,1086,68.2,317,769,412,423,83.6,412,11,37455,30,5.93,27,3,9000,53,10.47,44,9,4889,53,10.47,53,0,0,370,73.12,359,11,32636,0,0.0,0,0,0,0,0.0,0,0,0,4,0.79,1,3,333,10,1.98,10,0,0,16,3.16,16,0,0,14,2.77,12,2,6000,10,1.98,10,0,0,29,5.73,22,7,3143,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,"Kum,bakona",9,yes,1,0,0,0,0,0.0,162,88.43,21,11.57,25,9.48,53,20.43,0.0,0.0,0.0,0.0,0.0,162.22,0.0,0.0
11592,Thiyagasamudram,Papanasam,Thanjavur,3428,900,766,4.5,1722,1706,1009,544,248,296,838,586,17.1,274,312,878,2,0.1,0,2,0,1468,50.9,952,516,1845,1270,37.0,1036,234,4427,15,0.4,8,7,1143,2143,62.5,678,1465,463,1123,88.43,908,215,4223,51,4.02,51,0,0,96,7.56,77,19,4053,452,35.59,444,8,55500,668,52.6,461,207,2227,3,0.0,3,0,0,0,0.0,0,0,0,1,0.08,1,0,0,34,2.68,34,0,0,16,1.26,16,0,0,39,3.07,30,9,3333,12,0.94,12,0,0,45,3.54,35,10,3500,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Kumbakona,9,yes,1,0,0,0,0,0.0,238,84.6,43,15.4,44,11.55,55,14.51,0.0,0.0,0.0,0.0,0.0,238.35,0.0,0.0
11593,Koonancheri,Papanasam,Thanjavur,1242,727,285,4.4,607,635,956,207,87,120,725,113,9.1,57,56,1018,0,0.0,0,0,0,658,63.57,389,269,1446,508,40.9,367,141,2603,0,0.0,0,0,0,734,59.1,240,494,486,378,74.41,267,111,2405,48,9.45,38,10,3800,82,16.14,62,20,3100,180,35.43,148,32,4625,198,38.98,119,79,1506,0,0.0,0,0,0,0,0.0,0,0,0,32,6.3,22,10,2200,14,2.76,14,0,0,2,0.39,2,0,0,47,9.25,37,10,3700,8,1.57,8,0,0,27,5.31,17,10,1700,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Kumbakona,12,yes,1,1,0,0,0,0.0,133,98.15,3,1.85,5,2.77,30,17.71,0.0,0.0,0.0,0.0,0.0,133.39,0.0,0.0
