"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
12661,Manakkudi,Vedaranniyam,Thanjavur,2551,550,624,4.1,1275,1276,999,271,130,141,922,457,17.9,244,213,1146,0,0.0,0,0,0,1274,55.88,738,536,1377,1251,49.0,807,444,1818,0,0.0,0,0,0,1300,51.0,468,832,563,1086,86.81,665,421,1580,20,1.6,17,3,5667,145,11.59,125,20,6250,550,43.96,369,181,2039,536,42.85,296,240,1233,0,0.0,0,0,0,0,0.0,0,0,0,6,0.48,5,1,5000,13,1.04,11,2,5500,1,0.08,1,0,0,55,4.4,52,3,17333,11,0.88,11,0,0,79,6.31,62,17,3647,yes,0,1,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,0,0,1,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Tirutturaipund,13,yes,0,0,0,1,0,0.0,348,99.63,1,0.37,0,0.0,114,24.62,0.0,0.0,0.0,0.0,348.15,0.0,0.0,0.0
12662,Kadanthethi,Vedaranniyam,Thanjavur,1253,287,305,4.1,675,578,1168,169,89,80,1113,550,43.9,290,260,1115,0,0.0,0,0,0,694,64.02,443,251,1765,744,59.4,422,322,1311,1,0.1,0,1,0,508,40.5,253,255,992,565,75.94,342,223,1534,17,2.28,17,0,0,162,21.77,63,99,636,106,14.25,93,13,7154,458,61.56,248,210,1181,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,16,2.15,16,0,0,1,0.13,1,0,0,13,1.75,13,0,0,9,1.21,9,0,0,140,18.82,41,99,414,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,no,1,1,0,1,0,0,Tiruturaipopun,14,yes,0,0,0,1,0,0.0,375,99.5,2,0.5,0,0.0,60,13.71,0.0,0.0,0.0,0.0,374.68,0.0,0.0,0.0
12663,Princhimulai,Vedaranniyam,Thanjavur,1469,335,354,4.1,743,726,1023,191,98,93,1054,490,33.4,262,228,1149,0,0.0,0,0,0,638,49.92,355,283,1254,590,40.2,425,165,2576,174,11.8,0,174,0,705,48.0,318,387,822,509,86.27,350,159,2201,12,2.03,11,1,11000,69,11.69,64,5,12800,127,21.53,124,3,41333,382,64.75,226,156,1449,0,0.0,0,0,0,0,0.0,0,0,0,1,0.17,0,1,0,4,0.68,4,0,0,7,1.19,7,0,0,10,1.69,9,1,9000,15,2.54,15,0,0,44,7.46,40,4,10000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,tirutturaipund,18,yes,0,0,0,1,0,0.0,379,99.23,3,0.77,0,0.0,56,12.78,0.0,0.0,0.0,0.0,379.22,0.0,0.0,0.0
12664,Thirumalam,Vedaranniyam,Thanjavur,688,239,178,3.9,353,335,1054,83,40,43,930,227,33.0,115,112,1027,0,0.0,0,0,0,332,54.88,211,121,1744,280,40.7,198,82,2415,1,0.1,0,1,0,407,59.2,155,252,615,262,93.57,181,81,2235,2,0.71,2,0,0,16,5.71,15,1,15000,74,26.43,74,0,0,188,67.14,107,81,1321,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.71,2,0,0,0,0.0,0,0,0,3,1.07,3,0,0,3,1.07,3,0,0,10,3.57,9,1,9000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,tirutturaipund,19,yes,0,0,0,1,0,0.0,259,99.82,0,0.18,0,0.0,28,9.8,0.0,0.0,0.0,0.0,259.45,0.0,0.0,0.0
12665,Talainayar Agrharam,Vedaranniyam,Thanjavur,2624,814,632,4.2,1282,1342,955,284,138,146,945,572,21.8,288,284,1014,0,0.0,0,0,0,1569,67.05,879,690,1274,1139,43.4,736,403,1826,0,0.0,0,0,0,1485,56.6,546,939,581,980,86.04,603,377,1599,17,1.49,14,3,4667,142,12.47,119,23,5174,217,19.05,204,13,15692,762,66.9,398,364,1093,1,0.0,1,0,0,0,0.0,0,0,0,1,0.09,1,0,0,16,1.4,13,3,4333,0,0.0,0,0,0,29,2.55,27,2,13500,5,0.44,5,0,0,108,9.48,87,21,4143,yes,0,2,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,1,1,yes,0,1,0,0,0,0,0,0,0,0,0,yes,0,1,yes,0,1,0,1,0,0,Tirutturaipund,19,yes,0,0,0,1,0,0.0,246,98.53,4,1.47,0,0.04,73,22.55,0.0,0.0,0.0,0.0,245.87,0.0,0.0,0.0
12666,Talainayur Ist Sethi,Vedaranniyam,Thanjavur,3597,526,835,4.3,1775,1822,974,398,207,191,1084,1607,44.7,788,819,962,0,0.0,0,0,0,2273,71.05,1365,908,1503,1404,39.0,988,416,2375,1,0.0,1,0,0,2192,60.9,786,1406,559,1190,84.76,813,377,2156,33,2.35,32,1,32000,181,12.89,143,38,3763,288,20.51,275,13,21154,897,63.89,533,364,1464,5,0.0,5,0,0,0,0.0,0,0,0,7,0.5,6,1,6000,16,1.14,16,0,0,10,0.71,10,0,0,43,3.06,41,2,20500,9,0.64,9,0,0,129,9.19,93,36,2583,yes,0,1,1,1,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,tirutturaipund,19,yes,0,0,0,1,0,0.0,553,99.29,4,0.71,3,0.46,124,18.16,0.0,0.0,0.0,0.0,552.58,0.0,0.0,0.0
12667,Vadugoor,Vedaranniyam,Thanjavur,1529,309,391,3.9,754,775,973,179,88,91,967,435,28.4,220,215,1023,0,0.0,0,0,0,780,57.78,497,283,1756,594,38.8,472,122,3869,0,0.0,0,0,0,935,61.2,282,653,432,553,93.1,436,117,3726,6,1.01,6,0,0,35,5.89,30,5,6000,317,53.37,269,48,5604,236,39.73,167,69,2420,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,5,0.84,5,0,0,1,0.17,1,0,0,4,0.67,4,0,0,2,0.34,2,0,0,29,4.88,24,5,4800,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,no,1,0,0,1,0,0,tirutturaipund,13,yes,0,0,0,1,0,0.0,286,70.41,120,29.59,2,0.35,87,17.56,0.0,0.0,0.0,0.0,286.41,0.0,0.0,0.0
12668,Aymur,Vedaranniyam,Thanjavur,2388,311,558,4.3,1209,1179,1025,295,149,146,1021,1302,54.5,654,648,1009,0,0.0,0,0,0,1184,56.57,747,437,1709,1142,47.8,763,379,2013,146,6.1,1,145,7,1100,46.1,445,655,679,1067,93.43,702,365,1923,11,0.96,11,0,0,64,5.6,50,14,3571,342,29.95,296,46,6435,725,63.49,406,319,1273,0,0.0,0,0,0,0,0.0,0,0,0,6,0.53,6,0,0,5,0.44,5,0,0,0,0.0,0,0,0,14,1.23,14,0,0,1,0.09,1,0,0,49,4.29,35,14,2500,yes,0,2,1,1,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tirutturaipund,13,yes,0,0,0,1,0,0.0,247,67.71,118,32.29,6,0.84,395,51.52,0.0,0.0,0.0,0.0,247.47,0.0,0.0,0.0
12669,Talanayar V Sethi,Vedaranniyam,Thanjavur,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12670,TalanayarIII Sethi,Vedaranniyam,Thanjavur,2861,202,712,4.0,1423,1438,990,349,168,181,928,601,21.0,299,302,990,0,0.0,0,0,0,1107,44.07,706,401,1761,1431,50.0,881,550,1602,0,0.0,0,0,0,1430,50.0,542,888,610,1350,94.34,810,540,1500,15,1.05,14,1,14000,66,4.61,57,9,6333,516,36.06,381,135,2822,832,58.14,428,404,1059,2,0.0,1,1,1000,0,0.0,0,0,0,0,0.0,0,0,0,14,0.98,13,1,13000,1,0.07,1,0,0,22,1.54,21,1,21000,4,0.28,4,0,0,40,2.8,32,8,4000,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,1,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,tirutturaipund,24,yes,0,0,0,1,111,7.8,446,82.25,96,17.75,68,4.81,697,49.17,0.0,0.0,0.0,0.0,445.62,0.0,0.0,0.0
