"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
16745,Papanasam RF,Ambasamudram,Tirunelveli Kattabomman,284,1,76,3.7,143,141,1014,54,22,32,688,60,21.1,32,28,1143,0,0.0,0,0,0,113,49.13,74,39,1897,127,44.7,99,28,3536,0,0.0,0,0,0,157,55.3,44,113,389,126,99.21,98,28,3500,0,0.0,0,0,0,1,0.79,1,0,0,47,37.01,45,2,22500,20,15.75,15,5,3000,59,0.46,38,21,1810,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.79,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,no,1,0,no,1,0,0,0,1,0,Ambasamudra,5,yes,1,0,0,0,35692,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16746,Manamangalam,Ambasamudram,Tirunelveli Kattabomman,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16747,Ayan Tiruvaliswaram,Ambasamudram,Tirunelveli Kattabomman,1747,559,395,4.4,867,880,985,209,110,99,1111,427,24.4,199,228,873,0,0.0,0,0,0,1079,70.16,637,442,1441,940,53.8,522,418,1249,64,3.7,1,63,16,743,42.5,344,399,862,785,83.51,489,296,1652,117,12.45,5,112,45,38,4.04,28,10,2800,464,49.36,376,88,4273,312,33.19,105,207,507,9,0.01,8,1,8000,0,0.0,0,0,0,112,11.91,0,112,0,5,0.53,5,0,0,0,0.0,0,0,0,10,1.06,9,1,9000,1,0.11,1,0,0,27,2.87,18,9,2000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,yes,0,1,0,0,0,yes,0,0,0,0,1,1,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ambasamudra,5,yes,0,0,0,1,0,0.0,225,100.0,0,0.0,20,6.43,67,21.5,0.26,0.0,92.27,0.0,0.0,132.62,0.0,0.0
16748,Mannarkovil,Ambasamudram,Tirunelveli Kattabomman,3930,376,994,4.0,1989,1941,1025,396,200,196,1020,362,9.2,187,175,1069,0,0.0,0,0,0,2502,70.8,1473,1029,1431,2027,51.6,1191,836,1425,33,0.8,0,33,0,1870,47.6,798,1072,744,1592,78.44,884,708,1249,278,13.81,178,100,1780,157,7.75,129,28,4607,952,46.97,583,369,1580,638,31.48,299,339,882,0,0.0,0,0,0,2,0.1,2,0,0,75,3.7,8,67,119,188,9.27,155,33,4697,15,0.74,15,0,0,70,3.45,67,3,22333,16,0.79,16,0,0,71,3.5,46,25,1840,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ambasamudra,3,yes,0,0,0,1,0,0.0,290,79.46,75,20.54,80,7.66,601,57.41,12.06,0.0,208.64,0.0,0.0,69.77,0.0,0.0
16749,Brahmadesam,Ambasamudram,Tirunelveli Kattabomman,5829,1554,1374,4.2,2843,2986,952,793,400,393,1018,2115,36.3,1020,1095,932,0,0.0,0,0,0,3199,63.52,1900,1299,1463,2026,34.8,1496,530,2823,32,0.5,3,29,103,3771,64.7,1344,2427,554,1298,63.67,1040,258,4031,464,23.3,222,242,917,264,13.03,234,30,7800,698,34.45,639,59,10831,588,29.02,389,199,1955,4,0.0,4,0,0,8,0.39,8,0,0,291,14.36,54,237,228,127,6.27,122,5,24400,46,2.27,46,0,0,91,4.49,87,4,21750,18,0.89,18,0,0,155,7.65,129,26,4962,yes,0,4,0,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,1,yes,0,1,1,0,1,1,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ambasamudra,3,yes,0,0,0,1,0,0.0,245,99.15,2,0.85,22,5.86,107,28.39,1.0,0.0,91.93,0.0,0.0,151.62,0.0,0.0
16750,Vagaikulam,Ambasamudram,Tirunelveli Kattabomman,2188,945,536,4.1,1065,1123,948,275,137,138,993,426,19.5,202,224,902,0,0.0,0,0,0,1388,72.56,785,603,1302,1069,48.9,596,473,1260,177,8.1,8,169,47,942,43.1,461,481,958,351,32.65,242,109,2220,605,56.78,251,354,709,113,10.57,103,10,10300,253,23.67,172,81,2123,96,8.98,68,28,2429,0,0.0,0,0,0,2,0.19,2,0,0,354,33.12,2,352,6,229,21.42,227,2,113500,22,2.06,22,0,0,66,6.17,65,1,65000,16,1.5,16,0,0,31,2.9,22,9,2444,yes,0,1,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ambasamudra,3,yes,0,0,0,1,0,0.0,147,95.99,6,4.01,15,6.44,63,27.39,1.1,0.0,77.18,0.0,0.0,68.75,0.0,0.0
16751,Adaiya Karungulam,Ambasamudram,Tirunelveli Kattabomman,1713,709,442,3.9,869,844,1030,243,127,116,1095,380,22.2,188,192,979,0,0.0,0,0,0,1139,77.48,634,505,1255,858,50.1,506,352,1438,146,8.5,0,146,0,709,41.4,363,346,1049,374,40.56,230,144,1597,338,42.42,160,178,899,146,17.02,116,30,3867,124,14.45,114,10,11400,222,25.87,93,129,721,2,0.0,2,0,0,26,3.03,21,5,4200,174,20.28,1,173,6,133,15.5,128,5,25600,31,3.61,31,0,0,36,4.2,35,1,35000,10,1.17,9,1,9000,100,11.66,72,28,2571,yes,0,1,1,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,1,0,no,1,0,yes,0,1,0,1,0,0,Ambasamudra,3,yes,0,0,0,1,0,0.0,103,91.05,10,8.95,65,26.97,64,26.35,8.05,0.0,69.82,0.0,0.0,24.82,0.0,0.0
16752,Ekambarapuram,Ambasamudram,Tirunelveli Kattabomman,512,379,138,3.7,255,257,992,72,33,39,846,433,84.6,211,222,950,0,0.0,0,0,0,167,37.95,113,54,2093,323,63.1,161,162,994,19,3.7,0,19,0,170,33.2,94,76,1237,233,72.14,139,94,1479,71,21.98,8,63,127,19,5.88,14,5,2800,95,29.41,65,30,2167,131,40.56,69,62,1113,7,0.02,5,2,2500,0,0.0,0,0,0,63,19.5,0,63,0,7,2.17,7,0,0,1,0.31,1,0,0,5,1.55,5,0,0,1,0.31,1,0,0,13,4.02,8,5,1600,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ambasamudra,5,yes,1,0,0,0,0,0.0,109,93.0,8,7.0,1,0.37,18,12.95,0.0,0.0,99.59,0.0,0.0,9.38,0.0,0.0
16753,Kodarangulam,Ambasamudram,Tirunelveli Kattabomman,1656,496,433,3.8,792,864,917,281,147,134,1097,124,7.5,65,59,1102,22,1.3,12,10,1200,1010,73.45,569,441,1290,870,52.5,461,409,1127,2,0.1,0,2,0,784,47.3,331,453,731,749,86.09,420,329,1277,88,10.11,18,70,257,33,3.79,23,10,2300,125,14.37,78,47,1660,624,71.72,342,282,1213,0,0.0,0,0,0,0,0.0,0,0,0,74,8.51,6,68,88,13,1.49,11,2,5500,1,0.11,1,0,0,6,0.69,5,1,5000,2,0.23,2,0,0,25,2.87,16,9,1778,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Ambasamudra,6,yes,1,1,0,0,0,0.0,124,98.36,2,1.64,5,1.35,203,60.77,0.0,0.0,87.61,0.0,0.0,36.8,0.0,0.0
16754,Vellanguli,Ambasamudram,Tirunelveli Kattabomman,5119,1134,1185,4.3,2476,2643,937,676,354,322,1099,1037,20.3,510,527,968,21,0.4,10,11,909,2995,67.41,1730,1265,1368,2253,44.0,1398,855,1635,175,3.4,4,171,23,2691,52.6,1074,1617,664,1132,50.24,733,399,1837,809,35.91,396,413,959,312,13.85,269,43,6256,875,38.84,591,284,2081,247,10.96,132,115,1148,10,0.0,10,0,0,0,0.0,0,0,0,719,31.91,311,408,762,73,3.24,68,5,13600,17,0.75,17,0,0,148,6.57,138,10,13800,19,0.84,18,1,18000,145,6.44,113,32,3531,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,yes,0,1,0,0,1,yes,0,1,1,0,1,0,0,0,1,0,0,no,1,0,yes,0,1,0,1,0,0,Kallidaikurich,5,yes,0,0,0,1,0,0.0,274,99.22,2,0.78,15,3.21,161,35.64,5.2,0.0,14.58,0.0,0.0,253.96,0.0,0.0
