"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
16532,Vadagarai Kilpidagai,Tenkasi,Tirunelveli Kattabomman,15000,809,3318,4.5,7466,7534,991,2580,1282,1298,988,1995,13.3,995,1000,995,0,0.0,0,0,0,7069,56.92,4457,2612,1706,6674,44.5,4231,2443,1732,548,3.7,8,540,15,7778,51.9,3227,4551,709,4263,63.86,3206,1057,3033,1691,25.35,373,1318,283,720,10.79,652,68,9588,1271,19.04,1146,125,9168,2964,44.41,2032,932,2180,27,0.0,27,0,0,1,0.01,1,0,0,1486,22.27,197,1289,153,176,2.64,147,29,5069,29,0.43,29,0,0,323,4.84,309,14,22071,41,0.61,41,0,0,356,5.33,302,54,5593,yes,0,2,2,1,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,0,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Shencotta,9,yes,1,1,0,0,0,0.0,452,28.54,1131,71.46,0,0.0,272,14.65,0.0,0.0,251.4,0.0,0.0,200.33,0.0,0.0
16533,Vadagarai Melpidagai,Tenkasi,Tirunelveli Kattabomman,284,59,61,4.7,148,136,1088,58,36,22,1636,0,0.0,0,0,0,0,0.0,0,0,0,140,61.95,81,59,1373,90,31.7,85,5,17000,86,30.3,0,86,0,108,38.0,63,45,1400,20,22.22,16,4,4000,61,67.78,61,0,0,9,10.0,8,1,8000,2,2.22,2,0,0,18,20.0,14,4,3500,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,57,63.33,57,0,0,4,4.44,4,0,0,8,8.89,8,0,0,0,0.0,0,0,0,1,1.11,0,1,0,no,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,no,2,0,no,1,0,0,1,0,0,Tenkas,18,no,0,0,0,0,10,2.07,244,66.67,122,33.33,18,3.72,90,18.61,0.0,0.0,181.0,0.0,0.0,63.0,0.0,0.0
16534,Vadagarai Melpidagai (RF),Tenkasi,Tirunelveli Kattabomman,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16535,Tenpottai,Tenkasi,Tirunelveli Kattabomman,4112,485,962,4.3,2063,2049,1007,508,270,238,1134,1413,34.4,691,722,957,0,0.0,0,0,0,1921,53.3,1193,728,1639,2121,51.6,1174,947,1240,93,2.3,10,83,120,1898,46.2,879,1019,863,1523,71.81,837,686,1220,393,18.53,159,234,679,205,9.67,178,27,6593,527,24.85,354,173,2046,992,46.77,479,513,934,4,0.0,4,0,0,0,0.0,0,0,0,310,14.62,94,216,435,75,3.54,57,18,3167,8,0.38,8,0,0,90,4.24,90,0,0,24,1.13,23,1,23000,91,4.29,65,26,2500,yes,0,2,1,0,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Shencotta,3,yes,1,1,0,0,0,0.0,68,9.33,660,90.67,0,0.02,120,14.15,0.0,0.0,64.07,0.0,0.0,3.81,0.0,0.0
16536,Panpoli,Tenkasi,Tirunelveli Kattabomman,7950,1216,1915,4.2,3887,4063,957,1002,519,483,1075,370,4.7,188,182,1033,0,0.0,0,0,0,4639,66.77,2781,1858,1497,3977,50.0,2318,1659,1397,384,4.8,1,383,3,3589,45.1,1568,2021,776,2770,69.42,1676,1094,1532,552,14.11,85,467,182,655,16.47,557,98,5684,1249,31.41,861,388,2219,1495,37.59,793,702,1130,17,0.0,15,2,7500,9,0.23,7,2,3500,420,10.56,9,411,22,117,2.94,62,55,1127,15,0.38,14,1,14000,243,6.11,222,21,10571,67,1.68,66,1,66000,345,8.67,269,76,3539,yes,0,3,2,1,0,0,0,0,0,0,yes,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,yes,0,0,0,0,1,yes,0,1,1,0,0,1,1,0,0,1,0,yes,0,0,yes,0,5,1,0,1,0,0  Shecotta,6,yes,1,1,0,0,0,0.0,167,32.54,346,67.46,0,0.0,142,21.66,0.0,0.0,115.96,0.0,0.0,50.78,0.0,0.0
16537,Kanakkupillaivalasai,Tenkasi,Tirunelveli Kattabomman,2688,432,663,4.1,1403,1285,1092,378,212,166,1277,668,24.9,333,335,994,0,0.0,0,0,0,1262,54.63,889,373,2383,1216,45.2,670,546,1227,179,6.7,6,173,35,1293,48.1,727,566,1284,875,71.96,515,360,1431,189,15.54,42,147,286,152,12.5,113,39,2897,273,22.45,183,90,2033,602,49.51,332,270,1230,0,0.0,0,0,0,0,0.0,0,0,0,149,12.25,3,146,21,26,2.14,25,1,25000,14,1.15,14,0,0,42,3.45,39,3,13000,9,0.74,9,0,0,101,8.31,65,36,1806,yes,0,1,1,0,0,0,0,1,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,1,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Shecotta,4,yes,0,0,0,1,0,0.0,44,8.18,489,91.82,0,0.06,89,14.27,0.0,0.0,43.55,0.0,0.0,0.0,0.0,0.0
16538,Periapillaivalasai,Tenkasi,Tirunelveli Kattabomman,5854,1234,1374,4.3,2987,2867,1042,796,411,385,1068,2363,40.4,1200,1163,1032,6,0.1,3,3,1000,3724,73.63,2226,1498,1486,2468,42.2,1538,930,1654,357,6.1,2,355,6,3029,51.7,1447,1582,915,1278,51.78,758,520,1458,614,24.88,278,336,827,576,23.34,502,74,6784,256,10.37,189,67,2821,1015,41.13,563,452,1246,7,0.0,6,1,6000,0,0.0,0,0,0,300,12.16,14,286,49,256,10.37,206,50,4120,58,2.35,58,0,0,118,4.78,110,8,13750,257,10.41,251,6,41833,201,8.14,141,60,2350,yes,0,4,1,0,0,0,0,0,0,0,yes,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,yes,0,0,0,1,1,yes,0,1,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,1,1,0,0,Shencotta,4,yes,1,1,0,0,0,0.0,34,8.61,361,91.39,0,0.0,79,16.73,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0
16539,Kuttukkalvalasai,Tenkasi,Tirunelveli Kattabomman,6451,605,1556,4.1,3230,3221,1003,944,509,435,1170,904,14.0,451,453,996,0,0.0,0,0,0,3083,55.98,2087,996,2095,3687,57.2,1896,1791,1059,124,1.9,4,120,33,2640,40.9,1330,1310,1015,2194,59.43,1404,790,1777,1127,30.65,160,967,165,366,9.93,332,34,9765,994,26.96,707,287,2463,1186,32.17,683,503,1358,11,0.0,11,0,0,3,0.08,3,0,0,1001,27.15,37,964,38,98,2.66,95,3,31667,28,0.76,28,0,0,149,4.04,149,0,0,47,1.27,47,0,0,170,4.61,136,34,4000,yes,0,4,1,0,0,0,0,1,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,yes,0,1,0,0,1,yes,0,1,1,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,tTenkas,6,yes,0,0,0,1,0,0.0,232,26.5,643,73.5,24,2.27,166,15.6,4.44,0.0,227.45,0.0,0.0,0.0,0.0,0.0
16540,Pattakkurichchi,Tenkasi,Tirunelveli Kattabomman,1388,196,328,4.2,688,700,983,251,124,127,976,970,69.9,471,499,944,0,0.0,0,0,0,443,38.96,302,141,2142,696,50.1,383,313,1224,35,2.5,6,29,207,657,47.3,299,358,835,581,83.48,333,248,1343,71,10.2,19,52,365,44,6.32,31,13,2385,160,22.99,105,55,1909,421,60.49,228,193,1181,0,0.0,0,0,0,0,0.0,0,0,0,67,9.63,15,52,288,2,0.29,2,0,0,2,0.29,2,0,0,18,2.59,17,1,17000,1,0.14,1,0,0,25,3.59,13,12,1083,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,1,no,1,0,yes,0,1,0,1,0,0,fTenkas,6,yes,1,1,0,0,0,0.0,226,70.85,93,29.15,332,46.98,56,7.87,40.0,0.0,171.0,0.0,0.0,0.0,0.0,15.0
16541,Sundarapandiapuram,Tenkasi,Tirunelveli Kattabomman,7506,933,1868,4.0,3658,3848,951,997,514,483,1064,1965,26.2,945,1020,926,0,0.0,0,0,0,3538,54.36,2160,1378,1567,3609,48.1,2115,1494,1416,248,3.3,24,224,107,3649,48.6,1519,2130,713,2363,65.42,1514,849,1783,808,22.44,249,559,445,438,12.14,352,86,4093,706,19.56,527,179,2944,1600,44.33,934,666,1402,55,0.02,51,4,12750,2,0.06,2,0,0,454,12.58,33,421,78,326,9.03,189,137,1380,28,0.78,27,1,27000,192,5.32,160,32,5000,22,0.61,22,0,0,224,6.21,170,54,3148,yes,0,3,1,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,yes,0,1,0,0,1,yes,0,0,0,1,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tenkas,9,yes,1,1,0,0,0,0.0,444,99.33,3,0.67,170,21.14,187,23.28,66.0,0.0,378.0,0.0,0.0,0.0,0.0,0.0
