"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
4608,Neepalampattu,Polur,Tiruvannamalai Sambuvarayar,733,484,152,4.8,387,346,1118,76,47,29,1621,121,16.5,69,52,1327,0,0.0,0,0,0,380,57.84,248,132,1879,407,55.5,250,157,1592,1,0.1,1,0,0,325,44.3,136,189,720,349,85.75,199,150,1327,24,5.9,20,4,5000,34,8.35,31,3,10333,141,34.64,141,0,0,208,51.11,58,150,387,0,0.0,0,0,0,0,0.0,0,0,0,15,3.69,11,4,2750,8,1.97,8,0,0,1,0.25,1,0,0,7,1.72,7,0,0,1,0.25,1,0,0,26,6.39,23,3,7667,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Aran,26,yes,1,1,0,0,0,0.0,32,24.53,98,75.47,12,7.92,9,5.94,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4609,Kalpattu,Polur,Tiruvannamalai Sambuvarayar,683,151,143,4.8,356,327,1089,82,40,42,952,6,0.9,4,2,2000,0,0.0,0,0,0,428,71.21,264,164,1610,464,67.9,236,228,1035,0,0.0,0,0,0,219,32.1,120,99,1212,455,98.06,227,228,996,0,0.0,0,0,0,9,1.94,9,0,0,128,27.59,124,4,31000,327,70.47,103,224,460,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,1,0.22,1,0,0,1,0.22,1,0,0,7,1.51,7,0,0,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Aran,26,yes,1,1,0,0,0,0.0,99,28.46,248,71.54,3,0.66,102,22.58,98.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4610,Irumbili,Polur,Tiruvannamalai Sambuvarayar,2012,306,413,4.9,1050,962,1091,278,135,143,944,197,9.8,94,103,913,69,3.4,40,29,1379,671,38.7,475,196,2423,992,49.3,642,350,1834,0,0.0,0,0,0,1020,50.7,408,612,667,982,98.99,635,347,1830,3,0.3,3,0,0,7,0.71,4,3,1333,909,91.63,575,334,1722,57,5.75,49,8,6125,16,0.02,11,5,2200,0,0.0,0,0,0,1,0.1,1,0,0,2,0.2,2,0,0,0,0.0,0,0,0,3,0.3,2,1,2000,0,0.0,0,0,0,4,0.4,2,2,1000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,0,1,0,Aran,26,yes,1,1,0,0,0,0.0,64,17.19,310,82.81,92,13.97,192,29.16,64.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4611,Kuppam,Polur,Tiruvannamalai Sambuvarayar,3692,577,795,4.6,1814,1878,966,574,260,314,828,645,17.5,319,326,979,0,0.0,0,0,0,1625,52.12,1057,568,1861,1784,48.3,1040,744,1398,103,2.8,0,103,0,1805,48.9,774,1031,751,1490,83.52,819,671,1221,151,8.46,97,54,1796,143,8.02,124,19,6526,815,45.68,580,235,2468,663,37.16,228,435,524,12,0.01,11,1,11000,0,0.0,0,0,0,122,6.84,69,53,1302,24,1.35,23,1,23000,5,0.28,5,0,0,58,3.25,55,3,18333,12,0.67,12,0,0,73,4.09,57,16,3563,yes,0,2,0,1,0,0,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Aran,20,yes,1,1,0,0,0,0.0,304,58.6,215,41.4,0,0.0,121,18.91,0.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0
4612,Kalkuppam,Polur,Tiruvannamalai Sambuvarayar,1050,482,229,4.6,517,533,970,135,72,63,1143,255,24.3,118,137,861,0,0.0,0,0,0,591,64.59,354,237,1494,601,57.2,291,310,939,0,0.0,0,0,0,449,42.8,226,223,1013,529,88.02,233,296,787,49,8.15,43,6,7167,23,3.83,15,8,1875,324,53.91,178,146,1219,205,34.11,55,150,367,0,0.0,0,0,0,0,0.0,0,0,0,40,6.66,35,5,7000,5,0.83,4,1,4000,4,0.67,4,0,0,4,0.67,3,1,3000,1,0.17,1,0,0,18,3.0,11,7,1571,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,no,1,0,0,1,0,0,Aran,21,yes,1,1,0,0,0,0.0,95,55.32,77,44.68,0,0.0,46,21.13,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0
4613,Valiyur,Polur,Tiruvannamalai Sambuvarayar,1795,713,400,4.5,891,904,986,226,114,112,1018,846,47.1,417,429,972,6,0.3,2,4,500,891,56.79,556,335,1660,719,40.1,465,254,1831,406,22.6,72,334,216,670,37.3,354,316,1120,664,92.35,418,246,1699,11,1.53,11,0,0,44,6.12,36,8,4500,296,41.17,251,45,5578,368,51.18,167,201,831,0,0.0,0,0,0,0,0.0,0,0,0,6,0.83,6,0,0,4,0.56,4,0,0,1,0.14,1,0,0,11,1.53,11,0,0,0,0.0,0,0,0,33,4.59,25,8,3125,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Aran,20,yes,1,1,0,0,0,0.0,148,70.57,62,29.43,4,1.59,38,15.1,0.0,0.0,148.0,0.0,0.0,0.0,0.0,0.0
4614,Kalasamudram,Polur,Tiruvannamalai Sambuvarayar,2822,723,625,4.5,1424,1398,1019,357,192,165,1164,207,7.3,109,98,1112,40,1.4,17,23,739,1374,55.74,924,450,2053,1463,51.8,778,685,1136,3,0.1,0,3,0,1356,48.1,646,710,910,1283,87.7,616,667,924,42,2.87,36,6,6000,138,9.43,126,12,10500,649,44.36,369,280,1318,629,42.99,242,387,625,5,0.0,5,0,0,0,0.0,0,0,0,28,1.91,22,6,3667,9,0.62,9,0,0,5,0.34,5,0,0,31,2.12,29,2,14500,15,1.03,15,0,0,92,6.29,82,10,8200,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,1,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Kannamangala,7,yes,1,1,0,0,0,0.0,131,37.52,219,62.48,3,0.64,38,9.6,0.0,0.0,131.49,0.0,0.0,0.0,0.0,0.0
4615,Ananthapuram,Polur,Tiruvannamalai Sambuvarayar,4911,388,1096,4.5,2475,2436,1016,679,341,338,1009,184,3.7,89,95,937,3,0.1,1,2,500,1912,45.18,1304,608,2145,2928,59.6,1549,1379,1123,1,0.0,0,1,0,1982,40.4,926,1056,877,2829,96.62,1461,1368,1068,19,0.65,14,5,2800,80,2.73,74,6,12333,1721,58.78,1003,718,1397,1105,37.74,455,650,700,3,0.0,3,0,0,0,0.0,0,0,0,7,0.24,3,4,750,11,0.38,10,1,10000,1,0.03,1,0,0,10,0.34,10,0,0,6,0.2,6,0,0,64,2.19,58,6,9667,yes,0,2,1,1,0,0,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,3,0,yes,0,1,0,1,0,0,Aran,20,yes,1,1,0,0,0,0.0,240,25.67,695,74.33,64,5.02,268,21.16,0.0,0.0,240.0,0.0,0.0,0.0,0.0,0.0
4616,Veerappanur RF,Polur,Tiruvannamalai Sambuvarayar,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4617,Melaiyalam RF,Polur,Tiruvannamalai Sambuvarayar,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,yes,0,0,0,0,0,0,0,0,0,0,0,yes,0,0,yes,0,0,0,0,0,0,,0,yes,0,0,0,0,0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
