"VILLAGE_ID,N,11,0","NAME,C,30","TALUK,C,16","DISTRICT,C,29","T_POPULAT°,N,12,0","DENSITY,N,9,0","HOUSEHOLDS,N,14,0","PERS/HOUSE,N,13,1","MALE_POP,N,11,0","FEMALE_POP,N,13,0","SR_POPULAT,N,13,0","T_CHILDREN,N,12,0","M_CHILDREN,N,12,0","F_CHILDREN,N,12,0","SR_CHILDRE,N,12,0","T_SC,N,6,0","T%_SC,N,7,1","M_SC,N,6,0","F_SC,N,5,0","SR_SC,N,7,0","T_ST,N,5,0","T%_ST,N,7,1","M_ST,N,6,0","F_ST,N,5,0","SR_ST,N,7,0","T_LITTERAT,N,11,0","T%_LITTERA,N,12,2","M_LITTERAT,N,12,0","F_LITTERAT,N,11,0","SR_LITTERA,N,12,0","T_WORKERS,N,12,0","T%_WORKERS,N,14,1","M_WORKERS,N,13,0","F_WORKERS,N,13,0","SR_WORKERS,N,14,0","T_MARGINAL,N,12,0","T%_MARGINA,N,13,1","M_MARGINAL,N,13,0","F_MARGINAL,N,12,0","SR_MARGINA,N,13,0","T_NONWORK,N,13,0","T%_NONWORK,N,14,1","M_NONWORK,N,13,0","F_NONWORK,N,13,0","SR_NONWORK,N,14,0","T_PRIMARY,N,11,0","T%_PRIMARY,N,13,2","M_PRIMARY,N,12,0","F_PRIMARY,N,11,0","SR_PRIMARY,N,13,0","T_SECUND,N,10,0","T%_SECUND,N,12,2","M_SECUND,N,11,0","F_SECUND,N,11,0","SR_SECUND,N,12,0","T_TERTIARY,N,12,0","T%_TERTIAR,N,12,2","M_TERTIARY,N,12,0","F_TERTIARY,N,12,0","SR_TERTIAR,N,12,0","T_CULTIVAT,N,11,0","T%_CULTIVA,N,12,2","M_CULTIVAT,N,12,0","F_CULTIVAT,N,11,0","SR_CULTIVA,N,12,0","T_AGRI_LAB,N,12,0","T%_AGRI_LA,N,12,2","M_AGRI_LAB,N,12,0","F_AGRI_LAB,N,12,0","SR_AGRI_LA,N,12,0","T_FISH_FOR,N,12,0","T%_FISH_FO,N,12,2","M_FISH_FOR,N,12,0","F_FISH_FOR,N,12,0","SR_FISH_FO,N,12,0","T_MINING,N,9,0","T%_MINING,N,11,2","M_MINING,N,10,0","F_MINING,N,9,0","SR_MINING,N,11,0","T_HH_INDUS,N,12,0","T%_HH_INDU,N,12,2","M_HH_INDUS,N,12,0","F_HH_INDUS,N,12,0","SR_HH_INDU,N,12,0","T_OTH_INDU,N,12,0","T%_OTH_IND,N,12,2","M_OTH_INDU,N,12,0","F_OTH_INDU,N,12,0","SR_OTH_IND,N,12,0","T_CONSTRUC,N,13,0","T%_CONSTRU,N,13,2","M_CONSTRUC,N,13,0","F_CONSTRUC,N,13,0","SR_CONSTRU,N,13,0","T_TRADE,N,9,0","T%_TRADE,N,11,2","M_TRADE,N,9,0","F_TRADE,N,9,0","SR_TRADE,N,10,0","T_TRANSPOR,N,13,0","T%_TRANSPO,N,13,2","M_TRANSPOR,N,13,0","F_TRANSPOR,N,13,0","SR_TRANSPO,N,13,0","T_SERVICES,N,12,0","T%_SERVICE,N,13,2","M_SERVICES,N,13,0","F_SERVICES,N,12,0","SR_SERVICE,N,12,0","EI_AVALAIB,C,11","EI_DISTANC,N,11,0","P_SCHOOL,N,11,0","M_SCHOOL,N,11,0","H_SCHOOL,N,11,0","PU_COLLEGE,N,13,0","GR_COLLEGE,N,13,0","ADULT_LIT_,N,11,0","INDUS_SCH,N,11,0","TRAIN_SCH,N,11,0","OTHER_EI,N,10,0","MI_AVALAIB,C,12","MI_DISTANC,N,12,0","HOSPITAL,N,10,0","MAT&CHI_WC,N,13,0","MATERNITY,N,11,0","CHILD_W_C,N,11,0","PRIM_H_C,N,10,0","HEQLTH_C,N,10,0","PRIM_H_S_C,N,12,0","DISPENSARY,N,13,0","FP_C,N,5,0","TB_C,N,5,0","NURSING_H,N,11,0","CHWC,N,6,0","PRIV_PRACT,N,12,0","SUBS_PRACT,N,13,0","OTHER_MI,N,10,0","PT_AVALAIB,C,12","PR_DISTANC,N,12,0","POST_OFFIC,N,12,0","TELEG_OFFI,N,12,0","PT_OFFICE,N,11,0","PHONE_CONN,N,14,0","DW_AVALAIB,C,13","DW_DISTANC,N,13,0","DW_TAP,N,8,0","DW_WELL,N,10,0","DW_TUBEWEL,N,14,0","DW_HANDPUM,N,14,0","DW_RIVER,N,10,0","DW_FOUNTAI,N,13,0","DW_SPRING,N,12,0","DW_CANAL,N,11,0","DW_TANK,N,10,0","DW_OTHER,N,11,0","MK_AVALAIB,C,12","MK_DISTANC,N,12,0","DAILY_MK,N,10,0","CF_AVALAIB,C,12","CF_DISTANC,N,12,0","BUS_STOP,N,11,0","RAILWAY,N,9,0","PUCCA_ROAD,N,13,0","KACHCHA_RO,N,13,0","FOOTPATH,N,11,0","NEAR_TOWN,C,16","DIST_TOWN,N,11,0","PW_AVALAIB,C,13","PW_DOMESTI,N,13,0","PW_AGRICUL,N,13,0","PW_IND_COM,N,13,0","PW_FOR_ALL,N,13,0","LU_FOREST,N,11,0","LU%_FOREST,N,13,2","LU_IRRIGAT,N,11,0","LU%_IRRIGA,N,12,2","LU_UNIRRIG,N,11,0","LU%_UNIRRI,N,12,2","LU_CULT_WA,N,13,0","LU%_CULT_W,N,13,2","LU_NON_CUL,N,13,0","LU%_NON_C,N,12,2","IR_WELL,N,9,2","IR_TUBEWEL,N,12,2","IR_TANK,N,8,2","IR_LAKE,N,8,2","IR_RIVER,N,9,2","IR_GVT_CAN,N,12,2","IR_PRIV_CA,N,11,2","IR_OTHER,N,10,2"
4806,Kilathur,Tiruvannamalai,Tiruvannamalai Sambuvarayar,343,181,84,4.1,176,167,1054,35,18,17,1059,13,3.8,6,7,857,0,0.0,0,0,0,170,55.19,115,55,2091,171,49.9,93,78,1192,0,0.0,0,0,0,172,50.1,83,89,933,141,82.46,82,59,1390,24,14.04,6,18,333,6,3.51,5,1,5000,70,40.94,69,1,69000,71,41.52,13,58,224,0,0.0,0,0,0,0,0.0,0,0,0,24,14.04,6,18,333,0,0.0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,1.17,2,0,0,4,2.34,3,1,3000,yes,0,1,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,2,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tiruvannamala,26,yes,1,1,0,0,0,0.0,57,67.05,28,32.95,60,31.7,45,23.85,0.0,0.0,56.53,0.0,0.0,0.0,0.0,0.0
4807,Meppaturai,Tiruvannamalai,Tiruvannamalai Sambuvarayar,913,151,192,4.8,464,449,1033,168,84,84,1000,374,41.0,190,184,1033,0,0.0,0,0,0,332,44.56,237,95,2495,467,51.2,236,231,1022,0,0.0,0,0,0,446,48.8,228,218,1046,435,92.93,213,222,959,7,1.71,4,3,1333,25,5.35,19,6,3167,360,77.09,175,185,946,68,14.56,32,36,889,6,0.01,5,1,5000,1,0.21,1,0,0,6,1.28,3,3,1000,1,0.21,1,0,0,0,0.0,0,0,0,4,0.86,4,0,0,2,0.43,2,0,0,19,4.07,13,6,2167,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tiruvannamala,16,yes,1,1,0,0,0,0.0,278,83.97,53,16.03,103,16.96,172,28.39,0.0,0.0,278.07,0.0,0.0,0.0,0.0,0.0
4808,Sirukilambadi,Tiruvannamalai,Tiruvannamalai Sambuvarayar,712,412,165,4.3,375,337,1113,97,56,41,1366,347,48.7,191,156,1224,0,0.0,0,0,0,281,45.69,195,86,2267,340,47.8,222,118,1881,0,0.0,0,0,0,372,52.2,153,219,699,312,91.47,200,112,1786,3,1.18,3,0,0,25,7.35,19,6,3167,137,40.29,113,24,4708,171,50.29,83,88,943,3,0.01,3,0,0,1,0.29,1,0,0,0,0.0,0,0,0,3,0.88,3,0,0,0,0.0,0,0,0,4,1.18,3,1,3000,3,0.88,3,0,0,18,5.29,13,5,2600,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tiruvannamala,23,yes,1,1,0,0,0,0.0,73,81.49,17,18.51,1,0.69,82,47.18,0.0,0.0,73.44,0.0,0.0,0.0,0.0,0.0
4809,Mutharasampundi,Tiruvannamalai,Tiruvannamalai Sambuvarayar,514,345,120,4.3,274,240,1142,66,32,34,941,23,4.5,9,14,643,0,0.0,0,0,0,320,71.43,210,110,1909,324,63.0,165,159,1038,0,0.0,0,0,0,190,37.0,109,81,1346,305,94.14,148,157,943,11,3.4,11,0,0,8,2.47,6,2,3000,164,50.62,131,33,3970,138,42.59,14,124,113,3,0.01,3,0,0,0,0.0,0,0,0,0,0.0,0,0,0,2,0.62,2,0,0,9,2.78,9,0,0,2,0.62,2,0,0,0,0.0,0,0,0,6,1.85,4,2,2000,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tiruvannamala,14,yes,1,1,0,0,0,0.0,55,60.77,36,39.23,0,0.12,58,38.98,0.0,0.0,55.15,0.0,0.0,0.0,0.0,0.0
4810,Narathampoondii,Tiruvannamalai,Tiruvannamalai Sambuvarayar,2836,526,583,4.9,1426,1410,1011,406,192,214,897,963,34.0,504,459,1098,29,1.0,18,11,1636,1267,52.14,822,445,1847,1130,39.8,792,338,2343,4,0.1,0,4,0,1702,60.0,634,1068,594,961,84.87,646,315,2051,43,3.98,40,3,13333,126,11.15,106,20,5300,545,48.23,428,117,3658,402,35.58,206,196,1051,12,0.01,10,2,5000,2,0.18,2,0,0,13,1.15,12,1,12000,26,2.3,24,2,12000,4,0.35,4,0,0,11,0.97,11,0,0,13,1.15,13,0,0,102,9.03,82,20,4100,yes,0,2,2,2,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,1,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tiruvannamala,12,yes,1,1,0,0,0,0.0,166,49.6,118,50.4,50,18.5,205,38.02,0.0,0.0,116.21,0.0,0.0,0.0,0.0,0.0
4811,Neelimedu,Tiruvannamalai,Tiruvannamalai Sambuvarayar,530,286,120,4.4,267,263,1015,92,44,48,917,13,2.5,5,8,625,0,0.0,0,0,0,179,40.87,121,58,2086,238,44.9,160,78,2051,0,0.0,0,0,0,292,55.1,107,185,578,226,94.96,152,74,2054,5,2.1,5,0,0,7,2.94,3,4,750,123,51.68,116,7,16571,68,28.57,19,49,388,35,0.15,17,18,944,0,0.0,0,0,0,0,0.0,0,0,0,4,1.68,4,0,0,1,0.42,1,0,0,0,0.0,0,0,0,1,0.42,1,0,0,6,2.52,2,4,500,yes,0,1,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,0,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Tiruvannamala,18,yes,1,1,0,0,0,0.0,55,42.95,72,57.05,54,29.22,4,2.2,0.0,0.0,54.55,0.0,0.0,0.0,0.0,0.0
4812,Vada Pulidiyur,Tiruvannamalai,Tiruvannamalai Sambuvarayar,2165,285,449,4.8,1078,1087,992,283,145,138,1051,39,1.8,18,21,857,22,1.0,9,13,692,1153,61.26,703,450,1562,995,46.0,627,368,1704,0,0.0,0,0,0,1170,54.0,451,719,627,883,88.74,546,337,1620,43,4.32,31,12,2583,69,6.93,50,19,2632,395,39.7,378,17,22235,486,48.84,166,320,519,2,0.0,2,0,0,0,0.0,0,0,0,25,2.51,13,12,1083,10,1.01,10,0,0,8,0.8,8,0,0,18,1.81,17,1,17000,9,0.9,9,0,0,42,4.22,24,18,1333,yes,0,2,0,0,0,0,0,0,0,0,no,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tiruvannamala,19,yes,1,1,0,0,0,0.0,307,60.52,200,39.48,107,14.12,145,19.07,0.0,0.0,306.71,0.0,0.0,0.0,0.0,0.0
4813,Agaramsibbandi,Tiruvannamalai,Tiruvannamalai Sambuvarayar,532,219,123,4.3,259,273,949,89,42,47,894,90,16.9,44,46,957,0,0.0,0,0,0,320,72.23,191,129,1481,230,43.2,147,83,1771,0,0.0,0,0,0,302,56.8,112,190,589,161,70.0,84,77,1091,12,5.22,12,0,0,57,24.78,51,6,8500,44,19.13,44,0,0,116,50.43,39,77,506,1,0.0,1,0,0,0,0.0,0,0,0,0,0.0,0,0,0,6,2.61,6,0,0,6,2.61,6,0,0,25,10.87,22,3,7333,8,3.48,8,0,0,24,10.43,21,3,7000,yes,0,1,0,0,0,0,0,0,0,0,yes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,0,0,1,0,0,0,0,0,0,no,1,0,yes,0,1,0,1,0,0,Polu,15,yes,1,1,0,0,0,0.0,30,23.99,94,76.01,10,4.18,110,45.02,0.0,0.0,29.65,0.0,0.0,0.0,0.0,0.0
4814,Nayadimangalam,Tiruvannamalai,Tiruvannamalai Sambuvarayar,1244,707,272,4.6,611,633,965,224,110,114,965,324,26.0,156,168,929,65,5.2,34,31,1097,652,63.92,402,250,1608,542,43.6,359,183,1962,0,0.0,0,0,0,702,56.4,252,450,560,372,68.63,238,134,1776,96,17.71,68,28,2429,74,13.65,53,21,2524,158,29.15,150,8,18750,213,39.3,87,126,690,1,0.0,1,0,0,0,0.0,0,0,0,1,0.18,1,0,0,36,6.64,26,10,2600,59,10.89,41,18,2278,22,4.06,19,3,6333,9,1.66,9,0,0,43,7.93,25,18,1389,yes,0,2,0,0,0,0,0,0,0,0,no,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,no,1,0,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tiruvannamala,15,yes,1,1,0,0,0,0.0,33,29.86,77,70.14,2,1.22,64,36.24,0.0,0.0,32.84,0.0,0.0,0.0,0.0,0.0
4815,Porkunnam,Tiruvannamalai,Tiruvannamalai Sambuvarayar,2421,361,511,4.7,1243,1178,1055,404,193,211,915,704,29.1,360,344,1047,6,0.2,3,3,1000,1161,57.56,814,347,2346,1340,55.3,673,667,1009,0,0.0,0,0,0,1081,44.7,570,511,1115,1270,94.63,626,644,972,8,0.75,7,1,7000,62,4.63,40,22,1818,677,50.52,406,271,1498,589,43.96,217,372,583,2,0.0,2,0,0,2,0.15,1,1,1000,0,0.0,0,0,0,2,0.15,1,1,1000,6,0.45,6,0,0,5,0.37,2,3,667,4,0.3,4,0,0,53,3.96,34,19,1789,yes,0,4,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,yes,0,1,0,0,0,yes,0,0,1,0,1,0,0,0,0,0,0,no,2,0,yes,0,1,0,1,0,0,Tiruvannamala,20,yes,1,1,0,0,0,0.0,87,17.03,425,82.97,6,0.88,153,22.83,0.0,0.0,87.15,0.0,0.0,0.0,0.0,0.0
