STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,17,,0,0,0,DISTRICT,Ariyalur  *,Total,165569,695524,346763,348761,89099,45726,43373,151220,75326,75894,8529,4228,4301,388605,232385,156220,306919,114378,192541,345891,201196,144695,251606,167679,83927,97135,69827,27308,88517,48591,39926,16104,9590,6514,49850,39671,10179,94285,33517,60768,14201,5893,8308,70506,23263,47243,3654,805,2849,5924,3556,2368,349633,145567,204066,0.0
33,17,,0,0,0,DISTRICT,Ariyalur  *,Rural,148019,616539,307670,308869,79379,40789,38590,140236,69792,70444,7907,3926,3981,334760,202879,131881,281779,104791,176988,318210,180383,137827,228607,149248,79359,95000,68045,26955,85144,46160,38984,13447,7750,5697,35016,27293,7723,89603,31135,58468,14019,5782,8237,68222,22128,46094,3111,713,2398,4251,2512,1739,298329,127287,171042,0.0
33,17,,0,0,0,DISTRICT,Ariyalur  *,Urban,17550,78985,39093,39892,9720,4937,4783,10984,5534,5450,622,302,320,53845,29506,24339,25140,9587,15553,27681,20813,6868,22999,18431,4568,2135,1782,353,3373,2431,942,2657,1840,817,14834,12378,2456,4682,2382,2300,182,111,71,2284,1135,1149,543,92,451,1673,1044,629,51304,18280,33024,0.0
33,17,,0,0,0,TALUK,Sendurai,Total,24858,102741,51140,51601,13449,6975,6474,27695,13805,13890,945,465,480,54744,33923,20821,47997,17217,30780,53036,29133,23903,35145,23363,11782,16223,11046,5177,10028,5952,4076,2110,1176,934,6784,5189,1595,17891,5770,12121,4010,1597,2413,12956,3768,9188,414,115,299,511,290,221,49705,22007,27698,1.0
33,17,,0,0,0,TALUK,Sendurai,Rural,24858,102741,51140,51601,13449,6975,6474,27695,13805,13890,945,465,480,54744,33923,20821,47997,17217,30780,53036,29133,23903,35145,23363,11782,16223,11046,5177,10028,5952,4076,2110,1176,934,6784,5189,1595,17891,5770,12121,4010,1597,2413,12956,3768,9188,414,115,299,511,290,221,49705,22007,27698,1.0
33,17,,0,0,0,TALUK,Sendurai,Urban,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
33,17,,0,0,0,TALUK,Udayarpalayam,Total,83463,358467,178938,179529,45517,23294,22223,76549,38374,38175,6644,3310,3334,203853,121062,82791,154614,57876,96738,176930,104027,72903,126159,84936,41223,47005,32970,14035,43590,25999,17591,12202,7416,4786,23362,18551,4811,50771,19091,31680,7039,3141,3898,38212,13603,24609,2639,556,2083,2881,1791,1090,181537,74911,106626,2.0
33,17,,0,0,0,TALUK,Udayarpalayam,Rural,72218,307304,153910,153394,39220,20113,19107,68330,34239,34091,6060,3026,3034,169839,102535,67304,137465,51375,86090,158412,90713,67699,111147,73290,37857,45140,31432,13708,40791,24039,16752,9685,5664,4021,15531,12155,3376,47265,17423,29842,6871,3040,3831,36321,12688,23633,2141,470,1671,1932,1225,707,148892,63197,85695,2.0
33,17,,0,0,0,TALUK,Udayarpalayam,Urban,11245,51163,25028,26135,6297,3181,3116,8219,4135,4084,584,284,300,34014,18527,15487,17149,6501,10648,18518,13314,5204,15012,11646,3366,1865,1538,327,2799,1960,839,2517,1752,765,7831,6396,1435,3506,1668,1838,168,101,67,1891,915,976,498,86,412,949,566,383,32645,11714,20931,2.0
33,17,,0,0,0,TALUK,Ariyalur,Total,57248,234316,116685,117631,30133,15457,14676,46976,23147,23829,940,453,487,130008,77400,52608,104308,39285,65023,115925,68036,47889,90302,59380,30922,33907,25811,8096,34899,16640,18259,1792,998,794,19704,15931,3773,25623,8656,16967,3152,1155,1997,19338,5892,13446,601,134,467,2532,1475,1057,118391,48649,69742,3.0
33,17,,0,0,0,TALUK,Ariyalur,Rural,50943,206494,102620,103874,26710,13701,13009,44211,21748,22463,902,435,467,110177,66421,43756,96317,36199,60118,106762,60537,46225,82315,52595,29720,33637,25567,8070,34325,16169,18156,1652,910,742,12701,9949,2752,24447,7942,16505,3138,1145,1993,18945,5672,13273,556,128,428,1808,997,811,99732,42083,57649,3.0
33,17,,0,0,0,TALUK,Ariyalur,Urban,6305,27822,14065,13757,3423,1756,1667,2765,1399,1366,38,18,20,19831,10979,8852,7991,3086,4905,9163,7499,1664,7987,6785,1202,270,244,26,574,471,103,140,88,52,7003,5982,1021,1176,714,462,14,10,4,393,220,173,45,6,39,724,478,246,18659,6566,12093,3.0
