STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,12,,0,0,0,DISTRICT,Coimbatore,Total,1095354,4271856,2176031,2095825,445317,226868,218449,630675,315869,314806,29103,14738,14365,2945278,1648814,1296464,1326578,527217,799361,1977612,1375765,601847,1828629,1308312,520317,172107,112410,59697,336548,180461,156087,67696,44059,23637,1252278,971382,280896,148983,67453,81530,8494,2613,5881,62355,22358,39997,7118,1715,5403,71016,40767,30249,2294244,800266,1493978,0.0
33,12,,0,0,0,DISTRICT,Coimbatore,Rural,387696,1451653,734699,716954,152849,77850,74999,310714,156044,154670,19559,9880,9679,847250,493911,353339,604403,240788,363615,784914,486181,298733,710534,457903,252631,148134,96324,51810,258237,136374,121863,29827,17978,11849,274336,207227,67109,74380,28278,46102,7003,2124,4879,46555,15675,30880,2938,653,2285,17884,9826,8058,666739,248518,418221,0.0
33,12,,0,0,0,DISTRICT,Coimbatore,Urban,707658,2820203,1441332,1378871,292468,149018,143450,319961,159825,160136,9544,4858,4686,2098028,1154903,943125,722175,286429,435746,1192698,889584,303114,1118095,850409,267686,23973,16086,7887,78311,44087,34224,37869,26081,11788,977942,764155,213787,74603,39175,35428,1491,489,1002,15800,6683,9117,4180,1062,3118,53132,30941,22191,1627505,551748,1075757,0.0
33,12,,0,0,0,TALUK,Mettupalayam,Total,61752,237805,120296,117509,24683,12470,12213,36946,18635,18311,8154,4127,4027,153225,86534,66691,84580,33762,50818,109651,75686,33965,100981,72530,28451,14329,9599,4730,26707,15912,10795,5277,3095,2182,54668,43924,10744,8670,3156,5514,731,175,556,3845,1040,2805,796,122,674,3298,1819,1479,128154,44610,83544,1.0
33,12,,0,0,0,TALUK,Mettupalayam,Rural,33372,124010,63044,60966,12699,6476,6223,22615,11384,11231,7406,3756,3650,71340,41704,29636,52670,21340,31330,64566,41026,23540,59049,39346,19703,13044,8630,4414,22659,13411,9248,3225,1873,1352,20121,15432,4689,5517,1680,3837,696,164,532,3234,788,2446,312,55,257,1275,673,602,59444,22018,37426,1.0
33,12,,0,0,0,TALUK,Mettupalayam,Urban,28380,113795,57252,56543,11984,5994,5990,14331,7251,7080,748,371,377,81885,44830,37055,31910,12422,19488,45085,34660,10425,41932,33184,8748,1285,969,316,4048,2501,1547,2052,1222,830,34547,28492,6055,3153,1476,1677,35,11,24,611,252,359,484,67,417,2023,1146,877,68710,22592,46118,1.0
33,12,,0,0,0,TALUK,Avanashi,Total,66248,252753,128175,124578,26607,13509,13098,57224,28899,28325,586,317,269,147593,86477,61116,105160,41698,63462,134386,86458,47928,121830,81509,40321,24990,15871,9119,31697,17017,14680,5942,3515,2427,59201,45106,14095,12556,4949,7607,1338,352,986,7117,2691,4426,734,122,612,3367,1784,1583,118367,41717,76650,2.0
33,12,,0,0,0,TALUK,Avanashi,Rural,51164,193808,98229,95579,20046,10168,9878,49570,25047,24523,507,273,234,107103,63810,43293,86705,34419,52286,108208,67267,40941,96720,62673,34047,24029,15235,8794,29397,15670,13727,5049,2931,2118,38245,28837,9408,11488,4594,6894,1255,343,912,6913,2650,4263,638,97,541,2682,1504,1178,85600,30962,54638,2.0
33,12,,0,0,0,TALUK,Avanashi,Urban,15084,58945,29946,28999,6561,3341,3220,7654,3852,3802,79,44,35,40490,22667,17823,18455,7279,11176,26178,19191,6987,25110,18836,6274,961,636,325,2300,1347,953,893,584,309,20956,16269,4687,1068,355,713,83,9,74,204,41,163,96,25,71,685,280,405,32767,10755,22012,2.0
33,12,,0,0,0,TALUK,Tiruppur,Total,175891,677978,351911,326067,76248,39150,37098,61288,31183,30105,550,289,261,469780,268023,201757,208198,83888,124310,331095,239442,91653,316063,232689,83374,16359,10729,5630,22355,12214,10141,7835,5111,2724,269514,204635,64879,15032,6753,8279,973,321,652,3961,1136,2825,818,203,615,9280,5093,4187,346883,112469,234414,3.0
33,12,,0,0,0,TALUK,Tiruppur,Rural,36834,137233,69940,67293,15381,7845,7536,30418,15459,14959,18,7,11,79035,46283,32752,58198,23657,34541,74655,47742,26913,67089,44744,22345,15278,10043,5235,19676,10570,9106,2281,1508,773,29854,22623,7231,7566,2998,4568,891,285,606,3489,942,2547,300,93,207,2886,1678,1208,62578,22198,40380,3.0
33,12,,0,0,0,TALUK,Tiruppur,Urban,139057,540745,281971,258774,60867,31305,29562,30870,15724,15146,532,282,250,390745,221740,169005,150000,60231,89769,256440,191700,64740,248974,187945,61029,1081,686,395,2679,1644,1035,5554,3603,1951,239660,182012,57648,7466,3755,3711,82,36,46,472,194,278,518,110,408,6394,3415,2979,284305,90271,194034,3.0
33,12,,0,0,0,TALUK,Palladam,Total,105374,393171,200709,192462,41937,21228,20709,70324,35327,34997,137,70,67,254851,146661,108190,138320,54048,84272,197750,132147,65603,184160,126443,57717,22429,14000,8429,35566,18331,17235,12216,7620,4596,113949,86492,27457,13590,5704,7886,1000,347,653,4764,1412,3352,1032,212,820,6794,3733,3061,195421,68562,126859,4.0
33,12,,0,0,0,TALUK,Palladam,Rural,64659,238601,121728,116873,25411,12858,12553,47810,24046,23764,76,41,35,145643,85387,60256,92958,36341,56617,128111,81955,46156,119017,78344,40673,20609,12789,7820,30381,15400,14981,8017,4741,3276,60010,45414,14596,9094,3611,5483,873,301,572,3891,1081,2810,514,100,414,3816,2129,1687,110490,39773,70717,4.0
33,12,,0,0,0,TALUK,Palladam,Urban,40715,154570,78981,75589,16526,8370,8156,22514,11281,11233,61,29,32,109208,61274,47934,45362,17707,27655,69639,50192,19447,65143,48099,17044,1820,1211,609,5185,2931,2254,4199,2879,1320,53939,41078,12861,4496,2093,2403,127,46,81,873,331,542,518,112,406,2978,1604,1374,84931,28789,56142,4.0
33,12,,0,0,0,TALUK,Coimbatore North,Total,90847,349225,178347,170878,34808,17845,16963,43416,21706,21710,3842,1950,1892,247035,137526,109509,102190,40821,61369,153905,110197,43708,138664,102356,36308,7028,5026,2002,16448,9355,7093,4185,2424,1761,111003,85551,25452,15241,7841,7400,577,215,362,5509,2313,3196,549,195,354,8606,5118,3488,195320,68150,127170,5.0
