STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,18,,0,0,0,DISTRICT,Cuddalore,Total,511400,2285395,1150908,1134487,284964,145645,139319,634479,318713,315766,11773,5920,5853,1420488,820726,599762,864907,330182,534725,973066,636911,336155,729764,527108,202656,163445,118921,44524,266458,157357,109101,20485,12794,7691,279376,238036,41340,243302,109803,133499,22430,10868,11562,182746,77008,105738,9972,2519,7453,28154,19408,8746,1312329,513997,798332,0.0
33,18,,0,0,0,DISTRICT,Cuddalore,Rural,348113,1531034,771786,759248,196493,100390,96103,514729,259264,255465,7241,3641,3600,872343,521901,350442,658691,249885,408806,729741,439746,289995,514015,347093,166922,155889,112428,43461,240581,139919,100662,12496,7623,4873,105049,87123,17926,215726,92653,123073,21626,10336,11290,171103,70797,100306,8373,1950,6423,14624,9570,5054,801293,332040,469253,0.0
33,18,,0,0,0,DISTRICT,Cuddalore,Urban,163287,754361,379122,375239,88471,45255,43216,119750,59449,60301,4532,2279,2253,548145,298825,249320,206216,80297,125919,243325,197165,46160,215749,180015,35734,7556,6493,1063,25877,17438,8439,7989,5171,2818,174327,150913,23414,27576,17150,10426,804,532,272,11643,6211,5432,1599,569,1030,13530,9838,3692,511036,181957,329079,0.0
33,18,,0,0,0,TALUK,Panruti,Total,118185,537027,271906,265121,69225,35442,33783,122784,61776,61008,1978,994,984,334726,194937,139789,202301,76969,125332,215069,148181,66888,167408,126967,40441,29572,23168,6404,54355,32650,21705,3792,2261,1531,79689,68888,10801,47661,21214,26447,5424,2955,2469,31964,12386,19578,2783,516,2267,7490,5357,2133,321958,123725,198233,1.0
33,18,,0,0,0,TALUK,Panruti,Rural,65683,297786,150684,147102,39801,20382,19419,74740,37588,37152,518,256,262,160726,99213,61513,137060,51471,85589,139841,85577,54264,98760,68550,30210,27934,21704,6230,47336,27841,19495,2589,1537,1052,20901,17468,3433,41081,17027,24054,5349,2917,2432,29532,11145,18387,2459,411,2048,3741,2554,1187,157945,65107,92838,1.0
33,18,,0,0,0,TALUK,Panruti,Urban,52502,239241,121222,118019,29424,15060,14364,48044,24188,23856,1460,738,722,174000,95724,78276,65241,25498,39743,75228,62604,12624,68648,58417,10231,1638,1464,174,7019,4809,2210,1203,724,479,58788,51420,7368,6580,4187,2393,75,38,37,2432,1241,1191,324,105,219,3749,2803,946,164013,58618,105395,1.0
33,18,,0,0,0,TALUK,Cuddalore,Total,111576,505869,255692,250177,60935,31224,29711,118942,59506,59436,1835,924,911,323858,183747,140111,182011,71945,110066,196333,138563,57770,153495,116881,36614,17878,14088,3790,47842,29175,18667,6455,4384,2071,81320,69234,12086,42838,21682,21156,2596,1423,1173,30988,14598,16390,2393,697,1696,6861,4964,1897,309536,117129,192407,2.0
33,18,,0,0,0,TALUK,Cuddalore,Rural,63066,282261,142998,139263,36144,18558,17586,92016,46290,45726,797,408,389,159681,94292,65389,122580,48706,73874,125297,80578,44719,88638,62997,25641,16226,12733,3493,43062,25892,17170,3710,2608,1102,25640,21764,3876,36659,17581,19078,2471,1330,1141,29100,13497,15603,1920,519,1401,3168,2235,933,156964,62420,94544,2.0
33,18,,0,0,0,TALUK,Cuddalore,Urban,48510,223608,112694,110914,24791,12666,12125,26926,13216,13710,1038,516,522,164177,89455,74722,59431,23239,36192,71036,57985,13051,64857,53884,10973,1652,1355,297,4780,3283,1497,2745,1776,969,55680,47470,8210,6179,4101,2078,125,93,32,1888,1101,787,473,178,295,3693,2729,964,152572,54709,97863,2.0
33,18,,0,0,0,TALUK,Chidambaram,Total,91026,409047,204264,204783,49763,25296,24467,117599,58753,58846,3475,1775,1700,271359,151560,119799,137688,52704,84984,164535,113016,51519,117819,89929,27890,17932,14990,2942,43992,28454,15538,4306,2750,1556,51589,43735,7854,46716,23087,23629,3684,2099,1585,35883,16845,19038,1713,500,1213,5436,3643,1793,244512,91248,153264,3.0
33,18,,0,0,0,TALUK,Chidambaram,Rural,64660,282599,142341,140258,35434,17975,17459,102171,51517,50654,2142,1103,1039,177273,102168,75105,105326,40173,65153,123651,80459,43192,82157,60389,21768,16686,13876,2810,39703,25408,14295,1684,983,701,24084,20122,3962,41494,20070,21424,3542,2004,1538,33888,15892,17996,1357,396,961,2707,1778,929,158948,61882,97066,3.0
33,18,,0,0,0,TALUK,Chidambaram,Urban,26366,126448,61923,64525,14329,7321,7008,15428,7236,8192,1333,672,661,94086,49392,44694,32362,12531,19831,40884,32557,8327,35662,29540,6122,1246,1114,132,4289,3046,1243,2622,1767,855,27505,23613,3892,5222,3017,2205,142,95,47,1995,953,1042,356,104,252,2729,1865,864,85564,29366,56198,3.0
33,18,,0,0,0,TALUK,Kattumannarkoil,Total,54083,242696,122305,120391,30724,15559,15165,83967,42207,41760,1037,529,508,156882,89632,67250,85814,32673,53141,112512,70083,42429,74477,51935,22542,17648,13758,3890,38031,22965,15066,1743,986,757,17055,14226,2829,38035,18148,19887,2977,1621,1356,30977,14564,16413,1426,316,1110,2655,1647,1008,130184,52222,77962,4.0
33,18,,0,0,0,TALUK,Kattumannarkoil,Rural,44232,194461,98197,96264,24685,12529,12156,76603,38532,38071,885,453,432,123648,71421,52227,70813,26776,44037,95962,57168,38794,61516,41325,20191,16375,12650,3725,34360,20406,13954,1454,792,662,9327,7477,1850,34446,15843,18603,2730,1430,1300,28867,13283,15584,1287,249,1038,1562,881,681,98499,41029,57470,4.0
