STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,13,,0,0,0,DISTRICT,Dindigul,Total,465179,1923014,968137,954877,218918,113408,105510,376170,189066,187104,6484,3320,3164,1181746,681698,500048,741268,286439,454829,973332,585146,388186,841893,530726,311167,183218,111908,71310,313195,155386,157809,25180,13231,11949,320300,250201,70099,131439,54420,77019,10132,4026,6106,91395,34035,57360,4800,1175,3625,25112,15184,9928,949682,382991,566691,0.0
33,13,,0,0,0,DISTRICT,Dindigul,Rural,305862,1249762,629073,620689,144007,74984,69023,269809,135694,134115,3512,1773,1739,710461,421948,288513,539301,207125,332176,699276,390469,308807,590967,347099,243868,167659,101876,65783,263184,129277,133907,14593,7320,7273,145531,108626,36905,108309,43370,64939,9345,3739,5606,80472,29721,50751,3612,938,2674,14880,8972,5908,550486,238604,311882,0.0
33,13,,0,0,0,DISTRICT,Dindigul,Urban,159317,673252,339064,334188,74911,38424,36487,106361,53372,52989,2972,1547,1425,471285,259750,211535,201967,79314,122653,274056,194677,79379,250926,183627,67299,15559,10032,5527,50011,26109,23902,10587,5911,4676,174769,141575,33194,23130,11050,12080,787,287,500,10923,4314,6609,1188,237,951,10232,6212,4020,399196,144387,254809,0.0
33,13,,0,0,0,TALUK,Palani,Total,67005,266000,133822,132178,29167,14966,14201,70924,35641,35283,962,498,464,165461,94880,70581,100539,38942,61597,129873,81341,48532,119152,76657,42495,20054,12494,7560,45187,22575,22612,3338,1838,1500,50573,39750,10823,10721,4684,6037,806,254,552,6841,2681,4160,555,111,444,2519,1638,881,136127,52481,83646,1.0
33,13,,0,0,0,TALUK,Palani,Rural,37592,144696,72703,71993,15942,8164,7778,40092,20133,19959,187,92,95,83782,49206,34576,60914,23497,37417,80743,46243,34500,72179,42623,29556,18024,10976,7048,30591,14775,15816,2149,1210,939,21415,15662,5753,8564,3620,4944,713,213,500,6192,2451,3741,261,65,196,1398,891,507,63953,26460,37493,1.0
33,13,,0,0,0,TALUK,Palani,Urban,29413,121304,61119,60185,13225,6802,6423,30832,15508,15324,775,406,369,81679,45674,36005,39625,15445,24180,49130,35098,14032,46973,34034,12939,2030,1518,512,14596,7800,6796,1189,628,561,29158,24088,5070,2157,1064,1093,93,41,52,649,230,419,294,46,248,1121,747,374,72174,26021,46153,1.0
33,13,,0,0,0,TALUK,Oddanchatram,Total,46468,168065,84237,83828,15617,8111,7506,33799,16888,16911,166,84,82,98568,59020,39548,69497,25217,44280,102846,56915,45931,92968,53381,39587,34740,19458,15282,34393,15438,18955,2096,1048,1048,21739,17437,4302,9878,3534,6344,1289,527,762,6879,2155,4724,349,96,253,1361,756,605,65219,27322,37897,2.0
33,13,,0,0,0,TALUK,Oddanchatram,Rural,40281,143933,72095,71838,13030,6825,6205,29533,14757,14776,165,83,82,81849,49779,32070,62084,22316,39768,93273,49626,43647,83940,46294,37646,34068,19083,14985,33054,14718,18336,1993,989,1004,14825,11504,3321,9333,3332,6001,1267,522,745,6702,2125,4577,304,95,209,1060,590,470,50660,22469,28191,2.0
33,13,,0,0,0,TALUK,Oddanchatram,Urban,6187,24132,12142,11990,2587,1286,1301,4266,2131,2135,1,1,0,16719,9241,7478,7413,2901,4512,9573,7289,2284,9028,7087,1941,672,375,297,1339,720,619,103,59,44,6914,5933,981,545,202,343,22,5,17,177,30,147,45,1,44,301,166,135,14559,4853,9706,2.0
33,13,,0,0,0,TALUK,Vedasandur,Total,68476,288357,144916,143441,32505,16911,15594,51128,25521,25607,563,277,286,160934,96451,64483,127423,48465,78958,167570,91970,75600,141815,82519,59296,38629,23115,15514,59945,27382,32563,2960,1503,1457,40281,30519,9762,25755,9451,16304,2355,876,1479,18787,5866,12921,622,162,460,3991,2547,1444,120787,52946,67841,3.0
