STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,9,,0,0,0,DISTRICT,Namakkal   *,Total,394378,1493462,759551,733911,152685,80809,71876,280776,143014,137762,51416,26039,25377,903802,526412,377390,589660,233139,356521,842640,489002,353638,770940,463412,307528,171838,95385,76453,222900,102783,120117,45201,23304,21897,331001,241940,89061,71700,25590,46110,6879,2495,4384,42859,13488,29371,5337,1135,4202,16625,8472,8153,650822,270549,380273,0.0
33,9,,0,0,0,DISTRICT,Namakkal   *,Rural,255827,948230,482365,465865,95993,51150,44843,212849,108271,104578,50454,25552,24902,538212,320242,217970,410018,162123,247895,574408,314478,259930,517549,294734,222815,156896,86782,70114,184296,83480,100816,24608,12515,12093,151749,111957,39792,56859,19744,37115,6419,2315,4104,36467,11123,25344,3724,786,2938,10249,5520,4729,373822,167887,205935,0.0
33,9,,0,0,0,DISTRICT,Namakkal   *,Urban,138551,545232,277186,268046,56692,29659,27033,67927,34743,33184,962,487,475,365590,206170,159420,179642,71016,108626,268232,174524,93708,253391,168678,84713,14942,8603,6339,38604,19303,19301,20593,10789,9804,179252,129983,49269,14841,5846,8995,460,180,280,6392,2365,4027,1613,349,1264,6376,2952,3424,277000,102662,174338,0.0
33,9,,0,0,0,TALUK,Tiruchengode,Total,139501,529686,271238,258448,53930,28543,25387,77750,39798,37952,328,170,158,325097,189608,135489,204589,81630,122959,291696,175246,116450,266961,165905,101056,44008,24081,19927,39245,18015,21230,14888,7548,7340,168820,116261,52559,24735,9341,15394,2223,901,1322,13266,4422,8844,1773,467,1306,7473,3551,3922,237990,95992,141998,1.0
33,9,,0,0,0,TALUK,Tiruchengode,Rural,76213,283266,145429,137837,27716,14867,12849,59355,30421,28934,151,79,72,161385,96815,64570,121881,48614,73267,166663,93679,72984,147697,86628,61069,41360,22575,18785,35633,16264,19369,7039,3399,3640,63665,44390,19275,18966,7051,11915,2096,858,1238,11802,3841,7961,1088,273,815,3980,2079,1901,116603,51750,64853,1.0
33,9,,0,0,0,TALUK,Tiruchengode,Urban,63288,246420,125809,120611,26214,13676,12538,18395,9377,9018,177,91,86,163712,92793,70919,82708,33016,49692,125033,81567,43466,119264,79277,39987,2648,1506,1142,3612,1751,1861,7849,4149,3700,105155,71871,33284,5769,2290,3479,127,43,84,1464,581,883,685,194,491,3493,1472,2021,121387,44242,77145,1.0
33,9,,0,0,0,TALUK,Rasipuram,Total,82471,317571,161944,155627,33464,17726,15738,70539,36374,34165,26131,13329,12802,181826,106491,75335,135745,55453,80292,183151,103340,79811,168554,98125,70429,40246,22247,17999,59549,27672,31877,18792,10384,8408,49967,37822,12145,14597,5215,9382,1277,392,885,8953,3060,5893,1443,282,1161,2924,1481,1443,134420,58604,75816,2.0
33,9,,0,0,0,TALUK,Rasipuram,Rural,49661,185894,94905,90989,19867,10596,9271,43807,22502,21305,25630,13080,12550,97498,58368,39130,88396,36537,51859,116061,61876,54185,106555,58628,47927,34152,18861,15291,44904,20682,24222,7996,4442,3554,19503,14643,4860,9506,3248,6258,1046,300,746,6010,1916,4094,924,188,736,1526,844,682,69833,33029,36804,2.0
33,9,,0,0,0,TALUK,Rasipuram,Urban,32810,131677,67039,64638,13597,7130,6467,26732,13872,12860,501,249,252,84328,48123,36205,47349,18916,28433,67090,41464,25626,61999,39497,22502,6094,3386,2708,14645,6990,7655,10796,5942,4854,30464,23179,7285,5091,1967,3124,231,92,139,2943,1144,1799,519,94,425,1398,637,761,64587,25575,39012,2.0
33,9,,0,0,0,TALUK,Namakkal,Total,121424,459296,232447,226849,47516,25195,22321,100421,50808,49613,24926,12522,12404,286140,165333,120807,173156,67114,106042,254309,147876,106433,229751,139380,90371,60333,33634,26699,77444,34899,42545,7674,3744,3930,84300,67103,17197,24558,8496,16062,2681,981,1700,15534,4539,10995,1486,239,1247,4857,2737,2120,204987,84571,120416,3.0
