STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,23,,0,0,0,DISTRICT,Sivaganga,Total,267888,1155356,566947,588409,132891,68062,64829,188857,92590,96267,1083,536,547,738000,414755,323245,417356,152192,265164,513502,316419,197083,408015,272437,135578,166271,101152,65119,79857,41449,38408,9577,5038,4539,152310,124798,27512,105487,43982,61505,21866,9285,12581,63852,23321,40531,3424,926,2498,16345,10450,5895,641854,250528,391326,0.0
33,23,,0,0,0,DISTRICT,Sivaganga,Rural,193484,829272,405093,424179,95620,48807,46813,159256,77886,81370,375,190,185,491768,283769,207999,337504,121324,216180,409281,232148,177133,311590,192863,118727,162958,98468,64490,76455,39125,37330,7031,3592,3439,65146,51678,13468,97691,39285,58406,21378,9126,12252,62223,22438,39785,2950,803,2147,11140,6918,4222,419991,172945,247046,0.0
33,23,,0,0,0,DISTRICT,Sivaganga,Urban,74404,326084,161854,164230,37271,19255,18016,29601,14704,14897,708,346,362,246232,130986,115246,79852,30868,48984,104221,84271,19950,96425,79574,16851,3313,2684,629,3402,2324,1078,2546,1446,1100,87164,73120,14044,7796,4697,3099,488,159,329,1629,883,746,474,123,351,5205,3532,1673,221863,77583,144280,0.0
33,23,,0,0,0,TALUK,Tirupathur,Total,56543,240716,117579,123137,28131,14416,13715,36458,17777,18681,66,36,30,144065,81983,62082,96651,35596,61055,113480,67283,46197,87476,55968,31508,37573,22703,14870,19707,10289,9418,2414,1139,1275,27782,21837,5945,26004,11315,14689,5011,1984,3027,14923,5854,9069,1028,247,781,5042,3230,1812,127236,50296,76940,1.0
33,23,,0,0,0,TALUK,Tirupathur,Rural,46062,194610,94773,99837,22830,11643,11187,30462,14836,15626,48,25,23,110990,64171,46819,83620,30602,53018,97660,55109,42551,73370,44754,28616,36408,21771,14637,19134,9933,9201,1959,887,1072,15869,12163,3706,24290,10355,13935,4637,1883,2754,14598,5673,8925,971,229,742,4084,2570,1514,96950,39664,57286,1.0
33,23,,0,0,0,TALUK,Tirupathur,Urban,10481,46106,22806,23300,5301,2773,2528,5996,2941,3055,18,11,7,33075,17812,15263,13031,4994,8037,15820,12174,3646,14106,11214,2892,1165,932,233,573,356,217,455,252,203,11913,9674,2239,1714,960,754,374,101,273,325,181,144,57,18,39,958,660,298,30286,10632,19654,1.0
33,23,,0,0,0,TALUK,Karaikkudi,Total,56714,243675,120259,123416,27567,14178,13389,28150,13644,14506,457,212,245,168995,91963,77032,74680,28296,46384,93338,65939,27399,74423,57116,17307,12221,7832,4389,8002,4422,3580,2248,1299,949,51952,43563,8389,18915,8823,10092,3212,1705,1507,10587,4087,6500,690,188,502,4426,2843,1583,150337,54320,96017,2.0
33,23,,0,0,0,TALUK,Karaikkudi,Rural,27643,117958,57780,60178,13472,6884,6588,19554,9378,10176,55,26,29,73681,41431,32250,44277,16349,27928,51626,31993,19633,35395,24825,10570,11615,7384,4231,7433,4036,3397,964,551,413,15383,12854,2529,16231,7168,9063,3179,1685,1494,10211,3873,6338,420,124,296,2421,1486,935,66332,25787,40545,2.0
33,23,,0,0,0,TALUK,Karaikkudi,Urban,29071,125717,62479,63238,14095,7294,6801,8596,4266,4330,402,186,216,95314,50532,44782,30403,11947,18456,41712,33946,7766,39028,32291,6737,606,448,158,569,386,183,1284,748,536,36569,30709,5860,2684,1655,1029,33,20,13,376,214,162,270,64,206,2005,1357,648,84005,28533,55472,2.0
33,23,,0,0,0,TALUK,Devakottai,Total,31260,136377,65472,70905,14444,7426,7018,30452,14597,15855,35,19,16,91830,50017,41813,44547,15455,29092,63943,36658,27285,56226,34192,22034,31655,17510,14145,9335,4315,5020,820,382,438,14416,11985,2431,7717,2466,5251,1841,528,1313,4534,1079,3455,195,31,164,1147,828,319,72434,28814,43620,3.0
