STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,20,,0,0,0,DISTRICT,Thiruvarur,Total,275395,1169474,580784,588690,140099,71115,68984,378314,188682,189632,2673,1310,1363,788302,435421,352881,381172,145363,235809,491003,331530,159473,386956,282611,104345,61965,52224,9741,199580,122933,76647,7090,4493,2597,118321,102961,15360,104047,48919,55128,7639,4262,3377,84208,36926,47282,2443,708,1735,9757,7023,2734,678471,249254,429217,0.0
33,20,,0,0,0,DISTRICT,Thiruvarur,Rural,222615,932231,463502,468729,113326,57571,55755,342530,171053,171477,971,493,478,608297,340202,268095,323934,123300,200634,414288,269734,144554,320502,226819,93683,59154,49721,9433,188828,115619,73209,5701,3656,2045,66819,57823,8996,93786,42915,50871,7327,4038,3289,77975,33757,44218,2097,600,1497,6387,4520,1867,517943,193768,324175,0.0
33,20,,0,0,0,DISTRICT,Thiruvarur,Urban,52780,237243,117282,119961,26773,13544,13229,35784,17629,18155,1702,817,885,180005,95219,84786,57238,22063,35175,76715,61796,14919,66454,55792,10662,2811,2503,308,10752,7314,3438,1389,837,552,51502,45138,6364,10261,6004,4257,312,224,88,6233,3169,3064,346,108,238,3370,2503,867,160528,55486,105042,0.0
33,20,,0,0,0,TALUK,Valangaiman,Total,22012,94474,46949,47525,11798,6011,5787,38028,18943,19085,68,34,34,59825,33547,26278,34649,13402,21247,41332,27401,13931,29300,21282,8018,5667,4985,682,16631,10707,5924,589,340,249,6413,5250,1163,12032,6119,5913,677,530,147,10085,4856,5229,440,83,357,830,650,180,53142,19548,33594,1.0
33,20,,0,0,0,TALUK,Valangaiman,Rural,19503,83193,41394,41799,10560,5378,5182,36146,18036,18110,21,9,12,51705,29193,22512,31488,12201,19287,37370,24436,12934,26073,18709,7364,5456,4789,667,15837,10080,5757,486,277,209,4294,3563,731,11297,5727,5570,657,512,145,9661,4693,4968,407,71,336,572,451,121,45823,16958,28865,1.0
33,20,,0,0,0,TALUK,Valangaiman,Urban,2509,11281,5555,5726,1238,633,605,1882,907,975,47,25,22,8120,4354,3766,3161,1201,1960,3962,2965,997,3227,2573,654,211,196,15,794,627,167,103,63,40,2119,1687,432,735,392,343,20,18,2,424,163,261,33,12,21,258,199,59,7319,2590,4729,1.0
33,20,,0,0,0,TALUK,Kodavasal,Total,44226,189456,94426,95030,23049,11614,11435,60016,30015,30001,109,63,46,127758,70784,56974,61698,23642,38056,77016,53980,23036,56678,43305,13373,7967,6971,996,30896,21066,9830,1607,1019,588,16208,14249,1959,20338,10675,9663,1230,826,404,17247,8463,8784,348,189,159,1513,1197,316,112440,40446,71994,2.0
33,20,,0,0,0,TALUK,Kodavasal,Rural,39872,170224,84910,85314,20902,10524,10378,54959,27492,27467,93,57,36,114000,63398,50602,56224,21512,34712,70282,48728,21554,51126,38778,12348,7599,6640,959,28804,19608,9196,1547,975,572,13176,11555,1621,19156,9950,9206,1211,811,400,16228,7868,8360,334,178,156,1383,1093,290,99942,36182,63760,2.0
33,20,,0,0,0,TALUK,Kodavasal,Urban,4354,19232,9516,9716,2147,1090,1057,5057,2523,2534,16,6,10,13758,7386,6372,5474,2130,3344,6734,5252,1482,5552,4527,1025,368,331,37,2092,1458,634,60,44,16,3032,2694,338,1182,725,457,19,15,4,1019,595,424,14,11,3,130,104,26,12498,4264,8234,2.0
33,20,,0,0,0,TALUK,Nannilam,Total,29032,124899,62536,62363,14796,7588,7208,42847,21605,21242,99,49,50,86971,47995,38976,37928,14541,23387,51320,35930,15390,39188,29758,9430,6045,5063,982,22034,15080,6954,527,390,137,10582,9225,1357,12132,6172,5960,638,355,283,10316,5020,5296,171,52,119,1007,745,262,73579,26606,46973,3.0
33,20,,0,0,0,TALUK,Nannilam,Rural,25094,108001,54096,53905,12937,6614,6323,39328,19852,19476,37,17,20,74141,41145,32996,33860,12951,20909,45692,31595,14097,35273,26427,8846,5704,4752,952,21270,14448,6822,480,352,128,7819,6875,944,10419,5168,5251,599,327,272,8975,4279,4696,146,41,105,699,521,178,62309,22501,39808,3.0
33,20,,0,0,0,TALUK,Nannilam,Urban,3938,16898,8440,8458,1859,974,885,3519,1753,1766,62,32,30,12830,6850,5980,4068,1590,2478,5628,4335,1293,3915,3331,584,341,311,30,764,632,132,47,38,9,2763,2350,413,1713,1004,709,39,28,11,1341,741,600,25,11,14,308,224,84,11270,4105,7165,3.0
33,20,,0,0,0,TALUK,Thiruvarur,Total,31464,137202,68811,68391,16305,8337,7968,40986,20472,20514,522,261,261,100979,54808,46171,36223,14003,22220,53530,39029,14501,46128,35518,10610,3380,2889,491,16482,9626,6856,806,444,362,25460,22559,2901,7402,3511,3891,369,216,153,5519,2306,3213,241,62,179,1273,927,346,83672,29782,53890,4.0
33,20,,0,0,0,TALUK,Thiruvarur,Rural,19236,80861,40216,40645,10078,5134,4944,33823,16938,16885,131,63,68,56271,30805,25466,24590,9411,15179,34867,23359,11508,28626,20487,8139,2827,2393,434,15195,8798,6397,396,253,143,10208,9043,1165,6241,2872,3369,339,198,141,5021,2101,2920,127,40,87,754,533,221,45994,16857,29137,4.0
33,20,,0,0,0,TALUK,Thiruvarur,Urban,12228,56341,28595,27746,6227,3203,3024,7163,3534,3629,391,198,193,44708,24003,20705,11633,4592,7041,18663,15670,2993,17502,15031,2471,553,496,57,1287,828,459,410,191,219,15252,13516,1736,1161,639,522,30,18,12,498,205,293,114,22,92,519,394,125,37678,12925,24753,4.0
33,20,,0,0,0,TALUK,Needamangalam,Total,31685,137268,67685,69583,17862,9085,8777,52988,26606,26382,134,67,67,89376,48827,40549,47892,18858,29034,55718,36133,19585,44128,30746,13382,5648,4585,1063,26007,15287,10720,572,356,216,11901,10518,1383,11590,5387,6203,1181,698,483,8887,3716,5171,335,101,234,1187,872,315,81550,31552,49998,5.0
