STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,28,,0,0,0,DISTRICT,Thoothukkudi,Total,382260,1572273,766823,805450,184411,94431,89980,288954,143013,145941,3494,1762,1732,1131406,593868,537538,440867,172955,267912,678811,431784,247027,588596,395937,192659,67307,44665,22642,123988,65921,58067,35483,9497,25986,361818,275854,85964,90215,35847,54368,6511,2882,3629,43914,15984,27930,11657,1148,10509,28133,15833,12300,893462,335039,558423,0.0
33,28,,0,0,0,DISTRICT,Thoothukkudi,Rural,224613,907500,439254,468246,106688,54896,51792,216801,107116,109685,1060,504,556,622745,329518,293227,284755,109736,175019,432127,250023,182104,359947,222024,137923,63351,41575,21776,110884,58164,52720,23106,5404,17702,162606,116881,45725,72180,27999,44181,6362,2811,3551,40811,14719,26092,7095,816,6279,17912,9653,8259,475373,189231,286142,0.0
33,28,,0,0,0,DISTRICT,Thoothukkudi,Urban,157647,664773,327569,337204,77723,39535,38188,72153,35897,36256,2434,1258,1176,508661,264350,244311,156112,63219,92893,246684,181761,64923,228649,173913,54736,3956,3090,866,13104,7757,5347,12377,4093,8284,199212,158973,40239,18035,7848,10187,149,71,78,3103,1265,1838,4562,332,4230,10221,6180,4041,418089,145808,272281,0.0
33,28,,0,0,0,TALUK,Kovilpatti,Total,66525,262249,128711,133538,28374,14482,13892,49565,24378,25187,1107,562,545,177678,97465,80213,84571,31246,53325,132516,75376,57140,120699,71448,49251,12899,8053,4846,22650,11191,11459,6392,1361,5031,78758,50843,27915,11817,3928,7889,676,244,432,5041,1891,3150,2033,112,1921,4067,1681,2386,129733,53335,76398,1.0
33,28,,0,0,0,TALUK,Kovilpatti,Rural,34723,135122,66077,69045,14504,7380,7124,34244,16806,17438,298,144,154,84389,47368,37021,50733,18709,32024,72979,38926,34053,64310,35812,28498,12176,7574,4602,20198,9983,10215,1857,501,1356,30079,17754,12325,8669,3114,5555,644,234,410,4789,1760,3029,365,59,306,2871,1061,1810,62143,27151,34992,1.0
33,28,,0,0,0,TALUK,Kovilpatti,Urban,31802,127127,62634,64493,13870,7102,6768,15321,7572,7749,809,418,391,93289,50097,43192,33838,12537,21301,59537,36450,23087,56389,35636,20753,723,479,244,2452,1208,1244,4535,860,3675,48679,33089,15590,3148,814,2334,32,10,22,252,131,121,1668,53,1615,1196,620,576,67590,26184,41406,1.0
33,28,,0,0,0,TALUK,Ettayapuram,Total,19611,73991,35596,38395,8072,4153,3919,17077,8191,8886,34,13,21,46704,26041,20663,27287,9555,17732,42812,21691,21121,34264,18494,15770,5872,3572,2300,10231,4856,5375,3296,646,2650,14865,9420,5445,8548,3197,5351,586,320,266,4251,1494,2757,1107,113,994,2604,1270,1334,31179,13905,17274,2.0
33,28,,0,0,0,TALUK,Ettayapuram,Rural,16438,61197,29472,31725,6631,3407,3224,15483,7419,8064,0,0,0,38024,21325,16699,23173,8147,15026,37057,18158,18899,28977,15140,13837,5766,3508,2258,9923,4689,5234,2498,391,2107,10790,6552,4238,8080,3018,5062,586,320,266,4073,1406,2667,969,103,866,2452,1189,1263,24140,11314,12826,2.0
33,28,,0,0,0,TALUK,Ettayapuram,Urban,3173,12794,6124,6670,1441,746,695,1594,772,822,34,13,21,8680,4716,3964,4114,1408,2706,5755,3533,2222,5287,3354,1933,106,64,42,308,167,141,798,255,543,4075,2868,1207,468,179,289,0,0,0,178,88,90,138,10,128,152,81,71,7039,2591,4448,2.0
33,28,,0,0,0,TALUK,Vilathikulam,Total,33810,135285,66743,68542,16014,8226,7788,28236,14086,14150,23,12,11,89259,49831,39428,46026,16912,29114,74272,40897,33375,58550,35147,23403,14012,8351,5661,20648,9794,10854,1645,531,1114,22245,16471,5774,15722,5750,9972,2260,1039,1221,10248,3304,6944,776,150,626,2438,1257,1181,61013,25846,35167,3.0
