STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,15,,0,0,0,DISTRICT,Tiruchirappalli,Total,569487,2418366,1208534,1209832,270043,138162,131881,399493,197917,201576,18912,9596,9316,1673478,926354,747124,744888,282180,462708,1064521,687814,376707,927788,629457,298331,203874,126694,77180,245875,121030,124845,36676,19160,17516,441363,362573,78790,136733,58357,78376,13244,5726,7518,89842,32186,57656,4922,1354,3568,28725,19091,9634,1353845,520720,833125,0.0
33,15,,0,0,0,DISTRICT,Tiruchirappalli,Rural,307602,1279204,638617,640587,151661,78055,73606,261417,129181,132236,14383,7324,7059,787843,455246,332597,491361,183371,307990,671320,381223,290097,563050,338788,224262,193651,118979,74672,214904,103619,111285,21560,11307,10253,132935,104883,28052,108270,42435,65835,12877,5545,7332,79939,28051,51888,3112,910,2202,12342,7929,4413,607884,257394,350490,0.0
33,15,,0,0,0,DISTRICT,Tiruchirappalli,Urban,261885,1139162,569917,569245,118382,60107,58275,138076,68736,69340,4529,2272,2257,885635,471108,414527,253527,98809,154718,393201,306591,86610,364738,290669,74069,10223,7715,2508,30971,17411,13560,15116,7853,7263,308428,257690,50738,28463,15922,12541,367,181,186,9903,4135,5768,1810,444,1366,16383,11162,5221,745961,263326,482635,0.0
33,15,,0,0,0,TALUK,Thottiyam,Total,32251,126569,63461,63108,14058,7301,6757,26826,13285,13541,68,37,31,76161,44388,31773,50408,19073,31335,70522,39999,30523,60528,36659,23869,12889,8571,4318,32225,16806,15419,4396,2309,2087,11018,8973,2045,9994,3340,6654,491,154,337,8041,2382,5659,244,41,203,1218,763,455,56047,23462,32585,1.0
33,15,,0,0,0,TALUK,Thottiyam,Rural,26177,101768,51128,50640,11433,5958,5475,19952,9882,10070,67,36,31,58787,34731,24056,42981,16397,26584,59089,32550,26539,51732,30390,21342,12028,7829,4199,28419,14601,13818,4256,2250,2006,7029,5710,1319,7357,2160,5197,455,129,326,5834,1471,4363,178,33,145,890,527,363,42679,18578,24101,1.0
33,15,,0,0,0,TALUK,Thottiyam,Urban,6074,24801,12333,12468,2625,1343,1282,6874,3403,3471,1,1,0,17374,9657,7717,7427,2676,4751,11433,7449,3984,8796,6269,2527,861,742,119,3806,2205,1601,140,59,81,3989,3263,726,2637,1180,1457,36,25,11,2207,911,1296,66,8,58,328,236,92,13368,4884,8484,1.0
33,15,,0,0,0,TALUK,Musiri,Total,55637,221055,110763,110292,23774,12194,11580,43606,21633,21973,421,221,200,140066,80722,59344,80989,30041,50948,117828,67799,50029,105099,63417,41682,35897,21944,13953,36410,17167,19243,5496,2907,2589,27296,21399,5897,12729,4382,8347,1133,340,793,9295,2851,6444,530,109,421,1771,1082,689,103227,42964,60263,2.0
33,15,,0,0,0,TALUK,Musiri,Rural,43978,173278,86940,86338,18784,9671,9113,35829,17736,18093,373,196,177,105866,61950,43916,67412,24990,42422,97463,54216,43247,85956,50418,35538,34922,21299,13623,31387,14647,16740,3408,1814,1594,16239,12658,3581,11507,3798,7709,1106,329,777,8908,2716,6192,376,61,315,1117,692,425,75815,32724,43091,2.0
33,15,,0,0,0,TALUK,Musiri,Urban,11659,47777,23823,23954,4990,2523,2467,7777,3897,3880,48,25,23,34200,18772,15428,13577,5051,8526,20365,13583,6782,19143,12999,6144,975,645,330,5023,2520,2503,2088,1093,995,11057,8741,2316,1222,584,638,27,11,16,387,135,252,154,48,106,654,390,264,27412,10240,17172,2.0
33,15,,0,0,0,TALUK,Thuraiyur,Total,61573,231497,115588,115909,24379,12516,11863,49589,24572,25017,13218,6730,6488,145157,82548,62609,86340,33040,53300,123051,70612,52439,100772,62294,38478,37706,22822,14884,35157,16654,18503,2385,1422,963,25524,21396,4128,22279,8318,13961,1572,585,987,17758,5944,11814,659,176,483,2290,1613,677,108446,44976,63470,3.0
