STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,6,,0,0,0,DISTRICT,Tiruvannamalai,Total,489055,2186125,1095859,1090266,261295,134155,127140,467532,233572,233960,72760,36928,35832,1297151,761403,535748,888974,334456,554518,1064783,633166,431617,829944,547334,282610,323995,217747,106248,246478,121808,124670,43922,31183,12739,215549,176596,38953,234839,85832,149007,21441,8474,12967,177096,57648,119448,10801,2767,8034,25501,16943,8558,1121342,462693,658649,0.0
33,6,,0,0,0,DISTRICT,Tiruvannamalai,Rural,403794,1785364,895738,889626,215438,110801,104637,412993,206740,206253,69198,35129,34069,1014930,605600,409330,770434,290138,480296,924770,526621,398149,706786,448964,257822,316486,212092,104394,234428,115298,119130,33589,23680,9909,122283,97894,24389,217984,77657,140327,20774,8223,12551,169835,55073,114762,9229,2378,6851,18146,11983,6163,860594,369117,491477,0.0
33,6,,0,0,0,DISTRICT,Tiruvannamalai,Urban,85261,400761,200121,200640,45857,23354,22503,54539,26832,27707,3562,1799,1763,282221,155803,126418,118540,44318,74222,140013,106545,33468,123158,98370,24788,7509,5655,1854,12050,6510,5540,10333,7503,2830,93266,78702,14564,16855,8175,8680,667,251,416,7261,2575,4686,1572,389,1183,7355,4960,2395,260748,93576,167172,0.0
33,6,,0,0,0,TALUK,Arani,Total,59796,268043,133555,134488,31247,15983,15264,44448,21819,22629,672,330,342,173039,99398,73641,95004,34157,60847,121914,77489,44425,95562,68078,27484,21328,15236,6092,21565,10838,10727,14813,10945,3868,37856,31059,6797,26352,9411,16941,1280,564,716,18254,5822,12432,2867,488,2379,3951,2537,1414,146129,56066,90063,1.0
33,6,,0,0,0,TALUK,Arani,Rural,44097,194231,96965,97266,22992,11814,11178,36723,18093,18630,552,266,286,120660,70621,50039,73571,26344,47227,95599,56809,38790,70627,48098,22529,20907,14892,6015,20457,10204,10253,9819,7182,2637,19444,15820,3624,24972,8711,16261,1247,556,691,18087,5782,12305,2530,385,2145,3108,1988,1120,98632,40156,58476,1.0
33,6,,0,0,0,TALUK,Arani,Urban,15699,73812,36590,37222,8255,4169,4086,7725,3726,3999,120,64,56,52379,28777,23602,21433,7813,13620,26315,20680,5635,24935,19980,4955,421,344,77,1108,634,474,4994,3763,1231,18412,15239,3173,1380,700,680,33,8,25,167,40,127,337,103,234,843,549,294,47497,15910,31587,1.0
33,6,,0,0,0,TALUK,Cheyyar,Total,72394,317942,159033,158909,37724,19131,18593,77200,38801,38399,3534,1760,1774,192808,113870,78938,125134,45163,79971,159709,93527,66182,122722,81494,41228,41639,29068,12571,37845,17988,19857,12898,9430,3468,30340,25008,5332,36987,12033,24954,3490,1360,2130,26636,7337,19299,2434,611,1823,4427,2725,1702,158233,65506,92727,2.0
33,6,,0,0,0,TALUK,Cheyyar,Rural,63526,277625,138966,138659,33180,16870,16310,73162,36829,36333,3311,1644,1667,164076,97961,66115,113549,41005,72544,144701,82585,62116,110420,71632,38788,41236,28704,12532,37245,17655,19590,10214,7528,2686,21725,17745,3980,34281,10953,23328,3448,1348,2100,25520,6989,18531,1937,501,1436,3376,2115,1261,132924,56381,76543,2.0
33,6,,0,0,0,TALUK,Cheyyar,Urban,8868,40317,20067,20250,4544,2261,2283,4038,1972,2066,223,116,107,28732,15909,12823,11585,4158,7427,15008,10942,4066,12302,9862,2440,403,364,39,600,333,267,2684,1902,782,8615,7263,1352,2706,1080,1626,42,12,30,1116,348,768,497,110,387,1051,610,441,25309,9125,16184,2.0
33,6,,0,0,0,TALUK,Vandavasi,Total,72414,316559,158194,158365,33604,17137,16467,79083,39581,39502,4851,2398,2453,194732,114419,80313,121827,43775,78052,156883,91549,65334,121085,78895,42190,49305,33832,15473,38452,18594,19858,5192,3618,1574,28136,22851,5285,35798,12654,23144,2904,1183,1721,28092,8998,19094,1914,510,1404,2888,1963,925,159676,66645,93031,3.0
