STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,7,,0,0,0,DISTRICT,Viluppuram,Total,635210,2960373,1492442,1467931,373175,190257,182918,810931,408234,402697,63920,32294,31626,1650528,977374,673154,1309845,515068,794777,1445177,857530,587647,1125229,734088,391141,410706,279897,130809,430756,228566,202190,26131,15494,10637,257636,210131,47505,319948,123442,196506,31148,12796,18352,252633,89810,162823,8548,2623,5925,27619,18213,9406,1515196,634912,880284,0.0
33,7,,0,0,0,DISTRICT,Viluppuram,Rural,544609,2533456,1277415,1256041,323451,165048,158403,740441,373085,367356,61687,31149,30538,1347727,809944,537783,1185729,467471,718258,1297445,743524,553921,995268,629152,366116,402715,273668,129047,412394,217450,194944,22469,13316,9153,157690,124718,32972,302177,114372,187805,30413,12524,17889,243939,86276,157663,7687,2387,5300,20138,13185,6953,1236011,533891,702120,0.0
33,7,,0,0,0,DISTRICT,Viluppuram,Urban,90601,426917,215027,211890,49724,25209,24515,70490,35149,35341,2233,1145,1088,302801,167430,135371,124116,47597,76519,147732,114006,33726,129961,104936,25025,7991,6229,1762,18362,11116,7246,3662,2178,1484,99946,85413,14533,17771,9070,8701,735,272,463,8694,3534,5160,861,236,625,7481,5028,2453,279185,101021,178164,0.0
33,7,,0,0,0,TALUK,Gingee,Total,83601,374238,187479,186759,43253,21936,21317,75386,37820,37566,7208,3588,3620,212373,125645,86728,161865,61834,100031,193354,108398,84956,144287,89872,54415,75223,49064,26159,41518,20280,21238,3659,1965,1694,23887,18563,5324,49067,18526,30541,5888,2333,3555,37604,13164,24440,1690,492,1198,3885,2537,1348,180884,79081,101803,1.0
33,7,,0,0,0,TALUK,Gingee,Rural,77901,346849,173616,173233,40114,20378,19736,70823,35468,35355,6945,3458,3487,193423,114970,78453,153426,58646,94780,183935,101539,82396,136653,83799,52854,74361,48374,25987,40032,19301,20731,3432,1799,1633,18828,14325,4503,47282,17740,29542,5845,2310,3535,36428,12801,23627,1646,475,1171,3363,2154,1209,162914,72077,90837,1.0
33,7,,0,0,0,TALUK,Gingee,Urban,5700,27389,13863,13526,3139,1558,1581,4563,2352,2211,263,130,133,18950,10675,8275,8439,3188,5251,9419,6859,2560,7634,6073,1561,862,690,172,1486,979,507,227,166,61,5059,4238,821,1785,786,999,43,23,20,1176,363,813,44,17,27,522,383,139,17970,7004,10966,1.0
33,7,,0,0,0,TALUK,Tindivanam,Total,89039,413141,207377,205764,49636,25048,24588,128111,64159,63952,4961,2456,2505,242542,141166,101376,170599,66211,104388,187640,115828,71812,159568,104972,54596,50526,34647,15879,60524,31547,28977,2893,1694,1199,45625,37084,8541,28072,10856,17216,2228,931,1297,22075,7672,14403,706,196,510,3063,2057,1006,225501,91549,133952,2.0
33,7,,0,0,0,TALUK,Tindivanam,Rural,70543,326265,163780,162485,39435,19939,19496,111213,55732,55481,4558,2259,2299,180646,107058,73588,145619,56722,88897,158009,93054,64955,133076,83803,49273,49532,33820,15712,57553,29800,27753,2380,1420,960,23611,18763,4848,24933,9251,15682,2168,902,1266,20521,7043,13478,527,165,362,1717,1141,576,168256,70726,97530,2.0
33,7,,0,0,0,TALUK,Tindivanam,Urban,18496,86876,43597,43279,10201,5109,5092,16898,8427,8471,403,197,206,61896,34108,27788,24980,9489,15491,29631,22774,6857,26492,21169,5323,994,827,167,2971,1747,1224,513,274,239,22014,18321,3693,3139,1605,1534,60,29,31,1554,629,925,179,31,148,1346,916,430,57245,20823,36422,2.0
33,7,,0,0,0,TALUK,Vanur,Total,34773,166567,84868,81699,20653,10488,10165,53187,27069,26118,1709,844,865,100469,58961,41508,66098,25907,40191,73003,48787,24216,57817,42383,15434,13554,10640,2914,22015,13125,8890,1188,851,337,21060,17767,3293,15186,6404,8782,1526,772,754,11166,4145,7021,437,131,306,2057,1356,701,93564,36081,57483,3.0
33,7,,0,0,0,TALUK,Vanur,Rural,30076,142492,72740,69752,17434,8929,8505,50340,25655,24685,1612,794,818,84688,50028,34660,57804,22712,35092,64606,41917,22689,50350,35883,14467,13393,10501,2892,21206,12600,8606,1038,735,303,14713,12047,2666,14256,6034,8222,1488,763,725,10754,3981,6773,351,111,240,1663,1179,484,77886,30823,47063,3.0
33,7,,0,0,0,TALUK,Vanur,Urban,4697,24075,12128,11947,3219,1559,1660,2847,1414,1433,97,50,47,15781,8933,6848,8294,3195,5099,8397,6870,1527,7467,6500,967,161,139,22,809,525,284,150,116,34,6347,5720,627,930,370,560,38,9,29,412,164,248,86,20,66,394,177,217,15678,5258,10420,3.0
33,7,,0,0,0,TALUK,Viluppuram,Total,130910,612388,309236,303152,74000,37782,36218,153992,76998,76994,4210,2117,2093,381382,219792,161590,231006,89444,141562,276656,175135,101521,207379,145531,61848,44614,33378,11236,86772,49192,37580,6894,4440,2454,69099,58521,10578,69277,29604,39673,4525,2142,2383,55548,21755,33793,1765,650,1115,7439,5057,2382,335732,134101,201631,4.0
33,7,,0,0,0,TALUK,Viluppuram,Rural,105058,492705,248723,243982,60778,30977,29801,138920,69556,69364,3794,1910,1884,290015,170296,119719,202690,78427,124263,238085,142952,95133,172075,115394,56681,43784,32688,11096,84707,47793,36914,5847,3738,2109,37737,31175,6562,66010,27558,38452,4415,2088,2327,54620,21225,33395,1598,608,990,5377,3637,1740,254620,105771,148849,4.0
33,7,,0,0,0,TALUK,Viluppuram,Urban,25852,119683,60513,59170,13222,6805,6417,15072,7442,7630,416,207,209,91367,49496,41871,28316,11017,17299,38571,32183,6388,35304,30137,5167,830,690,140,2065,1399,666,1047,702,345,31362,27346,4016,3267,2046,1221,110,54,56,928,530,398,167,42,125,2062,1420,642,81112,28330,52782,4.0
33,7,,0,0,0,TALUK,Tirukkoyilur,Total,75950,373521,188563,184958,49919,25417,24502,104578,52945,51633,2648,1309,1339,199724,119544,80180,173797,69019,104778,181613,107767,73846,131153,88530,42623,45174,34038,11136,54370,29847,24523,3916,2297,1619,27693,22348,5345,50460,19237,31223,4406,1817,2589,40733,14482,26251,1570,455,1115,3751,2483,1268,191908,80796,111112,5.0
