STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,26,,0,0,0,DISTRICT,Virudhunagar,Total,447889,1751301,870376,880925,209147,106803,102344,332297,164930,167367,2357,1158,1199,1136574,641062,495512,614727,229314,385413,881803,517681,364122,802521,488935,313586,79429,48226,31203,153228,74737,78491,43975,14589,29386,525889,351383,174506,79282,28746,50536,6183,2414,3769,44420,14891,29529,5806,767,5039,22873,10674,12199,869498,352695,516803,0.0
33,26,,0,0,0,DISTRICT,Virudhunagar,Rural,249950,973956,482626,491330,120187,61424,58763,239324,118805,120519,953,485,468,586525,339594,246931,387431,143032,244399,526860,286442,240418,464630,264052,200578,74557,44858,29699,126771,60821,65950,16462,5462,11000,246840,152911,93929,62230,22390,39840,5940,2333,3607,40320,13336,26984,2511,442,2069,13459,6279,7180,447096,196184,250912,0.0
33,26,,0,0,0,DISTRICT,Virudhunagar,Urban,197939,777345,387750,389595,88960,45379,43581,92973,46125,46848,1404,673,731,550049,301468,248581,227296,86282,141014,354943,231239,123704,337891,224883,113008,4872,3368,1504,26457,13916,12541,27513,9127,18386,279049,198472,80577,17052,6356,10696,243,81,162,4100,1555,2545,3295,325,2970,9414,4395,5019,422402,156511,265891,0.0
33,26,,0,0,0,TALUK,Rajapalayam,Total,82670,307959,153529,154430,34934,17986,16948,64988,32005,32983,999,486,513,203551,114048,89503,104408,39481,64927,143008,91805,51203,133037,88447,44590,6751,4534,2217,29376,14383,14993,10014,3013,7001,86896,66517,20379,9971,3358,6613,547,192,355,5319,1601,3718,1096,100,996,3009,1465,1544,164951,61724,103227,1.0
33,26,,0,0,0,TALUK,Rajapalayam,Rural,40553,149269,74223,75046,17986,9318,8668,43402,21401,22001,584,301,283,92093,52419,39674,57176,21804,35372,76627,44487,32140,69732,42278,27454,5939,3841,2098,22366,10640,11726,4336,1352,2984,37091,26445,10646,6895,2209,4686,529,181,348,4311,1231,3080,454,61,393,1601,736,865,72642,29736,42906,1.0
33,26,,0,0,0,TALUK,Rajapalayam,Urban,42117,158690,79306,79384,16948,8668,8280,21586,10604,10982,415,185,230,111458,61629,49829,47232,17677,29555,66381,47318,19063,63305,46169,17136,812,693,119,7010,3743,3267,5678,1661,4017,49805,40072,9733,3076,1149,1927,18,11,7,1008,370,638,642,39,603,1408,729,679,92309,31988,60321,1.0
33,26,,0,0,0,TALUK,Srivilliputhur,Total,70369,269317,134051,135266,31080,15832,15248,66605,33054,33551,124,61,63,169503,96727,72776,99814,37324,62490,136197,78621,57576,121657,73091,48566,9650,6376,3274,40934,20396,20538,9117,3333,5784,61956,42986,18970,14540,5530,9010,681,300,381,8163,2957,5206,1126,148,978,4570,2125,2445,133120,55430,77690,2.0
33,26,,0,0,0,TALUK,Srivilliputhur,Rural,35126,133808,66751,67057,15658,8009,7649,45095,22422,22673,69,38,31,80114,46720,33394,53694,20031,33663,71362,39160,32202,62350,35669,26681,7619,4919,2700,26335,12737,13598,2089,782,1307,26307,17231,9076,9012,3491,5521,619,284,335,5922,2071,3851,377,56,321,2094,1080,1014,62446,27591,34855,2.0
33,26,,0,0,0,TALUK,Srivilliputhur,Urban,35243,135509,67300,68209,15422,7823,7599,21510,10632,10878,55,23,32,89389,50007,39382,46120,17293,28827,64835,39461,25374,59307,37422,21885,2031,1457,574,14599,7659,6940,7028,2551,4477,35649,25755,9894,5528,2039,3489,62,16,46,2241,886,1355,749,92,657,2476,1045,1431,70674,27839,42835,2.0
33,26,,0,0,0,TALUK,Sivakasi,Total,96472,377976,188254,189722,47890,24535,23355,64559,31957,32602,449,230,219,246118,138077,108041,131858,50177,81681,195615,114268,81347,185874,110628,75246,6331,3942,2389,16077,8062,8015,3671,1104,2567,159795,97520,62275,9741,3640,6101,501,271,230,3674,1309,2365,955,76,879,4611,1984,2627,182361,73986,108375,3.0
