STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,2,,0,0,0,DISTRICT,Chennai,Total,962213,4343645,2219539,2124106,433340,219720,213620,598110,301835,296275,6728,3368,3360,3336695,1799981,1536714,1006950,419558,587392,1488364,1201152,287212,1380757,1126429,254328,15149,7356,7793,5849,4508,1341,25836,15614,10222,1333923,1098951,234972,107607,74723,32884,2026,736,1290,1233,795,438,5156,2250,2906,99192,70942,28250,2855281,1018387,1836894,0.0
33,2,,0,0,0,DISTRICT,Chennai,Rural,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,2,,0,0,0,DISTRICT,Chennai,Urban,962213,4343645,2219539,2124106,433340,219720,213620,598110,301835,296275,6728,3368,3360,3336695,1799981,1536714,1006950,419558,587392,1488364,1201152,287212,1380757,1126429,254328,15149,7356,7793,5849,4508,1341,25836,15614,10222,1333923,1098951,234972,107607,74723,32884,2026,736,1290,1233,795,438,5156,2250,2906,99192,70942,28250,2855281,1018387,1836894,0.0
33,2,,40201000,0,0,TOWN,Chennai (M Corp.),Urban,962213,4343645,2219539,2124106,433340,219720,213620,598110,301835,296275,6728,3368,3360,3336695,1799981,1536714,1006950,419558,587392,1488364,1201152,287212,1380757,1126429,254328,15149,7356,7793,5849,4508,1341,25836,15614,10222,1333923,1098951,234972,107607,74723,32884,2026,736,1290,1233,795,438,5156,2250,2906,99192,70942,28250,2855281,1018387,1836894,0.0
33,2,,40201000,1,0,WARD,Chennai (M Corp.) - Ward No.1,Urban,12764,57723,29449,28274,6281,3127,3154,4477,2271,2206,46,21,25,45552,24554,20998,12171,4895,7276,19044,16149,2895,17646,15088,2558,127,52,75,103,83,20,283,174,109,17133,14779,2354,1398,1061,337,14,5,9,87,65,22,63,26,37,1234,965,269,38679,13300,25379,0.0
33,2,,40201000,2,0,WARD,Chennai (M Corp.) - Ward No.2,Urban,11409,50385,25836,24549,5841,3003,2838,7726,3932,3794,82,41,41,39213,21149,18064,11172,4687,6485,16361,14030,2331,15602,13494,2108,58,39,19,58,29,29,299,208,91,15187,13218,1969,759,536,223,9,5,4,6,2,4,23,8,15,721,521,200,34024,11806,22218,0.0
33,2,,40201000,3,0,WARD,Chennai (M Corp.) - Ward No.3,Urban,9896,43112,22029,21083,5983,2987,2996,1610,799,811,18,7,11,29213,16290,12923,13899,5739,8160,14660,12341,2319,12867,11051,1816,20,8,12,34,23,11,643,330,313,12170,10690,1480,1793,1290,503,2,2,0,6,6,0,114,20,94,1671,1262,409,28452,9688,18764,0.0
33,2,,40201000,4,0,WARD,Chennai (M Corp.) - Ward No.4,Urban,4465,20961,10582,10379,2329,1218,1111,4945,2468,2477,32,17,15,15274,8254,7020,5687,2328,3359,6107,5381,726,5818,5151,667,52,21,31,32,24,8,99,47,52,5635,5059,576,289,230,59,4,3,1,0,0,0,19,8,11,266,219,47,14854,5201,9653,0.0
33,2,,40201000,5,0,WARD,Chennai (M Corp.) - Ward No.5,Urban,8497,38446,19373,19073,4026,1973,2053,5179,2624,2555,25,10,15,28196,15346,12850,10250,4027,6223,12606,10690,1916,12057,10289,1768,34,18,16,19,15,4,255,135,120,11749,10121,1628,549,401,148,6,1,5,4,3,1,24,2,22,515,395,120,25840,8683,17157,0.0
33,2,,40201000,6,0,WARD,Chennai (M Corp.) - Ward No.6,Urban,5082,22210,11216,10994,2558,1310,1248,2870,1446,1424,0,0,0,15897,8576,7321,6313,2640,3673,7261,6170,1091,6560,5687,873,14,8,6,16,15,1,112,66,46,6418,5598,820,701,483,218,3,1,2,4,3,1,36,6,30,658,473,185,14949,5046,9903,0.0
33,2,,40201000,7,0,WARD,Chennai (M Corp.) - Ward No.7,Urban,4947,21720,10970,10750,2368,1172,1196,1027,511,516,5,3,2,15876,8562,7314,5844,2408,3436,7786,6416,1370,7509,6249,1260,6,6,0,14,13,1,121,63,58,7368,6167,1201,277,167,110,0,0,0,0,0,0,10,1,9,267,166,101,13934,4554,9380,0.0
33,2,,40201000,8,0,WARD,Chennai (M Corp.) - Ward No.8,Urban,7280,31558,15857,15701,3784,1886,1898,2579,1275,1304,48,25,23,21995,11845,10150,9563,4012,5551,10696,8983,1713,10376,8757,1619,17,9,8,15,15,0,459,278,181,9885,8455,1430,320,226,94,0,0,0,2,2,0,18,3,15,300,221,79,20862,6874,13988,0.0
33,2,,40201000,9,0,WARD,Chennai (M Corp.) - Ward No.9,Urban,4225,19301,9851,9450,1957,954,1003,209,109,100,5,2,3,15364,8302,7062,3937,1549,2388,6684,5809,875,6488,5673,815,9,7,2,14,11,3,284,171,113,6181,5484,697,196,136,60,0,0,0,2,0,2,44,29,15,150,107,43,12617,4042,8575,0.0
33,2,,40201000,10,0,WARD,Chennai (M Corp.) - Ward No.10,Urban,8827,38511,19372,19139,5007,2536,2471,3654,1838,1816,1,1,0,23155,12745,10410,15356,6627,8729,13057,10884,2173,12194,10294,1900,36,21,15,31,24,7,246,131,115,11881,10118,1763,863,590,273,6,3,3,7,1,6,52,15,37,798,571,227,25454,8488,16966,0.0
