STATE,DISTRICT,TAHSIL,TOWN_VILL,WARD,EB,LEVEL,NAME,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_06,M_06,F_06,P_SC,M_SC,F_SC,P_ST,M_ST,F_ST,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,TOT_WORK_M,TOT_WORK_F,MAINWORK_P,MAINWORK_M,MAINWORK_F,MAIN_CL_P,MAIN_CL_M,MAIN_CL_F,MAIN_AL_P,MAIN_AL_M,MAIN_AL_F,MAIN_HH_P,MAIN_HH_M,MAIN_HH_F,MAIN_OT_P,MAIN_OT_M,MAIN_OT_F,MARGWORK_P,MARGWORK_M,MARGWORK_F,MARG_CL_P,MARG_CL_M,MARG_CL_F,MARG_AL_P,MARG_AL_M,MARG_AL_F,MARG_HH_P,MARG_HH_M,MARG_HH_F,MARG_OT_P,MARG_OT_M,MARG_OT_F,NON_WORK_P,NON_WORK_M,NON_WORK_F,SUB-DISTT
33,24,,0,0,0,DISTRICT,Madurai,Total,613475,2578201,1303363,1274838,295276,153326,141950,323252,162595,160657,5972,3060,2912,1776654,991010,785644,801547,312353,489194,1088543,736555,351988,949545,671212,278333,119493,74091,45402,236443,124793,111650,34688,17672,17016,558921,454656,104265,138998,65343,73655,9747,4562,5185,93973,39838,54135,5072,1625,3447,30206,19318,10888,1489658,566808,922850,0.0
33,24,,0,0,0,DISTRICT,Madurai,Rural,277380,1134025,573036,560989,137760,72461,65299,223475,112697,110778,2054,1074,980,673502,397156,276346,460523,175880,284643,581811,334709,247102,468340,284136,184204,111695,68825,42870,209776,107656,102120,15640,7607,8033,131229,100048,31181,113471,50573,62898,8952,4246,4706,88793,37366,51427,3231,1200,2031,12495,7761,4734,552214,238327,313887,0.0
33,24,,0,0,0,DISTRICT,Madurai,Urban,336095,1444176,730327,713849,157516,80865,76651,99777,49898,49879,3918,1986,1932,1103152,593854,509298,341024,136473,204551,506732,401846,104886,481205,387076,94129,7798,5266,2532,26667,17137,9530,19048,10065,8983,427692,354608,73084,25527,14770,10757,795,316,479,5180,2472,2708,1841,425,1416,17711,11557,6154,937444,328481,608963,0.0
33,24,,0,0,0,TALUK,Melur,Total,59808,251919,125687,126232,31320,16266,15054,40044,20083,19961,171,84,87,151369,87981,63388,100550,37706,62844,122636,72680,49956,93799,59616,34183,27980,17256,10724,38144,20713,17431,2156,977,1179,25519,20670,4849,28837,13064,15773,3473,1776,1697,22293,9613,12680,769,286,483,2302,1389,913,129283,53007,76276,1.0
33,24,,0,0,0,TALUK,Melur,Rural,50510,210950,104907,106043,26549,13768,12781,34894,17464,17430,23,13,10,122044,71790,50254,88906,33117,55789,107948,61496,46452,80122,48929,31193,26771,16433,10338,35275,19005,16270,1911,822,1089,16165,12669,3496,27826,12567,15259,3327,1730,1597,21911,9441,12470,730,272,458,1858,1124,734,103002,43411,59591,1.0
33,24,,0,0,0,TALUK,Melur,Urban,9298,40969,20780,20189,4771,2498,2273,5150,2619,2531,148,71,77,29325,16191,13134,11644,4589,7055,14688,11184,3504,13677,10687,2990,1209,823,386,2869,1708,1161,245,155,90,9354,8001,1353,1011,497,514,146,46,100,382,172,210,39,14,25,444,265,179,26281,9596,16685,1.0
33,24,,1365300,0,0,VILLAGE,Surappatti,Rural,337,1503,719,784,222,119,103,159,77,82,0,0,0,872,490,382,631,229,402,779,419,360,538,287,251,94,59,35,196,106,90,139,39,100,109,83,26,241,132,109,23,8,15,125,76,49,74,38,36,19,10,9,724,300,424,1.0
33,24,,1365400,0,0,VILLAGE,Pottapatti,Rural,742,3236,1592,1644,435,229,206,389,197,192,0,0,0,1894,1156,738,1342,436,906,1937,943,994,998,564,434,667,362,305,174,86,88,29,15,14,128,101,27,939,379,560,68,34,34,822,317,505,16,7,9,33,21,12,1299,649,650,1.0
33,24,,1365600,0,0,VILLAGE,Tondilingapuram,Rural,327,1410,654,756,224,113,111,143,62,81,0,0,0,686,411,275,724,243,481,869,392,477,730,331,399,427,204,223,257,91,166,5,2,3,41,34,7,139,61,78,9,3,6,128,58,70,2,0,2,0,0,0,541,262,279,1.0
33,24,,1365700,0,0,VILLAGE,Pallapatti,Rural,734,3217,1562,1655,411,219,192,360,185,175,0,0,0,1831,1052,779,1386,510,876,1465,881,584,1444,866,578,264,195,69,560,332,228,246,73,173,374,266,108,21,15,6,4,3,1,10,8,2,5,3,2,2,1,1,1752,681,1071,1.0
33,24,,1365800,0,0,VILLAGE,Silambakkonepatti,Rural,233,1028,513,515,157,80,77,0,0,0,0,0,0,431,273,158,597,240,357,489,282,207,486,282,204,12,8,4,431,258,173,16,0,16,27,16,11,3,0,3,1,0,1,1,0,1,1,0,1,0,0,0,539,231,308,1.0
33,24,,1365900,0,0,VILLAGE,Kottampatti,Rural,1059,4736,2387,2349,595,314,281,838,433,405,0,0,0,3167,1827,1340,1569,560,1009,1755,1328,427,1631,1243,388,216,179,37,506,333,173,99,38,61,810,693,117,124,85,39,10,5,5,77,58,19,6,2,4,31,20,11,2981,1059,1922,1.0
33,24,,1366000,0,0,VILLAGE,Valaichcherippatti,Rural,391,1660,789,871,222,104,118,379,195,184,0,0,0,967,558,409,693,231,462,739,484,255,501,384,117,123,90,33,200,147,53,17,8,9,161,139,22,238,100,138,17,11,6,178,72,106,22,4,18,21,13,8,921,305,616,1.0
